--------------------
BDMEP - INMET
--------------------
Estação           : CARACARAI - RR (OMM: 82042)
Latitude  (graus) : 1.83
Longitude (graus) : -61.12
Altitude  (metros): 60.00
Estação Operante
Inicio de operação: 11/01/1970
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82042;11/01/1970;0000;33.8;;28.26;72.5;5.633333;
82042;11/01/1970;1200;;22.5;;;;
82042;12/01/1970;0000;31;;27;89;3.9;
82042;12/01/1970;1200;;23.5;;;;
82042;13/01/1970;0000;31;;25.8;85.75;3.333333;
82042;13/01/1970;1200;;22;;;;
82042;14/01/1970;0000;31.8;;26.4;86.75;5.333333;
82042;14/01/1970;1200;;20.8;;;;
82042;15/01/1970;0000;33.8;;27.1;81.75;4.466667;
82042;15/01/1970;1200;;22.5;;;;
82042;16/01/1970;0000;30;;25.88;88.25;4;
82042;16/01/1970;1200;;22.8;;;;
82042;17/01/1970;0000;30.5;;25.56;82;2.4;
82042;17/01/1970;1200;;21.5;;;;
82042;18/01/1970;0000;32.5;;26.76;77.25;2.566667;
82042;18/01/1970;1200;;19.5;;;;
82042;19/01/1970;0000;32.5;;26.18;86.5;4.4;
82042;19/01/1970;1200;;22.5;;;;
82042;20/01/1970;0000;31.8;;25.36;81.5;4.65;
82042;20/01/1970;1200;;20.8;;;;
82042;21/01/1970;0000;29.5;;24.52;92.75;2.266667;
82042;21/01/1970;1200;;19.7;;;;
82042;22/01/1970;0000;32.8;;25.54;84;4.466667;
82042;22/01/1970;1200;;19.1;;;;
82042;23/01/1970;0000;33;;26.06;78.75;2.266667;
82042;23/01/1970;1200;;19.1;;;;
82042;24/01/1970;0000;34;;26.64;77;2.933333;
82042;24/01/1970;1200;;19.4;;;;
82042;25/01/1970;0000;31.3;;27.04;77.25;6.2;
82042;25/01/1970;1200;;22.1;;;;
82042;26/01/1970;0000;32.8;;26.7;75.75;4.2;
82042;26/01/1970;1200;;20.7;;;;
82042;27/01/1970;0000;34.2;;27.68;68.25;4.466667;
82042;27/01/1970;1200;;20.7;;;;
82042;28/01/1970;0000;32.7;;27.54;72.25;4.566667;
82042;28/01/1970;1200;;21.9;;;;
82042;29/01/1970;0000;32;;25.84;83.5;4.866667;
82042;29/01/1970;1200;;20.3;;;;
82042;30/01/1970;0000;32.1;;26.18;73;5.866667;
82042;30/01/1970;1200;;18.9;;;;
82042;31/01/1970;0000;32.5;;26.46;69.75;3.233333;
82042;31/01/1970;1200;;18.2;;;;
82042;01/02/1970;0000;33;;26.34;79.25;4.766667;
82042;01/02/1970;1200;;18.2;;;;
82042;02/02/1970;0000;32.3;;25.06;78.75;2.65;
82042;02/02/1970;1200;;16.7;;;;
82042;03/02/1970;0000;32.2;;25.42;84.25;4.4;
82042;03/02/1970;1200;;19.7;;;;
82042;04/02/1970;0000;32.4;;25.04;80.25;3.9;
82042;04/02/1970;1200;;14;;;;
82042;05/02/1970;0000;27.5;;22.42;94.5;0.9;
82042;05/02/1970;1200;;13.9;;;;
82042;06/02/1970;0000;31;;24.56;85.25;3.9;
82042;06/02/1970;1200;;17.9;;;;
82042;07/02/1970;0000;33.3;;25.52;80.5;3.7;
82042;07/02/1970;1200;;13.8;;;;
82042;08/02/1970;0000;31;;27.62;86.75;0;
