--------------------
BDMEP - INMET
--------------------
Estação           : S G DA CACHOEIRA UAUPES  - AM (OMM: 82106)
Latitude  (graus) : -0.11
Longitude (graus) : -67
Altitude  (metros): 90.00
Estação Operante
Inicio de operação: 01/04/1920
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82106;01/01/1961;0000;31.5;;25.62;87.5;0.666667;
82106;01/01/1961;1200;;21.8;;;;
82106;02/01/1961;0000;31.1;;26.34;89.5;1.333333;
82106;02/01/1961;1200;;22.8;;;;
82106;03/01/1961;0000;30.4;;25.96;85.25;1;
82106;03/01/1961;1200;;22.9;;;;
82106;04/01/1961;0000;32;;25.66;88.5;0;
82106;04/01/1961;1200;;22.8;;;;
82106;05/01/1961;0000;30.8;;25.88;88.75;0.666667;
82106;05/01/1961;1200;;23.2;;;;
82106;06/01/1961;0000;32.3;;26.9;80;0.666667;
82106;06/01/1961;1200;;22.4;;;;
82106;07/01/1961;0000;31.1;;26.38;90;0;
82106;07/01/1961;1200;;23.2;;;;
82106;08/01/1961;0000;31;;25.92;89.25;0.666667;
82106;08/01/1961;1200;;23.5;;;;
82106;09/01/1961;0000;27.6;;25.26;97;0;
82106;09/01/1961;1200;;23.4;;;;
82106;10/01/1961;0000;29.4;;25.58;91;0;
82106;10/01/1961;1200;;22.5;;;;
82106;11/01/1961;0000;30.6;;25.34;89.5;0;
82106;11/01/1961;1200;;23.1;;;;
82106;12/01/1961;0000;30.7;;26.38;89;0.666667;
82106;12/01/1961;1200;;23.4;;;;
82106;13/01/1961;0000;30.9;;25.94;89;0.666667;
82106;13/01/1961;1200;;22.8;;;;
