--------------------
BDMEP - INMET
--------------------
Estação           : BARCELOS - AM (OMM: 82113)
Latitude  (graus) : -0.96
Longitude (graus) : -62.91
Altitude  (metros): 40.00
Estação Operante
Inicio de operação: 01/08/1924
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82113;01/01/1961;0000;30;;25.82;87.75;2;
82113;01/01/1961;1200;;23;;;;
82113;02/01/1961;0000;32.7;;25.8;83.75;1.333333;
82113;02/01/1961;1200;;22;;;;
82113;03/01/1961;0000;32.6;;26.64;84;1;
82113;03/01/1961;1200;;23;;;;
82113;04/01/1961;0000;30;;25.76;88.5;2;
82113;04/01/1961;1200;;23;;;;
82113;05/01/1961;0000;31;;25.9;85.5;1.666667;
82113;05/01/1961;1200;;23;;;;
82113;06/01/1961;0000;31.4;;25.94;84;2.666667;
82113;06/01/1961;1200;;22;;;;
82113;07/01/1961;0000;31.6;;25.76;84;2.333333;
82113;07/01/1961;1200;;22.5;;;;
82113;08/01/1961;0000;31;;26.42;86;1.333333;
82113;08/01/1961;1200;;22.5;;;;
82113;09/01/1961;0000;31;;25.86;85;1.333333;
82113;09/01/1961;1200;;23;;;;
82113;10/01/1961;0000;28;;24.38;90.75;2.333333;
82113;10/01/1961;1200;;22;;;;
82113;11/01/1961;0000;30.2;;25.46;86.25;2.333333;
82113;11/01/1961;1200;;22;;;;
82113;12/01/1961;0000;30.5;;26.04;85.5;2;
82113;12/01/1961;1200;;23;;;;
82113;13/01/1961;0000;30;;26.08;87.5;1.666667;
82113;13/01/1961;1200;;23;;;;
82113;14/01/1961;0000;32;;26.16;84.75;1.333333;
82113;14/01/1961;1200;;23;;;;
82113;15/01/1961;0000;30;;25.56;87.5;1.333333;
82113;15/01/1961;1200;;22.4;;;;
82113;16/01/1961;0000;30.8;;25.98;85.75;1.666667;
82113;16/01/1961;1200;;22;;;;
82113;17/01/1961;0000;30;;25.82;86.75;2;
82113;17/01/1961;1200;;23;;;;
82113;18/01/1961;0000;29;;25.08;86.75;2.666667;
82113;18/01/1961;1200;;22.1;;;;
82113;19/01/1961;0000;30.8;;25.92;85.25;2;
82113;19/01/1961;1200;;22.5;;;;
82113;20/01/1961;0000;31;;26.26;84;1.333333;
82113;20/01/1961;1200;;23;;;;
82113;21/01/1961;0000;28;;24.76;90;2.333333;
82113;21/01/1961;1200;;21.6;;;;
82113;22/01/1961;0000;32;;25.72;85;3;
82113;22/01/1961;1200;;22;;;;
82113;23/01/1961;0000;31.8;;25.72;85.25;2.333333;
82113;23/01/1961;1200;;22;;;;
82113;24/01/1961;0000;33;;26.38;83.25;1.333333;
82113;24/01/1961;1200;;22.5;;;;
82113;25/01/1961;0000;33;;26.78;83.75;2.333333;
82113;25/01/1961;1200;;23;;;;
82113;26/01/1961;0000;33.6;;26.38;83.5;1.333333;
82113;26/01/1961;1200;;22.6;;;;
82113;27/01/1961;0000;33;;26.56;82.75;1.666667;
82113;27/01/1961;1200;;22.2;;;;
82113;28/01/1961;0000;30;;26.14;86.25;1.666667;
82113;28/01/1961;1200;;23;;;;
82113;29/01/1961;0000;32.6;;26.6;83.75;1.333333;
82113;29/01/1961;1200;;23;;;;
82113;30/01/1961;0000;32;;26.14;85.5;1.333333;
82113;30/01/1961;1200;;23;;;;
82113;31/01/1961;0000;31.5;;25.56;85.5;2.333333;
82113;31/01/1961;1200;;22.8;;;;
82113;01/02/1961;0000;30;;25;86.5;1.333333;
82113;01/02/1961;1200;;21.5;;;;
82113;02/02/1961;0000;31;;25.4;85.75;1.333333;
82113;02/02/1961;1200;;21.4;;;;
82113;03/02/1961;0000;31;;25.2;86.5;2.333333;
82113;03/02/1961;1200;;22.4;;;;
82113;04/02/1961;0000;25;;22.96;90.75;1.666667;
82113;04/02/1961;1200;;21.3;;;;
82113;05/02/1961;0000;31;;25.38;85.5;1;
82113;05/02/1961;1200;;21.4;;;;
82113;06/02/1961;0000;32.5;;25.26;83.25;1;
82113;06/02/1961;1200;;21.5;;;;
82113;07/02/1961;0000;34.3;;26.48;83.5;1.333333;
82113;07/02/1961;1200;;22;;;;
82113;08/02/1961;0000;32;;26.6;84.25;2.666667;
82113;08/02/1961;1200;;23.5;;;;
82113;09/02/1961;0000;29;;25.1;87.5;3.333333;
82113;09/02/1961;1200;;23;;;;
82113;10/02/1961;0000;30.4;;24.54;85;1.333333;
82113;10/02/1961;1200;;20.6;;;;
82113;11/02/1961;0000;30.2;;24.78;86.25;1.333333;
82113;11/02/1961;1200;;21;;;;
82113;12/02/1961;0000;31;;25.42;85.5;1.666667;
82113;12/02/1961;1200;;21.5;;;;
82113;13/02/1961;0000;31.7;;25.78;85.25;1.666667;
82113;13/02/1961;1200;;22.4;;;;
82113;14/02/1961;0000;32.8;;25.48;83.75;1;
82113;14/02/1961;1200;;21.2;;;;
82113;15/02/1961;0000;33;;25.86;84.5;2.333333;
82113;15/02/1961;1200;;21.5;;;;
82113;16/02/1961;0000;33;;25.9;83;2.333333;
82113;16/02/1961;1200;;21.5;;;;
82113;17/02/1961;0000;32;;25.86;83.75;1.666667;
82113;17/02/1961;1200;;22;;;;
82113;18/02/1961;0000;32.5;;26.12;84;2;
82113;18/02/1961;1200;;22.4;;;;
82113;19/02/1961;0000;33.5;;26.1;84.25;1.666667;
82113;19/02/1961;1200;;21.4;;;;
82113;20/02/1961;0000;32;;25.96;84.5;2.333333;
82113;20/02/1961;1200;;22.3;;;;
82113;21/02/1961;0000;32;;25.8;84.75;1.666667;
82113;21/02/1961;1200;;21.3;;;;
82113;22/02/1961;0000;33;;26.12;83.5;1.666667;
82113;22/02/1961;1200;;22.5;;;;
82113;23/02/1961;0000;33.2;;26.4;83.25;1.666667;
82113;23/02/1961;1200;;23;;;;
82113;24/02/1961;0000;31;;25.5;86.75;1.333333;
82113;24/02/1961;1200;;23;;;;
82113;25/02/1961;0000;31;;25.9;85;1.666667;
82113;25/02/1961;1200;;22;;;;
82113;26/02/1961;0000;31.5;;26.28;85.75;2;
82113;26/02/1961;1200;;22.4;;;;
82113;27/02/1961;0000;32.5;;26;83.75;2.666667;
82113;27/02/1961;1200;;23;;;;
82113;28/02/1961;0000;32;;25.76;84.5;1.333333;
82113;28/02/1961;1200;;23;;;;
82113;01/03/1961;0000;31.2;;25.66;85;1.333333;
82113;01/03/1961;1200;;22.6;;;;
82113;02/03/1961;0000;31;;25.92;84.75;1.333333;
82113;02/03/1961;1200;;22.4;;;;
82113;03/03/1961;0000;34;;27.2;83.25;1.666667;
82113;03/03/1961;1200;;23.7;;;;
82113;04/03/1961;0000;34;;27.24;83;2;
82113;04/03/1961;1200;;24;;;;
82113;05/03/1961;0000;32;;26.34;84.25;1.333333;
82113;05/03/1961;1200;;23.4;;;;
82113;06/03/1961;0000;30;;25.68;86.25;2.333333;
82113;06/03/1961;1200;;23;;;;
82113;07/03/1961;0000;28;;25.1;89.25;2.666667;
82113;07/03/1961;1200;;23;;;;
