--------------------
BDMEP - INMET
--------------------
Estação           : SOURE - PA (OMM: 82141)
Latitude  (graus) : -0.73
Longitude (graus) : -48.51
Altitude  (metros): 10.49
Estação Operante
Inicio de operação: 21/08/1928
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82141;01/01/1961;0000;31.2;;28.2;71.75;3.666667;
82141;01/01/1961;1200;;26;;;;
82141;02/01/1961;0000;31;;27.98;73.25;3.333333;
82141;02/01/1961;1200;;25.5;;;;
82141;03/01/1961;0000;31;;27.92;75.5;3.333333;
82141;03/01/1961;1200;;25.6;;;;
82141;04/01/1961;0000;31;;27.32;79.25;3;
82141;04/01/1961;1200;;25;;;;
82141;05/01/1961;0000;31.4;;28.12;75.5;3;
82141;05/01/1961;1200;;25.3;;;;
82141;06/01/1961;0000;31.1;;28.42;76.25;3.333333;
82141;06/01/1961;1200;;26;;;;
82141;07/01/1961;0000;31;;27.98;79.25;3.333333;
82141;07/01/1961;1200;;24.9;;;;
82141;08/01/1961;0000;31.1;;28.14;81.25;3.666667;
82141;08/01/1961;1200;;26.2;;;;
82141;09/01/1961;0000;31.6;;28.4;77;4;
82141;09/01/1961;1200;;26.2;;;;
82141;10/01/1961;0000;31.4;;28.4;78.75;4;
82141;10/01/1961;1200;;26.6;;;;
82141;11/01/1961;0000;31.4;;28.4;77.75;4.333333;
82141;11/01/1961;1200;;26.2;;;;
82141;12/01/1961;0000;31.4;;28.04;81;3.333333;
82141;12/01/1961;1200;;25.3;;;;
82141;13/01/1961;0000;31.4;;28.38;80.75;3;
82141;13/01/1961;1200;;26;;;;
82141;14/01/1961;0000;31.3;;28.1;79.75;3.333333;
82141;14/01/1961;1200;;25.2;;;;
82141;15/01/1961;0000;30;;27.26;87.5;2;
82141;15/01/1961;1200;;25.5;;;;
82141;16/01/1961;0000;29.7;;25.9;89.5;2.333333;
82141;16/01/1961;1200;;23;;;;
82141;17/01/1961;0000;30.6;;24.92;93.75;2.666667;
82141;17/01/1961;1200;;22;;;;
82141;18/01/1961;0000;28.8;;25.12;92;2;
82141;18/01/1961;1200;;22;;;;
82141;19/01/1961;0000;30.4;;26.48;86.25;2;
82141;19/01/1961;1200;;23;;;;
82141;20/01/1961;0000;28.8;;26.66;86.75;2.666667;
82141;20/01/1961;1200;;24.6;;;;
82141;21/01/1961;0000;30.3;;26.34;85.25;2.666667;
82141;21/01/1961;1200;;23.4;;;;
82141;22/01/1961;0000;30.6;;27.12;82.75;3;
82141;22/01/1961;1200;;24.6;;;;
82141;23/01/1961;0000;30;;27.14;81.25;2.333333;
82141;23/01/1961;1200;;25.1;;;;
82141;24/01/1961;0000;30.2;;26.52;81.75;2.333333;
82141;24/01/1961;1200;;24.4;;;;
82141;25/01/1961;0000;30.4;;26.68;88.25;2.666667;
82141;25/01/1961;1200;;23.2;;;;
82141;26/01/1961;0000;30.4;;26.84;84.25;2;
82141;26/01/1961;1200;;22.8;;;;
82141;27/01/1961;0000;30;;26.12;88.5;2.666667;
82141;27/01/1961;1200;;24.2;;;;
82141;28/01/1961;0000;28;;24.8;95.5;2.333333;
82141;28/01/1961;1200;;23;;;;
82141;29/01/1961;0000;30;;26.12;89.5;1.666667;
82141;29/01/1961;1200;;22.6;;;;
82141;30/01/1961;0000;30;;26.96;87.5;2.333333;
82141;30/01/1961;1200;;24.6;;;;
82141;31/01/1961;0000;28.6;;26.14;89.5;2.333333;
82141;31/01/1961;1200;;23.8;;;;
82141;01/02/1961;0000;28.8;;24.2;94.25;1.333333;
82141;01/02/1961;1200;;22;;;;
82141;02/02/1961;0000;31.2;;26.18;82.5;2.333333;
82141;02/02/1961;1200;;22.1;;;;
82141;03/02/1961;0000;28;;24.78;94;1.333333;
82141;03/02/1961;1200;;22.5;;;;
82141;04/02/1961;0000;27.6;;24.52;91;1.333333;
82141;04/02/1961;1200;;22;;;;
82141;05/02/1961;0000;28;;24.52;93;0.666667;
82141;05/02/1961;1200;;22.2;;;;
82141;06/02/1961;0000;28.8;;24;92.5;0.666667;
82141;06/02/1961;1200;;21.2;;;;
82141;07/02/1961;0000;29.2;;26.16;83.25;2.333333;
82141;07/02/1961;1200;;23;;;;
82141;08/02/1961;0000;27.2;;25.04;87.5;3.333333;
82141;08/02/1961;1200;;22.4;;;;
82141;09/02/1961;0000;30;;26.68;79.25;2.666667;
82141;09/02/1961;1200;;23.8;;;;
82141;10/02/1961;0000;30.2;;25.76;85.5;2.666667;
82141;10/02/1961;1200;;23.4;;;;
82141;11/02/1961;0000;26.8;;23.8;94.25;1.666667;
82141;11/02/1961;1200;;21.4;;;;
82141;12/02/1961;0000;30.6;;24.72;85.5;2;
82141;12/02/1961;1200;;20.6;;;;
82141;13/02/1961;0000;29.8;;25.84;77.5;2.666667;
82141;13/02/1961;1200;;22.2;;;;
82141;14/02/1961;0000;29.8;;25.88;79.5;2.666667;
82141;14/02/1961;1200;;23.2;;;;
82141;15/02/1961;0000;27.2;;24.68;92.25;0.666667;
82141;15/02/1961;1200;;22.4;;;;
82141;16/02/1961;0000;28.4;;25.28;86.75;2;
82141;16/02/1961;1200;;22.4;;;;
82141;17/02/1961;0000;25.4;;23.28;97.25;1;
82141;17/02/1961;1200;;21.8;;;;
82141;18/02/1961;0000;28.2;;24.72;90.25;1.666667;
