--------------------
BDMEP - INMET
--------------------
Estação           : TRACUATEUA - PA (OMM: 82145)
Latitude  (graus) : -1.06
Longitude (graus) : -46.9
Altitude  (metros): 36.00
Estação Operante
Inicio de operação: 08/09/1972
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82145;01/10/1972;0000;32;;26.8;77.25;2.333333;
82145;01/10/1972;1200;;21;;;;
82145;02/10/1972;0000;32;;26.28;79.5;1.666667;
82145;02/10/1972;1200;;22;;;;
82145;03/10/1972;0000;32;;26.18;74.25;2;
82145;03/10/1972;1200;;19.8;;;;
82145;04/10/1972;0000;32;;25.84;80.5;2;
82145;04/10/1972;1200;;20.1;;;;
82145;05/10/1972;0000;32.8;;26.52;79.25;1.666667;
82145;05/10/1972;1200;;21;;;;
82145;06/10/1972;0000;33.5;;26.94;73.75;2.333333;
82145;06/10/1972;1200;;20;;;;
82145;07/10/1972;0000;32;;26.84;77;2;
82145;07/10/1972;1200;;21.3;;;;
82145;08/10/1972;0000;32.2;;26.26;82;2.666667;
82145;08/10/1972;1200;;21.2;;;;
82145;09/10/1972;0000;33;;26.4;79.5;2;
82145;09/10/1972;1200;;20;;;;
82145;10/10/1972;0000;33;;26.96;75.5;2.666667;
82145;10/10/1972;1200;;19.9;;;;
82145;11/10/1972;0000;33.5;;26.8;70.5;2;
82145;11/10/1972;1200;;19.2;;;;
82145;12/10/1972;0000;33.2;;25.6;70;1.666667;
82145;12/10/1972;1200;;18.8;;;;
82145;13/10/1972;0000;33;;25.96;67.25;2.666667;
82145;13/10/1972;1200;;19;;;;
82145;14/10/1972;0000;31.5;;26.1;81.75;3;
82145;14/10/1972;1200;;20.1;;;;
82145;15/10/1972;0000;32.8;;26.36;76.75;1.333333;
82145;15/10/1972;1200;;21.2;;;;
82145;16/10/1972;0000;32.8;;25.92;78.5;1.666667;
82145;16/10/1972;1200;;20;;;;
82145;17/10/1972;0000;32;;25.46;77.25;2.333333;
82145;17/10/1972;1200;;17.8;;;;
82145;18/10/1972;0000;30.1;;25.42;76;2;
82145;18/10/1972;1200;;20.1;;;;
82145;19/10/1972;0000;32.8;;26.22;77.25;2.333333;
82145;19/10/1972;1200;;20.5;;;;
82145;20/10/1972;0000;32;;26.04;73.5;1.666667;
82145;20/10/1972;1200;;20.1;;;;
82145;21/10/1972;0000;31;;26.16;76;2.333333;
82145;21/10/1972;1200;;20;;;;
82145;22/10/1972;0000;29.5;;26.26;81.5;1.666667;
82145;22/10/1972;1200;;22.8;;;;
82145;23/10/1972;0000;32.8;;26.92;74.25;2.666667;
82145;23/10/1972;1200;;22.8;;;;
82145;24/10/1972;0000;32.8;;26.56;80;2;
82145;24/10/1972;1200;;20;;;;
82145;25/10/1972;0000;32;;26;80.5;2;
82145;25/10/1972;1200;;22;;;;
82145;26/10/1972;0000;32.6;;26.56;75.5;2;
82145;26/10/1972;1200;;21;;;;
82145;27/10/1972;0000;33.4;;27.08;78.25;2;
82145;27/10/1972;1200;;21;;;;
82145;28/10/1972;0000;32;;25.42;81;2;
82145;28/10/1972;1200;;20.2;;;;
82145;29/10/1972;0000;32;;26.76;80;1.333333;
