--------------------
BDMEP - INMET
--------------------
Estação           : MONTE ALEGRE - PA (OMM: 82181)
Latitude  (graus) : -2
Longitude (graus) : -54.1
Altitude  (metros): 145.85
Estação Operante
Inicio de operação: 09/03/1974
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82181;01/04/1974;0000;30;;25.2;84;2;
82181;01/04/1974;1200;;21.5;;;;
82181;02/04/1974;0000;30;;25.18;83.75;2.333333;
82181;02/04/1974;1200;;23;;;;
82181;03/04/1974;0000;30;;25.42;84.5;1.666667;
82181;03/04/1974;1200;;22.8;;;;
82181;04/04/1974;0000;27.2;;24.1;93;1.333333;
82181;04/04/1974;1200;;22.5;;;;
82181;05/04/1974;0000;26.5;;23.86;90.75;0.666667;
82181;05/04/1974;1200;;22;;;;
82181;06/04/1974;0000;30;;25.08;82.75;2.333333;
82181;06/04/1974;1200;;21.7;;;;
82181;07/04/1974;0000;28;;25.22;83.75;2.666667;
82181;07/04/1974;1200;;22.8;;;;
82181;08/04/1974;0000;30;;26.2;77.5;3;
82181;08/04/1974;1200;;23.5;;;;
82181;09/04/1974;0000;30;;26.06;82.5;2;
82181;09/04/1974;1200;;22.1;;;;
82181;10/04/1974;0000;29;;25.18;89;3;
82181;10/04/1974;1200;;22;;;;
82181;11/04/1974;0000;30;;26.04;80.75;3;
82181;11/04/1974;1200;;23;;;;
82181;12/04/1974;0000;30.5;;25.92;82.25;3.333333;
82181;12/04/1974;1200;;22;;;;
82181;13/04/1974;0000;30;;26.18;79.75;1.333333;
82181;13/04/1974;1200;;23.4;;;;
82181;14/04/1974;0000;30.9;;26.6;78.75;2.666667;
82181;14/04/1974;1200;;23;;;;
82181;15/04/1974;0000;31;;26.76;81;3.333333;
82181;15/04/1974;1200;;23;;;;
82181;16/04/1974;0000;31.3;;26.94;78;2.666667;
82181;16/04/1974;1200;;23;;;;
82181;17/04/1974;0000;30.2;;25.92;84;1.333333;
82181;17/04/1974;1200;;23;;;;
82181;18/04/1974;0000;30.5;;26.52;82.5;3.333333;
82181;18/04/1974;1200;;23;;;;
82181;19/04/1974;0000;30;;26.12;83.25;5;
82181;19/04/1974;1200;;23.7;;;;
82181;20/04/1974;0000;30;;25.7;86;1.666667;
82181;20/04/1974;1200;;23;;;;
82181;21/04/1974;0000;30;;26.74;80.75;3.333333;
82181;21/04/1974;1200;;23.5;;;;
82181;22/04/1974;0000;31;;26.74;80.75;2.666667;
82181;22/04/1974;1200;;23.7;;;;
82181;23/04/1974;0000;30.5;;26.42;81;1.333333;
82181;23/04/1974;1200;;22.8;;;;
82181;24/04/1974;0000;30.8;;26.76;78.5;2.666667;
82181;24/04/1974;1200;;22.8;;;;
82181;25/04/1974;0000;30.7;;26.76;77.25;1.666667;
82181;25/04/1974;1200;;23.3;;;;
