--------------------
BDMEP - INMET
--------------------
Estação           : TURIACU - MA (OMM: 82198)
Latitude  (graus) : -1.56
Longitude (graus) : -45.36
Altitude  (metros): 44.06
Estação Operante
Inicio de operação: 29/07/1976
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82198;01/01/1961;0000;32.2;;27.66;72;1.333333;
82198;01/01/1961;1200;;24.1;;;;
82198;02/01/1961;0000;31;;27.4;73;1.666667;
82198;02/01/1961;1200;;24;;;;
82198;03/01/1961;0000;31;;27.64;73.75;1.666667;
82198;03/01/1961;1200;;24.8;;;;
82198;04/01/1961;0000;31.6;;27.6;76.75;1.333333;
82198;04/01/1961;1200;;24.6;;;;
82198;05/01/1961;0000;31;;27.64;78.75;1;
82198;05/01/1961;1200;;24.8;;;;
82198;06/01/1961;0000;32.2;;28.1;73.25;1.333333;
82198;06/01/1961;1200;;24.7;;;;
82198;07/01/1961;0000;31.8;;28.26;71.75;2;
82198;07/01/1961;1200;;24.7;;;;
82198;08/01/1961;0000;32.2;;28.44;68.5;2.333333;
82198;08/01/1961;1200;;25.2;;;;
82198;09/01/1961;0000;33.6;;28.32;75.25;1.333333;
82198;09/01/1961;1200;;25.2;;;;
82198;10/01/1961;0000;32.3;;28.3;72.25;1.666667;
82198;10/01/1961;1200;;25.2;;;;
82198;11/01/1961;0000;32.6;;28.08;75.75;1.666667;
82198;11/01/1961;1200;;25.2;;;;
82198;12/01/1961;0000;32.8;;28.2;79.25;0.666667;
82198;12/01/1961;1200;;25.6;;;;
82198;13/01/1961;0000;32.8;;28.28;75.75;1.333333;
82198;13/01/1961;1200;;25;;;;
82198;14/01/1961;0000;32.4;;28.16;75.75;0.666667;
82198;14/01/1961;1200;;25;;;;
82198;15/01/1961;0000;32;;28.4;74.75;0.666667;
82198;15/01/1961;1200;;25.4;;;;
82198;16/01/1961;0000;32.2;;28.14;79.5;1;
82198;16/01/1961;1200;;25.7;;;;
82198;17/01/1961;0000;27.8;;25.08;92.5;0.666667;
82198;17/01/1961;1200;;21.8;;;;
82198;18/01/1961;0000;28.4;;25.96;86;0;
82198;18/01/1961;1200;;22.8;;;;
82198;19/01/1961;0000;28.4;;25.68;89.25;0.333333;
82198;19/01/1961;1200;;23.4;;;;
82198;20/01/1961;0000;31.6;;26;86.5;0.666667;
82198;20/01/1961;1200;;23.6;;;;
82198;21/01/1961;0000;29.4;;26.12;90.25;0.666667;
82198;21/01/1961;1200;;23.8;;;;
82198;22/01/1961;0000;26.7;;24.7;91.75;0.666667;
82198;22/01/1961;1200;;22.4;;;;
82198;23/01/1961;0000;28.4;;25.4;86.25;1;
82198;23/01/1961;1200;;23;;;;
82198;24/01/1961;0000;29.6;;26.12;83.25;0.666667;
82198;24/01/1961;1200;;23;;;;
82198;25/01/1961;0000;29.4;;26.38;87.25;1;
82198;25/01/1961;1200;;23.5;;;;
82198;26/01/1961;0000;30.4;;26.72;82.5;1.333333;
82198;26/01/1961;1200;;23.2;;;;
82198;27/01/1961;0000;27.2;;25.76;86.5;0.666667;
82198;27/01/1961;1200;;24;;;;
82198;28/01/1961;0000;29.8;;26.32;85.25;1;
82198;28/01/1961;1200;;23.6;;;;
82198;29/01/1961;0000;30.2;;27.18;84;0.333333;
82198;29/01/1961;1200;;23.9;;;;
82198;30/01/1961;0000;30;;27.24;80.25;1.333333;
82198;30/01/1961;1200;;25;;;;
82198;31/01/1961;0000;30.4;;26.94;79.75;1.666667;
82198;31/01/1961;1200;;23.7;;;;
82198;01/02/1961;0000;28.8;;26.02;83.25;1;
82198;01/02/1961;1200;;23.7;;;;
82198;02/02/1961;0000;28.7;;25.86;87;0;
82198;02/02/1961;1200;;22.8;;;;
82198;03/02/1961;0000;29.8;;25.2;91.75;0;
82198;03/02/1961;1200;;22.2;;;;
