--------------------
BDMEP - INMET
--------------------
Estação           : FONTE BOA - AM (OMM: 82212)
Latitude  (graus) : -2.53
Longitude (graus) : -66.16
Altitude  (metros): 55.57
Estação Operante
Inicio de operação: 01/01/1925
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82212;01/01/1961;0000;31.6;;25.12;90.25;0;
82212;01/01/1961;1200;;21.4;;;;
82212;02/01/1961;0000;30.8;;25.94;89;0.666667;
82212;02/01/1961;1200;;23.3;;;;
82212;03/01/1961;0000;31.9;;25.78;89.5;0;
82212;03/01/1961;1200;;23;;;;
82212;04/01/1961;0000;31.7;;26.14;88.5;0;
82212;04/01/1961;1200;;23.2;;;;
82212;05/01/1961;0000;31.2;;26.34;88.75;0.666667;
82212;05/01/1961;1200;;22.9;;;;
82212;06/01/1961;0000;31.8;;26.66;87;0;
82212;06/01/1961;1200;;22.4;;;;
82212;07/01/1961;0000;31;;26.4;87.5;0;
82212;07/01/1961;1200;;23.1;;;;
82212;08/01/1961;0000;30.6;;25.82;89;0;
82212;08/01/1961;1200;;23.2;;;;
82212;09/01/1961;0000;30;;24.96;89;0;
82212;09/01/1961;1200;;23;;;;
82212;10/01/1961;0000;29.9;;24.98;88;0;
82212;10/01/1961;1200;;22;;;;
82212;11/01/1961;0000;30.9;;24.92;87;0;
82212;11/01/1961;1200;;22.1;;;;
82212;12/01/1961;0000;30.6;;25.42;89.25;0;
82212;12/01/1961;1200;;23.3;;;;
82212;13/01/1961;0000;30;;25.12;89.25;0;
82212;13/01/1961;1200;;22.4;;;;
82212;14/01/1961;0000;31.1;;25.8;88.75;0;
82212;14/01/1961;1200;;22.5;;;;
82212;15/01/1961;0000;31.2;;26.04;87.25;0;
82212;15/01/1961;1200;;23;;;;
82212;16/01/1961;0000;30.2;;25.22;89.25;0;
82212;16/01/1961;1200;;22.9;;;;
82212;17/01/1961;0000;30.8;;25.28;89.75;0;
82212;17/01/1961;1200;;22.4;;;;
82212;18/01/1961;0000;25.2;;23.94;92;0;
82212;18/01/1961;1200;;23;;;;
82212;19/01/1961;0000;28.9;;24.68;89.75;0;
82212;19/01/1961;1200;;22.1;;;;
82212;20/01/1961;0000;30.3;;25.32;90.5;0.333333;
82212;20/01/1961;1200;;22.4;;;;
82212;21/01/1961;0000;30.3;;25.22;91;0;
82212;21/01/1961;1200;;22.6;;;;
82212;22/01/1961;0000;30.1;;25.62;90.75;0.333333;
82212;22/01/1961;1200;;22.2;;;;
82212;23/01/1961;0000;31.4;;26.2;88.25;0;
82212;23/01/1961;1200;;23;;;;
82212;24/01/1961;0000;31.2;;26.42;84.75;0.333333;
82212;24/01/1961;1200;;23.1;;;;
82212;25/01/1961;0000;32.3;;26.08;87.25;0.333333;
82212;25/01/1961;1200;;22.5;;;;
82212;26/01/1961;0000;32.3;;26.96;84.25;0;
82212;26/01/1961;1200;;23.4;;;;
82212;27/01/1961;0000;30.5;;26.08;89.75;0;
82212;27/01/1961;1200;;23.9;;;;
82212;28/01/1961;0000;29.8;;25.76;90.75;0;
82212;28/01/1961;1200;;23.8;;;;
