--------------------
BDMEP - INMET
--------------------
Estação           : PARINTINS - AM (OMM: 82240)
Latitude  (graus) : -2.63
Longitude (graus) : -56.73
Altitude  (metros): 29.00
Estação Operante
Inicio de operação: 01/01/1912
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82240;01/01/1961;0000;32.4;;;79.5;1.666667;
82240;02/01/1961;0000;32.8;;;74.25;2.333333;
82240;03/01/1961;0000;32.6;;;75.25;1.666667;
82240;04/01/1961;0000;32;;28.12;79.25;1.666667;
82240;04/01/1961;1200;;26;;;;
82240;05/01/1961;0000;31.8;;;76.5;2.333333;
82240;06/01/1961;0000;31.9;;;74.5;3;
82240;07/01/1961;0000;33;;;79.75;1.666667;
82240;08/01/1961;0000;32.4;;28.6;78.25;1;
82240;08/01/1961;1200;;26;;;;
82240;09/01/1961;0000;31;;;85;2.333333;
82240;10/01/1961;0000;30.8;;;91.25;1.666667;
82240;11/01/1961;0000;30.4;;;91;1;
82240;12/01/1961;0000;30.2;;;85.75;1.666667;
82240;13/01/1961;0000;31.4;;;82.75;1.666667;
82240;14/01/1961;0000;28.4;;;93.5;1.666667;
82240;15/01/1961;0000;27.8;;;90.5;1.666667;
82240;16/01/1961;0000;31.2;;;85.5;1.666667;
82240;17/01/1961;0000;31.3;;;85.75;1.666667;
82240;18/01/1961;0000;26.8;;;94.25;1.666667;
82240;19/01/1961;0000;29.5;;;89;1.666667;
82240;20/01/1961;0000;32.3;;;80.5;2.333333;
82240;21/01/1961;0000;30.2;;;83;2.333333;
82240;22/01/1961;0000;30;;;85.25;2.333333;
82240;23/01/1961;0000;30.6;;;82.5;1.666667;
82240;24/01/1961;0000;31.8;;;76.25;2.333333;
82240;25/01/1961;0000;32.4;;;80;1.666667;
82240;26/01/1961;0000;32.3;;;83.5;2.333333;
82240;27/01/1961;0000;29.9;;;84;2.333333;
82240;28/01/1961;0000;28.1;;;96;2.333333;
82240;29/01/1961;0000;28.3;;;93;1;
82240;30/01/1961;0000;30.2;;;84.25;1.666667;
82240;31/01/1961;0000;28.2;;;91.75;1.666667;
82240;01/02/1961;0000;28.6;;;96.5;1;
82240;02/02/1961;0000;29.2;;;91.25;3.666667;
82240;03/02/1961;0000;29.2;;;91.25;2.333333;
82240;04/02/1961;0000;31.9;;;89.25;1.233333;
82240;05/02/1961;0000;25.9;;;90.25;3;
82240;06/02/1961;0000;31.2;;;82;1;
82240;07/02/1961;0000;31.9;;;82.75;1.666667;
82240;08/02/1961;0000;29.6;;;89.25;1.666667;
82240;09/02/1961;0000;30.4;;;83.5;1.666667;
82240;10/02/1961;0000;30;;;83.75;2.333333;
82240;11/02/1961;0000;29.6;;;84;1;
82240;12/02/1961;0000;29.3;;;87.25;1;
82240;13/02/1961;0000;30;;;82;1.666667;
82240;14/02/1961;0000;30.9;;;78.75;1.666667;
82240;15/02/1961;0000;32.5;;;78.75;1.666667;
82240;16/02/1961;0000;29.5;;;87.75;1;
82240;17/02/1961;0000;29;;;91;1.666667;
82240;18/02/1961;0000;29.2;;;91.25;1;
82240;19/02/1961;0000;30.2;;;85;1.666667;
82240;20/02/1961;0000;29.2;;;83.75;3.666667;
82240;21/02/1961;0000;28.4;;;94;2.333333;
82240;22/02/1961;0000;29;;;89.25;1.666667;
82240;23/02/1961;0000;29.2;;;88;1;
82240;24/02/1961;0000;29.9;;;87.75;1.666667;
82240;25/02/1961;0000;27;;;91.5;1;
82240;26/02/1961;0000;28.6;;;94.5;2.333333;
