--------------------
BDMEP - INMET
--------------------
Estação           : BELTERRA - PA (OMM: 82246)
Latitude  (graus) : -2.63
Longitude (graus) : -54.95
Altitude  (metros): 175.74
Estação Operante
Inicio de operação: 01/08/1971
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82246;01/09/1971;0000;30.8;;24.62;80.5;2;
82246;01/09/1971;1200;;21.1;;;;
82246;02/09/1971;0000;30.5;;24.2;80.5;3.333333;
82246;02/09/1971;1200;;20.6;;;;
82246;03/09/1971;0000;30.6;;23.84;81.5;2.666667;
82246;03/09/1971;1200;;20.4;;;;
82246;04/09/1971;0000;31.6;;24.76;70.5;2.333333;
82246;04/09/1971;1200;;20.1;;;;
82246;05/09/1971;0000;31.6;;24.94;75.5;2.333333;
82246;05/09/1971;1200;;19.1;;;;
82246;06/09/1971;0000;31.4;;25.08;83.75;2.666667;
82246;06/09/1971;1200;;20.6;;;;
82246;07/09/1971;0000;30.6;;25.26;79.75;3.333333;
82246;07/09/1971;1200;;22.1;;;;
82246;08/09/1971;0000;31;;24.48;80.75;3.666667;
82246;08/09/1971;1200;;20.7;;;;
82246;09/09/1971;0000;31.5;;24.12;77;2;
82246;09/09/1971;1200;;20.1;;;;
82246;10/09/1971;0000;32;;23.7;70.75;1;
82246;10/09/1971;1200;;17.8;;;;
82246;11/09/1971;0000;32;;23.64;81.75;1.666667;
82246;11/09/1971;1200;;17.8;;;;
82246;12/09/1971;0000;31.2;;24.46;80.5;2;
82246;12/09/1971;1200;;20.8;;;;
82246;13/09/1971;0000;32;;24.72;79;3.333333;
82246;13/09/1971;1200;;20.6;;;;
82246;14/09/1971;0000;33.1;;25.16;80;1.666667;
82246;14/09/1971;1200;;20.1;;;;
82246;15/09/1971;0000;32.7;;25;78.25;2.666667;
82246;15/09/1971;1200;;20.1;;;;
82246;16/09/1971;0000;33;;25.4;82;2;
82246;16/09/1971;1200;;21.8;;;;
82246;17/09/1971;0000;35.6;;26.04;82;2.666667;
82246;17/09/1971;1200;;21.6;;;;
82246;18/09/1971;0000;31.2;;24.74;82.5;1;
82246;18/09/1971;1200;;21.3;;;;
82246;19/09/1971;0000;31.8;;25.78;75.25;2.666667;
82246;19/09/1971;1200;;22.3;;;;
82246;20/09/1971;0000;31.8;;25.36;80.75;2.666667;
82246;20/09/1971;1200;;22.7;;;;
82246;21/09/1971;0000;31.5;;24.68;76.75;2.333333;
82246;21/09/1971;1200;;21.1;;;;
82246;22/09/1971;0000;31.2;;24.5;78.25;3.333333;
82246;22/09/1971;1200;;20.5;;;;
82246;23/09/1971;0000;34.6;;25.98;78;2;
82246;23/09/1971;1200;;20.6;;;;
