--------------------
BDMEP - INMET
--------------------
Estação           : CAMETA - PA (OMM: 82263)
Latitude  (graus) : -2.25
Longitude (graus) : -49.5
Altitude  (metros): 23.90
Estação Operante
Inicio de operação: 01/05/1970
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82263;01/05/1970;0000;32;;26.06;94;0;
82263;01/05/1970;1200;;21.4;;;;
82263;02/05/1970;0000;31.8;;26.2;88;0;
82263;02/05/1970;1200;;23;;;;
82263;03/05/1970;0000;31.8;;26.82;91.25;0;
82263;03/05/1970;1200;;24;;;;
82263;04/05/1970;0000;31.3;;26.66;95.25;0.8;
82263;04/05/1970;1200;;24;;;;
82263;05/05/1970;0000;34.3;;27.58;93.5;1.466667;
82263;05/05/1970;1200;;23.8;;;;
82263;06/05/1970;0000;34.4;;27.24;91.75;1.6;
82263;06/05/1970;1200;;21.6;;;;
82263;07/05/1970;0000;34.5;;27.38;91.5;0;
82263;07/05/1970;1200;;22;;;;
82263;08/05/1970;0000;33.2;;27;91.25;2.266667;
82263;08/05/1970;1200;;21;;;;
82263;09/05/1970;0000;34.7;;26.62;90.75;0;
82263;09/05/1970;1200;;20.2;;;;
82263;10/05/1970;0000;33.9;;26.78;91.5;1.466667;
82263;10/05/1970;1200;;21.2;;;;
82263;11/05/1970;0000;34.6;;26.84;85.75;0.8;
82263;11/05/1970;1200;;21.4;;;;
82263;12/05/1970;0000;34.2;;26.72;88.75;2.266667;
82263;12/05/1970;1200;;20.2;;;;
82263;13/05/1970;0000;33.3;;25.98;84.5;0.8;
82263;13/05/1970;1200;;20;;;;
82263;14/05/1970;0000;32.6;;26.58;86.25;0.8;
82263;14/05/1970;1200;;19.5;;;;
82263;15/05/1970;0000;34.2;;26.42;81.75;1.6;
82263;15/05/1970;1200;;19.4;;;;
82263;16/05/1970;0000;33.8;;26.36;89;0.8;
82263;16/05/1970;1200;;20;;;;
82263;17/05/1970;0000;30.5;;24.62;91.75;0.8;
82263;17/05/1970;1200;;19.2;;;;
82263;18/05/1970;0000;32.6;;24.2;86;0.8;
82263;18/05/1970;1200;;18.2;;;;
82263;19/05/1970;0000;34;;26.68;82.75;0.8;
82263;19/05/1970;1200;;21.2;;;;
82263;20/05/1970;0000;34.8;;27.14;85.5;0.8;
82263;20/05/1970;1200;;20.2;;;;
82263;21/05/1970;0000;34.6;;26.54;83;1.1;
82263;21/05/1970;1200;;20.2;;;;
82263;22/05/1970;0000;34;;26.72;78.5;2.266667;
82263;22/05/1970;1200;;20.2;;;;
82263;23/05/1970;0000;32.8;;26.88;85.5;2.533333;
82263;23/05/1970;1200;;20.8;;;;
82263;24/05/1970;0000;32.4;;26.32;82.25;1.1;
82263;24/05/1970;1200;;21;;;;
82263;25/05/1970;0000;34.7;;26.38;81;0.8;
82263;25/05/1970;1200;;20.3;;;;
82263;26/05/1970;0000;34.8;;27.4;80.25;0.6;
82263;26/05/1970;1200;;19.9;;;;
82263;27/05/1970;0000;34.8;;26.66;80.5;1.1;
82263;27/05/1970;1200;;20.5;;;;
82263;28/05/1970;0000;34.8;;26.88;82;1.9;
82263;28/05/1970;1200;;21;;;;
82263;29/05/1970;0000;34.8;;26.38;87;1.4;
82263;29/05/1970;1200;;19.5;;;;
82263;30/05/1970;0000;34.5;;26.74;85.75;1.1;
82263;30/05/1970;1200;;20.3;;;;
82263;31/05/1970;0000;34.8;;26.1;78.75;1.1;
82263;31/05/1970;1200;;19.3;;;;
82263;01/06/1970;0000;34;;26.4;82.75;1.9;
82263;01/06/1970;1200;;20;;;;
82263;02/06/1970;0000;34.8;;26.12;83.5;0;
82263;02/06/1970;1200;;20;;;;
82263;03/06/1970;0000;34.8;;27.32;80.5;1.6;
82263;03/06/1970;1200;;22;;;;
82263;04/06/1970;0000;33.8;;26.44;83.5;1.6;
82263;04/06/1970;1200;;20.5;;;;
82263;05/06/1970;0000;34;;26.02;83;2.4;
82263;05/06/1970;1200;;20;;;;
82263;06/06/1970;0000;33.8;;26.16;78.5;3.066667;
82263;06/06/1970;1200;;20;;;;
82263;07/06/1970;0000;32;;25.84;88.25;0.8;
82263;07/06/1970;1200;;20.4;;;;
82263;08/06/1970;0000;33.9;;26.54;81.5;1.1;
82263;08/06/1970;1200;;20.8;;;;
82263;09/06/1970;0000;35.1;;26.12;83.25;1.1;
82263;09/06/1970;1200;;19.4;;;;
82263;10/06/1970;0000;34.3;;26.36;82.5;0.3;
82263;10/06/1970;1200;;20.8;;;;
82263;11/06/1970;0000;33.4;;26.68;84.25;1.6;
82263;11/06/1970;1200;;20.6;;;;
82263;12/06/1970;0000;33.6;;26.96;85.5;1.6;
82263;12/06/1970;1200;;20.6;;;;
82263;13/06/1970;0000;33.8;;25.48;84.5;1.6;
82263;13/06/1970;1200;;19;;;;
82263;14/06/1970;0000;33.8;;26.92;86.25;1.1;
82263;14/06/1970;1200;;21.6;;;;
82263;15/06/1970;0000;34;;26.74;84;1.6;
82263;15/06/1970;1200;;21.5;;;;
82263;16/06/1970;0000;33.8;;26.56;84.25;1.6;
82263;16/06/1970;1200;;21;;;;
82263;17/06/1970;0000;33.3;;25.62;82.5;1.9;
82263;17/06/1970;1200;;20.6;;;;
82263;18/06/1970;0000;34;;27.12;84.75;3.066667;
82263;18/06/1970;1200;;21;;;;
82263;19/06/1970;0000;34.3;;26.38;82.25;0;
82263;19/06/1970;1200;;20;;;;
82263;20/06/1970;0000;34.6;;26.86;80.75;1.6;
82263;20/06/1970;1200;;20.4;;;;
82263;21/06/1970;0000;34.2;;26.22;86.25;0.8;
82263;21/06/1970;1200;;20.1;;;;
82263;22/06/1970;0000;34.8;;26.96;81.5;0.8;
82263;22/06/1970;1200;;21;;;;
82263;23/06/1970;0000;34.8;;26.76;80;0.3;
82263;23/06/1970;1200;;20.4;;;;
82263;24/06/1970;0000;33.8;;27.1;85.25;1.6;
82263;24/06/1970;1200;;21.2;;;;
82263;25/06/1970;0000;33;;26.46;89.5;1.6;
82263;25/06/1970;1200;;21;;;;
82263;26/06/1970;0000;34.6;;26.34;85.75;0;
82263;26/06/1970;1200;;20;;;;
82263;27/06/1970;0000;33.8;;25;86;0.8;
82263;27/06/1970;1200;;19.6;;;;
82263;28/06/1970;0000;33.3;;25.9;84.75;0.8;
82263;28/06/1970;1200;;20;;;;
82263;29/06/1970;0000;34.8;;25.64;83;1.1;
82263;29/06/1970;1200;;19.8;;;;
82263;30/06/1970;0000;34;;26.18;81.75;1.6;
82263;30/06/1970;1200;;20.3;;;;
82263;01/07/1970;0000;33.8;;25.96;85;1.6;
82263;01/07/1970;1200;;20.2;;;;
82263;02/07/1970;0000;34.3;;26.02;84;0.8;
82263;02/07/1970;1200;;20;;;;
82263;03/07/1970;0000;33.8;;26.12;83.5;1.1;
82263;03/07/1970;1200;;19.4;;;;
82263;04/07/1970;0000;33.5;;25.22;87.25;1.6;
82263;04/07/1970;1200;;18.8;;;;
82263;05/07/1970;0000;33.4;;25.6;84.5;1.1;
82263;05/07/1970;1200;;20;;;;
82263;06/07/1970;0000;33.8;;26.32;84.5;2.4;
82263;06/07/1970;1200;;21;;;;
82263;07/07/1970;0000;33.5;;26.06;88.5;0.8;
82263;07/07/1970;1200;;21;;;;
82263;08/07/1970;0000;33.8;;26.32;85.5;1.766667;
82263;08/07/1970;1200;;20.4;;;;
82263;09/07/1970;0000;34.5;;26.18;85.75;0.3;
82263;09/07/1970;1200;;20;;;;
82263;10/07/1970;0000;33;;25.96;88;0.8;
82263;10/07/1970;1200;;20;;;;
82263;11/07/1970;0000;34;;25.28;88.5;1.1;
82263;11/07/1970;1200;;19.8;;;;
82263;12/07/1970;0000;33.7;;25.64;81.25;0.3;
82263;12/07/1970;1200;;19.3;;;;
82263;13/07/1970;0000;34;;25.68;86;0.6;
82263;13/07/1970;1200;;19.6;;;;
82263;14/07/1970;0000;32.8;;25.46;84.75;1.6;
82263;14/07/1970;1200;;18.6;;;;
82263;15/07/1970;0000;33;;26.36;84.5;1.9;
82263;15/07/1970;1200;;19.8;;;;
82263;16/07/1970;0000;34.5;;25.56;84.5;0.8;
82263;16/07/1970;1200;;19;;;;
82263;17/07/1970;0000;33.8;;26.26;83.75;1.1;
82263;17/07/1970;1200;;20;;;;
82263;18/07/1970;0000;33.8;;25.36;83.25;1.1;
82263;18/07/1970;1200;;17.8;;;;
82263;19/07/1970;0000;34;;25.26;83.25;1.1;
82263;19/07/1970;1200;;18.7;;;;
82263;20/07/1970;0000;33.8;;25.48;79.25;0.6;
82263;20/07/1970;1200;;18.7;;;;
82263;21/07/1970;0000;33;;25.86;84.5;1.6;
82263;21/07/1970;1200;;19.8;;;;
