--------------------
BDMEP - INMET
--------------------
Estação           : PARNAIBA - PI (OMM: 82287)
Latitude  (graus) : -3.08
Longitude (graus) : -41.76
Altitude  (metros): 79.50
Estação Operante
Inicio de operação: 16/11/1970
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82287;01/01/1971;0000;32.7;;28.08;73.5;10.5;
82287;01/01/1971;1200;;24.7;;;;
82287;02/01/1971;0000;32.9;;28.68;70.75;10.5;
82287;02/01/1971;1200;;25.1;;;;
82287;03/01/1971;0000;31.7;;28.16;67;10;
82287;03/01/1971;1200;;25.8;;;;
82287;04/01/1971;0000;31.6;;27.98;70.25;9.5;
82287;04/01/1971;1200;;26.7;;;;
82287;05/01/1971;0000;32.1;;27.96;68;8.666667;
82287;05/01/1971;1200;;24;;;;
82287;06/01/1971;0000;31.9;;27.82;70.75;8.333333;
82287;06/01/1971;1200;;24.3;;;;
82287;07/01/1971;0000;31.4;;27.66;73.5;8.666667;
82287;07/01/1971;1200;;25.2;;;;
82287;08/01/1971;0000;31.7;;27.64;71;6.666667;
82287;08/01/1971;1200;;23.2;;;;
82287;09/01/1971;0000;31.2;;25.1;81.75;7;
82287;09/01/1971;1200;;21.2;;;;
82287;10/01/1971;0000;29.3;;25.82;85.5;2.666667;
82287;10/01/1971;1200;;21.8;;;;
82287;11/01/1971;0000;29.8;;26.6;76.25;7.666667;
82287;11/01/1971;1200;;22.5;;;;
82287;12/01/1971;0000;30.8;;27.44;72.25;8.666667;
82287;12/01/1971;1200;;24.1;;;;
82287;13/01/1971;0000;31.1;;27.6;67.75;8.666667;
82287;13/01/1971;1200;;23.5;;;;
82287;14/01/1971;0000;29.3;;21.9;75.5;5;
82287;15/01/1971;0000;31.3;;27.52;69.25;10;
82287;15/01/1971;1200;;23.9;;;;
82287;16/01/1971;0000;30.1;;26.36;78.75;3.666667;
82287;16/01/1971;1200;;23.4;;;;
82287;17/01/1971;0000;30.7;;27.42;69.75;5.666667;
82287;17/01/1971;1200;;24.7;;;;
82287;18/01/1971;0000;31;;27.18;71.5;7.666667;
82287;18/01/1971;1200;;22.6;;;;
82287;19/01/1971;0000;30.9;;27.06;73.5;7;
82287;19/01/1971;1200;;23.4;;;;
82287;20/01/1971;0000;30.9;;27.24;76.25;6.666667;
82287;20/01/1971;1200;;23.1;;;;
82287;21/01/1971;0000;29.2;;24.36;87.75;4;
82287;21/01/1971;1200;;21.4;;;;
82287;22/01/1971;0000;30.1;;26.02;81.75;4.333333;
82287;22/01/1971;1200;;21.5;;;;
82287;23/01/1971;0000;28.8;;24.82;91.5;2;
82287;23/01/1971;1200;;23;;;;
82287;24/01/1971;0000;30.4;;26.84;78.75;7;
82287;24/01/1971;1200;;22.4;;;;
82287;25/01/1971;0000;30.7;;27.04;76.75;4.666667;
82287;25/01/1971;1200;;23.2;;;;
82287;26/01/1971;0000;29.1;;25.86;83.25;7;
82287;26/01/1971;1200;;23.8;;;;
82287;27/01/1971;0000;30.2;;26.94;73.25;7;
82287;27/01/1971;1200;;22.7;;;;
82287;28/01/1971;0000;32;;27.3;77.75;7.333333;
82287;28/01/1971;1200;;22.8;;;;
82287;29/01/1971;0000;29.6;;26.78;74.5;8;
82287;29/01/1971;1200;;23.4;;;;
82287;30/01/1971;0000;30;;27.04;74;7;
82287;30/01/1971;1200;;23.7;;;;
82287;31/01/1971;0000;30.5;;26.7;74.5;6.333333;
82287;31/01/1971;1200;;22.1;;;;
82287;01/02/1971;0000;30.7;;26.88;74.5;6;
82287;01/02/1971;1200;;21.7;;;;
82287;02/02/1971;0000;31;;27.22;74.75;6.333333;
82287;02/02/1971;1200;;23.1;;;;
82287;03/02/1971;0000;29;;26.2;77.75;8.333333;
82287;03/02/1971;1200;;21.7;;;;
82287;04/02/1971;0000;29.3;;25.52;88.25;4;
82287;04/02/1971;1200;;22.7;;;;
82287;05/02/1971;0000;28.9;;25.8;81.75;2.333333;
82287;05/02/1971;1200;;21.9;;;;
82287;06/02/1971;0000;30.1;;27.36;76;6.333333;
82287;06/02/1971;1200;;26.6;;;;
82287;07/02/1971;0000;30.3;;26.62;84.25;4;
82287;07/02/1971;1200;;24.9;;;;
82287;08/02/1971;0000;29.8;;25.96;84.5;4;
82287;08/02/1971;1200;;23.1;;;;
82287;09/02/1971;0000;29.6;;26.64;76;4.666667;
82287;09/02/1971;1200;;22.9;;;;
82287;10/02/1971;0000;29.9;;25.68;81.75;4.666667;
82287;10/02/1971;1200;;21.7;;;;
82287;11/02/1971;0000;30.3;;26.7;76.5;5.666667;
82287;11/02/1971;1200;;22.3;;;;
82287;12/02/1971;0000;31.1;;27.34;76.25;8.666667;
82287;12/02/1971;1200;;22.8;;;;
82287;13/02/1971;0000;31.1;;25.54;95.5;0.333333;
82287;13/02/1971;1200;;23.9;;;;
82287;14/02/1971;0000;28;;25.9;84.25;4;
82287;14/02/1971;1200;;22.8;;;;
82287;15/02/1971;0000;29.9;;26.18;83.5;2;
82287;15/02/1971;1200;;22.7;;;;
82287;16/02/1971;0000;30.3;;26.6;76.25;8;
82287;16/02/1971;1200;;21.9;;;;
82287;17/02/1971;0000;30;;26.42;73;7.666667;
82287;17/02/1971;1200;;22.1;;;;
82287;18/02/1971;0000;31;;27.12;73.25;7.666667;
82287;18/02/1971;1200;;22.6;;;;
82287;19/02/1971;0000;31.9;;25.86;80.5;3.333333;
82287;19/02/1971;1200;;22.8;;;;
82287;20/02/1971;0000;30.8;;27.12;81.5;4.333333;
82287;20/02/1971;1200;;22.8;;;;
82287;21/02/1971;0000;30.3;;27.02;77.75;6.666667;
82287;21/02/1971;1200;;23.2;;;;
82287;22/02/1971;0000;28.5;;24.24;91.75;2;
82287;22/02/1971;1200;;22.3;;;;
82287;23/02/1971;0000;28.6;;24.8;87;2.666667;
82287;23/02/1971;1200;;20.3;;;;
82287;24/02/1971;0000;30.1;;26.48;74.25;5;
82287;24/02/1971;1200;;21.5;;;;
82287;25/02/1971;0000;30.3;;25.22;86;4.666667;
82287;25/02/1971;1200;;20.9;;;;
82287;26/02/1971;0000;28.7;;24.56;93.75;1;
82287;26/02/1971;1200;;22.2;;;;
82287;27/02/1971;0000;28.3;;24.4;92.25;0;
82287;27/02/1971;1200;;20.9;;;;
82287;28/02/1971;0000;29.3;;24.42;90.5;3;
82287;28/02/1971;1200;;21.1;;;;
82287;01/03/1971;0000;27.7;;24.36;92.75;1;
82287;01/03/1971;1200;;21.5;;;;
82287;02/03/1971;0000;29.9;;24.7;87;2;
82287;02/03/1971;1200;;21.7;;;;
82287;03/03/1971;0000;29.3;;26.18;88.25;2.333333;
82287;03/03/1971;1200;;24.3;;;;
82287;04/03/1971;0000;28.3;;25.18;91.25;3.333333;
82287;04/03/1971;1200;;22.9;;;;
82287;05/03/1971;0000;30.1;;25.52;84;5;
82287;05/03/1971;1200;;22.8;;;;
82287;06/03/1971;0000;30.5;;26.78;78.25;6;
82287;06/03/1971;1200;;22.3;;;;
82287;07/03/1971;0000;29.8;;26.74;79.75;5.333333;
82287;07/03/1971;1200;;22.8;;;;
82287;08/03/1971;0000;30.7;;27.2;74.75;5.666667;
82287;08/03/1971;1200;;23.5;;;;
82287;09/03/1971;0000;30.7;;26.88;74.25;6.333333;
82287;09/03/1971;1200;;21.6;;;;
82287;10/03/1971;0000;29.6;;26.36;84;5.333333;
82287;10/03/1971;1200;;24.7;;;;
82287;11/03/1971;0000;30.9;;26.34;84.75;3.333333;
82287;11/03/1971;1200;;22.8;;;;
82287;12/03/1971;0000;31.1;;26.38;83.25;4.666667;
82287;12/03/1971;1200;;23.5;;;;
82287;13/03/1971;0000;31.2;;27.5;78;6;
82287;13/03/1971;1200;;23.3;;;;
82287;14/03/1971;0000;32.5;;26.8;83.25;5.333333;
82287;14/03/1971;1200;;24;;;;
82287;15/03/1971;0000;31.3;;27.38;77.75;7;
82287;15/03/1971;1200;;22.9;;;;
82287;16/03/1971;0000;30.8;;26.84;83.5;3.333333;
82287;16/03/1971;1200;;24.5;;;;
82287;17/03/1971;0000;28.7;;25.46;90.75;4;
82287;17/03/1971;1200;;23.7;;;;
82287;18/03/1971;0000;29.3;;25.88;89.25;4;
82287;18/03/1971;1200;;23.1;;;;
82287;19/03/1971;0000;28.3;;25.2;87.25;3.333333;
82287;19/03/1971;1200;;23;;;;
82287;20/03/1971;0000;28.5;;24.46;88.5;3.333333;
82287;20/03/1971;1200;;22;;;;
82287;21/03/1971;0000;29.6;;25.84;83.25;2.333333;
82287;21/03/1971;1200;;22.8;;;;
82287;22/03/1971;0000;28;;25.2;91;1;
82287;22/03/1971;1200;;22.3;;;;
82287;23/03/1971;0000;28.5;;24.22;88.5;5;
82287;23/03/1971;1200;;21.4;;;;
82287;24/03/1971;0000;29.7;;25.72;88;1.666667;
82287;24/03/1971;1200;;22.6;;;;
82287;25/03/1971;0000;30.5;;26.38;85.25;4.333333;
82287;25/03/1971;1200;;22.7;;;;
82287;26/03/1971;0000;29.9;;25.88;93.25;1;
82287;26/03/1971;1200;;24;;;;
82287;27/03/1971;0000;29.4;;25.52;86.5;2.666667;
82287;27/03/1971;1200;;23.5;;;;
82287;28/03/1971;0000;29;;25;86.75;1.666667;
82287;28/03/1971;1200;;22.7;;;;
82287;29/03/1971;0000;29.2;;25.76;90;3.333333;
82287;29/03/1971;1200;;23.9;;;;
82287;30/03/1971;0000;29.5;;26.1;86.5;1.666667;
82287;30/03/1971;1200;;23.2;;;;
82287;31/03/1971;0000;29.3;;25.46;88.75;4;
82287;31/03/1971;1200;;22;;;;
82287;01/04/1971;0000;28.3;;24.24;92;3;
82287;01/04/1971;1200;;22.3;;;;
