--------------------
BDMEP - INMET
--------------------
Estação           : LUZILANDIA LAG DO PIAUI  - PI (OMM: 82296)
Latitude  (graus) : -3.41
Longitude (graus) : -42.28
Altitude  (metros): 49.00
Estação Operante
Inicio de operação: 18/05/1972
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82296;01/01/1979;0000;35.2;;27.94;71.5;2.666667;
82296;01/01/1979;1200;;23.7;;;;
82296;02/01/1979;0000;35;;28.36;71;1.333333;
82296;02/01/1979;1200;;25.2;;;;
82296;03/01/1979;0000;35.8;;27.92;71;3;
82296;03/01/1979;1200;;23.4;;;;
82296;04/01/1979;0000;35.3;;28.62;68.75;2.666667;
82296;04/01/1979;1200;;25;;;;
82296;05/01/1979;0000;34.8;;27.44;75.25;2;
82296;05/01/1979;1200;;24.1;;;;
82296;06/01/1979;0000;33.9;;27.18;78.75;2.333333;
82296;06/01/1979;1200;;25;;;;
82296;07/01/1979;0000;33.1;;27.12;77;2.666667;
82296;07/01/1979;1200;;24.7;;;;
82296;08/01/1979;0000;35.3;;28.12;77.75;3.333333;
82296;08/01/1979;1200;;25.1;;;;
82296;09/01/1979;0000;34.8;;28.3;73;5;
82296;09/01/1979;1200;;25;;;;
82296;10/01/1979;0000;35;;28.08;74.25;4;
82296;10/01/1979;1200;;24;;;;
82296;11/01/1979;0000;34;;27.5;68.75;3;
82296;11/01/1979;1200;;22.4;;;;
82296;12/01/1979;0000;33;;27.54;73.5;3.666667;
82296;12/01/1979;1200;;24.4;;;;
82296;13/01/1979;0000;33.6;;27.6;81.25;1;
82296;13/01/1979;1200;;25.6;;;;
82296;14/01/1979;0000;32.1;;27.16;78.5;4.333333;
