--------------------
BDMEP - INMET
--------------------
Estação           : ESPERANTINA - PI (OMM: 82298)
Latitude  (graus) : -3.9
Longitude (graus) : -42.25
Altitude  (metros): 87.05
Estação Operante
Inicio de operação: 17/03/1974
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82298;01/01/1979;0000;31;;26.44;78.5;1.333333;
82298;01/01/1979;1200;;20;;;;
82298;02/01/1979;0000;32.5;;27.18;80;1;
82298;02/01/1979;1200;;23.6;;;;
82298;03/01/1979;0000;35;;27.4;79.75;0.666667;
82298;03/01/1979;1200;;20;;;;
82298;04/01/1979;0000;34.5;;26.86;81;1.666667;
82298;04/01/1979;1200;;22;;;;
82298;06/01/1979;0000;31.5;;26.56;82;0.666667;
82298;06/01/1979;1200;;22.5;;;;
82298;07/01/1979;0000;31.5;;26.3;81;0.666667;
82298;07/01/1979;1200;;21;;;;
82298;08/01/1979;0000;33.5;;27.24;81;1;
82298;08/01/1979;1200;;22.5;;;;
82298;09/01/1979;0000;34;;27.5;76;1;
82298;09/01/1979;1200;;21.5;;;;
82298;10/01/1979;0000;35.5;;27.7;78.25;1.666667;
82298;10/01/1979;1200;;21;;;;
82298;11/01/1979;0000;35;;28.3;82;1.333333;
82298;11/01/1979;1200;;24.5;;;;
82298;12/01/1979;0000;35.5;;27.78;84.75;0.666667;
82298;12/01/1979;1200;;23.6;;;;
82298;13/01/1979;0000;34.5;;27.44;81.75;0.666667;
82298;13/01/1979;1200;;22.5;;;;
82298;14/01/1979;0000;33.5;;28.1;83;0.666667;
82298;14/01/1979;1200;;24;;;;
82298;15/01/1979;0000;32;;26.32;82.5;0.666667;
82298;15/01/1979;1200;;22.4;;;;
82298;16/01/1979;0000;28.5;;24.92;89;0.666667;
82298;16/01/1979;1200;;22.5;;;;
82298;17/01/1979;0000;28.8;;24.86;85;0.666667;
82298;17/01/1979;1200;;21.5;;;;
82298;18/01/1979;0000;29.5;;24.92;93;1;
82298;18/01/1979;1200;;21.5;;;;
82298;19/01/1979;0000;32.5;;25.78;89;1.333333;
82298;19/01/1979;1200;;23;;;;
82298;20/01/1979;0000;33;;26.76;85.25;0.666667;
82298;20/01/1979;1200;;21.5;;;;
82298;21/01/1979;0000;33;;26.94;84;0.666667;
82298;21/01/1979;1200;;21.5;;;;
82298;22/01/1979;0000;32;;26.96;88.25;1.666667;
82298;22/01/1979;1200;;25;;;;
82298;23/01/1979;0000;32;;25.28;92.25;0.666667;
82298;23/01/1979;1200;;19;;;;
82298;24/01/1979;0000;31.5;;26.6;87.75;0.666667;
82298;24/01/1979;1200;;23.5;;;;
