--------------------
BDMEP - INMET
--------------------
Estação           : TEFE - AM (OMM: 82317)
Latitude  (graus) : -3.83
Longitude (graus) : -64.7
Altitude  (metros): 47.00
Estação Operante
Inicio de operação: 04/01/1929
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82317;01/09/1969;0000;28.8;;26.68;86.75;;
82317;01/09/1969;1200;;24.2;;;;
82317;02/09/1969;0000;28.8;;27.1;86.5;;
82317;02/09/1969;1200;;24.9;;;;
82317;03/09/1969;0000;30;;27.42;81.75;;
82317;03/09/1969;1200;;25.7;;;;
82317;04/09/1969;0000;31;;28.34;78.5;;
82317;04/09/1969;1200;;26.1;;;;
82317;05/09/1969;0000;31.6;;28.86;77.75;;
82317;05/09/1969;1200;;26.9;;;;
82317;06/09/1969;0000;31.6;;29.04;77.25;;
82317;06/09/1969;1200;;27.4;;;;
82317;07/09/1969;0000;31.6;;29.28;77.5;;
82317;07/09/1969;1200;;27.6;;;;
82317;08/09/1969;0000;32.4;;29.22;72.75;;
82317;08/09/1969;1200;;26.9;;;;
82317;09/09/1969;0000;32.4;;27.92;82;;
82317;09/09/1969;1200;;25.2;;;;
82317;10/09/1969;0000;29.2;;27.62;85.25;;
82317;10/09/1969;1200;;25.5;;;;
82317;11/09/1969;0000;31.4;;29.06;83.25;;
82317;11/09/1969;1200;;26.3;;;;
82317;12/09/1969;0000;31;;28.24;81.75;;
82317;12/09/1969;1200;;26.2;;;;
82317;13/09/1969;0000;30.4;;28.72;81.5;;
82317;13/09/1969;1200;;26.6;;;;
82317;14/09/1969;0000;31.6;;29.26;76.5;;
82317;14/09/1969;1200;;26.7;;;;
82317;15/09/1969;0000;32.2;;28.86;72.75;;
82317;15/09/1969;1200;;26.7;;;;
82317;16/09/1969;0000;31.2;;28.62;75;;
82317;16/09/1969;1200;;26.9;;;;
82317;17/09/1969;0000;30.6;;28.74;82;;
82317;17/09/1969;1200;;26.9;;;;
82317;18/09/1969;0000;31.6;;29.12;79.75;;
82317;18/09/1969;1200;;27.6;;;;
82317;19/09/1969;0000;29.6;;27.14;85.25;;
82317;19/09/1969;1200;;24.9;;;;
82317;20/09/1969;0000;29.8;;26.74;84;;
82317;20/09/1969;1200;;24.9;;;;
82317;21/09/1969;0000;29.8;;26.9;87.25;;
82317;21/09/1969;1200;;25.3;;;;
82317;22/09/1969;0000;29;;27.16;84.5;;
82317;22/09/1969;1200;;25.4;;;;
82317;23/09/1969;0000;31.2;;28.38;83;;
82317;23/09/1969;1200;;24.9;;;;
82317;24/09/1969;0000;32.9;;27.5;86.5;;
82317;24/09/1969;1200;;23.2;;;;
82317;25/09/1969;0000;32;;27.06;88.75;;
82317;25/09/1969;1200;;24.3;;;;
82317;26/09/1969;0000;29.6;;27.06;84.25;;
82317;26/09/1969;1200;;25.4;;;;
82317;27/09/1969;0000;32.8;;26.66;81.25;;
82317;27/09/1969;1200;;22.9;;;;
82317;28/09/1969;0000;34.6;;28.28;89;;
82317;28/09/1969;1200;;25.6;;;;
82317;29/09/1969;0000;34.6;;29.1;82.5;;
82317;29/09/1969;1200;;24.7;;;;
82317;30/09/1969;0000;33.4;;28.3;86.25;;
82317;30/09/1969;1200;;23.9;;;;
82317;01/02/1970;0000;31;;27.5;78.25;;
82317;01/02/1970;1200;;23.9;;;;
82317;02/02/1970;0000;29.8;;26.56;85.75;;
82317;02/02/1970;1200;;24;;;;
82317;03/02/1970;0000;30.2;;26.48;86.5;;
82317;03/02/1970;1200;;23.4;;;;
82317;04/02/1970;0000;29;;24.74;86.75;;
82317;04/02/1970;1200;;21.7;;;;
82317;05/02/1970;0000;;;;81.75;;
82317;05/02/1970;1200;;21.6;;;;
82317;06/02/1970;0000;32;;26.18;87.75;;
82317;06/02/1970;1200;;22.7;;;;
82317;07/02/1970;0000;31.8;;26.06;84.75;;
82317;07/02/1970;1200;;22.7;;;;
82317;08/02/1970;0000;30.2;;25.64;90.75;;
82317;08/02/1970;1200;;23.2;;;;
82317;09/02/1970;0000;30.4;;25.48;90.5;;
82317;09/02/1970;1200;;23.2;;;;
82317;10/02/1970;0000;32;;26.02;87.75;;
82317;10/02/1970;1200;;22.7;;;;
82317;11/02/1970;0000;30.2;;24.72;95;;
82317;11/02/1970;1200;;21.8;;;;
82317;12/02/1970;0000;;;;83.75;;
82317;12/02/1970;1200;;21.1;;;;
82317;13/02/1970;0000;33.2;;27.32;79;;
82317;13/02/1970;1200;;22.4;;;;
82317;14/02/1970;0000;31.4;;26.58;88.25;;
82317;14/02/1970;1200;;23.9;;;;
82317;15/02/1970;0000;32.4;;26.54;89;;
82317;15/02/1970;1200;;23.7;;;;
82317;16/02/1970;0000;31.4;;26.42;90.75;;
82317;16/02/1970;1200;;23.9;;;;
82317;17/02/1970;0000;32.2;;26.02;91.5;;
82317;17/02/1970;1200;;24.3;;;;
82317;18/02/1970;0000;31.6;;26.78;87.25;;
82317;18/02/1970;1200;;23.7;;;;
82317;19/02/1970;0000;33.4;;27.42;85.5;;
82317;19/02/1970;1200;;24.1;;;;
82317;20/02/1970;0000;30.2;;25.14;89;;
82317;20/02/1970;1200;;23.1;;;;
82317;21/02/1970;0000;32.2;;27.04;82.5;;
82317;21/02/1970;1200;;22.6;;;;
82317;22/02/1970;0000;32;;26.54;90;;
82317;22/02/1970;1200;;24.5;;;;
82317;23/02/1970;0000;30.4;;25.54;91;;
82317;23/02/1970;1200;;23.5;;;;
82317;24/02/1970;0000;30.2;;25.88;89.25;;
82317;24/02/1970;1200;;23.2;;;;
82317;25/02/1970;0000;28.8;;25.08;92.5;;
82317;25/02/1970;1200;;23.4;;;;
82317;26/02/1970;0000;31.2;;26.38;87.75;;
82317;26/02/1970;1200;;23.7;;;;
82317;27/02/1970;0000;32;;27.22;87.25;;
82317;27/02/1970;1200;;23.5;;;;
82317;28/02/1970;0000;33.8;;27.26;82.75;;
82317;28/02/1970;1200;;24.7;;;;
82317;01/03/1970;0000;32.2;;26.02;88.5;;
82317;01/03/1970;1200;;23.9;;;;
82317;02/03/1970;0000;28.8;;25.52;92;;
82317;02/03/1970;1200;;22.6;;;;
82317;03/03/1970;0000;31.8;;26.86;84.5;;
82317;03/03/1970;1200;;22.7;;;;
82317;04/03/1970;0000;29.8;;26.16;86.75;;
82317;04/03/1970;1200;;24.2;;;;
82317;05/03/1970;0000;32;;26.1;87.25;;
82317;05/03/1970;1200;;23.7;;;;
82317;06/03/1970;0000;31.2;;24.88;90.5;;
82317;06/03/1970;1200;;22.8;;;;
82317;07/03/1970;0000;32.4;;25.38;89;;
82317;07/03/1970;1200;;22.5;;;;
82317;08/03/1970;0000;31.2;;26;83.25;;
82317;08/03/1970;1200;;22;;;;
82317;09/03/1970;0000;31.2;;25.74;86.75;;
82317;09/03/1970;1200;;23.3;;;;
82317;10/03/1970;0000;33;;26.92;87.5;;
82317;10/03/1970;1200;;23.6;;;;
82317;11/03/1970;0000;29.6;;26.04;93;;
82317;11/03/1970;1200;;24.6;;;;
82317;12/03/1970;0000;30;;25.72;90.25;;
82317;12/03/1970;1200;;22.8;;;;
82317;13/03/1970;0000;30.2;;25.28;90.5;;
82317;13/03/1970;1200;;22.8;;;;
82317;14/03/1970;0000;32.4;;26.1;86.75;;
82317;14/03/1970;1200;;23.1;;;;
82317;15/03/1970;0000;31.6;;27;81.75;;
82317;15/03/1970;1200;;22.8;;;;
82317;16/03/1970;0000;31.2;;26.68;86.75;;
82317;16/03/1970;1200;;23.8;;;;
82317;17/03/1970;0000;33.6;;26.36;87.75;;
82317;17/03/1970;1200;;22.4;;;;
82317;18/03/1970;0000;30.4;;25.4;91;;
82317;18/03/1970;1200;;23.2;;;;
82317;19/03/1970;0000;30.6;;25.82;88.5;;
82317;19/03/1970;1200;;22.3;;;;
82317;20/03/1970;0000;30.8;;26.32;84.75;;
82317;20/03/1970;1200;;22.8;;;;
82317;21/03/1970;0000;31.2;;27.02;81;;
82317;21/03/1970;1200;;24.3;;;;
82317;22/03/1970;0000;32.4;;26.06;91.25;;
82317;22/03/1970;1200;;23.5;;;;
82317;23/03/1970;0000;32.2;;26.88;84.75;;
82317;23/03/1970;1200;;23.4;;;;
82317;24/03/1970;0000;32.8;;25.32;90.75;;
82317;24/03/1970;1200;;23;;;;
82317;25/03/1970;0000;27;;24.48;95;;
82317;25/03/1970;1200;;22.4;;;;
82317;26/03/1970;0000;31;;25.98;92.25;;
82317;26/03/1970;1200;;22.9;;;;
82317;27/03/1970;0000;30.6;;26.1;91;;
82317;27/03/1970;1200;;23.7;;;;
82317;28/03/1970;0000;27.4;;24.62;93.75;;
82317;28/03/1970;1200;;23.1;;;;
82317;29/03/1970;0000;32.2;;26.06;86.25;;
82317;29/03/1970;1200;;23.1;;;;
82317;30/03/1970;0000;32.8;;27.24;85.75;;
82317;30/03/1970;1200;;23.6;;;;
82317;31/03/1970;0000;31;;25.5;88;;
82317;31/03/1970;1200;;22.9;;;;
82317;01/04/1970;0000;28.2;;25.34;91.25;;
82317;01/04/1970;1200;;22.9;;;;
