--------------------
BDMEP - INMET
--------------------
Estação           : CODAJAS - AM (OMM: 82326)
Latitude  (graus) : -3.83
Longitude (graus) : -62.08
Altitude  (metros): 48.00
Estação Operante
Inicio de operação: 19/08/1974
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82326;01/09/1976;0000;35.2;;26.88;79.25;0.666667;
82326;01/09/1976;1200;;19.1;;;;
82326;02/09/1976;0000;35.6;;28.68;72.75;1.333333;
82326;02/09/1976;1200;;21.3;;;;
82326;03/09/1976;0000;34.7;;27.28;84.5;1;
82326;03/09/1976;1200;;22.6;;;;
82326;04/09/1976;0000;31.7;;25.72;87;1;
82326;04/09/1976;1200;;20.1;;;;
82326;05/09/1976;0000;33.5;;27.12;82;1;
82326;05/09/1976;1200;;21;;;;
82326;06/09/1976;0000;32.8;;26.3;81;2.333333;
82326;06/09/1976;1200;;20.3;;;;
82326;07/09/1976;0000;30;;26.22;84.25;1.666667;
82326;07/09/1976;1200;;23.4;;;;
82326;08/09/1976;0000;31.8;;26.18;88.25;0.666667;
82326;08/09/1976;1200;;21.7;;;;
82326;09/09/1976;0000;32.7;;27.18;83.25;1;
82326;09/09/1976;1200;;22.2;;;;
82326;10/09/1976;0000;33;;26.32;82.5;1.666667;
82326;10/09/1976;1200;;22.7;;;;
82326;11/09/1976;0000;35.1;;27.38;87.75;1;
82326;11/09/1976;1200;;22.1;;;;
82326;12/09/1976;0000;35;;26.76;78.5;1;
82326;12/09/1976;1200;;19.7;;;;
82326;13/09/1976;0000;35.8;;26.84;79.75;1.666667;
82326;13/09/1976;1200;;19.9;;;;
82326;14/09/1976;0000;34.5;;27;79.25;1;
82326;14/09/1976;1200;;20.8;;;;
82326;15/09/1976;0000;36.1;;27.6;75.75;1.333333;
82326;15/09/1976;1200;;19.9;;;;
82326;16/09/1976;0000;35.9;;28.02;77.25;1.666667;
82326;16/09/1976;1200;;21.2;;;;
82326;17/09/1976;0000;35.9;;26.54;80.5;1;
82326;17/09/1976;1200;;21.5;;;;
82326;18/09/1976;0000;32.8;;26.14;83.75;1;
82326;18/09/1976;1200;;19.5;;;;
82326;19/09/1976;0000;33.9;;26.26;80.5;1.666667;
82326;19/09/1976;1200;;21.7;;;;
82326;20/09/1976;0000;33.3;;26.72;83.25;1;
82326;20/09/1976;1200;;20.1;;;;
82326;21/09/1976;0000;36;;27.88;72.25;2;
82326;21/09/1976;1200;;19.6;;;;
82326;22/09/1976;0000;32.9;;26.52;79.75;1.666667;
82326;22/09/1976;1200;;19.2;;;;
