--------------------
BDMEP - INMET
--------------------
Estação           : MANAUS - AM (OMM: 82331)
Latitude  (graus) : -3.1
Longitude (graus) : -60.01
Altitude  (metros): 61.25
Estação Operante
Inicio de operação: 01/01/1910
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82331;01/01/1961;0000;31.4;;25.66;89;1.666667;
82331;01/01/1961;1200;;23.1;;;;
82331;02/01/1961;0000;31.7;;26.4;84.75;1.666667;
82331;02/01/1961;1200;;22;;;;
82331;03/01/1961;0000;33;;26.78;83;1;
82331;03/01/1961;1200;;22.1;;;;
82331;04/01/1961;0000;32.7;;27.36;79.75;1;
82331;04/01/1961;1200;;22.1;;;;
82331;05/01/1961;0000;32.8;;26.24;83.5;1.666667;
82331;05/01/1961;1200;;24;;;;
82331;06/01/1961;0000;32.1;;26.7;89.5;1.666667;
82331;06/01/1961;1200;;22;;;;
82331;07/01/1961;0000;32.5;;26.66;85.5;2.333333;
82331;07/01/1961;1200;;22.5;;;;
82331;08/01/1961;0000;30.5;;26.26;92;1.666667;
82331;08/01/1961;1200;;23.6;;;;
82331;09/01/1961;0000;28.6;;26.34;89.25;2.333333;
82331;09/01/1961;1200;;23.6;;;;
82331;10/01/1961;0000;27;;24.38;97;1;
82331;10/01/1961;1200;;22.9;;;;
82331;11/01/1961;0000;26.5;;23.92;97.25;1.666667;
82331;11/01/1961;1200;;22.1;;;;
82331;12/01/1961;0000;29.5;;25.14;96.75;1;
82331;12/01/1961;1200;;21.5;;;;
82331;13/01/1961;0000;26.5;;24.42;95.5;1;
82331;13/01/1961;1200;;22.1;;;;
82331;14/01/1961;0000;28.8;;24.8;90;3;
82331;14/01/1961;1200;;22.1;;;;
82331;15/01/1961;0000;31.3;;25.32;87.5;2.333333;
82331;15/01/1961;1200;;22.5;;;;
82331;16/01/1961;0000;31.4;;26.46;85.25;2.333333;
82331;16/01/1961;1200;;22.5;;;;
82331;17/01/1961;0000;30.4;;25.54;92;1.666667;
82331;17/01/1961;1200;;23.8;;;;
82331;18/01/1961;0000;28.7;;24.92;92;3;
82331;18/01/1961;1200;;23.2;;;;
82331;19/01/1961;0000;30.3;;25.64;88.75;1.666667;
82331;19/01/1961;1200;;21.8;;;;
82331;20/01/1961;0000;30.7;;26.62;90.5;1;
82331;20/01/1961;1200;;23;;;;
82331;21/01/1961;0000;28.8;;25.54;88.75;2.333333;
82331;21/01/1961;1200;;22.7;;;;
82331;22/01/1961;0000;30.9;;25.86;87.75;1.666667;
82331;22/01/1961;1200;;23.2;;;;
82331;23/01/1961;0000;30.5;;26.18;90.5;1.666667;
82331;23/01/1961;1200;;23.2;;;;
82331;24/01/1961;0000;31.7;;27.04;80.25;1.666667;
82331;24/01/1961;1200;;23.1;;;;
82331;25/01/1961;0000;33.3;;27.12;83.5;1.666667;
82331;25/01/1961;1200;;22.7;;;;
82331;26/01/1961;0000;33.7;;27.2;81.25;1.666667;
82331;26/01/1961;1200;;21.9;;;;
82331;27/01/1961;0000;32.7;;27.74;84.5;1.666667;
82331;27/01/1961;1200;;23.4;;;;
82331;28/01/1961;0000;28.3;;24.68;95.75;1;
82331;28/01/1961;1200;;22.9;;;;
82331;29/01/1961;0000;32.3;;27.36;85.5;1;
82331;29/01/1961;1200;;22.7;;;;
82331;30/01/1961;0000;29.8;;26;90.75;1;
82331;30/01/1961;1200;;22.4;;;;
82331;31/01/1961;0000;27.6;;24.6;91;1.666667;
82331;31/01/1961;1200;;22.8;;;;
82331;01/02/1961;0000;31;;26.06;86.5;1;
82331;01/02/1961;1200;;22.7;;;;
82331;02/02/1961;0000;27.2;;23.96;96.75;1.666667;
82331;02/02/1961;1200;;21.7;;;;
82331;03/02/1961;0000;29.6;;25.56;84.25;1.666667;
82331;03/02/1961;1200;;21.4;;;;
82331;04/02/1961;0000;27;;23.56;96.25;1;
82331;04/02/1961;1200;;21.1;;;;
82331;05/02/1961;0000;27.4;;23.46;93;1;
82331;05/02/1961;1200;;21.1;;;;
82331;06/02/1961;0000;30.7;;25.14;87;2.333333;
82331;06/02/1961;1200;;19.6;;;;
82331;07/02/1961;0000;32.8;;27.18;80;2.333333;
82331;07/02/1961;1200;;22.2;;;;
82331;08/02/1961;0000;31;;25.72;95.25;1.666667;
82331;08/02/1961;1200;;22.9;;;;
82331;09/02/1961;0000;29.1;;25.12;91;2.333333;
82331;09/02/1961;1200;;23.3;;;;
82331;10/02/1961;0000;25.7;;23.04;95;1;
82331;10/02/1961;1200;;20.8;;;;
82331;11/02/1961;0000;30.6;;24.34;90.5;1.666667;
82331;11/02/1961;1200;;21.4;;;;
82331;12/02/1961;0000;31;;25.08;90.75;1.666667;
82331;12/02/1961;1200;;22.9;;;;
82331;13/02/1961;0000;32.2;;26.2;78.5;1;
82331;13/02/1961;1200;;21;;;;
82331;14/02/1961;0000;32.4;;26.36;82.25;1;
82331;14/02/1961;1200;;20.9;;;;
82331;15/02/1961;0000;32.5;;26.44;77.75;1.666667;
82331;15/02/1961;1200;;22.3;;;;
82331;16/02/1961;0000;31.6;;26.42;83.5;1.666667;
82331;16/02/1961;1200;;22.8;;;;
82331;17/02/1961;0000;30.4;;25.34;89.75;4.666667;
82331;17/02/1961;1200;;22.1;;;;
82331;18/02/1961;0000;30.8;;25.82;85.5;1;
82331;18/02/1961;1200;;22.7;;;;
82331;19/02/1961;0000;31.2;;26.76;83;1.666667;
82331;19/02/1961;1200;;23.4;;;;
82331;20/02/1961;0000;30.7;;25.76;86;2.333333;
82331;20/02/1961;1200;;23.3;;;;
82331;21/02/1961;0000;29.8;;25.92;83.75;1.666667;
82331;21/02/1961;1200;;23.1;;;;
82331;22/02/1961;0000;31.4;;25.2;88;1.666667;
82331;22/02/1961;1200;;21.8;;;;
82331;23/02/1961;0000;26.6;;24.62;94.5;1;
82331;23/02/1961;1200;;22.7;;;;
82331;24/02/1961;0000;25.4;;23.78;95.5;1.666667;
82331;24/02/1961;1200;;22.1;;;;
82331;25/02/1961;0000;27.4;;24.06;96;1;
82331;25/02/1961;1200;;21.9;;;;
82331;26/02/1961;0000;31.7;;25.48;89.25;1.666667;
82331;26/02/1961;1200;;21.1;;;;
82331;27/02/1961;0000;31.1;;25.48;91.75;1.666667;
82331;27/02/1961;1200;;22.9;;;;
82331;28/02/1961;0000;32;;25.44;89;2.333333;
82331;28/02/1961;1200;;22.6;;;;
82331;01/03/1961;0000;30.2;;25.12;89.75;2.333333;
82331;01/03/1961;1200;;22.5;;;;
82331;02/03/1961;0000;30.5;;25.22;89;2.333333;
82331;02/03/1961;1200;;22.3;;;;
82331;03/03/1961;0000;29.2;;25.6;91;3;
82331;03/03/1961;1200;;22.4;;;;
82331;04/03/1961;0000;30;;25.94;90.25;1;
82331;04/03/1961;1200;;23.1;;;;
82331;05/03/1961;0000;30.6;;26.88;90.5;1.666667;
82331;05/03/1961;1200;;23.3;;;;
82331;06/03/1961;0000;31.5;;26.64;90.5;1.666667;
82331;06/03/1961;1200;;23.2;;;;
82331;07/03/1961;0000;31.7;;26.54;90.25;1;
82331;07/03/1961;1200;;23.4;;;;
82331;08/03/1961;0000;30;;25.64;90.5;1;
82331;08/03/1961;1200;;22.8;;;;
82331;09/03/1961;0000;31.6;;26.5;88.75;1.666667;
82331;09/03/1961;1200;;23.2;;;;
82331;10/03/1961;0000;32;;26.32;86.5;3;
82331;10/03/1961;1200;;23.5;;;;
82331;11/03/1961;0000;31.2;;26.34;89;1.666667;
82331;11/03/1961;1200;;22.9;;;;
82331;12/03/1961;0000;28.4;;25.34;90.25;1;
82331;12/03/1961;1200;;22.5;;;;
82331;13/03/1961;0000;31.6;;26.56;82;1.666667;
82331;13/03/1961;1200;;23.4;;;;
82331;14/03/1961;0000;32.8;;27.3;82;1.666667;
82331;14/03/1961;1200;;22.5;;;;
82331;15/03/1961;0000;33.3;;27.34;84;1;
82331;15/03/1961;1200;;23.6;;;;
82331;16/03/1961;0000;31.4;;26.34;91.25;1;
82331;16/03/1961;1200;;23.4;;;;
82331;17/03/1961;0000;32.4;;27.42;88;1.666667;
82331;17/03/1961;1200;;24.2;;;;
82331;18/03/1961;0000;32.3;;26.84;85.25;1;
82331;18/03/1961;1200;;23.5;;;;
82331;19/03/1961;0000;31.4;;26.12;91.25;1.666667;
82331;19/03/1961;1200;;23.7;;;;
82331;20/03/1961;0000;29.7;;25.12;89.75;2.333333;
82331;20/03/1961;1200;;22.7;;;;
82331;21/03/1961;0000;32;;26.08;88.5;1;
82331;21/03/1961;1200;;22.3;;;;
82331;22/03/1961;0000;29.3;;25.58;89.25;2.333333;
82331;22/03/1961;1200;;22.6;;;;
82331;23/03/1961;0000;31.4;;25.7;88.5;2.333333;
82331;23/03/1961;1200;;21.7;;;;
