--------------------
BDMEP - INMET
--------------------
Estação           : ITACOATIARA - AM (OMM: 82336)
Latitude  (graus) : -3.13
Longitude (graus) : -58.43
Altitude  (metros): 40.00
Estação Operante
Inicio de operação: 01/01/1927
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82336;01/01/1961;0000;;;;;1;
82336;02/01/1961;0000;;;;;1;
82336;03/01/1961;0000;;;;;1;
82336;04/01/1961;0000;;;;;1;
82336;05/01/1961;0000;;;;;2;
82336;06/01/1961;0000;;;;;1;
82336;07/01/1961;0000;;;;;0;
82336;08/01/1961;0000;;;;;1;
82336;09/01/1961;0000;;;;;1;
82336;10/01/1961;0000;;;;;1;
82336;11/01/1961;0000;;;;;1;
82336;12/01/1961;0000;;;;;1;
82336;13/01/1961;0000;;;;;1;
82336;14/01/1961;0000;;;;;1;
82336;15/01/1961;0000;;;;;1;
82336;16/01/1961;0000;;;;;1;
82336;17/01/1961;0000;;;;;1;
82336;18/01/1961;0000;;;;;1;
82336;19/01/1961;0000;;;;;1;
82336;20/01/1961;0000;;;;;1;
82336;21/01/1961;0000;;;;;1;
82336;22/01/1961;0000;;;;;1;
82336;23/01/1961;0000;;;;;1;
82336;24/01/1961;0000;;;;;1;
82336;25/01/1961;0000;;;;;1;
82336;26/01/1961;0000;;;;;1;
82336;27/01/1961;0000;;;;;1;
82336;28/01/1961;0000;;;;;1;
82336;29/01/1961;0000;;;;;1;
82336;30/01/1961;0000;;;;;0;
82336;31/01/1961;0000;;;;;1;
82336;01/02/1961;0000;;;;;0.666667;
82336;02/02/1961;0000;;;;;0.666667;
82336;03/02/1961;0000;;;;;1;
82336;04/02/1961;0000;;;;;1.333333;
82336;05/02/1961;0000;;;;;1;
82336;06/02/1961;0000;;;;;1;
82336;07/02/1961;0000;;;;;1;
82336;08/02/1961;0000;;;;;0.666667;
