--------------------
BDMEP - INMET
--------------------
Estação           : TUCURUI - PA (OMM: 82361)
Latitude  (graus) : -3.76
Longitude (graus) : -49.66
Altitude  (metros): 40.00
Estação Operante
Inicio de operação: 01/01/1970
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82361;01/10/1970;0000;;;;76.75;1.1;
82361;01/10/1970;1200;;22.2;;;;
82361;02/10/1970;0000;;;;81;1.4;
82361;02/10/1970;1200;;21.3;;;;
82361;03/10/1970;0000;;;;82.5;0.8;
82361;03/10/1970;1200;;21.8;;;;
82361;04/10/1970;0000;;;;77.5;1.1;
82361;04/10/1970;1200;;21.8;;;;
82361;05/10/1970;0000;;;;81.5;0.6;
82361;05/10/1970;1200;;21.3;;;;
82361;06/10/1970;0000;;;;74.25;0.3;
82361;06/10/1970;1200;;20.2;;;;
82361;07/10/1970;0000;;;;79.5;0.3;
82361;07/10/1970;1200;;22.3;;;;
82361;08/10/1970;0000;;;;76.25;0.6;
82361;08/10/1970;1200;;21.7;;;;
82361;09/10/1970;0000;;;;75;1.1;
82361;09/10/1970;1200;;21.5;;;;
82361;10/10/1970;0000;;;;75;0.6;
82361;10/10/1970;1200;;21.3;;;;
82361;11/10/1970;0000;;;;74.5;1.1;
82361;11/10/1970;1200;;21;;;;
82361;12/10/1970;0000;;;;80.75;0.3;
82361;12/10/1970;1200;;21.9;;;;
82361;13/10/1970;0000;;;;78.5;0.8;
82361;13/10/1970;1200;;21.2;;;;
82361;14/10/1970;0000;;;;71.25;1.1;
82361;14/10/1970;1200;;20.7;;;;
82361;15/10/1970;0000;;;;74.25;0.3;
82361;15/10/1970;1200;;20;;;;
82361;16/10/1970;0000;;;;79.5;0.8;
82361;16/10/1970;1200;;20.9;;;;
82361;17/10/1970;0000;;;;83.25;0.3;
82361;17/10/1970;1200;;20.7;;;;
82361;18/10/1970;0000;;;;80.75;1.966667;
82361;18/10/1970;1200;;20.5;;;;
82361;19/10/1970;0000;;;;81;0.3;
82361;19/10/1970;1200;;20.5;;;;
82361;20/10/1970;0000;;;;74;0.8;
82361;20/10/1970;1200;;22.5;;;;
82361;21/10/1970;0000;;;;81.25;0.8;
82361;21/10/1970;1200;;20.5;;;;
82361;22/10/1970;0000;;;;71.25;0.8;
82361;22/10/1970;1200;;21.3;;;;
82361;23/10/1970;0000;;;;74;0.3;
82361;23/10/1970;1200;;22;;;;
82361;24/10/1970;0000;;;;80.25;1.4;
82361;24/10/1970;1200;;21.5;;;;
82361;25/10/1970;0000;;;;77.75;0.3;
82361;25/10/1970;1200;;20.6;;;;
82361;26/10/1970;0000;;;;76.5;0;
82361;26/10/1970;1200;;20.2;;;;
82361;27/10/1970;0000;;;;76.5;1.766667;
82361;27/10/1970;1200;;20.3;;;;
82361;28/10/1970;0000;;;;78.5;0.3;
82361;28/10/1970;1200;;21.4;;;;
82361;29/10/1970;0000;;;;77.75;0.3;
82361;29/10/1970;1200;;20.2;;;;
82361;30/10/1970;0000;;;;88.25;0;
82361;30/10/1970;1200;;21.3;;;;
82361;31/10/1970;0000;;;;83.75;0.3;
82361;31/10/1970;1200;;21;;;;
82361;01/11/1970;0000;;;;78.75;0;
82361;01/11/1970;1200;;21.4;;;;
82361;02/11/1970;0000;;;;85.5;0.3;
82361;02/11/1970;1200;;20.7;;;;
82361;03/11/1970;0000;;;;77.75;0.8;
82361;03/11/1970;1200;;22.5;;;;
82361;04/11/1970;0000;;;;78.5;0;
82361;04/11/1970;1200;;21.2;;;;
