--------------------
BDMEP - INMET
--------------------
Estação           : ZE DOCA - MA (OMM: 82376)
Latitude  (graus) : -3.26
Longitude (graus) : -45.65
Altitude  (metros): 45.28
Estação Operante
Inicio de operação: 25/08/1970
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82376;01/08/1975;0000;;;;;3;
82376;01/08/1975;1200;;20.1;;;;
82376;02/08/1975;0000;;;;;2;
82376;02/08/1975;1200;;20.6;;;;
82376;04/08/1975;0000;;;;;4;
82376;04/08/1975;1200;;20.1;;;;
82376;05/08/1975;0000;;;;;5;
82376;05/08/1975;1200;;20.6;;;;
82376;06/08/1975;0000;;;;;3;
82376;06/08/1975;1200;;18.6;;;;
82376;07/08/1975;0000;;;;;3;
82376;07/08/1975;1200;;20.1;;;;
82376;08/08/1975;0000;;;;;3;
82376;08/08/1975;1200;;21.6;;;;
82376;09/08/1975;0000;;;;;3;
82376;09/08/1975;1200;;21.7;;;;
82376;10/08/1975;0000;;;;;4;
82376;10/08/1975;1200;;21.1;;;;
82376;11/08/1975;0000;;;;;3;
82376;11/08/1975;1200;;20.1;;;;
82376;12/08/1975;0000;;;;;2;
82376;12/08/1975;1200;;21.4;;;;
82376;13/08/1975;0000;;;;;5;
82376;13/08/1975;1200;;21.4;;;;
82376;14/08/1975;0000;32.5;;21.9;68.75;2.666667;
82376;15/08/1975;0000;31.4;;21.7;64.25;2.666667;
82376;16/08/1975;0000;31.9;;21.7;65.25;1.333333;
82376;17/08/1975;0000;32;;21.5;70;2.333333;
82376;18/08/1975;0000;32.8;;21.7;76.5;1.333333;
82376;19/08/1975;0000;32.9;;21.1;79.5;1.666667;
82376;20/08/1975;0000;31.7;;20.5;83;1.666667;
82376;21/08/1975;0000;32.3;;21.4;84;3;
82376;22/08/1975;0000;32.5;;21.2;81;1;
82376;23/08/1975;0000;33.3;;21.6;82.5;2;
82376;24/08/1975;0000;33.3;;21.1;79.5;2.666667;
82376;25/08/1975;0000;32.3;;22.3;76.5;3.666667;
82376;26/08/1975;0000;32.2;;21.3;80;2.333333;
82376;27/08/1975;0000;32.5;;21.9;75.75;4.333333;
82376;28/08/1975;0000;32.9;;21.9;76.5;2.666667;
82376;29/08/1975;0000;33.3;;21.8;78;4;
82376;30/08/1975;0000;33.6;;22.2;74.5;3.666667;
82376;31/08/1975;0000;33.6;;22.2;74.5;3.666667;
82376;01/09/1975;0000;32.7;;22.2;75.5;2.666667;
82376;02/09/1975;0000;33.1;;22.3;73.5;3.666667;
82376;03/09/1975;0000;33.8;;22.1;76.25;2.333333;
82376;04/09/1975;0000;33.6;;21.9;73.75;1.666667;
82376;05/09/1975;0000;32.6;;21.6;78.25;4;
82376;06/09/1975;0000;33.6;;21.8;72.25;3;
82376;07/09/1975;0000;32.6;;21.9;75.75;3.666667;
82376;08/09/1975;0000;32.2;;21.3;78.5;3.666667;
82376;09/09/1975;0000;32.6;;22.2;71.75;2.333333;
82376;10/09/1975;0000;32.9;;21.9;63.75;3;
82376;11/09/1975;0000;33.6;;21.6;71;2.666667;
82376;12/09/1975;0000;31.9;;21.3;78.75;2.333333;
82376;13/09/1975;0000;32.5;;21.4;78;2;
82376;14/09/1975;0000;33.3;;21.9;75;3;
82376;15/09/1975;0000;33.1;;22.1;74;3.333333;
82376;16/09/1975;0000;33.2;;22.2;72.25;3;
82376;17/09/1975;0000;33.3;;22.1;72.5;1;
82376;18/09/1975;0000;32.7;;21.3;82;3.333333;
82376;19/09/1975;0000;;;;;3.5;
82376;20/09/1975;0000;;;;;2.5;
82376;21/09/1975;0000;;;;;5;
82376;21/09/1975;1200;;21.3;;;;
82376;22/09/1975;0000;;;;;5.5;
82376;22/09/1975;1200;;21.6;;;;
82376;23/09/1975;0000;33;;26.12;74.25;2.333333;
82376;23/09/1975;1200;;20.6;;;;
82376;24/09/1975;0000;;;;;5.5;
82376;24/09/1975;1200;;23.8;;;;
82376;25/09/1975;0000;34.2;;26.78;68.25;5;
82376;25/09/1975;1200;;21.4;;;;
82376;26/09/1975;0000;;;;;6;
82376;26/09/1975;1200;;21;;;;
82376;27/09/1975;0000;33.5;;26.68;68.5;4.666667;
82376;27/09/1975;1200;;20.9;;;;
82376;28/09/1975;0000;33.7;;27.38;67.25;5;
82376;28/09/1975;1200;;21.8;;;;
82376;29/09/1975;0000;33.9;;26.72;78;1.733333;
82376;29/09/1975;1200;;21.4;;;;
82376;30/09/1975;0000;33.1;;26.8;74.25;5;
82376;30/09/1975;1200;;21.9;;;;
82376;01/10/1975;0000;33.1;;26.62;68.75;4.666667;
82376;01/10/1975;1200;;22;;;;
82376;02/10/1975;0000;33.1;;26.24;77.5;3.333333;
82376;02/10/1975;1200;;21.3;;;;
82376;03/10/1975;0000;34.1;;26.94;68;3;
82376;03/10/1975;1200;;21.4;;;;
82376;04/10/1975;0000;33.8;;26.36;75.5;3.333333;
82376;04/10/1975;1200;;21.2;;;;
82376;05/10/1975;0000;32.9;;25.88;78.75;3.666667;
82376;05/10/1975;1200;;20.9;;;;
82376;06/10/1975;0000;32.7;;27.12;65;4;
82376;06/10/1975;1200;;21.5;;;;
82376;07/10/1975;0000;33.3;;26.7;76.25;2.666667;
82376;07/10/1975;1200;;21.8;;;;
82376;08/10/1975;0000;33.7;;26.92;69.25;3.333333;
82376;08/10/1975;1200;;21.9;;;;
82376;09/10/1975;0000;32.9;;26.42;66.75;4.333333;
82376;09/10/1975;1200;;21.4;;;;
82376;10/10/1975;0000;;;;;1;
82376;10/10/1975;1200;;21.4;;;;
82376;11/10/1975;0000;;;;;3.5;
82376;11/10/1975;1200;;21.9;;;;
82376;12/10/1975;0000;;;;;6.5;
82376;12/10/1975;1200;;21.6;;;;
82376;13/10/1975;0000;34.5;;23.1;61.25;4.666667;
82376;14/10/1975;0000;;;;;6;
82376;14/10/1975;1200;;21.3;;;;
82376;15/10/1975;0000;34.1;;26.48;67.25;5.666667;
82376;15/10/1975;1200;;22;;;;
82376;16/10/1975;0000;34.1;;27.24;69.5;7.333333;
82376;16/10/1975;1200;;22;;;;
82376;17/10/1975;0000;33.7;;26.44;72.75;5.666667;
82376;17/10/1975;1200;;21.8;;;;
82376;18/10/1975;0000;34.6;;28.04;66;6.333333;
82376;18/10/1975;1200;;22.4;;;;
82376;19/10/1975;0000;34.3;;26.74;78;4.333333;
82376;19/10/1975;1200;;22.8;;;;
82376;20/10/1975;0000;;;;;6;
82376;20/10/1975;1200;;22;;;;
82376;21/10/1975;0000;34.9;;27.5;66;4.666667;
82376;21/10/1975;1200;;21.9;;;;
82376;22/10/1975;0000;33.9;;27.3;73.25;4.333333;
82376;22/10/1975;1200;;22.2;;;;
82376;23/10/1975;0000;33.5;;27.46;69.75;7;
82376;23/10/1975;1200;;23;;;;
82376;24/10/1975;0000;34.2;;27.52;64.25;5.333333;
82376;24/10/1975;1200;;22.8;;;;
82376;25/10/1975;0000;32.9;;26.14;78.5;4.333333;
82376;25/10/1975;1200;;23.2;;;;
82376;26/10/1975;0000;34.1;;25.88;74;3.333333;
82376;26/10/1975;1200;;21.4;;;;
82376;27/10/1975;0000;34.6;;26.96;71.75;5.666667;
82376;27/10/1975;1200;;21.8;;;;
82376;28/10/1975;0000;34.3;;27.34;73.5;4;
82376;28/10/1975;1200;;22.2;;;;
82376;29/10/1975;0000;33.6;;26.78;73;5;
82376;29/10/1975;1200;;22.2;;;;
82376;30/10/1975;0000;33.6;;27.04;72.25;3;
82376;30/10/1975;1200;;22.8;;;;
82376;31/10/1975;0000;32.8;;26.96;64;5.666667;
82376;31/10/1975;1200;;22.8;;;;
82376;01/11/1975;0000;33.6;;26.4;74;2.666667;
82376;01/11/1975;1200;;21.4;;;;
82376;02/11/1975;0000;34;;26.34;62.75;4.333333;
82376;02/11/1975;1200;;20.5;;;;
82376;03/11/1975;0000;35.4;;27.24;63.25;5;
82376;03/11/1975;1200;;19.6;;;;
82376;04/11/1975;0000;34;;27.74;62.25;6.333333;
82376;04/11/1975;1200;;21.5;;;;
82376;05/11/1975;0000;33.6;;27.48;66.25;5.666667;
82376;05/11/1975;1200;;23;;;;
82376;06/11/1975;0000;34;;27.46;64.5;8.666667;
82376;06/11/1975;1200;;21.9;;;;
82376;07/11/1975;0000;34.6;;27.64;65.25;8;
82376;07/11/1975;1200;;22;;;;
82376;08/11/1975;0000;35;;27.8;65.75;7.333333;
82376;08/11/1975;1200;;22.2;;;;
82376;09/11/1975;0000;34.9;;27.82;67.25;6.666667;
82376;09/11/1975;1200;;22.2;;;;
82376;10/11/1975;0000;34.8;;28.04;60.75;5.666667;
82376;10/11/1975;1200;;22.6;;;;
82376;11/11/1975;0000;35.2;;27.74;61.5;5.333333;
82376;11/11/1975;1200;;22.1;;;;
82376;12/11/1975;0000;35.4;;28.04;68;5;
82376;12/11/1975;1200;;21.8;;;;
82376;13/11/1975;0000;33.4;;26.88;82.75;4.666667;
82376;13/11/1975;1200;;23.4;;;;
82376;14/11/1975;0000;33.6;;27.32;71.25;5.333333;
82376;14/11/1975;1200;;22.6;;;;
82376;15/11/1975;0000;34;;23.4;66.75;4.333333;
82376;16/11/1975;0000;33.8;;27.24;79.5;4.333333;
82376;16/11/1975;1200;;22.5;;;;
82376;17/11/1975;0000;;;;;4.5;
82376;17/11/1975;1200;;22.7;;;;
82376;18/11/1975;0000;;;;;7.5;
82376;18/11/1975;1200;;21.7;;;;
82376;19/11/1975;0000;;;;;6.5;
82376;19/11/1975;1200;;22.8;;;;
82376;20/11/1975;0000;;;;;6.5;
82376;20/11/1975;1200;;22.4;;;;
82376;21/11/1975;0000;;;;;6.5;
82376;21/11/1975;1200;;23.2;;;;
82376;22/11/1975;0000;;;;;8;
82376;22/11/1975;1200;;23.2;;;;
82376;23/11/1975;0000;;;;;6.5;
82376;23/11/1975;1200;;22.2;;;;
82376;24/11/1975;0000;;;;;5;
82376;24/11/1975;1200;;22.1;;;;
82376;25/11/1975;0000;;;;;6.5;
82376;25/11/1975;1200;;22.2;;;;
82376;26/11/1975;0000;35.4;;27.56;77.25;5;
82376;26/11/1975;1200;;23.4;;;;
82376;27/11/1975;0000;32;;26.78;76.25;2;
82376;27/11/1975;1200;;23.6;;;;
82376;28/11/1975;0000;29.2;;25.02;89.5;3.333333;
82376;28/11/1975;1200;;23.3;;;;
82376;29/11/1975;0000;;;;;1.5;
82376;29/11/1975;1200;;22.8;;;;
82376;30/11/1975;0000;32.4;;26.4;76.5;3.666667;
82376;30/11/1975;1200;;22.2;;;;
82376;01/12/1975;0000;34;;27.32;68.5;4.666667;
82376;01/12/1975;1200;;22.5;;;;
82376;02/12/1975;0000;;;;;5.5;
82376;02/12/1975;1200;;22.5;;;;
82376;03/12/1975;0000;;;;;3;
82376;03/12/1975;1200;;20.8;;;;
82376;04/12/1975;0000;;;;;3.5;
82376;04/12/1975;1200;;21;;;;
82376;05/12/1975;0000;;;;;5;
82376;05/12/1975;1200;;21.8;;;;
82376;06/12/1975;0000;;;;;7.5;
82376;06/12/1975;1200;;21.5;;;;
82376;07/12/1975;0000;32;;25.62;83;3.666667;
82376;07/12/1975;1200;;21.5;;;;
82376;08/12/1975;0000;;;;;7;
82376;08/12/1975;1200;;22.1;;;;
82376;09/12/1975;0000;;;;;6.5;
82376;09/12/1975;1200;;22;;;;
82376;10/12/1975;0000;;;;;6.5;
82376;10/12/1975;1200;;23.6;;;;
82376;11/12/1975;0000;;;;;3;
82376;11/12/1975;1200;;23.6;;;;
82376;12/12/1975;0000;;;;;7;
82376;12/12/1975;1200;;23;;;;
82376;13/12/1975;0000;;;;;5;
82376;13/12/1975;1200;;22.2;;;;
82376;14/12/1975;0000;33.2;;27.04;72.75;4.666667;
82376;14/12/1975;1200;;22.2;;;;
82376;15/12/1975;0000;32;;26.9;75;4.333333;
82376;15/12/1975;1200;;22.7;;;;
82376;16/12/1975;0000;32.4;;26.14;79.25;3.333333;
82376;16/12/1975;1200;;22.5;;;;
82376;17/12/1975;0000;32.3;;27;73.5;4.666667;
82376;17/12/1975;1200;;22.2;;;;
82376;18/12/1975;0000;32.8;;27.04;72.75;2.666667;
82376;18/12/1975;1200;;22;;;;
82376;19/12/1975;0000;;;;;4.5;
82376;19/12/1975;1200;;22;;;;
82376;20/12/1975;0000;32.2;;25.74;83.75;2;
82376;20/12/1975;1200;;21.1;;;;
82376;21/12/1975;0000;32.2;;24.88;86;5.333333;
82376;21/12/1975;1200;;21;;;;
82376;22/12/1975;0000;30.4;;25.64;84.25;3.666667;
82376;22/12/1975;1200;;21.6;;;;
82376;23/12/1975;0000;31.2;;26.42;72;3.666667;
82376;23/12/1975;1200;;22.5;;;;
82376;24/12/1975;0000;31.6;;25.96;76;4.333333;
82376;24/12/1975;1200;;21.6;;;;
82376;25/12/1975;0000;32;;25.3;80.25;2.333333;
82376;25/12/1975;1200;;21.9;;;;
82376;26/12/1975;0000;28.2;;24.44;91.25;3;
82376;26/12/1975;1200;;22.2;;;;
82376;27/12/1975;0000;30.1;;24.98;89.25;2.666667;
82376;27/12/1975;1200;;21.8;;;;
82376;28/12/1975;0000;28.2;;24.04;88;2.666667;
82376;28/12/1975;1200;;21.4;;;;
82376;29/12/1975;0000;31.4;;25.68;81.25;2;
82376;29/12/1975;1200;;21.4;;;;
82376;30/12/1975;0000;;;;;4;
82376;30/12/1975;1200;;22.4;;;;
82376;31/12/1975;0000;31.9;;24.14;89.75;1;
82376;31/12/1975;1200;;21;;;;
82376;01/01/1976;0000;28.9;;24.34;86.5;3.333333;
82376;01/01/1976;1200;;21.2;;;;
82376;02/01/1976;0000;31.3;;25.66;80.5;5;
82376;02/01/1976;1200;;21.8;;;;
82376;03/01/1976;0000;31.5;;25.32;82.75;5;
82376;03/01/1976;1200;;22;;;;
82376;04/01/1976;0000;;;;;3.5;
82376;04/01/1976;1200;;21.8;;;;
82376;05/01/1976;0000;31.5;;25.2;84.75;4.666667;
82376;05/01/1976;1200;;20.6;;;;
82376;06/01/1976;0000;30.1;;24.42;93.25;1;
82376;06/01/1976;1200;;21.2;;;;
82376;07/01/1976;0000;29;;24.42;95.75;1;
82376;07/01/1976;1200;;21.7;;;;
82376;08/01/1976;0000;29.7;;23.92;95.5;0.333333;
82376;08/01/1976;1200;;22;;;;
82376;09/01/1976;0000;30.5;;24.94;85;1;
82376;09/01/1976;1200;;20.6;;;;
82376;10/01/1976;0000;30.2;;24.28;86.25;3.666667;
82376;10/01/1976;1200;;20.4;;;;
82376;11/01/1976;0000;32;;25.64;81.25;2.666667;
82376;11/01/1976;1200;;22.2;;;;
82376;12/01/1976;0000;32.1;;25.82;84;2;
82376;12/01/1976;1200;;21.6;;;;
82376;13/01/1976;0000;30.7;;25.34;91;2.333333;
82376;13/01/1976;1200;;21.8;;;;
82376;14/01/1976;0000;31.1;;26.2;83.25;3.333333;
82376;14/01/1976;1200;;23.1;;;;
82376;15/01/1976;0000;;;;;3;
82376;15/01/1976;1200;;21.9;;;;
82376;16/01/1976;0000;31.9;;25.32;89.5;1;
82376;16/01/1976;1200;;21.8;;;;
82376;17/01/1976;0000;31.4;;25.88;81.75;3.333333;
82376;17/01/1976;1200;;22;;;;
82376;18/01/1976;0000;31.1;;25.5;85;4;
82376;18/01/1976;1200;;22.2;;;;
82376;19/01/1976;0000;30.7;;25.22;89.75;2;
82376;19/01/1976;1200;;21.4;;;;
82376;20/01/1976;0000;27.9;;24.86;83.5;3.666667;
82376;20/01/1976;1200;;22;;;;
82376;21/01/1976;0000;31.3;;25.7;86;2;
82376;21/01/1976;1200;;20.4;;;;
82376;22/01/1976;0000;31.7;;26.48;77;4.333333;
82376;22/01/1976;1200;;21;;;;
82376;23/01/1976;0000;31.7;;25.98;80.5;3;
82376;23/01/1976;1200;;22.2;;;;
82376;24/01/1976;0000;31.5;;25.02;90.5;2;
82376;24/01/1976;1200;;22;;;;
82376;25/01/1976;0000;32.5;;25.94;96;1.666667;
82376;25/01/1976;1200;;21.6;;;;
82376;26/01/1976;0000;;;;;2;
82376;26/01/1976;1200;;22.4;;;;
82376;27/01/1976;0000;;;;;6;
82376;27/01/1976;1200;;21.9;;;;
82376;28/01/1976;0000;;;;;1;
82376;28/01/1976;1200;;20.6;;;;
82376;29/01/1976;0000;30.5;;24.18;84;1.666667;
82376;29/01/1976;1200;;20.8;;;;
82376;30/01/1976;0000;;;;;5;
82376;30/01/1976;1200;;21.4;;;;
82376;31/01/1976;0000;30.5;;24.64;79.75;4;
82376;31/01/1976;1200;;19.7;;;;
82376;01/02/1976;0000;29.8;;24.92;84;2.333333;
82376;01/02/1976;1200;;20.9;;;;
82376;02/02/1976;0000;30.1;;25.12;83.5;3.333333;
82376;02/02/1976;1200;;21.5;;;;
82376;03/02/1976;0000;30.5;;25.44;82.75;2.666667;
82376;03/02/1976;1200;;22.2;;;;
82376;04/02/1976;0000;;;;;2.5;
82376;04/02/1976;1200;;22.1;;;;
82376;05/02/1976;0000;;;;;4;
82376;05/02/1976;1200;;22.4;;;;
82376;06/02/1976;0000;;;;;3.5;
82376;06/02/1976;1200;;22.4;;;;
82376;07/02/1976;0000;;;;;3;
82376;07/02/1976;1200;;19.8;;;;
82376;08/02/1976;0000;;;;;5;
82376;08/02/1976;1200;;22.1;;;;
82376;09/02/1976;0000;;;;;0.5;
82376;09/02/1976;1200;;22.3;;;;
82376;10/02/1976;0000;30.1;;24.84;86.5;1.666667;
82376;10/02/1976;1200;;21.3;;;;
82376;11/02/1976;0000;31;;25.22;81.25;3.666667;
82376;11/02/1976;1200;;22.1;;;;
82376;12/02/1976;0000;;;;;3.5;
82376;12/02/1976;1200;;21.4;;;;
82376;13/02/1976;0000;;;;;3.5;
82376;13/02/1976;1200;;21.8;;;;
82376;14/02/1976;0000;31.5;;25.58;82.5;3.666667;
82376;14/02/1976;1200;;22.2;;;;
82376;15/02/1976;0000;;;;;0.5;
82376;15/02/1976;1200;;22;;;;
82376;16/02/1976;0000;29.9;;24.5;85.75;1.333333;
82376;16/02/1976;1200;;20;;;;
82376;17/02/1976;0000;31.9;;25.22;87.25;2;
82376;17/02/1976;1200;;21.6;;;;
82376;18/02/1976;0000;;;;;3;
82376;18/02/1976;1200;;22;;;;
82376;19/02/1976;0000;32.3;;26.42;82.5;3.333333;
82376;19/02/1976;1200;;24;;;;
82376;20/02/1976;0000;32.1;;25.14;87.75;2.666667;
82376;20/02/1976;1200;;22;;;;
82376;21/02/1976;0000;30.1;;24.86;91.75;2.666667;
82376;21/02/1976;1200;;20.7;;;;
82376;22/02/1976;0000;30.1;;24.38;88;2.333333;
82376;22/02/1976;1200;;21;;;;
82376;23/02/1976;0000;31.3;;25.2;84.5;1.333333;
82376;23/02/1976;1200;;21.6;;;;
82376;24/02/1976;0000;30.9;;24.9;89;2.666667;
82376;24/02/1976;1200;;21.8;;;;
82376;25/02/1976;0000;28.3;;24.18;96.25;0;
82376;25/02/1976;1200;;22.2;;;;
82376;26/02/1976;0000;29.9;;24.16;93.25;1.333333;
82376;26/02/1976;1200;;21.9;;;;
82376;27/02/1976;0000;;;;;2;
82376;27/02/1976;1200;;22;;;;
82376;28/02/1976;0000;31.5;;25.54;86.25;3.333333;
82376;28/02/1976;1200;;22.4;;;;
82376;29/02/1976;0000;32.2;;27.26;72;2.666667;
82376;29/02/1976;1200;;22;;;;
82376;01/03/1976;0000;32.9;;26.7;81.25;4.333333;
82376;01/03/1976;1200;;21.8;;;;
82376;02/03/1976;0000;31.5;;25.62;86;1.666667;
82376;02/03/1976;1200;;22.6;;;;
82376;03/03/1976;0000;31.7;;25.36;89;0.333333;
82376;03/03/1976;1200;;22;;;;
82376;04/03/1976;0000;30.1;;24.6;86.25;2;
82376;04/03/1976;1200;;20.8;;;;
82376;05/03/1976;0000;31.3;;25.48;83.75;2.666667;
82376;05/03/1976;1200;;21.7;;;;
82376;06/03/1976;0000;30.6;;25.22;82.25;2.666667;
82376;06/03/1976;1200;;21.2;;;;
82376;07/03/1976;0000;30.1;;24.22;87.5;1.666667;
82376;07/03/1976;1200;;21.2;;;;
82376;08/03/1976;0000;31.1;;24.96;87.25;1.333333;
82376;08/03/1976;1200;;21.7;;;;
82376;09/03/1976;0000;31.9;;25.08;88.5;2.333333;
82376;09/03/1976;1200;;22.4;;;;
82376;10/03/1976;0000;30.1;;24.64;93.5;1.666667;
82376;10/03/1976;1200;;21.2;;;;
82376;11/03/1976;0000;31.7;;24.92;91;1.666667;
82376;11/03/1976;1200;;21.6;;;;
82376;12/03/1976;0000;32.1;;25.66;90;2.333333;
82376;12/03/1976;1200;;22;;;;
82376;13/03/1976;0000;32.6;;25.76;86;1.333333;
82376;13/03/1976;1200;;22.6;;;;
82376;14/03/1976;0000;30.9;;25.74;88;2;
82376;14/03/1976;1200;;22.5;;;;
82376;15/03/1976;0000;29.5;;24.52;93.5;2;
82376;15/03/1976;1200;;22;;;;
82376;16/03/1976;0000;31.1;;25.38;85.5;2;
82376;16/03/1976;1200;;21.2;;;;
