--------------------
BDMEP - INMET
--------------------
Estação           : CHAPADINHA - MA (OMM: 82382)
Latitude  (graus) : -3.73
Longitude (graus) : -43.35
Altitude  (metros): 103.50
Estação Operante
Inicio de operação: 28/08/1976
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82382;01/10/1976;0000;33.6;;27.04;60.25;3.2;
82382;01/10/1976;1200;;22;;;;
82382;02/10/1976;0000;34.7;;26.74;62.75;2.866667;
82382;02/10/1976;1200;;20.8;;;;
82382;03/10/1976;0000;34.9;;27.3;68.5;3.1;
82382;03/10/1976;1200;;21.8;;;;
82382;04/10/1976;0000;32;;26.34;74;2.833333;
82382;04/10/1976;1200;;22;;;;
82382;05/10/1976;0000;31;;25.38;82.5;2.8;
82382;05/10/1976;1200;;21.5;;;;
82382;06/10/1976;0000;33.4;;26.98;72.5;3.366667;
82382;06/10/1976;1200;;22.3;;;;
82382;07/10/1976;0000;32.8;;27.2;69.25;3.233333;
82382;07/10/1976;1200;;23.2;;;;
82382;08/10/1976;0000;31.6;;26.2;69.75;3.233333;
82382;08/10/1976;1200;;22.8;;;;
82382;09/10/1976;0000;33.2;;26.6;67.5;3.566667;
82382;09/10/1976;1200;;22.2;;;;
82382;10/10/1976;0000;34.3;;27.34;64;3.733333;
82382;10/10/1976;1200;;22.2;;;;
82382;11/10/1976;0000;34.3;;27.2;64.25;3.9;
82382;11/10/1976;1200;;22.2;;;;
82382;12/10/1976;0000;34.6;;27;63;4.166667;
82382;12/10/1976;1200;;21.6;;;;
82382;13/10/1976;0000;33.6;;26.8;63;2.733333;
82382;13/10/1976;1200;;21.3;;;;
82382;14/10/1976;0000;32.8;;27.02;66.25;2.4;
82382;14/10/1976;1200;;21.2;;;;
82382;15/10/1976;0000;32.8;;26.84;71.75;3.733333;
82382;15/10/1976;1200;;22.9;;;;
82382;16/10/1976;0000;32.8;;26.56;71.75;2.866667;
82382;16/10/1976;1200;;23;;;;
82382;17/10/1976;0000;33.6;;27.12;64;3.733333;
82382;17/10/1976;1200;;22.2;;;;
82382;18/10/1976;0000;33.6;;27.16;66.25;3.433333;
82382;18/10/1976;1200;;21.6;;;;
82382;19/10/1976;0000;33.5;;27.34;66.25;3.166667;
82382;19/10/1976;1200;;23.4;;;;
82382;20/10/1976;0000;33.5;;27.36;66;3.5;
82382;20/10/1976;1200;;22.5;;;;
82382;21/10/1976;0000;33.8;;27.4;65.75;3.733333;
82382;21/10/1976;1200;;23.4;;;;
82382;22/10/1976;0000;31.9;;26.4;69.75;3.6;
82382;22/10/1976;1200;;21.9;;;;
82382;23/10/1976;0000;34.4;;27.46;65.25;2.733333;
82382;23/10/1976;1200;;22;;;;
82382;24/10/1976;0000;34.4;;27.82;68;3.466667;
82382;24/10/1976;1200;;22.6;;;;
82382;25/10/1976;0000;34.4;;27.8;65;3.866667;
82382;25/10/1976;1200;;23.4;;;;
82382;26/10/1976;0000;34.4;;27.6;60.5;4.166667;
82382;26/10/1976;1200;;23;;;;
82382;27/10/1976;0000;35.2;;27.28;65.75;3.033333;
82382;27/10/1976;1200;;21.2;;;;
82382;28/10/1976;0000;34.6;;28.02;66;2.933333;
82382;28/10/1976;1200;;22.9;;;;
82382;29/10/1976;0000;34;;27.58;68;3;
82382;29/10/1976;1200;;23.6;;;;
82382;30/10/1976;0000;33.4;;27.36;68;3.5;
82382;30/10/1976;1200;;23.2;;;;
82382;31/10/1976;0000;34.1;;27.34;63.5;2.8;
82382;31/10/1976;1200;;21.6;;;;
82382;01/11/1976;0000;35.5;;27.68;61.75;3.7;
82382;01/11/1976;1200;;22.5;;;;
82382;02/11/1976;0000;34.6;;27.48;61.25;3.8;
82382;02/11/1976;1200;;22;;;;
82382;03/11/1976;0000;34.8;;27.44;61.5;4.5;
82382;03/11/1976;1200;;21.8;;;;
82382;04/11/1976;0000;34.1;;22.7;60.25;4.066667;
82382;05/11/1976;0000;34.3;;22.6;65;3.6;
82382;06/11/1976;0000;34.6;;23;64.25;2.866667;
82382;07/11/1976;0000;33.6;;22.5;67;3.1;
