--------------------
BDMEP - INMET
--------------------
Estação           : SOBRAL - CE (OMM: 82392)
Latitude  (graus) : -3.73
Longitude (graus) : -40.33
Altitude  (metros): 109.62
Estação Operante
Inicio de operação: 01/07/1919
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82392;01/01/1961;0000;37.2;;28.96;60;0.666667;
82392;01/01/1961;1200;;23.4;;;;
82392;02/01/1961;0000;37.4;;28.72;61;0.666667;
82392;02/01/1961;1200;;22.6;;;;
82392;03/01/1961;0000;36.6;;29.34;62;0.666667;
82392;03/01/1961;1200;;25.3;;;;
82392;04/01/1961;0000;37.2;;29.12;60.25;0.666667;
82392;04/01/1961;1200;;23.2;;;;
82392;05/01/1961;0000;37.4;;29.36;56.25;0.666667;
82392;05/01/1961;1200;;24.6;;;;
82392;06/01/1961;0000;37.4;;29.4;59.25;0;
82392;06/01/1961;1200;;24;;;;
82392;07/01/1961;0000;37.4;;29.92;57.5;0.666667;
82392;07/01/1961;1200;;24.5;;;;
82392;08/01/1961;0000;36.2;;29.12;58.25;0;
82392;08/01/1961;1200;;24.2;;;;
82392;09/01/1961;0000;36.4;;28.9;61;0;
82392;09/01/1961;1200;;23.1;;;;
82392;10/01/1961;0000;36.6;;29.32;61.5;1.333333;
82392;10/01/1961;1200;;23.8;;;;
82392;11/01/1961;0000;36.8;;29.2;62.5;0.666667;
82392;11/01/1961;1200;;23.6;;;;
82392;12/01/1961;0000;37.6;;29.96;60.5;0;
82392;12/01/1961;1200;;24.2;;;;
82392;13/01/1961;0000;37;;29.56;59;0;
82392;13/01/1961;1200;;24;;;;
82392;14/01/1961;0000;37;;29.76;54.75;0;
82392;14/01/1961;1200;;24.8;;;;
82392;15/01/1961;0000;37;;29.32;57.5;0;
82392;15/01/1961;1200;;24.2;;;;
82392;16/01/1961;0000;35.2;;28.28;78;0.666667;
82392;16/01/1961;1200;;25.2;;;;
82392;17/01/1961;0000;35;;27.24;90;0;
82392;17/01/1961;1200;;23.4;;;;
82392;18/01/1961;0000;32.2;;26.3;87;0;
82392;18/01/1961;1200;;23.5;;;;
82392;19/01/1961;0000;31;;26.26;82.5;0.666667;
82392;19/01/1961;1200;;22.6;;;;
82392;20/01/1961;0000;31.6;;26.48;88;0.666667;
82392;20/01/1961;1200;;24;;;;
82392;21/01/1961;0000;31.2;;26.08;88.5;0;
82392;21/01/1961;1200;;23.4;;;;
82392;22/01/1961;0000;29.2;;24.04;95.75;0;
82392;22/01/1961;1200;;21.2;;;;
82392;23/01/1961;0000;31.8;;25.5;84;0;
82392;23/01/1961;1200;;21;;;;
82392;24/01/1961;0000;34.2;;27.96;69.5;0.666667;
82392;24/01/1961;1200;;24;;;;
82392;25/01/1961;0000;32.6;;27.64;78;0.666667;
82392;25/01/1961;1200;;24.4;;;;
82392;26/01/1961;0000;35.6;;28.38;71.25;0.666667;
82392;26/01/1961;1200;;23.7;;;;
82392;27/01/1961;0000;32.2;;27.6;80.75;0.666667;
82392;27/01/1961;1200;;24.4;;;;
82392;28/01/1961;0000;35;;28.48;67.25;0;
82392;28/01/1961;1200;;24;;;;
82392;29/01/1961;0000;35.8;;28.56;65;0;
82392;29/01/1961;1200;;23;;;;
82392;30/01/1961;0000;36;;28.48;72.75;0;
82392;30/01/1961;1200;;24.3;;;;
82392;31/01/1961;0000;36;;28.6;69.5;0;
82392;31/01/1961;1200;;24.6;;;;
82392;01/02/1961;0000;30.6;;26.68;82;0;
82392;01/02/1961;1200;;23.6;;;;
82392;02/02/1961;0000;29.6;;26.04;89.5;0;
82392;02/02/1961;1200;;23.8;;;;
82392;03/02/1961;0000;32.2;;27.24;74.75;0;
82392;03/02/1961;1200;;23.2;;;;
82392;04/02/1961;0000;30;;26.04;86.75;0;
82392;04/02/1961;1200;;24;;;;
82392;05/02/1961;0000;29.6;;24.96;94.5;0;
82392;05/02/1961;1200;;23;;;;
82392;06/02/1961;0000;29.2;;24.84;94.75;0;
82392;06/02/1961;1200;;22.4;;;;
82392;07/02/1961;0000;30.4;;25.2;93.75;0;
82392;07/02/1961;1200;;22.4;;;;
