--------------------
BDMEP - INMET
--------------------
Estação           : BENJAMIN CONSTANT - AM (OMM: 82410)
Latitude  (graus) : -4.38
Longitude (graus) : -70.03
Altitude  (metros): 65.00
Estação Operante
Inicio de operação: 01/01/1924
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82410;01/01/1961;0000;31.2;;;;0.666667;
82410;01/01/1961;1200;;20.2;;;;
82410;02/01/1961;0000;28.2;;;;0.666667;
82410;02/01/1961;1200;;20.5;;;;
82410;03/01/1961;0000;29.6;;;;0.666667;
82410;03/01/1961;1200;;19.2;;;;
82410;04/01/1961;0000;31.4;;;;1.333333;
82410;04/01/1961;1200;;20.2;;;;
82410;05/01/1961;0000;30.2;;;;1;
82410;05/01/1961;1200;;20.8;;;;
82410;06/01/1961;0000;29.2;;;;1.666667;
82410;06/01/1961;1200;;19.3;;;;
82410;07/01/1961;0000;29.2;;;;1.333333;
82410;07/01/1961;1200;;18.4;;;;
82410;08/01/1961;0000;30.4;;;;1;
82410;08/01/1961;1200;;19.4;;;;
82410;09/01/1961;0000;29;;;;1.666667;
82410;09/01/1961;1200;;20.4;;;;
82410;10/01/1961;0000;31.8;;;;0.666667;
82410;10/01/1961;1200;;19.3;;;;
82410;11/01/1961;0000;30.2;;;;1.333333;
82410;11/01/1961;1200;;21.5;;;;
82410;12/01/1961;0000;29.3;;;;1.666667;
82410;12/01/1961;1200;;20.2;;;;
82410;13/01/1961;0000;31.4;;;;1.333333;
82410;13/01/1961;1200;;19.6;;;;
82410;14/01/1961;0000;31.8;;;;1;
82410;14/01/1961;1200;;20.2;;;;
82410;15/01/1961;0000;30.6;;;;1.666667;
82410;15/01/1961;1200;;20.4;;;;
82410;16/01/1961;0000;31.4;;;;1.666667;
82410;16/01/1961;1200;;20.3;;;;
82410;17/01/1961;0000;31.6;;;;0.666667;
82410;17/01/1961;1200;;20.7;;;;
82410;18/01/1961;0000;31.3;;;;1.666667;
82410;18/01/1961;1200;;21.2;;;;
82410;19/01/1961;0000;31.8;;;;1.666667;
82410;19/01/1961;1200;;20.2;;;;
82410;20/01/1961;0000;31.5;;;;0.666667;
82410;20/01/1961;1200;;20.4;;;;
82410;21/01/1961;0000;31.2;;;;0.666667;
82410;21/01/1961;1200;;20.6;;;;
82410;22/01/1961;0000;30.6;;;;1.333333;
82410;22/01/1961;1200;;21;;;;
82410;23/01/1961;0000;31.8;;;;0.666667;
82410;23/01/1961;1200;;20.4;;;;
82410;24/01/1961;0000;31;;;;0.666667;
