--------------------
BDMEP - INMET
--------------------
Estação           : COARI - AM (OMM: 82425)
Latitude  (graus) : -4.08
Longitude (graus) : -63.13
Altitude  (metros): 46.00
Estação Operante
Inicio de operação: 01/01/1926
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82425;01/11/1961;0000;31;;;85;1;
82425;02/11/1961;0000;31;;;92.25;0.666667;
82425;03/11/1961;0000;;;;94.25;1;
82425;04/11/1961;0000;31;;;89.5;1.066667;
82425;05/11/1961;0000;31;;;81.75;0.666667;
82425;06/11/1961;0000;31;;;93.5;1;
82425;07/11/1961;0000;30;;;91;0.666667;
82425;08/11/1961;0000;28.9;;;92.75;1;
82425;09/11/1961;0000;30.4;;;88.5;0.666667;
82425;10/11/1961;0000;28;;;92.25;1;
82425;11/11/1961;0000;27;;;92.75;1;
82425;12/11/1961;0000;31;;;87.25;0.666667;
82425;13/11/1961;0000;29;;;90.25;0.333333;
82425;14/11/1961;0000;28;;;91.5;1;
82425;15/11/1961;0000;29.6;;;91.25;1;
82425;16/11/1961;0000;29;;;90.5;1;
82425;17/11/1961;0000;31;;;88.75;0.666667;
82425;18/11/1961;0000;31;;;88.75;1;
82425;19/11/1961;0000;30;;;92.75;1;
82425;20/11/1961;0000;;;;92.25;0.333333;
82425;21/11/1961;0000;32;;;83;1;
82425;22/11/1961;0000;31;;;91.25;1;
82425;23/11/1961;0000;28;;;91.75;1;
82425;24/11/1961;0000;28.8;;;94.25;1;
82425;25/11/1961;0000;30;;;87;1;
82425;26/11/1961;0000;30;;;86.5;0.666667;
82425;27/11/1961;0000;32;;;85.25;0.666667;
82425;28/11/1961;0000;31;;;88.25;1;
82425;29/11/1961;0000;28;;;92;0.666667;
82425;30/11/1961;0000;30.6;;;86;1;
82425;01/12/1961;0000;28.6;;;91.5;1;
82425;02/12/1961;0000;31;;;80.25;1;
82425;03/12/1961;0000;32.5;;;89.75;1;
82425;04/12/1961;0000;;;;91;0.666667;
82425;05/12/1961;0000;30;;;92.25;1;
82425;06/12/1961;0000;31;;;83.25;0.666667;
82425;07/12/1961;0000;31.5;;;92.25;1;
82425;08/12/1961;0000;31.5;;;81.25;0.666667;
