--------------------
BDMEP - INMET
--------------------
Estação           : BACABAL - MA (OMM: 82460)
Latitude  (graus) : -4.21
Longitude (graus) : -44.76
Altitude  (metros): 25.07
Estação Operante
Inicio de operação: 15/08/1976
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82460;01/09/1976;0000;34.6;;22.3;68;2.633333;
82460;02/09/1976;0000;34.5;;27.18;61.75;1.266667;
82460;02/09/1976;1200;;21.7;;;;
82460;03/09/1976;0000;35;;22.9;63.5;2.866667;
82460;04/09/1976;0000;35.2;;27.26;61.25;2.533333;
82460;04/09/1976;1200;;19.6;;;;
82460;05/09/1976;0000;34.7;;27.4;63.75;2.733333;
82460;05/09/1976;1200;;20.9;;;;
82460;06/09/1976;0000;33.4;;27.14;66.5;2.966667;
82460;06/09/1976;1200;;20.8;;;;
82460;07/09/1976;0000;34.3;;27.1;66.75;3.4;
82460;07/09/1976;1200;;21.1;;;;
82460;08/09/1976;0000;34.3;;25.78;74.25;4.1;
82460;08/09/1976;1200;;20.2;;;;
82460;09/09/1976;0000;35.6;;26.4;70.75;2.233333;
82460;09/09/1976;1200;;19.7;;;;
82460;10/09/1976;0000;34.2;;26.56;67;3.066667;
82460;10/09/1976;1200;;20.6;;;;
82460;11/09/1976;0000;34.4;;26.14;67.75;2.833333;
82460;11/09/1976;1200;;18.4;;;;
82460;12/09/1976;0000;33.9;;26.24;68.25;2.533333;
82460;12/09/1976;1200;;18.7;;;;
82460;13/09/1976;0000;36.2;;26.58;75.75;2.966667;
82460;13/09/1976;1200;;19.6;;;;
82460;14/09/1976;0000;34.6;;27;70;3.133333;
82460;14/09/1976;1200;;21.5;;;;
82460;15/09/1976;0000;;;;65.75;3.366667;
82460;15/09/1976;1200;;21.3;;;;
82460;16/09/1976;0000;35.5;;27.28;64.25;4.666667;
82460;16/09/1976;1200;;20;;;;
82460;17/09/1976;0000;35.5;;27.44;62.5;2.733333;
82460;17/09/1976;1200;;19;;;;
82460;18/09/1976;0000;36.3;;27.54;62.25;2.5;
82460;18/09/1976;1200;;19.8;;;;
82460;19/09/1976;0000;34.4;;23.1;62;4;
82460;20/09/1976;0000;37.8;;27.88;64.25;3.533333;
82460;20/09/1976;1200;;21.2;;;;
82460;21/09/1976;0000;36.5;;27.68;61.75;3.633333;
82460;21/09/1976;1200;;21.4;;;;
82460;22/09/1976;0000;35.1;;27.6;63;3.366667;
82460;22/09/1976;1200;;22.5;;;;
82460;23/09/1976;0000;34.8;;27.46;65.25;2.466667;
82460;23/09/1976;1200;;21.5;;;;
82460;24/09/1976;0000;32.8;;26.9;70.75;2;
82460;24/09/1976;1200;;22.7;;;;
82460;25/09/1976;0000;34.3;;26.74;71.5;2.366667;
82460;25/09/1976;1200;;22.2;;;;
82460;26/09/1976;0000;33.6;;26.94;75.25;3.3;
82460;26/09/1976;1200;;22.5;;;;
82460;27/09/1976;0000;35.9;;28.12;65.75;2.5;
82460;27/09/1976;1200;;22.3;;;;
82460;28/09/1976;0000;35.1;;28;67.25;3.2;
82460;28/09/1976;1200;;22;;;;
82460;29/09/1976;0000;31.1;;26.7;72;1.933333;
82460;29/09/1976;1200;;23;;;;
82460;30/09/1976;0000;34;;26.88;71.5;2.3;
82460;30/09/1976;1200;;22.2;;;;
82460;01/10/1976;0000;34.6;;27.86;64;2.533333;
82460;01/10/1976;1200;;23.2;;;;
82460;02/10/1976;0000;34.9;;27.74;62.5;3.266667;
82460;02/10/1976;1200;;22.1;;;;
82460;03/10/1976;0000;33;;26.86;69.5;2;
82460;03/10/1976;1200;;21.8;;;;
82460;04/10/1976;0000;33.4;;27.1;75;1.266667;
82460;04/10/1976;1200;;23.8;;;;
82460;05/10/1976;0000;34.7;;27.88;62.75;3.033333;
