--------------------
BDMEP - INMET
--------------------
Estação           : CALDEIRAO - PI (OMM: 82474)
Latitude  (graus) : -4.28
Longitude (graus) : -41.8
Altitude  (metros): 160.00
Estação Operante
Inicio de operação: 01/02/1972
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82474;01/01/1979;0000;33.2;;27.14;76;1.666667;
82474;01/01/1979;1200;;20.1;;;;
82474;02/01/1979;0000;36.4;;27.06;69.25;1.666667;
82474;02/01/1979;1200;;22.8;;;;
82474;03/01/1979;0000;36;;28.18;63.75;2.333333;
82474;03/01/1979;1200;;20;;;;
82474;04/01/1979;0000;35.3;;28.1;67;3.666667;
82474;04/01/1979;1200;;20.1;;;;
82474;05/01/1979;0000;35.2;;26.44;76.75;1.666667;
82474;05/01/1979;1200;;20.4;;;;
82474;06/01/1979;0000;33.2;;26.46;80.25;2.666667;
82474;06/01/1979;1200;;22.2;;;;
82474;07/01/1979;0000;33.4;;27.08;73.75;2.333333;
82474;07/01/1979;1200;;22.4;;;;
82474;08/01/1979;0000;35;;27.36;79;2.333333;
82474;08/01/1979;1200;;20.8;;;;
82474;09/01/1979;0000;35.2;;27.74;70.25;2.333333;
82474;09/01/1979;1200;;20.2;;;;
82474;10/01/1979;0000;34.2;;27.74;71.5;2;
82474;10/01/1979;1200;;20.1;;;;
82474;11/01/1979;0000;35.5;;27.28;79.5;1.333333;
82474;11/01/1979;1200;;23.9;;;;
82474;13/01/1979;0000;34.2;;26.56;78.75;1.666667;
82474;13/01/1979;1200;;21.9;;;;
82474;14/01/1979;0000;33.6;;27.78;78;1;
82474;14/01/1979;1200;;23.6;;;;
82474;15/01/1979;0000;31.7;;26;86.25;0.333333;
82474;15/01/1979;1200;;23.4;;;;
82474;16/01/1979;0000;33.6;;25.66;87.5;1.666667;
82474;16/01/1979;1200;;22.2;;;;
82474;17/01/1979;0000;27.6;;24.26;90.75;1.666667;
82474;17/01/1979;1200;;21.6;;;;
82474;19/01/1979;0000;32.4;;25.64;82.5;1;
82474;19/01/1979;1200;;23.1;;;;
82474;20/01/1979;0000;34.2;;27.46;79.25;0.666667;
82474;20/01/1979;1200;;22;;;;
82474;21/01/1979;0000;33.4;;27.16;79.25;3;
82474;21/01/1979;1200;;22.4;;;;
82474;22/01/1979;0000;32;;25.9;80.75;1;
82474;22/01/1979;1200;;23;;;;
82474;23/01/1979;0000;33.2;;25.34;88.5;0.333333;
82474;23/01/1979;1200;;22;;;;
82474;24/01/1979;0000;31.3;;25.86;89.75;0.666667;
82474;24/01/1979;1200;;21.8;;;;
82474;25/01/1979;0000;30.1;;26.26;89.75;0.666667;
82474;25/01/1979;1200;;24;;;;
82474;26/01/1979;0000;33.1;;26.8;84.75;0;
82474;26/01/1979;1200;;23.2;;;;
82474;27/01/1979;0000;33.4;;27.08;86.25;1.333333;
82474;27/01/1979;1200;;23.8;;;;
82474;28/01/1979;0000;33.9;;27.6;84.25;1.333333;
82474;28/01/1979;1200;;23.7;;;;
82474;29/01/1979;0000;33.8;;27.42;77.5;1.666667;
82474;29/01/1979;1200;;23;;;;
82474;30/01/1979;0000;33.2;;27.1;80.75;1.333333;
82474;30/01/1979;1200;;23.8;;;;
82474;31/01/1979;0000;33.4;;26.34;83;1.666667;
82474;31/01/1979;1200;;23;;;;
82474;01/02/1979;0000;33;;27.06;76;1.333333;
82474;01/02/1979;1200;;21.4;;;;
82474;02/02/1979;0000;34.6;;27.78;76.5;2;
82474;02/02/1979;1200;;22.8;;;;
82474;03/02/1979;0000;33.9;;27.42;76;1;
82474;03/02/1979;1200;;23.6;;;;
82474;04/02/1979;0000;31.6;;25.56;84.25;0.666667;
82474;04/02/1979;1200;;22.3;;;;
82474;05/02/1979;0000;30.6;;25.4;88.25;1;
82474;05/02/1979;1200;;20.2;;;;
82474;06/02/1979;0000;32.6;;26.4;80;0.666667;
82474;06/02/1979;1200;;23.3;;;;
82474;07/02/1979;0000;26.6;;24.04;93.75;0.333333;
82474;07/02/1979;1200;;22.1;;;;
82474;09/02/1979;0000;31.8;;25.74;84.75;2;
82474;09/02/1979;1200;;22.5;;;;
82474;10/02/1979;0000;34.6;;28.22;70.25;1.333333;
82474;10/02/1979;1200;;23;;;;
82474;11/02/1979;0000;33.4;;27.12;79.5;2.333333;
82474;11/02/1979;1200;;23.2;;;;
82474;12/02/1979;0000;33;;26.82;79;3;
82474;12/02/1979;1200;;21.8;;;;
82474;13/02/1979;0000;33.8;;26.34;79.5;2.333333;
82474;13/02/1979;1200;;22.2;;;;
82474;14/02/1979;0000;34.5;;26.88;78.5;1.333333;
82474;14/02/1979;1200;;21.8;;;;
82474;15/02/1979;0000;33.9;;26.28;83.5;1;
82474;15/02/1979;1200;;22.8;;;;
82474;16/02/1979;0000;30.7;;26.22;86.25;0.666667;
82474;16/02/1979;1200;;22.5;;;;
82474;17/02/1979;0000;32;;26.66;83.75;2;
82474;17/02/1979;1200;;23.7;;;;
82474;18/02/1979;0000;34.5;;27.52;74.75;1.666667;
82474;18/02/1979;1200;;23.8;;;;
82474;19/02/1979;0000;31.1;;26.42;73.25;3;
82474;19/02/1979;1200;;22;;;;
82474;20/02/1979;0000;33.2;;25.86;84.75;2;
82474;20/02/1979;1200;;22.4;;;;
82474;21/02/1979;0000;29.5;;24.6;87.75;1.666667;
82474;21/02/1979;1200;;22.1;;;;
82474;22/02/1979;0000;32.1;;25.78;85.75;2.333333;
82474;22/02/1979;1200;;22.4;;;;
82474;23/02/1979;0000;32.4;;25.92;86.25;3;
82474;23/02/1979;1200;;23.1;;;;
82474;24/02/1979;0000;31.4;;25.04;90.5;2;
82474;24/02/1979;1200;;22.3;;;;
82474;26/02/1979;0000;29.9;;24.56;88.75;1.333333;
82474;26/02/1979;1200;;21.9;;;;
82474;27/02/1979;0000;32.9;;26.76;79.75;2.333333;
82474;27/02/1979;1200;;22;;;;
82474;28/02/1979;0000;29.9;;25.9;87.25;0.666667;
82474;28/02/1979;1200;;23.4;;;;
82474;01/03/1979;0000;29.8;;24.5;92.5;2;
82474;01/03/1979;1200;;21.2;;;;
82474;02/03/1979;0000;31.3;;25.14;86.5;1.666667;
82474;02/03/1979;1200;;21.6;;;;
82474;03/03/1979;0000;32.1;;25.78;82.25;1.666667;
82474;03/03/1979;1200;;22.1;;;;
82474;04/03/1979;0000;32.4;;26.32;84.75;2.333333;
82474;04/03/1979;1200;;21.8;;;;
82474;05/03/1979;0000;32.3;;26.82;81;0.666667;
82474;05/03/1979;1200;;22;;;;
82474;06/03/1979;0000;33.5;;27.08;77.25;2;
82474;06/03/1979;1200;;21.8;;;;
82474;07/03/1979;0000;33.4;;27.04;78.25;1.333333;
82474;07/03/1979;1200;;21.8;;;;
