--------------------
BDMEP - INMET
--------------------
Estação           : CAXIAS - MA (OMM: 82476)
Latitude  (graus) : -4.86
Longitude (graus) : -43.35
Altitude  (metros): 103.56
Estação Operante
Inicio de operação: 15/03/1976
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82476;01/01/1961;0000;;;;65.25;0;
82476;01/01/1961;1200;;22.7;;;;
82476;02/01/1961;0000;;;;73;0;
82476;02/01/1961;1200;;23;;;;
82476;03/01/1961;0000;;;;72.25;0;
82476;03/01/1961;1200;;23.5;;;;
82476;04/01/1961;0000;;;;67.25;0;
82476;04/01/1961;1200;;23.6;;;;
82476;05/01/1961;0000;;;;67;0;
82476;05/01/1961;1200;;23.2;;;;
82476;06/01/1961;0000;;;;65;0.333333;
82476;06/01/1961;1200;;22.6;;;;
82476;07/01/1961;0000;;;;63;0;
82476;07/01/1961;1200;;24;;;;
82476;08/01/1961;0000;;;;64.5;0.333333;
82476;08/01/1961;1200;;24.7;;;;
82476;09/01/1961;0000;;;;60.5;0;
82476;09/01/1961;1200;;24;;;;
82476;10/01/1961;0000;;;;63.25;0;
82476;10/01/1961;1200;;24.6;;;;
82476;11/01/1961;0000;;;;61.75;0;
82476;11/01/1961;1200;;23.6;;;;
82476;12/01/1961;0000;;;;58.75;0;
82476;12/01/1961;1200;;23.6;;;;
82476;13/01/1961;0000;;;;77.25;0;
82476;13/01/1961;1200;;22.6;;;;
82476;14/01/1961;0000;;;;78.25;0;
82476;14/01/1961;1200;;23.1;;;;
82476;15/01/1961;0000;;;;69.25;0.333333;
82476;15/01/1961;1200;;23.4;;;;
82476;16/01/1961;0000;;;;68.75;0;
82476;16/01/1961;1200;;22.5;;;;
82476;17/01/1961;0000;;;;90.5;0;
82476;17/01/1961;1200;;21.6;;;;
82476;18/01/1961;0000;;;;84.75;0;
82476;18/01/1961;1200;;21.6;;;;
82476;19/01/1961;0000;;;;78.5;0;
82476;19/01/1961;1200;;22.2;;;;
82476;20/01/1961;0000;;;;86.5;0;
82476;20/01/1961;1200;;21.2;;;;
82476;21/01/1961;0000;;;;86.25;0;
82476;21/01/1961;1200;;22.4;;;;
82476;22/01/1961;0000;;;;90.5;0;
82476;22/01/1961;1200;;22.4;;;;
82476;23/01/1961;0000;;;;84;0;
82476;23/01/1961;1200;;21;;;;
82476;24/01/1961;0000;;;;79.25;0;
82476;24/01/1961;1200;;23.3;;;;
82476;25/01/1961;0000;;;;82;0;
82476;25/01/1961;1200;;23.6;;;;
82476;26/01/1961;0000;;;;80.25;0;
82476;26/01/1961;1200;;24;;;;
82476;27/01/1961;0000;;;;83.75;0;
82476;27/01/1961;1200;;24.6;;;;
82476;28/01/1961;0000;;;;77.25;0;
82476;28/01/1961;1200;;22;;;;
82476;29/01/1961;0000;;;;75.75;0;
82476;29/01/1961;1200;;23;;;;
82476;30/01/1961;0000;;;;72.75;0;
82476;30/01/1961;1200;;24.2;;;;
82476;31/01/1961;0000;;;;80.5;0;
82476;31/01/1961;1200;;24.8;;;;
82476;01/02/1961;0000;;;;85;0;
82476;01/02/1961;1200;;23;;;;
82476;02/02/1961;0000;;;;83.25;0;
82476;02/02/1961;1200;;21.8;;;;
82476;03/02/1961;0000;;;;80.75;0;
82476;03/02/1961;1200;;22;;;;
82476;04/02/1961;0000;;;;90;0;
82476;04/02/1961;1200;;21.4;;;;
82476;05/02/1961;0000;;;;87;0;
82476;05/02/1961;1200;;20.9;;;;
82476;06/02/1961;0000;;;;87.25;0;
82476;06/02/1961;1200;;21.7;;;;
82476;07/02/1961;0000;;;;88.75;0;
82476;07/02/1961;1200;;20.6;;;;
82476;08/02/1961;0000;;;;83.75;0;
82476;08/02/1961;1200;;20.6;;;;
82476;09/02/1961;0000;;;;80.5;0;
82476;09/02/1961;1200;;20.8;;;;
82476;10/02/1961;0000;;;;84.75;0;
82476;10/02/1961;1200;;22;;;;
