--------------------
BDMEP - INMET
--------------------
Estação           : PIRIPIRI - PI (OMM: 82480)
Latitude  (graus) : -4.26
Longitude (graus) : -41.78
Altitude  (metros): 161.12
Estação Operante
Inicio de operação: 09/03/1976
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82480;09/03/1976;0000;31.6;;25.3;80.5;1.466667;
82480;09/03/1976;1200;;21.8;;;;
82480;10/03/1976;0000;31.8;;25.9;80.5;2.566667;
82480;10/03/1976;1200;;22.2;;;;
82480;11/03/1976;0000;31.8;;25.16;90.75;1.933333;
82480;11/03/1976;1200;;22.5;;;;
82480;12/03/1976;0000;32.9;;25.52;80.75;1.766667;
82480;12/03/1976;1200;;21.2;;;;
82480;13/03/1976;0000;31;;25.46;84;1.2;
82480;13/03/1976;1200;;22.2;;;;
82480;14/03/1976;0000;30.9;;24.94;89.5;2.1;
82480;14/03/1976;1200;;21.3;;;;
82480;15/03/1976;0000;31.2;;24.96;92;0.866667;
82480;15/03/1976;1200;;21.2;;;;
82480;16/03/1976;0000;30.7;;25.36;86.25;1.166667;
82480;16/03/1976;1200;;22.7;;;;
82480;17/03/1976;0000;30.6;;25.16;89.25;1.233333;
82480;17/03/1976;1200;;22.5;;;;
82480;18/03/1976;0000;32.2;;27.08;81.5;1.566667;
82480;18/03/1976;1200;;25.3;;;;
82480;19/03/1976;0000;31.8;;25.98;78.75;1.766667;
82480;19/03/1976;1200;;22;;;;
82480;20/03/1976;0000;31.6;;25.36;86.25;0.966667;
82480;20/03/1976;1200;;21.8;;;;
82480;21/03/1976;0000;31.9;;26;77.25;2.1;
82480;21/03/1976;1200;;21.5;;;;
82480;22/03/1976;0000;31.1;;25.12;87;1.333333;
82480;22/03/1976;1200;;21.2;;;;
82480;23/03/1976;0000;31.8;;25.3;83;1.133333;
82480;23/03/1976;1200;;21.4;;;;
82480;24/03/1976;0000;31.1;;25.44;89.75;2.233333;
82480;24/03/1976;1200;;22.2;;;;
82480;25/03/1976;0000;31.8;;25.46;87;2.633333;
82480;25/03/1976;1200;;22;;;;
82480;26/03/1976;0000;31.2;;25.18;86.5;1.433333;
82480;26/03/1976;1200;;21.8;;;;
82480;27/03/1976;0000;29.8;;24.94;89;1.9;
82480;27/03/1976;1200;;22.5;;;;
82480;28/03/1976;0000;29.8;;24.48;92.5;0.933333;
82480;28/03/1976;1200;;22;;;;
82480;29/03/1976;0000;28.6;;24;94;0.6;
82480;29/03/1976;1200;;22.1;;;;
82480;30/03/1976;0000;27.2;;23.76;90.5;1.4;
82480;30/03/1976;1200;;21.4;;;;
82480;31/03/1976;0000;;;;;1.033333;
82480;31/03/1976;1200;;21.4;;;;
82480;01/04/1976;0000;31.1;;25.04;85.75;3.033333;
82480;01/04/1976;1200;;21.4;;;;
82480;02/04/1976;0000;29.8;;25;89.25;1.633333;
82480;02/04/1976;1200;;21.3;;;;
82480;03/04/1976;0000;30.7;;25.18;84.5;2.233333;
82480;03/04/1976;1200;;21.3;;;;
82480;04/04/1976;0000;31.9;;25.82;74;3.233333;
82480;04/04/1976;1200;;21.2;;;;
