--------------------
BDMEP - INMET
--------------------
Estação           : GUARAMIRANGA - CE (OMM: 82487)
Latitude  (graus) : -4.28
Longitude (graus) : -39
Altitude  (metros): 870.67
Estação Operante
Inicio de operação: 01/02/1911
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82487;01/01/1961;0000;29.8;;22.08;85.5;0;
82487;01/01/1961;1200;;17.2;;;;
82487;02/01/1961;0000;30;;22.2;86.5;0.3;
82487;02/01/1961;1200;;16.8;;;;
82487;03/01/1961;0000;28.4;;21.54;90;1.1;
82487;03/01/1961;1200;;17.4;;;;
82487;04/01/1961;0000;30.6;;22.8;84.25;0.3;
82487;04/01/1961;1200;;18.2;;;;
82487;05/01/1961;0000;30;;22.28;84.75;0.3;
82487;05/01/1961;1200;;17.9;;;;
82487;06/01/1961;0000;30.4;;22.7;85;0.3;
82487;06/01/1961;1200;;18.1;;;;
82487;07/01/1961;0000;28.8;;22.24;87;0.3;
82487;07/01/1961;1200;;18.8;;;;
82487;08/01/1961;0000;29.2;;22.2;79.25;1.9;
82487;08/01/1961;1200;;18.2;;;;
82487;09/01/1961;0000;27.8;;21.84;88.5;0.8;
82487;09/01/1961;1200;;18.2;;;;
82487;10/01/1961;0000;27.8;;22;84.5;1.1;
82487;10/01/1961;1200;;18.4;;;;
82487;11/01/1961;0000;29;;22.58;88.5;0.3;
82487;11/01/1961;1200;;18;;;;
82487;12/01/1961;0000;29.6;;22.66;87;0.3;
82487;12/01/1961;1200;;18.9;;;;
82487;13/01/1961;0000;29;;22.12;87.75;1.1;
82487;13/01/1961;1200;;18.2;;;;
82487;14/01/1961;0000;29.6;;21.96;84;0.8;
82487;14/01/1961;1200;;17.9;;;;
82487;15/01/1961;0000;30;;22.32;82.25;0.8;
82487;15/01/1961;1200;;17.1;;;;
82487;16/01/1961;0000;24.6;;20.28;94.75;0;
82487;16/01/1961;1200;;18.2;;;;
82487;17/01/1961;0000;26.4;;21.32;93.25;0;
82487;17/01/1961;1200;;17.6;;;;
82487;18/01/1961;0000;25.2;;21.32;94.5;0.3;
82487;18/01/1961;1200;;18.4;;;;
82487;19/01/1961;0000;25.4;;21.2;96.25;0;
82487;19/01/1961;1200;;17.8;;;;
82487;20/01/1961;0000;23.4;;20.44;94.75;0.3;
82487;20/01/1961;1200;;17.4;;;;
82487;21/01/1961;0000;24.2;;19.92;98.25;0.3;
82487;21/01/1961;1200;;16.6;;;;
82487;22/01/1961;0000;21.6;;19.6;99.5;0;
82487;22/01/1961;1200;;18;;;;
82487;23/01/1961;0000;25.4;;20.52;91.5;0;
82487;23/01/1961;1200;;16.6;;;;
82487;24/01/1961;0000;27.8;;21.76;89.75;0;
82487;24/01/1961;1200;;15.7;;;;
82487;25/01/1961;0000;25.8;;21.66;96.75;0;
82487;25/01/1961;1200;;18.6;;;;
82487;26/01/1961;0000;27.4;;21.58;94.5;0;
82487;26/01/1961;1200;;18.1;;;;
82487;27/01/1961;0000;24.2;;20.54;99.5;0;
82487;27/01/1961;1200;;18.5;;;;
82487;28/01/1961;0000;28.2;;22.06;89.5;0.6;
82487;28/01/1961;1200;;18.2;;;;
82487;29/01/1961;0000;28;;21.92;89.75;0.8;
82487;29/01/1961;1200;;17.4;;;;
82487;30/01/1961;0000;28;;22.2;92;0;
82487;30/01/1961;1200;;18.6;;;;
82487;31/01/1961;0000;28;;22.12;92.75;0.3;
82487;31/01/1961;1200;;18.2;;;;
82487;01/02/1961;0000;22.4;;19.28;100;0;
82487;01/02/1961;1200;;17.2;;;;
82487;02/02/1961;0000;24.2;;20.4;97;0.3;
82487;02/02/1961;1200;;16.8;;;;
82487;03/02/1961;0000;25;;20.68;95;0.3;
82487;03/02/1961;1200;;17.8;;;;
82487;04/02/1961;0000;27.2;;21.44;92.5;0;
82487;04/02/1961;1200;;18;;;;
82487;05/02/1961;0000;22.2;;19.76;96;0;
82487;05/02/1961;1200;;17.8;;;;
82487;06/02/1961;0000;25.4;;21.2;95;0.3;
82487;06/02/1961;1200;;17.6;;;;
82487;07/02/1961;0000;22.6;;19.56;97.75;0;
82487;07/02/1961;1200;;17.8;;;;
82487;08/02/1961;0000;25;;20.64;97.25;0;
82487;08/02/1961;1200;;16.8;;;;
82487;09/02/1961;0000;25.2;;20.64;95.25;0;
82487;09/02/1961;1200;;15.6;;;;
82487;10/02/1961;0000;23.8;;19.92;98.5;0.9;
82487;10/02/1961;1200;;17.2;;;;
82487;11/02/1961;0000;23.4;;19.56;99;0.8;
82487;11/02/1961;1200;;17.6;;;;
82487;12/02/1961;0000;25.6;;20.5;98.5;0;
82487;12/02/1961;1200;;16.9;;;;
82487;13/02/1961;0000;24.2;;20.14;95.25;0.6;
82487;13/02/1961;1200;;16.4;;;;
82487;14/02/1961;0000;27.4;;20.88;92.5;0.3;
82487;14/02/1961;1200;;15.8;;;;
82487;15/02/1961;0000;25.6;;20.4;95.75;0.6;
82487;15/02/1961;1200;;16.8;;;;
82487;16/02/1961;0000;22.2;;18.98;99.5;0;
82487;16/02/1961;1200;;16.7;;;;
82487;17/02/1961;0000;22.4;;19.48;98.25;0;
82487;17/02/1961;1200;;17.8;;;;
82487;18/02/1961;0000;25.2;;20.44;95.75;0;
82487;18/02/1961;1200;;17.8;;;;
82487;19/02/1961;0000;23.6;;20.12;97;0;
82487;19/02/1961;1200;;17.6;;;;
82487;20/02/1961;0000;24.4;;19.84;97;0;
82487;20/02/1961;1200;;16;;;;
82487;21/02/1961;0000;23.6;;19.8;97.25;0.3;
82487;21/02/1961;1200;;16.4;;;;
82487;22/02/1961;0000;24.4;;20.48;94;0.9;
82487;22/02/1961;1200;;16.8;;;;
82487;23/02/1961;0000;25.2;;20.48;96.5;1.4;
82487;23/02/1961;1200;;17.8;;;;
82487;24/02/1961;0000;22.8;;20.12;97.25;1.9;
82487;24/02/1961;1200;;17.4;;;;
82487;25/02/1961;0000;23.6;;20.32;94.25;0;
82487;25/02/1961;1200;;17.6;;;;
82487;26/02/1961;0000;22;;20.16;98.75;0.8;
82487;26/02/1961;1200;;18.4;;;;
82487;27/02/1961;0000;24.6;;20.24;95.25;1.466667;
82487;27/02/1961;1200;;18;;;;
82487;28/02/1961;0000;25;;20.64;95;0.3;
82487;28/02/1961;1200;;18.2;;;;
82487;01/03/1961;0000;25.4;;20.64;99;0;
82487;01/03/1961;1200;;17.8;;;;
82487;02/03/1961;0000;25.8;;21.32;95.25;0.3;
82487;02/03/1961;1200;;18;;;;
82487;03/03/1961;0000;25.6;;21.2;98;0;
82487;03/03/1961;1200;;19;;;;
82487;04/03/1961;0000;24.6;;21.36;98.25;1.1;
82487;04/03/1961;1200;;18.8;;;;
82487;05/03/1961;0000;25;;20.32;94.5;2.266667;
82487;05/03/1961;1200;;17.6;;;;
82487;06/03/1961;0000;24.4;;20.48;95.75;1.766667;
82487;06/03/1961;1200;;18;;;;
82487;07/03/1961;0000;25.8;;21.1;92.5;0.8;
82487;07/03/1961;1200;;18;;;;
82487;08/03/1961;0000;26.4;;21.68;94;0.6;
82487;08/03/1961;1200;;16.2;;;;
82487;09/03/1961;0000;27.4;;21.76;94.75;0;
82487;09/03/1961;1200;;18.6;;;;
82487;10/03/1961;0000;27.2;;21.96;93;0.8;
82487;10/03/1961;1200;;18.4;;;;
82487;11/03/1961;0000;25.2;;21.38;95.5;0;
82487;11/03/1961;1200;;17.5;;;;
82487;12/03/1961;0000;24;;20.6;96.25;0;
82487;12/03/1961;1200;;18.2;;;;
82487;13/03/1961;0000;23.4;;19.84;100;0;
82487;13/03/1961;1200;;18;;;;
82487;14/03/1961;0000;22.8;;19.96;97.5;0;
82487;14/03/1961;1200;;17;;;;
82487;15/03/1961;0000;23.4;;20.36;95.5;0;
82487;15/03/1961;1200;;18.2;;;;
82487;16/03/1961;0000;25.2;;21.64;90.5;0.3;
82487;16/03/1961;1200;;18;;;;
82487;17/03/1961;0000;27.2;;21.48;92.75;0;
82487;17/03/1961;1200;;18.4;;;;
82487;18/03/1961;0000;25.6;;21.04;95.75;0;
82487;18/03/1961;1200;;18;;;;
82487;19/03/1961;0000;25;;20.58;98;0;
82487;19/03/1961;1200;;18.1;;;;
82487;20/03/1961;0000;22.6;;20.12;100;0;
82487;20/03/1961;1200;;17.8;;;;
82487;21/03/1961;0000;25.4;;20.88;96;0;
82487;21/03/1961;1200;;17.2;;;;
82487;22/03/1961;0000;25;;20.44;95.25;0;
82487;22/03/1961;1200;;18;;;;
82487;23/03/1961;0000;23.8;;20.28;98.25;0;
82487;23/03/1961;1200;;17;;;;
82487;24/03/1961;0000;25;;20.8;96;0;
82487;24/03/1961;1200;;17.6;;;;
82487;25/03/1961;0000;25.6;;21.64;95.5;0;
82487;25/03/1961;1200;;18.4;;;;
82487;26/03/1961;0000;22.6;;19.36;100;0.6;
82487;26/03/1961;1200;;17.4;;;;
82487;27/03/1961;0000;26.8;;21.2;96.5;0;
82487;27/03/1961;1200;;17.8;;;;
82487;28/03/1961;0000;25.8;;20.44;96.5;0.3;
82487;28/03/1961;1200;;17.8;;;;
82487;29/03/1961;0000;26.2;;21.28;95;0.3;
82487;29/03/1961;1200;;17;;;;
82487;30/03/1961;0000;24.4;;20.58;99.5;0;
82487;30/03/1961;1200;;18.5;;;;
82487;31/03/1961;0000;25.2;;20.64;98.5;0.3;
82487;31/03/1961;1200;;16.8;;;;
82487;01/04/1961;0000;23.6;;20.64;96.25;0;
82487;01/04/1961;1200;;17.8;;;;
82487;02/04/1961;0000;24.8;;21.4;95.5;0.3;
82487;02/04/1961;1200;;18.4;;;;
82487;03/04/1961;0000;26.2;;21.36;91.5;0.3;
