--------------------
BDMEP - INMET
--------------------
Estação           : JAGUARUANA - CE (OMM: 82493)
Latitude  (graus) : -4.78
Longitude (graus) : -37.76
Altitude  (metros): 11.71
Estação Operante
Inicio de operação: 01/01/1914
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82493;01/10/1969;0000;32.6;;26.88;67;5;
82493;01/10/1969;1200;;22.1;;;;
82493;02/10/1969;0000;32.8;;26.86;69;5.666667;
82493;02/10/1969;1200;;22.1;;;;
82493;03/10/1969;0000;32.3;;28.36;55.5;5.666667;
82493;03/10/1969;1200;;22.3;;;;
82493;04/10/1969;0000;32.3;;27.72;65.75;7.333333;
82493;04/10/1969;1200;;25.1;;;;
82493;05/10/1969;0000;32.5;;27.44;67.75;5;
82493;05/10/1969;1200;;25.2;;;;
82493;06/10/1969;0000;33.5;;26.94;65.25;4.333333;
82493;06/10/1969;1200;;22.6;;;;
82493;07/10/1969;0000;36;;28.3;62;3.666667;
82493;07/10/1969;1200;;22.4;;;;
82493;08/10/1969;0000;36.6;;27.72;61;4.333333;
82493;08/10/1969;1200;;19.6;;;;
82493;09/10/1969;0000;34.4;;27.46;62.75;4.333333;
82493;09/10/1969;1200;;21.3;;;;
82493;10/10/1969;0000;33.4;;27.14;63.25;4.333333;
82493;10/10/1969;1200;;21.5;;;;
82493;11/10/1969;0000;;;;;3.333333;
82493;11/10/1969;1200;;22.6;;;;
82493;12/10/1969;0000;33;;;;5;
82493;13/10/1969;0000;33.3;;27.72;63.25;3;
82493;13/10/1969;1200;;23.1;;;;
82493;14/10/1969;0000;34.8;;27.68;63.75;5.666667;
82493;14/10/1969;1200;;21.8;;;;
82493;15/10/1969;0000;33.1;;27.2;64.5;7;
82493;15/10/1969;1200;;22.6;;;;
82493;16/10/1969;0000;32;;26.62;65.5;4;
82493;16/10/1969;1200;;22.8;;;;
82493;17/10/1969;0000;32.8;;26.86;69;3;
82493;17/10/1969;1200;;22.8;;;;
82493;18/10/1969;0000;32.2;;26.52;65.75;5;
82493;18/10/1969;1200;;21.3;;;;
82493;19/10/1969;0000;34.3;;27.34;67.25;3.666667;
82493;19/10/1969;1200;;23.3;;;;
82493;20/10/1969;0000;33.2;;27.54;66.25;4.333333;
82493;20/10/1969;1200;;23.8;;;;
82493;21/10/1969;0000;33.4;;27.16;66;2.333333;
82493;21/10/1969;1200;;23.4;;;;
82493;22/10/1969;0000;35.1;;27.58;65.75;5;
82493;22/10/1969;1200;;22.7;;;;
82493;23/10/1969;0000;34.7;;27.6;66.25;6.333333;
82493;23/10/1969;1200;;22.7;;;;
82493;24/10/1969;0000;34.7;;27.68;66;5.333333;
82493;24/10/1969;1200;;23.3;;;;
82493;25/10/1969;0000;33.9;;28.06;67.75;4.333333;
82493;25/10/1969;1200;;23.4;;;;
82493;26/10/1969;0000;31.8;;26.56;69.75;5.666667;
82493;26/10/1969;1200;;23;;;;
82493;27/10/1969;0000;32.4;;26.84;61.25;4.333333;
82493;27/10/1969;1200;;21.8;;;;
82493;28/10/1969;0000;34.4;;27.54;65;6.5;
82493;28/10/1969;1200;;21.6;;;;
82493;29/10/1969;0000;34.2;;27.14;63.75;4.333333;
82493;29/10/1969;1200;;21;;;;
82493;30/10/1969;0000;33.9;;27.68;66.25;6;
82493;30/10/1969;1200;;23.6;;;;
82493;31/10/1969;0000;33.3;;27.6;64;6.333333;
82493;31/10/1969;1200;;24.2;;;;
82493;01/11/1969;0000;34.1;;27.28;65.5;6.666667;
82493;01/11/1969;1200;;22.4;;;;
82493;02/11/1969;0000;33.6;;26.96;66.5;4;
82493;02/11/1969;1200;;23.2;;;;
82493;03/11/1969;0000;30.8;;27.92;56;4.333333;
82493;03/11/1969;1200;;21.2;;;;
82493;04/11/1969;0000;32.2;;26.96;65.75;5.333333;
82493;04/11/1969;1200;;21.2;;;;
82493;05/11/1969;0000;32.8;;27.62;67.5;7.666667;
82493;05/11/1969;1200;;24;;;;
