--------------------
BDMEP - INMET
--------------------
Estação           : MARABA - PA (OMM: 82562)
Latitude  (graus) : -5.36
Longitude (graus) : -49.13
Altitude  (metros): 95.00
Estação Operante
Inicio de operação: 01/01/1952
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82562;01/01/1973;0000;31.2;;25.9;83.75;0.666667;
82562;01/01/1973;1200;;23;;;;
82562;02/01/1973;0000;32.7;;27.14;79.25;0.666667;
82562;02/01/1973;1200;;22.5;;;;
82562;03/01/1973;0000;29.5;;24.82;92.25;0;
82562;03/01/1973;1200;;21.5;;;;
82562;04/01/1973;0000;31.2;;25.9;88.5;1.333333;
82562;04/01/1973;1200;;22.2;;;;
82562;05/01/1973;0000;31.1;;26.32;87;0;
82562;05/01/1973;1200;;21.2;;;;
82562;06/01/1973;0000;33.1;;28.02;82;0.666667;
82562;06/01/1973;1200;;23.5;;;;
82562;07/01/1973;0000;33.2;;27.72;81.75;0.333333;
82562;07/01/1973;1200;;24.3;;;;
82562;08/01/1973;0000;32.5;;28.2;77;2;
82562;08/01/1973;1200;;23.7;;;;
82562;09/01/1973;0000;31.7;;25.96;86.25;3;
82562;09/01/1973;1200;;23.8;;;;
82562;10/01/1973;0000;30.7;;25.04;87.75;0.333333;
82562;10/01/1973;1200;;21.4;;;;
82562;11/01/1973;0000;28.1;;24.78;87.5;1.666667;
82562;11/01/1973;1200;;21.5;;;;
82562;12/01/1973;0000;29.1;;25.3;87;0.333333;
82562;12/01/1973;1200;;20.8;;;;
82562;13/01/1973;0000;31;;25.46;85.25;0.666667;
82562;13/01/1973;1200;;20.1;;;;
82562;14/01/1973;0000;30.4;;25.92;85;1.333333;
82562;14/01/1973;1200;;22.3;;;;
82562;15/01/1973;0000;29.5;;25.7;84.5;0;
82562;15/01/1973;1200;;22;;;;
82562;16/01/1973;0000;30.3;;26.1;85.5;0.333333;
82562;16/01/1973;1200;;22.4;;;;
82562;17/01/1973;0000;31.2;;26.76;82.25;1;
82562;17/01/1973;1200;;22.8;;;;
