--------------------
BDMEP - INMET
--------------------
Estação           : IMPERATRIZ - MA (OMM: 82564)
Latitude  (graus) : -5.53
Longitude (graus) : -47.48
Altitude  (metros): 123.30
Estação Operante
Inicio de operação: 01/01/1913
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82564;01/06/1961;0000;32.9;;26.02;73.75;1.333333;
82564;01/06/1961;1200;;19.9;;;;
82564;02/06/1961;0000;33;;25.04;78.25;1.333333;
82564;02/06/1961;1200;;18.4;;;;
82564;03/06/1961;0000;33.4;;25.96;75.25;1.333333;
82564;03/06/1961;1200;;19.5;;;;
82564;04/06/1961;0000;33.5;;26.3;76;2;
82564;04/06/1961;1200;;20.1;;;;
82564;05/06/1961;0000;33.5;;26.38;73;1.666667;
82564;05/06/1961;1200;;20.9;;;;
82564;06/06/1961;0000;34;;25.4;78.75;1.666667;
82564;06/06/1961;1200;;19.3;;;;
82564;07/06/1961;0000;33.2;;25.4;74.5;1.333333;
82564;07/06/1961;1200;;18.2;;;;
82564;08/06/1961;0000;33.6;;24.96;77.5;1.333333;
82564;08/06/1961;1200;;17.8;;;;
82564;09/06/1961;0000;34;;25.7;79.25;1;
82564;09/06/1961;1200;;18.7;;;;
82564;10/06/1961;0000;32.8;;25.82;79.25;1;
82564;10/06/1961;1200;;19.5;;;;
82564;11/06/1961;0000;32.8;;25.7;81.5;0.666667;
82564;11/06/1961;1200;;19.9;;;;
82564;12/06/1961;0000;33.6;;26.64;74.75;1.666667;
82564;12/06/1961;1200;;19.7;;;;
82564;13/06/1961;0000;34.2;;25.84;75.5;1.666667;
82564;13/06/1961;1200;;19.1;;;;
82564;14/06/1961;0000;33.2;;25.3;82.25;0.666667;
82564;14/06/1961;1200;;19;;;;
82564;15/06/1961;0000;32;;24.88;81.75;1;
82564;15/06/1961;1200;;20.9;;;;
82564;16/06/1961;0000;31.6;;25.42;90.75;0.333333;
82564;16/06/1961;1200;;20.8;;;;
82564;17/06/1961;0000;31.2;;25.28;83.75;0.666667;
82564;17/06/1961;1200;;20.4;;;;
82564;18/06/1961;0000;32;;24.7;77.25;1.333333;
82564;18/06/1961;1200;;20.1;;;;
82564;19/06/1961;0000;32.3;;23.86;75.25;1.666667;
82564;19/06/1961;1200;;17.6;;;;
82564;20/06/1961;0000;32.2;;24.06;74.5;1.666667;
82564;20/06/1961;1200;;16.6;;;;
82564;21/06/1961;0000;32.8;;24.46;80.25;1.333333;
82564;21/06/1961;1200;;18;;;;
82564;22/06/1961;0000;33.4;;24.8;75.5;1.333333;
82564;22/06/1961;1200;;18.2;;;;
82564;23/06/1961;0000;33.3;;25.62;77.25;1;
82564;23/06/1961;1200;;18.2;;;;
82564;24/06/1961;0000;32.5;;25.38;71.75;1.333333;
82564;24/06/1961;1200;;19.2;;;;
82564;25/06/1961;0000;31.7;;23.7;75;1;
82564;25/06/1961;1200;;18;;;;
82564;26/06/1961;0000;32.4;;24.8;76.5;1.333333;
82564;26/06/1961;1200;;15.9;;;;
82564;27/06/1961;0000;33.3;;25.82;75;1.666667;
