--------------------
BDMEP - INMET
--------------------
Estação           : BARRA DO CORDA - MA (OMM: 82571)
Latitude  (graus) : -5.5
Longitude (graus) : -45.23
Altitude  (metros): 153.00
Estação Operante
Inicio de operação: 14/01/1912
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82571;01/01/1961;0000;33.4;;26.52;73;1.333333;
82571;01/01/1961;1200;;20.6;;;;
82571;02/01/1961;0000;33.4;;27.16;72;0.666667;
82571;02/01/1961;1200;;20.4;;;;
82571;03/01/1961;0000;33.6;;26.96;73;1.333333;
82571;03/01/1961;1200;;20.2;;;;
82571;04/01/1961;0000;33.3;;27.1;69.5;0.666667;
82571;04/01/1961;1200;;21.2;;;;
82571;05/01/1961;0000;34.2;;27.66;67;1.333333;
82571;05/01/1961;1200;;21.1;;;;
82571;06/01/1961;0000;33.4;;27.08;71.25;1.333333;
82571;06/01/1961;1200;;20.6;;;;
82571;07/01/1961;0000;33.6;;26.84;76;0.666667;
82571;07/01/1961;1200;;22.3;;;;
82571;08/01/1961;0000;33.2;;27.34;71;2;
82571;08/01/1961;1200;;22.5;;;;
82571;09/01/1961;0000;33.9;;27.68;65;1.333333;
82571;09/01/1961;1200;;20.7;;;;
82571;10/01/1961;0000;34.6;;27.32;75;2;
82571;10/01/1961;1200;;21.4;;;;
82571;11/01/1961;0000;35.4;;28.08;65.25;2.666667;
82571;11/01/1961;1200;;20.2;;;;
82571;12/01/1961;0000;35.2;;28.02;68.25;0.666667;
82571;12/01/1961;1200;;21.2;;;;
82571;13/01/1961;0000;33.4;;25.88;85.75;0;
82571;13/01/1961;1200;;19.2;;;;
82571;14/01/1961;0000;31;;24.7;91.25;0;
82571;14/01/1961;1200;;20.2;;;;
82571;15/01/1961;0000;32;;26;78.5;0;
82571;15/01/1961;1200;;20.1;;;;
82571;16/01/1961;0000;34.4;;27.48;69;1.333333;
82571;16/01/1961;1200;;21.4;;;;
82571;17/01/1961;0000;29;;23.96;94.5;0;
82571;17/01/1961;1200;;19.7;;;;
82571;18/01/1961;0000;30.6;;24.44;88;0;
82571;18/01/1961;1200;;20.2;;;;
82571;19/01/1961;0000;32;;25.32;84.25;0;
82571;19/01/1961;1200;;20;;;;
82571;20/01/1961;0000;30;;24.56;87;0.666667;
82571;20/01/1961;1200;;19.6;;;;
82571;21/01/1961;0000;33.2;;25.64;81.5;0.666667;
82571;21/01/1961;1200;;20.4;;;;
82571;22/01/1961;0000;28.1;;25.36;91.25;0;
82571;22/01/1961;1200;;20.4;;;;
82571;23/01/1961;0000;29.6;;24.24;87.5;0;
82571;23/01/1961;1200;;19.4;;;;
82571;24/01/1961;0000;32.4;;26.08;80;0;
82571;24/01/1961;1200;;20.2;;;;
82571;25/01/1961;0000;32.8;;26.4;79.5;0.666667;
82571;25/01/1961;1200;;21;;;;
82571;26/01/1961;0000;32.4;;27.12;80.75;0.666667;
82571;26/01/1961;1200;;23.2;;;;
82571;27/01/1961;0000;31.2;;26.52;80.75;0;
82571;27/01/1961;1200;;21.4;;;;
82571;28/01/1961;0000;33.2;;26.64;80.5;0.666667;
82571;28/01/1961;1200;;21;;;;
