--------------------
BDMEP - INMET
--------------------
Estação           : TERESINA - PI (OMM: 82578)
Latitude  (graus) : -5.08
Longitude (graus) : -42.81
Altitude  (metros): 74.36
Estação Operante
Inicio de operação: 21/03/1911
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82578;01/01/1961;0000;36;;28.96;60;1.333333;
82578;01/01/1961;1200;;23;;;;
82578;02/01/1961;0000;35.4;;27.94;67;1.333333;
82578;02/01/1961;1200;;23;;;;
82578;03/01/1961;0000;33.9;;28.36;67.75;0.666667;
82578;03/01/1961;1200;;23.7;;;;
82578;04/01/1961;0000;33.9;;28.62;63.75;1;
82578;04/01/1961;1200;;24;;;;
82578;05/01/1961;0000;35;;28.7;62;1;
82578;05/01/1961;1200;;23.2;;;;
82578;06/01/1961;0000;36.5;;29.64;57.25;1;
82578;06/01/1961;1200;;23;;;;
82578;07/01/1961;0000;36.1;;28.86;59.5;2;
82578;07/01/1961;1200;;24.1;;;;
82578;08/01/1961;0000;35.4;;29.78;56;1;
82578;08/01/1961;1200;;24.8;;;;
82578;09/01/1961;0000;35.7;;30.32;53.5;1;
82578;09/01/1961;1200;;24.8;;;;
82578;10/01/1961;0000;36.3;;29.46;61.75;1.333333;
82578;10/01/1961;1200;;25;;;;
82578;11/01/1961;0000;37.1;;30.28;52.5;2.333333;
82578;11/01/1961;1200;;23.7;;;;
82578;12/01/1961;0000;37.2;;30.34;55.75;1;
82578;12/01/1961;1200;;23.8;;;;
82578;13/01/1961;0000;33.8;;28.58;68;1.333333;
82578;13/01/1961;1200;;23.8;;;;
82578;14/01/1961;0000;29.1;;24.36;90.25;1;
82578;14/01/1961;1200;;20.4;;;;
82578;15/01/1961;0000;34;;27.62;68.75;2;
82578;15/01/1961;1200;;23.6;;;;
82578;16/01/1961;0000;35.5;;28.64;64.5;1.333333;
82578;16/01/1961;1200;;23.8;;;;
82578;17/01/1961;0000;28.3;;24.78;88.25;0.333333;
82578;17/01/1961;1200;;22;;;;
82578;18/01/1961;0000;29.3;;25.48;86.75;0.666667;
82578;18/01/1961;1200;;21.5;;;;
82578;19/01/1961;0000;31.6;;26.2;79.5;1;
82578;19/01/1961;1200;;22.2;;;;
82578;20/01/1961;0000;29.3;;25.18;88;0.333333;
82578;20/01/1961;1200;;22.3;;;;
82578;21/01/1961;0000;29.9;;24.76;87.75;2.333333;
82578;21/01/1961;1200;;22.6;;;;
82578;22/01/1961;0000;27.7;;25.2;89.25;1;
82578;22/01/1961;1200;;23;;;;
82578;23/01/1961;0000;30.4;;25.3;82.75;1.333333;
82578;23/01/1961;1200;;21.1;;;;
82578;24/01/1961;0000;33;;27.84;70.75;1;
82578;24/01/1961;1200;;23;;;;
82578;25/01/1961;0000;32.4;;26.82;85.5;1.333333;
82578;25/01/1961;1200;;23.6;;;;
82578;26/01/1961;0000;32.8;;27.86;77.75;0.333333;
82578;26/01/1961;1200;;23.2;;;;
82578;27/01/1961;0000;31.5;;25.74;85.5;1.666667;
82578;27/01/1961;1200;;22;;;;
82578;28/01/1961;0000;33.2;;27.5;79.25;1;
82578;28/01/1961;1200;;21.8;;;;
82578;29/01/1961;0000;33.6;;27.94;75.25;0.666667;
82578;29/01/1961;1200;;23.8;;;;
82578;30/01/1961;0000;33.4;;28.1;72.25;0.666667;
82578;30/01/1961;1200;;23;;;;
82578;31/01/1961;0000;32;;27.14;80.25;1.666667;
82578;31/01/1961;1200;;24.1;;;;
82578;01/02/1961;0000;30.2;;25.46;86.75;0.666667;
82578;01/02/1961;1200;;22.1;;;;
82578;02/02/1961;0000;30.8;;25.44;82.5;1;
82578;02/02/1961;1200;;21;;;;
82578;03/02/1961;0000;31.9;;26.82;79.25;0.666667;
82578;03/02/1961;1200;;22.2;;;;
82578;04/02/1961;0000;30.6;;25.34;86.25;2;
82578;04/02/1961;1200;;22;;;;
82578;05/02/1961;0000;32.5;;25.16;80;1.333333;
82578;05/02/1961;1200;;21.4;;;;
82578;06/02/1961;0000;28.9;;25.68;88;1.333333;
82578;06/02/1961;1200;;23;;;;
82578;07/02/1961;0000;31.2;;24.18;83.75;0.333333;
82578;07/02/1961;1200;;21.2;;;;
82578;08/02/1961;0000;32.4;;25.58;78.25;1.333333;
82578;08/02/1961;1200;;21.6;;;;
82578;09/02/1961;0000;32.2;;25.94;82.75;1;
82578;09/02/1961;1200;;22.8;;;;
82578;10/02/1961;0000;30.7;;24.92;88;1.666667;
82578;10/02/1961;1200;;22.4;;;;
82578;11/02/1961;0000;30.3;;24.16;87.25;1.333333;
82578;11/02/1961;1200;;21.5;;;;
82578;12/02/1961;0000;30.5;;26.38;78.75;0.666667;
82578;12/02/1961;1200;;21.8;;;;
82578;13/02/1961;0000;30.4;;25.14;81.75;0.666667;
82578;13/02/1961;1200;;21;;;;
82578;14/02/1961;0000;30.3;;25.78;82.75;0.666667;
82578;14/02/1961;1200;;21.4;;;;
82578;15/02/1961;0000;29.9;;26.12;82;1;
82578;15/02/1961;1200;;23;;;;
82578;16/02/1961;0000;30.8;;24.24;87.5;1;
82578;16/02/1961;1200;;21.3;;;;
82578;17/02/1961;0000;31.8;;26.4;79;1.666667;
82578;17/02/1961;1200;;21.5;;;;
82578;18/02/1961;0000;32.2;;25.96;81.25;2.333333;
82578;18/02/1961;1200;;22;;;;
82578;19/02/1961;0000;30.9;;25.2;87.75;0.666667;
82578;19/02/1961;1200;;22.6;;;;
82578;20/02/1961;0000;31.2;;25.72;88.25;0.666667;
82578;20/02/1961;1200;;22.8;;;;
82578;21/02/1961;0000;33;;26.48;81.5;1.333333;
82578;21/02/1961;1200;;22;;;;
82578;22/02/1961;0000;31.3;;26.7;81.75;1.333333;
82578;22/02/1961;1200;;23.1;;;;
82578;23/02/1961;0000;31.9;;26.44;84;1.333333;
82578;23/02/1961;1200;;23.2;;;;
82578;24/02/1961;0000;32.9;;26;79.5;1.333333;
82578;24/02/1961;1200;;22.2;;;;
82578;25/02/1961;0000;32.5;;27.62;78;1.333333;
82578;25/02/1961;1200;;23;;;;
82578;26/02/1961;0000;33.4;;26.58;80;1.333333;
82578;26/02/1961;1200;;23;;;;
82578;27/02/1961;0000;32.8;;26.26;80.5;1.333333;
82578;27/02/1961;1200;;23.7;;;;
82578;28/02/1961;0000;32.5;;25.18;84.25;0.666667;
82578;28/02/1961;1200;;22.7;;;;
82578;01/03/1961;0000;31.8;;25.98;81;1.333333;
82578;01/03/1961;1200;;22.4;;;;
82578;02/03/1961;0000;32.8;;27.46;82.75;0.666667;
82578;02/03/1961;1200;;23.2;;;;
82578;03/03/1961;0000;32.3;;27.42;77.5;1;
82578;03/03/1961;1200;;24.1;;;;
82578;04/03/1961;0000;32.9;;28.08;74;1.333333;
82578;04/03/1961;1200;;23.2;;;;
82578;05/03/1961;0000;32;;27.42;75;1.333333;
82578;05/03/1961;1200;;23.3;;;;
82578;06/03/1961;0000;32.7;;27.72;73.5;2;
82578;06/03/1961;1200;;22.6;;;;
82578;07/03/1961;0000;33.3;;28.34;73;1;
82578;07/03/1961;1200;;23.1;;;;
82578;08/03/1961;0000;33.4;;27.88;73.5;1.333333;
82578;08/03/1961;1200;;23.3;;;;
82578;09/03/1961;0000;32.8;;27.98;75.5;1.666667;
82578;09/03/1961;1200;;23.2;;;;
82578;10/03/1961;0000;34.5;;28.24;76.75;0.666667;
82578;10/03/1961;1200;;23.8;;;;
82578;11/03/1961;0000;33.4;;26.06;76.75;2;
82578;11/03/1961;1200;;21.4;;;;
82578;12/03/1961;0000;31.5;;25.72;81.25;1.666667;
82578;12/03/1961;1200;;22;;;;
82578;13/03/1961;0000;28.9;;24.26;89;1;
82578;13/03/1961;1200;;22.3;;;;
82578;14/03/1961;0000;30.8;;25.86;82.5;1.666667;
82578;14/03/1961;1200;;22.5;;;;
82578;15/03/1961;0000;26.7;;24.36;93.5;1.333333;
82578;15/03/1961;1200;;23;;;;
82578;16/03/1961;0000;32.8;;26.44;83.25;0.666667;
82578;16/03/1961;1200;;21.9;;;;
82578;17/03/1961;0000;33.3;;27.32;77.5;1.666667;
82578;17/03/1961;1200;;23;;;;
82578;18/03/1961;0000;32.4;;26.56;78;1.666667;
82578;18/03/1961;1200;;23;;;;
82578;19/03/1961;0000;31.9;;26.22;86;1.666667;
82578;19/03/1961;1200;;23;;;;
82578;20/03/1961;0000;29.4;;25.6;88.25;1;
82578;20/03/1961;1200;;22.7;;;;
82578;21/03/1961;0000;30;;25.2;87;0.666667;
82578;21/03/1961;1200;;22.1;;;;
82578;22/03/1961;0000;31;;26.1;82;1;
82578;22/03/1961;1200;;21.2;;;;
82578;23/03/1961;0000;32.3;;25.52;83.25;0.666667;
82578;23/03/1961;1200;;22.8;;;;
82578;24/03/1961;0000;32.4;;26.06;86;0.333333;
82578;24/03/1961;1200;;22;;;;
82578;25/03/1961;0000;31.6;;26.22;85.25;0.333333;
82578;25/03/1961;1200;;23;;;;
82578;26/03/1961;0000;29.9;;25.76;90.75;0.666667;
82578;26/03/1961;1200;;23;;;;
82578;27/03/1961;0000;29.6;;25.68;85.25;1;
