--------------------
BDMEP - INMET
--------------------
Estação           : CRATEUS - CE (OMM: 82583)
Latitude  (graus) : -5.16
Longitude (graus) : -40.66
Altitude  (metros): 296.82
Estação Operante
Inicio de operação: 01/12/1962
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82583;01/12/1962;0000;35.1;;27.4;50.5;1.333333;
82583;01/12/1962;1200;;18.5;;;;
82583;02/12/1962;0000;35.9;;28.1;45.75;4.333333;
82583;02/12/1962;1200;;19;;;;
82583;03/12/1962;0000;35.3;;26.98;45.25;4;
82583;03/12/1962;1200;;17.2;;;;
82583;04/12/1962;0000;36.7;;27.24;46.75;2.333333;
82583;04/12/1962;1200;;16.2;;;;
82583;05/12/1962;0000;36.9;;28.16;47.25;4;
82583;05/12/1962;1200;;16.5;;;;
82583;06/12/1962;0000;34.7;;28.32;46.75;2.666667;
82583;06/12/1962;1200;;19;;;;
82583;07/12/1962;0000;35.7;;28.3;47.75;2;
82583;07/12/1962;1200;;19.1;;;;
82583;08/12/1962;0000;34.9;;28.38;47.5;1.333333;
82583;08/12/1962;1200;;19;;;;
82583;09/12/1962;0000;34.3;;27.2;61.5;3.333333;
82583;09/12/1962;1200;;20.1;;;;
82583;10/12/1962;0000;35.1;;27.9;44;2.333333;
82583;10/12/1962;1200;;17.8;;;;
82583;11/12/1962;0000;35.4;;28.4;45.5;3.333333;
82583;11/12/1962;1200;;17;;;;
82583;12/12/1962;0000;32.8;;27.6;47.25;2;
82583;12/12/1962;1200;;20.1;;;;
82583;13/12/1962;0000;34.8;;28.58;44.75;2;
82583;13/12/1962;1200;;20.1;;;;
82583;14/12/1962;0000;32.6;;28.08;48.5;3.666667;
82583;14/12/1962;1200;;19.6;;;;
82583;15/12/1962;0000;35.7;;27.76;55;2.666667;
82583;15/12/1962;1200;;19.8;;;;
82583;16/12/1962;0000;28.7;;24.04;89.25;2.666667;
82583;16/12/1962;1200;;18;;;;
82583;17/12/1962;0000;30.7;;25.3;66.75;3.666667;
82583;17/12/1962;1200;;17;;;;
82583;18/12/1962;0000;34.3;;27.06;56.25;3.666667;
82583;18/12/1962;1200;;18;;;;
82583;19/12/1962;0000;34.9;;27.62;51.25;3.333333;
82583;19/12/1962;1200;;18.2;;;;
82583;20/12/1962;0000;34.2;;27.7;55.25;2.333333;
82583;20/12/1962;1200;;18.5;;;;
82583;21/12/1962;0000;34.5;;27.9;50.5;3.666667;
82583;21/12/1962;1200;;18.8;;;;
82583;22/12/1962;0000;31.7;;26.48;59.25;2.666667;
82583;22/12/1962;1200;;18.2;;;;
82583;23/12/1962;0000;34.9;;26.5;72;2;
82583;23/12/1962;1200;;18.2;;;;
82583;24/12/1962;0000;34.6;;26.64;64;2.666667;
82583;24/12/1962;1200;;19;;;;
82583;25/12/1962;0000;34.1;;27.46;50.75;3;
82583;25/12/1962;1200;;19;;;;
82583;26/12/1962;0000;34.4;;27.48;50.5;2.666667;
82583;26/12/1962;1200;;18.6;;;;
82583;27/12/1962;0000;34.8;;27.5;54.5;3;
82583;27/12/1962;1200;;17.8;;;;
82583;28/12/1962;0000;35.1;;27.36;54.75;3;
82583;28/12/1962;1200;;18;;;;
82583;29/12/1962;0000;35.1;;27.9;48.5;2.666667;
82583;29/12/1962;1200;;17.4;;;;
82583;30/12/1962;0000;35.4;;28.26;48.25;3;
82583;30/12/1962;1200;;19.4;;;;
82583;31/12/1962;0000;34.9;;27.64;53;2.333333;
82583;31/12/1962;1200;;18.6;;;;
82583;01/01/1963;0000;35.5;;27.56;53.5;2.666667;
82583;01/01/1963;1200;;18.6;;;;
82583;02/01/1963;0000;35.5;;28.02;52;2.333333;
82583;02/01/1963;1200;;18.8;;;;
82583;03/01/1963;0000;35.6;;27.66;53.25;2;
82583;03/01/1963;1200;;18;;;;
82583;04/01/1963;0000;35;;28.58;53.5;1.666667;
82583;04/01/1963;1200;;19.6;;;;
82583;05/01/1963;0000;34.4;;28.48;53;3.333333;
82583;05/01/1963;1200;;20.6;;;;
