--------------------
BDMEP - INMET
--------------------
Estação           : MORADA NOVA - CE (OMM: 82588)
Latitude  (graus) : -5.11
Longitude (graus) : -38.36
Altitude  (metros): 43.62
Estação Operante
Inicio de operação: 01/10/1962
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82588;01/10/1962;0000;37.8;;29.06;54.25;4.666667;
82588;01/10/1962;1200;;23.1;;;;
82588;02/10/1962;0000;36.2;;27.88;57.5;4;
82588;02/10/1962;1200;;22;;;;
82588;03/10/1962;0000;37.8;;28.04;59.25;3.333333;
82588;03/10/1962;1200;;22.2;;;;
82588;04/10/1962;0000;36.4;;27.54;61.75;2;
82588;04/10/1962;1200;;21.5;;;;
82588;05/10/1962;0000;37;;28.12;62;4;
82588;05/10/1962;1200;;23.4;;;;
82588;06/10/1962;0000;36;;28.08;63.25;4.666667;
82588;06/10/1962;1200;;24.6;;;;
82588;07/10/1962;0000;35.8;;27.94;60.75;5.333333;
82588;07/10/1962;1200;;23.1;;;;
82588;08/10/1962;0000;36.5;;28.4;56.75;2.666667;
82588;08/10/1962;1200;;23.4;;;;
82588;09/10/1962;0000;35;;27.92;56;4;
82588;09/10/1962;1200;;23.4;;;;
82588;10/10/1962;0000;34.9;;27.8;57.5;3.333333;
82588;10/10/1962;1200;;22.7;;;;
82588;11/10/1962;0000;35;;27.42;62.5;2.666667;
82588;11/10/1962;1200;;22.1;;;;
82588;12/10/1962;0000;36.4;;28.26;60.75;4;
82588;12/10/1962;1200;;23.3;;;;
82588;13/10/1962;0000;37.5;;28.24;59.75;4;
82588;13/10/1962;1200;;22.5;;;;
82588;14/10/1962;0000;37.6;;28.42;56.5;5.333333;
82588;14/10/1962;1200;;22.9;;;;
82588;15/10/1962;0000;36;;27.46;54.5;2.666667;
82588;15/10/1962;1200;;20.7;;;;
82588;16/10/1962;0000;37;;27.92;56.5;2;
82588;16/10/1962;1200;;21.2;;;;
82588;17/10/1962;0000;37.4;;28.5;57.25;2.666667;
82588;17/10/1962;1200;;21.7;;;;
82588;18/10/1962;0000;37.6;;28.82;57;4;
82588;18/10/1962;1200;;22.5;;;;
82588;19/10/1962;0000;37.2;;28.44;53;4;
82588;19/10/1962;1200;;22.8;;;;
82588;20/10/1962;0000;36.8;;28.3;56;2;
82588;20/10/1962;1200;;21.3;;;;
82588;21/10/1962;0000;36.8;;28.38;54;2.666667;
82588;21/10/1962;1200;;21.9;;;;
82588;22/10/1962;0000;38;;29.18;53;3.333333;
82588;22/10/1962;1200;;22.9;;;;
82588;23/10/1962;0000;37.8;;29.06;53.5;4.666667;
82588;23/10/1962;1200;;22.5;;;;
82588;24/10/1962;0000;37;;28.82;51;3.333333;
82588;24/10/1962;1200;;22.9;;;;
82588;25/10/1962;0000;37.2;;27.9;58.5;2.666667;
82588;25/10/1962;1200;;22.3;;;;
82588;26/10/1962;0000;37;;28.02;58.5;4;
82588;26/10/1962;1200;;22.3;;;;
82588;27/10/1962;0000;37.4;;28.02;54.75;4;
82588;27/10/1962;1200;;21.5;;;;
82588;28/10/1962;0000;36.4;;28.06;52;3.333333;
82588;28/10/1962;1200;;21.5;;;;
82588;29/10/1962;0000;36.5;;28.44;53;5.333333;
82588;29/10/1962;1200;;21.9;;;;
82588;30/10/1962;0000;35.2;;27.94;58.75;4.333333;
82588;30/10/1962;1200;;22.7;;;;
82588;31/10/1962;0000;37;;28.3;55;2.333333;
82588;31/10/1962;1200;;22.9;;;;
82588;01/11/1962;0000;37.6;;28.12;57.25;1.333333;
82588;01/11/1962;1200;;21.6;;;;
82588;02/11/1962;0000;37;;28.54;57.25;2.666667;
82588;02/11/1962;1200;;23.5;;;;
82588;03/11/1962;0000;37;;28.68;59.75;3.333333;
82588;03/11/1962;1200;;23.6;;;;
82588;04/11/1962;0000;37;;28.26;60.5;2;
82588;04/11/1962;1200;;23.9;;;;
82588;05/11/1962;0000;34.6;;27.72;61;2;
82588;05/11/1962;1200;;23.4;;;;
82588;06/11/1962;0000;35.2;;28;58.5;2.666667;
82588;06/11/1962;1200;;22.6;;;;
82588;07/11/1962;0000;32.4;;27.34;58;0.666667;
82588;07/11/1962;1200;;24.1;;;;
82588;08/11/1962;0000;33.8;;27.56;65.25;4;
82588;08/11/1962;1200;;22.6;;;;
82588;09/11/1962;0000;34.4;;27.8;61.75;1.666667;
82588;09/11/1962;1200;;23.4;;;;
82588;10/11/1962;0000;35.4;;28.06;58.5;3.333333;
82588;10/11/1962;1200;;22.9;;;;
82588;11/11/1962;0000;35.4;;27.38;64.5;2;
82588;11/11/1962;1200;;22.5;;;;
82588;12/11/1962;0000;34.5;;27.7;61.75;4.666667;
82588;12/11/1962;1200;;24.4;;;;
82588;13/11/1962;0000;35;;27.5;62.75;0.666667;
82588;13/11/1962;1200;;22.3;;;;
82588;14/11/1962;0000;36.2;;28;55;4.666667;
82588;14/11/1962;1200;;21.6;;;;
82588;15/11/1962;0000;36;;28.3;55;4;
82588;15/11/1962;1200;;23.5;;;;
82588;16/11/1962;0000;35;;27.94;57;4;
82588;16/11/1962;1200;;23.5;;;;
82588;17/11/1962;0000;35;;28.74;52;2;
82588;17/11/1962;1200;;23.1;;;;
82588;18/11/1962;0000;35;;28.28;58.5;1.333333;
82588;18/11/1962;1200;;24.4;;;;
82588;19/11/1962;0000;36.4;;28.74;53.25;3.333333;
82588;19/11/1962;1200;;25.1;;;;
82588;20/11/1962;0000;36;;29.16;54.5;4;
82588;20/11/1962;1200;;24.8;;;;
82588;21/11/1962;0000;34.5;;28.28;59.25;3.333333;
82588;21/11/1962;1200;;23.5;;;;
82588;22/11/1962;0000;35;;28.54;62;3.666667;
82588;22/11/1962;1200;;24.3;;;;
82588;23/11/1962;0000;35;;28.36;61.25;2.333333;
82588;23/11/1962;1200;;24.4;;;;
82588;24/11/1962;0000;35.5;;28.42;57;2.666667;
82588;24/11/1962;1200;;24.6;;;;
82588;25/11/1962;0000;34.2;;27.06;65.25;1.333333;
82588;25/11/1962;1200;;22.3;;;;
82588;26/11/1962;0000;37.4;;28.84;58.75;2;
82588;26/11/1962;1200;;23.4;;;;
82588;27/11/1962;0000;37.5;;28.92;58.75;2.333333;
82588;27/11/1962;1200;;23.9;;;;
82588;28/11/1962;0000;35.2;;28.22;63;1.333333;
82588;28/11/1962;1200;;24.5;;;;
82588;29/11/1962;0000;37;;28.74;59.75;3.333333;
82588;29/11/1962;1200;;24.7;;;;
82588;30/11/1962;0000;37;;28.7;58.5;4.666667;
82588;30/11/1962;1200;;24.7;;;;
82588;01/12/1962;0000;37;;24;57.5;5;
82588;02/12/1962;0000;37.5;;28.64;58.25;4.333333;
82588;02/12/1962;1200;;24.3;;;;
82588;03/12/1962;0000;37.4;;28.84;53.25;3;
82588;03/12/1962;1200;;23.8;;;;
82588;04/12/1962;0000;36.5;;28.42;56.5;2.666667;
82588;04/12/1962;1200;;23.4;;;;
82588;05/12/1962;0000;37.5;;28.78;60.5;3.666667;
82588;05/12/1962;1200;;22.8;;;;
82588;06/12/1962;0000;34.5;;28.4;62.25;2.333333;
82588;06/12/1962;1200;;24.5;;;;
82588;07/12/1962;0000;36.5;;28.8;57.75;5;
82588;07/12/1962;1200;;24.9;;;;
82588;08/12/1962;0000;37.4;;28.86;59.75;2.333333;
82588;08/12/1962;1200;;24.9;;;;
82588;09/12/1962;0000;32.6;;27.58;63.75;3.666667;
82588;09/12/1962;1200;;23.9;;;;
82588;10/12/1962;0000;36.8;;27.66;60.5;5;
82588;10/12/1962;1200;;21.1;;;;
82588;11/12/1962;0000;37;;28.62;62.75;5.666667;
82588;11/12/1962;1200;;22.3;;;;
82588;12/12/1962;0000;;;;56;4;
82588;12/12/1962;1200;;24.3;;;;
82588;13/12/1962;0000;35.4;;28.38;55;3.333333;
82588;13/12/1962;1200;;25.3;;;;
82588;14/12/1962;0000;35.8;;28.66;53.25;4.666667;
82588;14/12/1962;1200;;24.5;;;;
82588;15/12/1962;0000;37.5;;29.64;55.75;3.333333;
82588;15/12/1962;1200;;24.9;;;;
82588;16/12/1962;0000;;;;74.25;2.333333;
82588;17/12/1962;0000;;;;72.25;1.666667;
82588;18/12/1962;0000;36.2;;28.46;74.5;3.666667;
82588;18/12/1962;1200;;23.7;;;;
82588;19/12/1962;0000;36.5;;28.72;59.25;4;
82588;19/12/1962;1200;;22.9;;;;
82588;20/12/1962;0000;36.5;;28.78;59;3.333333;
82588;20/12/1962;1200;;23.6;;;;
82588;21/12/1962;0000;;;;56;4;
82588;21/12/1962;1200;;23.8;;;;
82588;22/12/1962;0000;36;;27.96;65.75;4.666667;
82588;22/12/1962;1200;;23.4;;;;
82588;23/12/1962;0000;34.5;;28.32;67.75;4;
82588;23/12/1962;1200;;25.1;;;;
82588;24/12/1962;0000;35.8;;28.58;63.5;4.333333;
82588;24/12/1962;1200;;24.1;;;;
82588;25/12/1962;0000;35.4;;28.1;57.75;5.333333;
82588;25/12/1962;1200;;23.1;;;;
82588;26/12/1962;0000;34.7;;27.72;64.5;4;
82588;26/12/1962;1200;;23.5;;;;
82588;27/12/1962;0000;35.7;;28.6;59;2;
82588;27/12/1962;1200;;24.3;;;;
82588;28/12/1962;0000;35.6;;28.38;58.75;3.666667;
82588;28/12/1962;1200;;23.5;;;;
82588;29/12/1962;0000;37;;28.98;55.75;2.666667;
82588;29/12/1962;1200;;23.7;;;;
82588;30/12/1962;0000;36.5;;28.64;60.75;2.666667;
82588;30/12/1962;1200;;24.1;;;;
82588;31/12/1962;0000;35.8;;28.5;58;5.666667;
82588;31/12/1962;1200;;23.3;;;;
82588;01/01/1963;0000;36.5;;28.24;60.5;4.666667;
82588;01/01/1963;1200;;22.3;;;;
82588;02/01/1963;0000;36.5;;28.9;60;2.333333;
82588;02/01/1963;1200;;24.2;;;;
82588;03/01/1963;0000;37.4;;28.88;58.75;4;
82588;03/01/1963;1200;;23;;;;
82588;04/01/1963;0000;35.6;;28.58;63.75;3.333333;
82588;04/01/1963;1200;;24.1;;;;
82588;05/01/1963;0000;35.7;;28;66.25;2.666667;
82588;05/01/1963;1200;;23.5;;;;
82588;06/01/1963;0000;36;;28.42;58.5;5.333333;
82588;06/01/1963;1200;;23.1;;;;
82588;07/01/1963;0000;35.6;;28.1;60.25;4;
82588;07/01/1963;1200;;23.5;;;;
82588;08/01/1963;0000;37.2;;28.28;57;3;
82588;08/01/1963;1200;;22.2;;;;
