--------------------
BDMEP - INMET
--------------------
Estação           : APODI - RN (OMM: 82590)
Latitude  (graus) : -5.61
Longitude (graus) : -37.81
Altitude  (metros): 150.00
Estação Operante
Inicio de operação: 18/12/1962
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82590;24/12/1962;0000;36.4;;28.64;71.5;3;
82590;24/12/1962;1200;;24.4;;;;
82590;25/12/1962;0000;35;;28;70.25;5.666667;
82590;25/12/1962;1200;;23.5;;;;
82590;26/12/1962;0000;34.4;;28.24;67.5;6;
82590;26/12/1962;1200;;24;;;;
82590;27/12/1962;0000;35.8;;28.48;66.25;5;
82590;27/12/1962;1200;;24.2;;;;
82590;28/12/1962;0000;35.9;;28.54;66.25;5.666667;
82590;28/12/1962;1200;;25.5;;;;
82590;29/12/1962;0000;35.8;;28.54;65.5;3;
82590;29/12/1962;1200;;22.6;;;;
82590;30/12/1962;0000;36.2;;28.88;74.5;5.666667;
82590;30/12/1962;1200;;23.8;;;;
82590;31/12/1962;0000;35.5;;28.68;63.75;3.666667;
82590;31/12/1962;1200;;23.4;;;;
82590;01/01/1963;0000;35;;29.3;63.75;3.666667;
82590;01/01/1963;1200;;23.8;;;;
82590;02/01/1963;0000;36.8;;28.64;69.75;4.333333;
82590;02/01/1963;1200;;23.4;;;;
82590;03/01/1963;0000;37.2;;24;75.5;5;
82590;04/01/1963;0000;35.6;;28.58;72.5;4.333333;
82590;04/01/1963;1200;;25.1;;;;
82590;05/01/1963;0000;35.4;;28.38;72.25;5;
82590;05/01/1963;1200;;24.7;;;;
82590;06/01/1963;0000;35.2;;28.38;68.25;5;
82590;06/01/1963;1200;;23.8;;;;
82590;07/01/1963;0000;35.6;;28.12;67.75;3;
82590;07/01/1963;1200;;23.6;;;;
82590;08/01/1963;0000;36.5;;28.56;67.5;2.333333;
