--------------------
BDMEP - INMET
--------------------
Estação           : MACAU - RN (OMM: 82594)
Latitude  (graus) : -5.15
Longitude (graus) : -36.57
Altitude  (metros): 32.00
Estação Operante
Inicio de operação: 18/11/1908
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82594;01/01/1961;0000;32.9;;;;6.333333;
82594;02/01/1961;0000;33.4;;;;8;
82594;03/01/1961;0000;32.8;;;;8;
82594;04/01/1961;0000;32.4;;;;6.333333;
82594;05/01/1961;0000;32.5;;;;6.333333;
82594;06/01/1961;0000;33.4;;;;7.333333;
82594;07/01/1961;0000;33.1;;;;5.666667;
82594;08/01/1961;0000;33.6;;;;8;
82594;09/01/1961;0000;33.4;;;;6.333333;
82594;10/01/1961;0000;32.4;;;;5;
82594;11/01/1961;0000;33.1;;;;5.666667;
82594;12/01/1961;0000;33.7;;;;6.333333;
82594;13/01/1961;0000;33.5;;;;8.333333;
82594;14/01/1961;0000;33.5;;;;5;
82594;15/01/1961;0000;33.6;;;;5.666667;
82594;16/01/1961;0000;33.6;;;;5.666667;
82594;17/01/1961;0000;33.8;;;;6.333333;
82594;18/01/1961;0000;32.6;;;;4;
82594;19/01/1961;0000;32.4;;;;5.666667;
82594;20/01/1961;0000;32.5;;;;6.333333;
82594;21/01/1961;0000;32.2;;;;5;
82594;22/01/1961;0000;32.5;;;;4.666667;
82594;23/01/1961;0000;29.3;;;;3.666667;
82594;24/01/1961;0000;29.6;;;;3.666667;
82594;25/01/1961;0000;30.6;;;;5;
82594;26/01/1961;0000;32.6;;;;5;
82594;27/01/1961;0000;33.2;;;;5;
82594;28/01/1961;0000;33.4;;;;5;
82594;29/01/1961;0000;34.5;;;;4.333333;
82594;30/01/1961;0000;34.1;;;;5;
82594;31/01/1961;0000;34.2;;;;5.666667;
82594;01/02/1961;0000;33.6;;;;6.333333;
82594;02/02/1961;0000;33.5;;;;6.333333;
82594;03/02/1961;0000;33.5;;;;6.333333;
82594;04/02/1961;0000;33.3;;;;6.333333;
82594;05/02/1961;0000;33.4;;;;4.666667;
82594;06/02/1961;0000;32.1;;;;4.333333;
82594;07/02/1961;0000;31.7;;;;5;
82594;08/02/1961;0000;31.9;;;;5.666667;
82594;09/02/1961;0000;32.1;;;;6.333333;
82594;10/02/1961;0000;32;;;;6.333333;
82594;11/02/1961;0000;30.5;;;;3.666667;
82594;12/02/1961;0000;31.4;;;;5;
82594;13/02/1961;0000;30.3;;;;3.666667;
82594;14/02/1961;0000;31.8;;;;5;
82594;15/02/1961;0000;30.7;;;;5;
82594;16/02/1961;0000;30.5;;;;5;
82594;17/02/1961;0000;30.4;;;;5;
82594;18/02/1961;0000;30.5;;;;4.666667;
82594;19/02/1961;0000;30.2;;;;5.333333;
82594;20/02/1961;0000;29.7;;;;4.666667;
82594;21/02/1961;0000;29.9;;;;4.666667;
82594;22/02/1961;0000;30.6;;;;4.666667;
82594;23/02/1961;0000;31.2;;;;4.666667;
82594;24/02/1961;0000;31.2;;;;4.333333;
82594;25/02/1961;0000;31.6;;;;4.666667;
82594;26/02/1961;0000;32.2;;;;4;
82594;27/02/1961;0000;32.4;;;;6.333333;
82594;28/02/1961;0000;32.5;;;;5;
82594;01/03/1961;0000;32.6;;;;6.333333;
82594;02/03/1961;0000;32.6;;;;4.666667;
82594;03/03/1961;0000;33.1;;;;5;
82594;04/03/1961;0000;33.1;;;;5;
82594;05/03/1961;0000;33.4;;;;5;
82594;06/03/1961;0000;33.4;;;;6;
82594;07/03/1961;0000;33.3;;;;4.666667;
82594;08/03/1961;0000;33.4;;;;6;
82594;09/03/1961;0000;33.5;;;;5.666667;
82594;10/03/1961;0000;33.4;;;;4.666667;
82594;11/03/1961;0000;33.2;;;;4.666667;
82594;12/03/1961;0000;33.4;;;;5.333333;
82594;13/03/1961;0000;33.5;;;;5;
82594;14/03/1961;0000;31.4;;;;3.666667;
82594;15/03/1961;0000;30.9;;;;4.666667;
82594;16/03/1961;0000;31.6;;;;4.666667;
82594;17/03/1961;0000;32;;;;5;
82594;18/03/1961;0000;32.6;;;;4.666667;
82594;19/03/1961;0000;32;;;;5;
82594;20/03/1961;0000;31.7;;;;5;
82594;21/03/1961;0000;32.8;;;;6.333333;
82594;22/03/1961;0000;33;;;;4.666667;
82594;23/03/1961;0000;33.2;;;;4.666667;
82594;24/03/1961;0000;31.8;;;;4.666667;
82594;25/03/1961;0000;31.4;;;;5.333333;
82594;26/03/1961;0000;26.8;;;;2.333333;
82594;27/03/1961;0000;29.9;;;;3.666667;
82594;28/03/1961;0000;30.4;;;;2.333333;
82594;29/03/1961;0000;30.2;;;;4.666667;
82594;30/03/1961;0000;31.4;;;;4.666667;
82594;31/03/1961;0000;31.4;;;;4.666667;
82594;01/04/1961;0000;32.6;;;;5;
82594;02/04/1961;0000;32.4;;;;5;
82594;03/04/1961;0000;32.6;;;;4.666667;
82594;04/04/1961;0000;32.8;;;;5.666667;
82594;05/04/1961;0000;32.6;;;;5;
82594;06/04/1961;0000;33;;;;3;
82594;07/04/1961;0000;33.3;;;;4.666667;
82594;08/04/1961;0000;33.1;;;;4.666667;
82594;09/04/1961;0000;33.3;;;;5;
82594;10/04/1961;0000;33;;;;5.666667;
82594;11/04/1961;0000;33.4;;;;5.333333;
82594;12/04/1961;0000;33.2;;;;5;
82594;13/04/1961;0000;33.3;;;;4;
82594;14/04/1961;0000;33.1;;;;3;
82594;15/04/1961;0000;33.6;;;;3.666667;
82594;16/04/1961;0000;33.4;;;;5;
82594;17/04/1961;0000;33.5;;;;4.666667;
82594;18/04/1961;0000;33.7;;;;4.333333;
82594;19/04/1961;0000;33.5;;;;4.333333;
82594;20/04/1961;0000;33.1;;;;4.666667;
82594;21/04/1961;0000;33.4;;;;3.333333;
82594;22/04/1961;0000;33.8;;;;3.666667;
82594;23/04/1961;0000;34.2;;;;5.666667;
82594;24/04/1961;0000;33.4;;;;5.333333;
82594;25/04/1961;0000;33;;;;4.666667;
82594;26/04/1961;0000;33.2;;;;3.666667;
82594;27/04/1961;0000;33.3;;;;5.333333;
82594;28/04/1961;0000;33.4;;;;5.333333;
82594;29/04/1961;0000;33.2;;;;5;
82594;30/04/1961;0000;33.1;;;;4.666667;
82594;01/05/1961;0000;33;;;;3.333333;
82594;02/05/1961;0000;33.3;;;;4.666667;
82594;03/05/1961;0000;33.4;;;;3;
82594;04/05/1961;0000;33.4;;;;4.333333;
82594;05/05/1961;0000;33.3;;;;3.666667;
82594;06/05/1961;0000;33.5;;;;4.333333;
82594;07/05/1961;0000;34;;;;3.333333;
82594;08/05/1961;0000;33.4;;;;4.666667;
82594;09/05/1961;0000;33.5;;;;4.333333;
82594;10/05/1961;0000;33.6;;;;4.666667;
82594;11/05/1961;0000;33.5;;;;4.666667;
82594;12/05/1961;0000;34.3;;;;3.666667;
82594;13/05/1961;0000;32.6;;;;2.666667;
82594;14/05/1961;0000;32.5;;;;2.666667;
82594;15/05/1961;0000;31.6;;;;3.666667;
82594;16/05/1961;0000;33.5;;;;3.666667;
82594;17/05/1961;0000;33.5;;;;3.666667;
82594;18/05/1961;0000;33.4;;;;4.666667;
82594;19/05/1961;0000;33.7;;;;3.666667;
82594;20/05/1961;0000;33.5;;;;3.666667;
82594;21/05/1961;0000;32.4;;;;2.333333;
82594;22/05/1961;0000;32.2;;;;2.666667;
82594;23/05/1961;0000;33;;;;4;
82594;24/05/1961;0000;33.3;;;;4.333333;
82594;25/05/1961;0000;33.2;;;;3.666667;
82594;26/05/1961;0000;33.5;;;;4.333333;
