--------------------
BDMEP - INMET
--------------------
Estação           : CEARA MIRIM - RN (OMM: 82596)
Latitude  (graus) : -5.65
Longitude (graus) : -35.65
Altitude  (metros): 61.35
Estação Operante
Inicio de operação: 01/06/1967
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82596;01/01/1971;0000;31.7;;26.68;72.5;5.666667;
82596;01/01/1971;1200;;22.2;;;;
82596;02/01/1971;0000;32.1;;27.12;75.5;7;
82596;02/01/1971;1200;;23.2;;;;
82596;03/01/1971;0000;31.2;;25.84;65;5;
82596;03/01/1971;1200;;20.6;;;;
82596;04/01/1971;0000;31;;26;67.75;3.666667;
82596;04/01/1971;1200;;20.8;;;;
82596;05/01/1971;0000;31.4;;26.74;72;3.666667;
82596;05/01/1971;1200;;22.3;;;;
82596;06/01/1971;0000;30.6;;25.9;74.25;5.666667;
82596;06/01/1971;1200;;22.1;;;;
82596;07/01/1971;0000;30.9;;26.42;69.25;3.333333;
82596;07/01/1971;1200;;23.2;;;;
82596;08/01/1971;0000;31.8;;26.5;68.75;3.666667;
82596;08/01/1971;1200;;21.2;;;;
82596;09/01/1971;0000;32.1;;26.9;68.5;5;
82596;09/01/1971;1200;;22.2;;;;
82596;10/01/1971;0000;31.8;;26.66;71.5;4.333333;
82596;10/01/1971;1200;;21.8;;;;
82596;11/01/1971;0000;32;;26.56;70.25;3.333333;
82596;11/01/1971;1200;;22;;;;
82596;12/01/1971;0000;31.4;;26.02;74;3;
82596;12/01/1971;1200;;20.9;;;;
82596;13/01/1971;0000;30.8;;25.62;80;2.666667;
82596;13/01/1971;1200;;22.9;;;;
82596;14/01/1971;0000;31.2;;26.48;72.25;2.666667;
82596;14/01/1971;1200;;21.8;;;;
82596;15/01/1971;0000;31.8;;26.8;71.25;4.333333;
82596;15/01/1971;1200;;22.9;;;;
82596;16/01/1971;0000;30.2;;25.1;78;2;
82596;16/01/1971;1200;;21.1;;;;
82596;17/01/1971;0000;31.6;;25.72;73.25;3;
82596;17/01/1971;1200;;20.4;;;;
82596;18/01/1971;0000;32;;26.84;70.5;5;
82596;18/01/1971;1200;;21.3;;;;
82596;19/01/1971;0000;31.8;;26.58;76.5;3;
82596;19/01/1971;1200;;21.7;;;;
82596;20/01/1971;0000;30.4;;25.32;81.5;4.333333;
82596;20/01/1971;1200;;22;;;;
82596;21/01/1971;0000;30.3;;26;76;2.666667;
82596;21/01/1971;1200;;21.7;;;;
82596;22/01/1971;0000;31.2;;26.38;73.25;4.333333;
82596;22/01/1971;1200;;21.8;;;;
82596;23/01/1971;0000;28.1;;24.54;88.25;3.666667;
82596;23/01/1971;1200;;22.4;;;;
82596;24/01/1971;0000;30.4;;25.58;73.75;4;
82596;24/01/1971;1200;;21.7;;;;
82596;25/01/1971;0000;30.6;;25.72;72.25;2.666667;
82596;25/01/1971;1200;;21.2;;;;
82596;26/01/1971;0000;30.8;;26.18;73.25;2;
82596;26/01/1971;1200;;21.7;;;;
82596;27/01/1971;0000;30.9;;26.04;74.5;2;
82596;27/01/1971;1200;;20.9;;;;
82596;28/01/1971;0000;31.8;;26.7;71;4.333333;
82596;28/01/1971;1200;;22.9;;;;
82596;29/01/1971;0000;31;;26.38;73;3.333333;
82596;29/01/1971;1200;;22.1;;;;
82596;30/01/1971;0000;30.2;;26.04;73.5;4.333333;
82596;30/01/1971;1200;;22.3;;;;
82596;31/01/1971;0000;32.2;;26.48;70.5;3.333333;
82596;31/01/1971;1200;;21.6;;;;
82596;01/02/1971;0000;31.8;;26.82;69;3.666667;
82596;01/02/1971;1200;;21.7;;;;
82596;02/02/1971;0000;31.2;;26.72;71;4.333333;
82596;02/02/1971;1200;;22.4;;;;
82596;03/02/1971;0000;31.1;;26.48;73.5;3.333333;
82596;03/02/1971;1200;;22.5;;;;
82596;04/02/1971;0000;31.1;;25.98;70.75;2.333333;
82596;04/02/1971;1200;;22;;;;
82596;05/02/1971;0000;31.8;;26.1;71.5;3.333333;
82596;05/02/1971;1200;;20.6;;;;
82596;06/02/1971;0000;29.9;;25.62;78.25;2.333333;
82596;06/02/1971;1200;;22.4;;;;
82596;07/02/1971;0000;31.6;;26.52;69;3.666667;
82596;07/02/1971;1200;;21.6;;;;
82596;08/02/1971;0000;30.8;;25.28;76.25;1.333333;
82596;08/02/1971;1200;;21.8;;;;
82596;09/02/1971;0000;31.8;;26.2;68;3.666667;
82596;09/02/1971;1200;;21.4;;;;
82596;10/02/1971;0000;31.8;;26.16;70.5;3.666667;
82596;10/02/1971;1200;;20.8;;;;
82596;11/02/1971;0000;32.6;;27.06;66.5;3.666667;
82596;11/02/1971;1200;;21.5;;;;
82596;12/02/1971;0000;32.3;;27.52;63.75;4.333333;
82596;12/02/1971;1200;;22.5;;;;
82596;13/02/1971;0000;30.4;;25.46;80.75;5;
82596;13/02/1971;1200;;22.7;;;;
82596;14/02/1971;0000;29.7;;25.5;79.5;2.666667;
82596;14/02/1971;1200;;21.4;;;;
82596;15/02/1971;0000;29.4;;25.88;79.75;2.666667;
82596;15/02/1971;1200;;22.2;;;;
82596;16/02/1971;0000;30.6;;26.12;75.75;3.666667;
82596;16/02/1971;1200;;22.7;;;;
82596;17/02/1971;0000;30.8;;26.06;70.5;3;
82596;17/02/1971;1200;;22.1;;;;
82596;18/02/1971;0000;31;;26.1;71.5;4.333333;
82596;18/02/1971;1200;;21.5;;;;
82596;19/02/1971;0000;31.2;;26.42;75;4.666667;
82596;19/02/1971;1200;;22.3;;;;
82596;20/02/1971;0000;31.4;;26.4;77;3;
82596;20/02/1971;1200;;22.6;;;;
82596;21/02/1971;0000;31.2;;25.98;80;2;
82596;21/02/1971;1200;;22.1;;;;
82596;22/02/1971;0000;31.5;;26.48;75.75;2;
82596;22/02/1971;1200;;22.3;;;;
82596;23/02/1971;0000;31.9;;26.56;73.25;2.333333;
82596;23/02/1971;1200;;22.5;;;;
82596;24/02/1971;0000;31.6;;26.52;69.5;3.666667;
82596;24/02/1971;1200;;22;;;;
82596;25/02/1971;0000;32.4;;27.06;70.5;3.666667;
82596;25/02/1971;1200;;22.7;;;;
82596;26/02/1971;0000;30.6;;25.58;82;3;
82596;26/02/1971;1200;;22.9;;;;
82596;27/02/1971;0000;31.4;;26.66;72;3.333333;
82596;27/02/1971;1200;;21.5;;;;
82596;28/02/1971;0000;29.7;;25.32;75.75;3.666667;
82596;28/02/1971;1200;;22.7;;;;
82596;01/03/1971;0000;31.6;;26.12;74.5;2;
82596;01/03/1971;1200;;22.3;;;;
82596;02/03/1971;0000;32.2;;26.88;64.25;3;
82596;02/03/1971;1200;;22.2;;;;
82596;03/03/1971;0000;32.1;;27.5;71.5;5;
82596;03/03/1971;1200;;22.6;;;;
82596;04/03/1971;0000;31;;26.4;79.25;2.666667;
82596;04/03/1971;1200;;23.2;;;;
82596;05/03/1971;0000;31.8;;26.52;75;3;
82596;05/03/1971;1200;;22.6;;;;
82596;06/03/1971;0000;32;;26.44;74.25;3.333333;
82596;06/03/1971;1200;;22;;;;
82596;07/03/1971;0000;32.6;;26.94;67;3;
82596;07/03/1971;1200;;21.5;;;;
82596;08/03/1971;0000;32.4;;27;73;4.333333;
82596;08/03/1971;1200;;21.8;;;;
82596;09/03/1971;0000;32.4;;27;66.75;3.666667;
82596;09/03/1971;1200;;22.4;;;;
82596;10/03/1971;0000;32.2;;26.74;71.25;2.666667;
82596;10/03/1971;1200;;21.9;;;;
82596;11/03/1971;0000;32.4;;27.34;70;4.333333;
