--------------------
BDMEP - INMET
--------------------
Estação           : EIRUNEPE - AM (OMM: 82610)
Latitude  (graus) : -6.66
Longitude (graus) : -69.86
Altitude  (metros): 104.00
Estação Operante
Inicio de operação: 01/01/1928
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82610;19/08/1974;0000;30.5;;24.64;88;2;
82610;19/08/1974;1200;;21.2;;;;
82610;20/08/1974;0000;32.8;;25.12;88.75;1.333333;
82610;20/08/1974;1200;;18.7;;;;
82610;21/08/1974;0000;33.5;;25.14;86;1;
82610;21/08/1974;1200;;20.7;;;;
82610;22/08/1974;0000;34.3;;25.02;81.5;1.333333;
82610;22/08/1974;1200;;17.4;;;;
82610;23/08/1974;0000;32.6;;24.4;88.25;1;
82610;23/08/1974;1200;;20.2;;;;
82610;24/08/1974;0000;34.6;;26.08;84.5;1;
82610;24/08/1974;1200;;20.2;;;;
82610;25/08/1974;0000;32;;24.26;87.75;0.666667;
82610;25/08/1974;1200;;20.1;;;;
82610;26/08/1974;0000;33.2;;25.38;84.5;0.666667;
82610;26/08/1974;1200;;19.7;;;;
82610;27/08/1974;0000;32.8;;25.5;87.75;1;
82610;27/08/1974;1200;;21.5;;;;
82610;28/08/1974;0000;34.2;;25.18;86;0.666667;
82610;28/08/1974;1200;;19.7;;;;
82610;29/08/1974;0000;32.8;;24.54;89.25;0.666667;
82610;29/08/1974;1200;;17.4;;;;
82610;30/08/1974;0000;32;;24.44;85;0.666667;
82610;30/08/1974;1200;;18.7;;;;
82610;31/08/1974;0000;32.5;;26.54;86;1;
82610;31/08/1974;1200;;21.2;;;;
82610;01/09/1974;0000;34.5;;26.34;86;0.666667;
82610;01/09/1974;1200;;20;;;;
82610;02/09/1974;0000;31;;25.26;83.25;1;
82610;02/09/1974;1200;;19.1;;;;
82610;03/09/1974;0000;27;;23.34;87.25;0.666667;
82610;03/09/1974;1200;;19.2;;;;
82610;04/09/1974;0000;27;;22.64;88.75;1.666667;
82610;04/09/1974;1200;;18.2;;;;
82610;05/09/1974;0000;31;;24.52;85.25;1;
82610;05/09/1974;1200;;17.4;;;;
82610;06/09/1974;0000;32;;25.04;86.5;0.666667;
82610;06/09/1974;1200;;18.2;;;;
82610;07/09/1974;0000;31.2;;25.28;75.5;0.666667;
82610;07/09/1974;1200;;18.2;;;;
82610;08/09/1974;0000;32;;24.74;87.5;0.666667;
82610;08/09/1974;1200;;19.2;;;;
82610;09/09/1974;0000;32.5;;25.74;86;0.333333;
82610;09/09/1974;1200;;20.2;;;;
82610;10/09/1974;0000;33.5;;25.84;86;0.333333;
82610;10/09/1974;1200;;18.7;;;;
82610;11/09/1974;0000;32;;24.94;86.75;0.666667;
82610;11/09/1974;1200;;20.2;;;;
82610;12/09/1974;0000;35;;26.54;86;0.666667;
82610;12/09/1974;1200;;20.7;;;;
82610;13/09/1974;0000;34.7;;25.86;84.75;0.666667;
82610;13/09/1974;1200;;20.7;;;;
82610;14/09/1974;0000;34;;25.12;88;0.333333;
82610;14/09/1974;1200;;20.7;;;;
82610;15/09/1974;0000;34.5;;26.64;80;0.333333;
82610;15/09/1974;1200;;19.7;;;;
82610;16/09/1974;0000;33;;25.24;91.5;1.333333;
82610;16/09/1974;1200;;21.7;;;;
82610;17/09/1974;0000;30.5;;25.46;85.75;0.666667;
82610;17/09/1974;1200;;20.2;;;;
82610;18/09/1974;0000;33;;25.04;89;0.666667;
82610;18/09/1974;1200;;17.7;;;;
