--------------------
BDMEP - INMET
--------------------
Estação           : ARAGUAINA - TO (OMM: 82659)
Latitude  (graus) : -7.2
Longitude (graus) : -48.2
Altitude  (metros): 228.52
Estação Operante
Inicio de operação: 21/08/1984
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82659;01/07/1982;0000;;;;;0;
82659;02/07/1982;0000;;;;;0;
82659;03/07/1982;0000;;;;;0;
82659;04/07/1982;0000;;;;;0.3;
82659;05/07/1982;0000;;;;;0;
82659;06/07/1982;0000;;;;;0.3;
82659;07/07/1982;0000;;;;;0.3;
82659;08/07/1982;0000;;;;;0;
82659;09/07/1982;0000;;;;;0;
82659;10/07/1982;0000;;;;;0;
82659;11/07/1982;0000;;;;;0;
82659;12/07/1982;0000;;;;;0;
82659;13/07/1982;0000;;;;;0;
82659;14/07/1982;0000;;;;;0;
82659;15/07/1982;0000;;;;;0;
82659;16/07/1982;0000;;;;;0;
82659;17/07/1982;0000;;;;;0;
82659;18/07/1982;0000;;;;;0;
82659;19/07/1982;0000;;;;;0;
82659;20/07/1982;0000;;;;;0;
82659;21/07/1982;0000;;;;;0;
82659;22/07/1982;0000;;;;;0;
82659;23/07/1982;0000;;;;;0;
82659;24/07/1982;0000;;;;;0;
82659;25/07/1982;0000;;;;;0;
82659;26/07/1982;0000;;;;;0;
82659;27/07/1982;0000;;;;;0;
82659;28/07/1982;0000;;;;;0;
82659;29/07/1982;0000;;;;;0;
82659;30/07/1982;0000;;;;;0;
82659;31/07/1982;0000;;;;;0;
82659;01/08/1982;0000;;;;;1;
82659;02/08/1982;0000;;;;;1.333333;
82659;03/08/1982;0000;;;;;0.433333;
82659;04/08/1982;0000;;;;;1.166667;
82659;05/08/1982;0000;;;;;0.266667;
82659;06/08/1982;0000;;;;;0.366667;
82659;07/08/1982;0000;;;;;1.166667;
82659;08/08/1982;0000;;;;;0.833333;
82659;09/08/1982;0000;;;;;0.166667;
82659;10/08/1982;0000;;;;;0.766667;
82659;11/08/1982;0000;;;;;1.766667;
82659;12/08/1982;0000;;;;;0.266667;
82659;13/08/1982;0000;;;;;0.766667;
82659;14/08/1982;0000;;;;;0.933333;
82659;15/08/1982;0000;;;;;0.6;
82659;16/08/1982;0000;;;;;1;
82659;17/08/1982;0000;;;;;1.766667;
82659;18/08/1982;0000;;;;;3.166667;
82659;19/08/1982;0000;;;;;0.333333;
82659;20/08/1982;0000;;;;;0.666667;
82659;21/08/1982;0000;;;;;0.5;
82659;22/08/1982;0000;;;;;0.166667;
82659;23/08/1982;0000;;;;;0.433333;
82659;24/08/1982;0000;;;;;2.333333;
82659;25/08/1982;0000;;;;;2.333333;
82659;26/08/1982;0000;;;;;0.5;
82659;27/08/1982;0000;;;;;0.5;
82659;28/08/1982;0000;;;;;0.333333;
82659;29/08/1982;0000;;;;;0.5;
82659;30/08/1982;0000;;;;;0.266667;
82659;31/08/1982;0000;;;;;0.833333;
82659;01/09/1982;0000;;;;;1.833333;
82659;02/09/1982;0000;;;;;0.333333;
82659;03/09/1982;0000;;;;;0.166667;
82659;04/09/1982;0000;;;;;1.333333;
82659;05/09/1982;0000;;;;;0.166667;
82659;06/09/1982;0000;;;;;0.166667;
82659;07/09/1982;0000;;;;;0.5;
82659;08/09/1982;0000;;;;;0.833333;
82659;09/09/1982;0000;;;;;0.1;
82659;10/09/1982;0000;;;;;0.266667;
82659;11/09/1982;0000;;;;;0.333333;
82659;12/09/1982;0000;;;;;1;
82659;13/09/1982;0000;;;;;0.833333;
82659;14/09/1982;0000;;;;;0.833333;
82659;15/09/1982;0000;;;;;1.166667;
82659;16/09/1982;0000;;;;;0;
82659;17/09/1982;0000;;;;;0.333333;
82659;18/09/1982;0000;;;;;0;
82659;19/09/1982;0000;;;;;0.433333;
82659;20/09/1982;0000;;;;;0.833333;
82659;21/09/1982;0000;;;;;1.166667;
82659;22/09/1982;0000;;;;;1;
82659;23/09/1982;0000;;;;;0.333333;
82659;24/09/1982;0000;;;;;0.2;
82659;25/09/1982;0000;;;;;0.6;
82659;26/09/1982;0000;;;;;0.1;
82659;27/09/1982;0000;;;;;0.1;
82659;28/09/1982;0000;;;;;0.866667;
82659;29/09/1982;0000;;;;;0.6;
82659;30/09/1982;0000;;;;;0.333333;
82659;01/10/1982;0000;;;;;0.266667;
82659;02/10/1982;0000;;;;;0.433333;
82659;03/10/1982;0000;;;;;0.2;
82659;04/10/1982;0000;;;;;0.166667;
82659;05/10/1982;0000;;;;;0.6;
82659;06/10/1982;0000;;;;;0.5;
82659;07/10/1982;0000;;;;;0.433333;
82659;08/10/1982;0000;;;;;0.1;
82659;09/10/1982;0000;;;;;0.266667;
82659;10/10/1982;0000;;;;;0.266667;
82659;11/10/1982;0000;;;;;0.433333;
82659;12/10/1982;0000;;;;;0.433333;
82659;13/10/1982;0000;;;;;0.433333;
82659;14/10/1982;0000;;;;;0.366667;
82659;15/10/1982;0000;;;;;0.5;
82659;16/10/1982;0000;;;;;0.833333;
82659;17/10/1982;0000;;;;;0.166667;
82659;18/10/1982;0000;;;;;0.5;
82659;19/10/1982;0000;;;;;0.166667;
82659;20/10/1982;0000;;;;;1.266667;
82659;21/10/1982;0000;;;;;0.266667;
82659;22/10/1982;0000;;;;;0.166667;
82659;23/10/1982;0000;;;;;0.333333;
82659;24/10/1982;0000;;;;;0.1;
82659;25/10/1982;0000;;;;;0.666667;
82659;26/10/1982;0000;;;;;1;
82659;27/10/1982;0000;;;;;1.666667;
82659;28/10/1982;0000;;;;;0.2;
82659;29/10/1982;0000;;;;;1.2;
82659;30/10/1982;0000;;;;;0.2;
82659;31/10/1982;0000;;;;;0.333333;
82659;01/11/1982;0000;;;;;0.333333;
82659;02/11/1982;0000;;;;;0.3;
82659;03/11/1982;0000;;;;;1.833333;
82659;04/11/1982;0000;;;;;0;
82659;05/11/1982;0000;;;;;0.266667;
82659;06/11/1982;0000;;;;;0.433333;
82659;07/11/1982;0000;;;;;1.1;
82659;08/11/1982;0000;;;;;0.366667;
82659;09/11/1982;0000;;;;;0.3;
82659;10/11/1982;0000;;;;;0.366667;
82659;11/11/1982;0000;;;;;0.533333;
82659;12/11/1982;0000;;;;;0.833333;
82659;13/11/1982;0000;;;;;0.266667;
82659;14/11/1982;0000;;;;;2;
82659;15/11/1982;0000;;;;;1;
82659;16/11/1982;0000;;;;;0.166667;
82659;17/11/1982;0000;;;;;0.766667;
82659;18/11/1982;0000;;;;;0.266667;
82659;19/11/1982;0000;;;;;2;
82659;20/11/1982;0000;;;;;0.2;
82659;21/11/1982;0000;;;;;0;
82659;22/11/1982;0000;;;;;0.7;
82659;23/11/1982;0000;;;;;0.1;
82659;24/11/1982;0000;;;;;0.5;
82659;25/11/1982;0000;;;;;0.666667;
82659;26/11/1982;0000;;;;;1;
82659;27/11/1982;0000;;;;;1.6;
82659;28/11/1982;0000;;;;;1.6;
82659;29/11/1982;0000;;;;;0.966667;
82659;30/11/1982;0000;;;;;2.4;
82659;01/12/1982;0000;;;;;4.5;
82659;02/12/1982;0000;;;;;1.6;
82659;03/12/1982;0000;;;;;3.066667;
82659;04/12/1982;0000;;;;;2.4;
82659;05/12/1982;0000;;;;;2.4;
82659;06/12/1982;0000;;;;;1.6;
82659;07/12/1982;0000;;;;;1.6;
82659;08/12/1982;0000;;;;;2.4;
82659;09/12/1982;0000;;;;;3.833333;
82659;10/12/1982;0000;;;;;1.6;
82659;11/12/1982;0000;;;;;2.266667;
82659;12/12/1982;0000;;;;;2.4;
82659;13/12/1982;0000;;;;;1.6;
82659;14/12/1982;0000;;;;;1.6;
82659;15/12/1982;0000;;;;;2.4;
82659;16/12/1982;0000;;;;;2.4;
82659;17/12/1982;0000;;;;;2.266667;
82659;18/12/1982;0000;;;;;2.8;
82659;19/12/1982;0000;;;;;0;
82659;20/12/1982;0000;;;;;1.2;
82659;21/12/1982;0000;;;;;3.033333;
82659;22/12/1982;0000;;;;;1.6;
82659;23/12/1982;0000;;;;;3.066667;
82659;24/12/1982;0000;;;;;2.266667;
82659;25/12/1982;0000;;;;;3.066667;
82659;26/12/1982;0000;;;;;2.266667;
82659;27/12/1982;0000;;;;;2.4;
82659;28/12/1982;0000;;;;;1.6;
82659;29/12/1982;0000;;;;;2.4;
82659;30/12/1982;0000;;;;;3.066667;
82659;31/12/1982;0000;;;;;2.266667;
82659;21/08/1984;0000;34.2;;24.44;;2;
82659;21/08/1984;1200;;15.2;;;;
82659;22/08/1984;0000;34.5;;25.2;;1.333333;
82659;22/08/1984;1200;;16.7;;;;
82659;23/08/1984;0000;34.5;;25.34;;1;
82659;23/08/1984;1200;;16.7;;;;
82659;24/08/1984;0000;34.6;;25.78;;3.333333;
82659;24/08/1984;1200;;18.7;;;;
82659;25/08/1984;0000;35.9;;26.12;;2.666667;
82659;25/08/1984;1200;;18.3;;;;
82659;26/08/1984;0000;34.2;;26.72;;2.666667;
82659;26/08/1984;1200;;22.4;;;;
82659;27/08/1984;0000;31.9;;25.16;;2;
82659;27/08/1984;1200;;21.5;;;;
82659;28/08/1984;0000;29.6;;23.96;;2.666667;
82659;28/08/1984;1200;;19.2;;;;
82659;29/08/1984;0000;34.9;;25.24;;4;
82659;29/08/1984;1200;;19.2;;;;
