--------------------
BDMEP - INMET
--------------------
Estação           : SAO FELIX DO XINGU - PA (OMM: 82668)
Latitude  (graus) : -6.63
Longitude (graus) : -51.96
Altitude  (metros): 206.00
Estação Operante
Inicio de operação: 07/07/1972
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82668;01/09/1972;0000;29.5;;24.66;87.5;1;
82668;01/09/1972;1200;;21.5;;;;
82668;02/09/1972;0000;32.5;;25.42;85.75;0.666667;
82668;02/09/1972;1200;;19.6;;;;
82668;03/09/1972;0000;32.8;;26.2;85.75;1;
82668;03/09/1972;1200;;20;;;;
82668;04/09/1972;0000;33;;25.32;89.25;0;
82668;04/09/1972;1200;;20;;;;
82668;05/09/1972;0000;33.5;;24;90;0.333333;
82668;05/09/1972;1200;;19;;;;
82668;06/09/1972;0000;32.2;;24.64;88.5;0;
82668;06/09/1972;1200;;19;;;;
82668;07/09/1972;0000;32;;25.1;82;0.333333;
82668;07/09/1972;1200;;19.5;;;;
82668;08/09/1972;0000;33;;25.06;88.75;1.666667;
82668;08/09/1972;1200;;19.3;;;;
82668;09/09/1972;0000;33.5;;25.5;85.5;1.666667;
82668;09/09/1972;1200;;18.5;;;;
82668;10/09/1972;0000;33;;26.14;90;2;
82668;10/09/1972;1200;;19.2;;;;
82668;11/09/1972;0000;31.5;;24.7;91.75;1;
82668;11/09/1972;1200;;18.5;;;;
82668;12/09/1972;0000;32.5;;25.28;90.25;0;
82668;12/09/1972;1200;;20;;;;
82668;13/09/1972;0000;32.8;;26.62;82.75;3.666667;
82668;13/09/1972;1200;;21.3;;;;
82668;14/09/1972;0000;33;;26.14;84.25;1.666667;
82668;14/09/1972;1200;;21.2;;;;
82668;15/09/1972;0000;31;;24.98;87.75;1.333333;
82668;15/09/1972;1200;;20.8;;;;
82668;16/09/1972;0000;31.2;;25;95.5;0;
82668;16/09/1972;1200;;21;;;;
82668;17/09/1972;0000;31.8;;24.34;88.75;1.666667;
82668;17/09/1972;1200;;21;;;;
82668;18/09/1972;0000;31;;24.2;88;0;
82668;18/09/1972;1200;;19;;;;
82668;19/09/1972;0000;32.8;;26.1;86.75;0;
82668;19/09/1972;1200;;20.5;;;;
82668;20/09/1972;0000;33;;25.72;88.5;0;
82668;20/09/1972;1200;;20.3;;;;
82668;21/09/1972;0000;34.5;;26;85.5;0;
82668;21/09/1972;1200;;19.5;;;;
82668;22/09/1972;0000;32.5;;26.02;86.25;0;
82668;22/09/1972;1200;;20.1;;;;
82668;23/09/1972;0000;33.5;;26.5;85.5;0;
82668;23/09/1972;1200;;21;;;;
82668;24/09/1972;0000;32.5;;25.96;87.25;0;
82668;24/09/1972;1200;;21.5;;;;
82668;25/09/1972;0000;32.5;;25.6;97.5;0;
82668;25/09/1972;1200;;20.5;;;;
82668;26/09/1972;0000;32.8;;25.78;90.75;0;
82668;26/09/1972;1200;;21.8;;;;
82668;27/09/1972;0000;33.1;;26;92;0;
82668;27/09/1972;1200;;20.5;;;;
82668;28/09/1972;0000;34;;26.76;89.75;0;
82668;28/09/1972;1200;;20.3;;;;
82668;29/09/1972;0000;32.8;;25.82;90.5;1.333333;
82668;29/09/1972;1200;;21.3;;;;
82668;30/09/1972;0000;32.5;;26.3;84;0.333333;
82668;30/09/1972;1200;;22;;;;
82668;01/10/1972;0000;32.2;;26.84;89.75;1;
82668;01/10/1972;1200;;23.5;;;;
82668;02/10/1972;0000;33.1;;26.36;88;0.333333;
82668;02/10/1972;1200;;21.5;;;;
82668;03/10/1972;0000;33.5;;26.88;81.5;0.333333;
82668;03/10/1972;1200;;20.5;;;;
82668;04/10/1972;0000;34.2;;26.42;83;1.666667;
82668;04/10/1972;1200;;20.3;;;;
82668;05/10/1972;0000;34.5;;25.84;82.5;1.666667;
82668;05/10/1972;1200;;20.1;;;;
82668;06/10/1972;0000;31.8;;24.86;90.25;0;
82668;06/10/1972;1200;;21.5;;;;
82668;07/10/1972;0000;32.5;;25.4;83;1;
82668;07/10/1972;1200;;20.5;;;;
82668;08/10/1972;0000;31;;25.32;93;1;
82668;08/10/1972;1200;;21.2;;;;
82668;09/10/1972;0000;32.5;;25.08;86.75;0;
82668;09/10/1972;1200;;20.1;;;;
82668;10/10/1972;0000;32.5;;26.18;91.75;1.666667;
82668;10/10/1972;1200;;20.9;;;;
82668;11/10/1972;0000;32.8;;25.96;90.25;0;
82668;11/10/1972;1200;;20.5;;;;
82668;12/10/1972;0000;34.8;;26.28;88.75;0;
82668;12/10/1972;1200;;20.2;;;;
82668;13/10/1972;0000;34;;26.74;87;1;
82668;13/10/1972;1200;;20.9;;;;
82668;14/10/1972;0000;32.5;;25;87.75;0;
82668;14/10/1972;1200;;21;;;;
82668;15/10/1972;0000;32;;25.1;83.75;0.333333;
82668;15/10/1972;1200;;19;;;;
82668;16/10/1972;0000;33;;25;90.75;0.333333;
82668;16/10/1972;1200;;19;;;;
82668;17/10/1972;0000;33.5;;25.2;85.5;0.666667;
82668;17/10/1972;1200;;20;;;;
82668;18/10/1972;0000;33.5;;24.98;88.5;0.333333;
82668;18/10/1972;1200;;19.3;;;;
82668;19/10/1972;0000;28.8;;23.44;90.5;0;
82668;19/10/1972;1200;;20;;;;
82668;20/10/1972;0000;32.5;;24.12;89;0;
82668;20/10/1972;1200;;20.1;;;;
82668;21/10/1972;0000;34;;24.92;86.25;1;
82668;21/10/1972;1200;;19;;;;
82668;22/10/1972;0000;32.3;;24.82;85.75;0.333333;
82668;22/10/1972;1200;;20.5;;;;
82668;23/10/1972;0000;31.5;;25.1;88.5;0.333333;
82668;23/10/1972;1200;;21;;;;
82668;24/10/1972;0000;34;;26;86.75;1.333333;
