--------------------
BDMEP - INMET
--------------------
Estação           : COLINAS - MA (OMM: 82676)
Latitude  (graus) : -6.03
Longitude (graus) : -44.25
Altitude  (metros): 179.75
Estação Operante
Inicio de operação: 19/05/1976
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82676;01/06/1976;0000;30.7;;24.46;85;1.933333;
82676;01/06/1976;1200;;19.8;;;;
82676;02/06/1976;0000;26.6;;23.16;93.5;0.666667;
82676;02/06/1976;1200;;21.9;;;;
82676;03/06/1976;0000;30.3;;23.36;79;1.666667;
82676;03/06/1976;1200;;20.4;;;;
82676;04/06/1976;0000;30.8;;24.08;76.25;0.966667;
82676;04/06/1976;1200;;17.3;;;;
82676;05/06/1976;0000;31.1;;24.52;66.75;2.2;
82676;05/06/1976;1200;;20;;;;
82676;06/06/1976;0000;31.7;;24.02;74.5;1.166667;
82676;06/06/1976;1200;;19.1;;;;
82676;07/06/1976;0000;30.5;;23.6;81.75;1.533333;
82676;07/06/1976;1200;;17.8;;;;
82676;08/06/1976;0000;30.3;;24.24;86.5;1.866667;
82676;08/06/1976;1200;;20.3;;;;
82676;09/06/1976;0000;31.9;;24.76;73.5;2.366667;
82676;09/06/1976;1200;;20.9;;;;
82676;10/06/1976;0000;30.9;;23.34;69.75;3.166667;
82676;10/06/1976;1200;;17;;;;
82676;11/06/1976;0000;31.4;;23.44;75;1.766667;
82676;11/06/1976;1200;;17.6;;;;
82676;12/06/1976;0000;32.3;;23.88;76;1.633333;
82676;12/06/1976;1200;;17.4;;;;
82676;13/06/1976;0000;31.2;;24.76;82.5;1.466667;
82676;13/06/1976;1200;;20.9;;;;
82676;14/06/1976;0000;30.8;;24.48;85;1.766667;
82676;14/06/1976;1200;;20.9;;;;
82676;15/06/1976;0000;30.9;;24.36;81.75;1.966667;
82676;15/06/1976;1200;;19.8;;;;
82676;16/06/1976;0000;31;;24.02;83;1.066667;
82676;16/06/1976;1200;;19.7;;;;
82676;17/06/1976;0000;31.4;;23.2;78.25;1.666667;
82676;17/06/1976;1200;;17.3;;;;
82676;18/06/1976;0000;31.3;;22.98;77.5;1.7;
82676;18/06/1976;1200;;16;;;;
82676;19/06/1976;0000;33.9;;24.14;74.25;1.866667;
82676;19/06/1976;1200;;16.9;;;;
82676;20/06/1976;0000;30.3;;23.84;73.25;2.733333;
82676;20/06/1976;1200;;19.9;;;;
82676;21/06/1976;0000;31.3;;23.28;69.5;3.1;
82676;21/06/1976;1200;;17.2;;;;
82676;22/06/1976;0000;31.3;;23.64;76.25;2.466667;
