--------------------
BDMEP - INMET
--------------------
Estação           : FLORIANO - PI (OMM: 82678)
Latitude  (graus) : -6.76
Longitude (graus) : -43.01
Altitude  (metros): 123.27
Estação Operante
Inicio de operação: 21/01/1968
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82678;01/10/1970;0000;36.2;;29.46;52;2;
82678;01/10/1970;1200;;24.7;;;;
82678;02/10/1970;0000;28.9;;25.48;85;0;
82678;02/10/1970;1200;;24.1;;;;
82678;03/10/1970;0000;36.1;;29.38;61.75;0.333333;
82678;03/10/1970;1200;;24.6;;;;
82678;04/10/1970;0000;35.6;;29.7;56.75;1.333333;
82678;04/10/1970;1200;;25.3;;;;
82678;05/10/1970;0000;36.2;;29.58;54.5;0.333333;
82678;05/10/1970;1200;;25.8;;;;
82678;06/10/1970;0000;36.2;;29.64;54.75;1.666667;
82678;06/10/1970;1200;;24.4;;;;
82678;07/10/1970;0000;35.5;;29.1;60.25;1;
82678;07/10/1970;1200;;24.7;;;;
82678;08/10/1970;0000;30.5;;26.64;81.75;2;
82678;08/10/1970;1200;;23.5;;;;
82678;09/10/1970;0000;35.7;;28.98;60.75;2.666667;
82678;09/10/1970;1200;;23.5;;;;
82678;10/10/1970;0000;36.7;;29.48;56.5;0.333333;
82678;10/10/1970;1200;;23.5;;;;
82678;11/10/1970;0000;36.9;;30.36;52;1;
82678;11/10/1970;1200;;25.2;;;;
82678;12/10/1970;0000;36.8;;29.48;54.75;1.666667;
82678;12/10/1970;1200;;23.6;;;;
82678;13/10/1970;0000;36.6;;29.32;45.5;1.666667;
82678;13/10/1970;1200;;23.7;;;;
82678;14/10/1970;0000;37.7;;29.08;45.5;0.333333;
82678;14/10/1970;1200;;21.7;;;;
82678;15/10/1970;0000;38.9;;30.36;43;1.666667;
82678;15/10/1970;1200;;24.2;;;;
82678;16/10/1970;0000;37.4;;30.06;43.75;0.666667;
82678;16/10/1970;1200;;25.2;;;;
82678;17/10/1970;0000;37;;30;46.75;1.333333;
82678;17/10/1970;1200;;23.3;;;;
82678;18/10/1970;0000;36.8;;30.58;48.75;0.666667;
82678;18/10/1970;1200;;25.7;;;;
82678;19/10/1970;0000;38.6;;31.56;46.5;1.333333;
82678;19/10/1970;1200;;27.2;;;;
82678;20/10/1970;0000;37.1;;31.04;48;1;
82678;20/10/1970;1200;;25.2;;;;
82678;21/10/1970;0000;33.2;;28.12;74.25;1.666667;
82678;21/10/1970;1200;;25.2;;;;
82678;22/10/1970;0000;33.7;;27.36;68;3;
82678;22/10/1970;1200;;24.4;;;;
82678;23/10/1970;0000;34.1;;27.86;59.75;0.333333;
82678;23/10/1970;1200;;23.6;;;;
82678;24/10/1970;0000;36.3;;29.26;60.25;1.666667;
82678;24/10/1970;1200;;24.2;;;;
82678;25/10/1970;0000;37.2;;29.94;52;1;
82678;25/10/1970;1200;;24.2;;;;
82678;26/10/1970;0000;36.8;;30.16;48.75;0.333333;
82678;26/10/1970;1200;;24.4;;;;
82678;27/10/1970;0000;38;;30.26;47.75;1.666667;
82678;27/10/1970;1200;;25.3;;;;
82678;28/10/1970;0000;38.2;;30.22;43.5;0.666667;
82678;28/10/1970;1200;;23.4;;;;
82678;29/10/1970;0000;37;;29.86;47.5;1;
82678;29/10/1970;1200;;24.9;;;;
82678;30/10/1970;0000;38.2;;30.24;42.25;0.666667;
82678;30/10/1970;1200;;23.5;;;;
82678;31/10/1970;0000;37;;29.54;50.5;1.333333;
82678;31/10/1970;1200;;24.2;;;;
82678;01/11/1970;0000;33.6;;29.22;50;0.666667;
82678;01/11/1970;1200;;25.3;;;;
82678;02/11/1970;0000;31.7;;27.86;74.25;0.666667;
82678;02/11/1970;1200;;26;;;;
82678;03/11/1970;0000;36.3;;29.3;56;1.333333;
82678;03/11/1970;1200;;23.4;;;;
82678;04/11/1970;0000;36.3;;29;63.5;2;
82678;04/11/1970;1200;;26.3;;;;
82678;05/11/1970;0000;33.9;;27.88;68.25;1.666667;
82678;05/11/1970;1200;;24.2;;;;
82678;06/11/1970;0000;29.7;;26.1;85.75;2;
82678;06/11/1970;1200;;23.7;;;;
82678;07/11/1970;0000;29.1;;25.24;83.25;0.333333;
82678;07/11/1970;1200;;22.7;;;;
82678;08/11/1970;0000;32.2;;27.04;68.5;0.666667;
82678;08/11/1970;1200;;22.8;;;;
82678;09/11/1970;0000;29.3;;24.46;90;2.333333;
82678;09/11/1970;1200;;21.2;;;;
82678;10/11/1970;0000;32.7;;26.68;76.75;0.333333;
82678;10/11/1970;1200;;21.1;;;;
82678;11/11/1970;0000;27.3;;24.02;91;0.333333;
82678;11/11/1970;1200;;22.2;;;;
82678;12/11/1970;0000;32.7;;26.5;76;1;
82678;12/11/1970;1200;;21.8;;;;
82678;13/11/1970;0000;33.3;;26.3;80;0.666667;
82678;13/11/1970;1200;;23.6;;;;
82678;14/11/1970;0000;30.2;;26.38;77;0.666667;
82678;14/11/1970;1200;;23.1;;;;
82678;15/11/1970;0000;33.7;;27.88;70;1.333333;
82678;15/11/1970;1200;;23.8;;;;
82678;16/11/1970;0000;27.7;;25.7;82.5;0.333333;
82678;16/11/1970;1200;;24.7;;;;
82678;17/11/1970;0000;33;;27.76;67.25;1.666667;
82678;17/11/1970;1200;;22.9;;;;
82678;18/11/1970;0000;28.2;;24.84;84.75;0.666667;
82678;18/11/1970;1200;;22;;;;
82678;19/11/1970;0000;33.4;;27.34;70.75;0.333333;
82678;19/11/1970;1200;;22.2;;;;
82678;20/11/1970;0000;34;;28.16;70;1.666667;
82678;20/11/1970;1200;;23.1;;;;
82678;21/11/1970;0000;28.5;;24.12;91;1;
82678;21/11/1970;1200;;22.7;;;;
82678;22/11/1970;0000;31.8;;26.34;72;1.333333;
82678;22/11/1970;1200;;22.5;;;;
82678;23/11/1970;0000;33.4;;26.82;72.25;1;
82678;23/11/1970;1200;;21.7;;;;
82678;24/11/1970;0000;34.3;;27.92;72;1;
82678;24/11/1970;1200;;22.7;;;;
82678;25/11/1970;0000;34;;28.46;69.5;0.333333;
82678;25/11/1970;1200;;23.8;;;;
82678;26/11/1970;0000;28.1;;24.12;89.75;0.333333;
82678;26/11/1970;1200;;21.8;;;;
82678;27/11/1970;0000;31.5;;26.1;76.5;0.333333;
82678;27/11/1970;1200;;22;;;;
82678;28/11/1970;0000;32.9;;26.98;70.25;1;
82678;28/11/1970;1200;;22;;;;
82678;29/11/1970;0000;34.6;;27.66;58.5;1.333333;
82678;29/11/1970;1200;;22;;;;
82678;30/11/1970;0000;35.2;;27.44;61.25;1.333333;
82678;30/11/1970;1200;;21.2;;;;
82678;01/12/1970;0000;32.8;;26.82;75.5;0.666667;
82678;01/12/1970;1200;;22.2;;;;
82678;02/12/1970;0000;33.6;;28.46;66.5;1;
82678;02/12/1970;1200;;24.4;;;;
82678;03/12/1970;0000;31.9;;27;75.75;1;
82678;03/12/1970;1200;;24.6;;;;
82678;04/12/1970;0000;32.6;;27.42;75.5;0.666667;
82678;04/12/1970;1200;;24.2;;;;
82678;05/12/1970;0000;27.2;;23.68;90.75;0.333333;
82678;05/12/1970;1200;;21;;;;
82678;06/12/1970;0000;32.2;;26.24;79.75;0.666667;
82678;06/12/1970;1200;;21.7;;;;
82678;07/12/1970;0000;32.2;;26.8;78;0.666667;
82678;07/12/1970;1200;;23.2;;;;
82678;08/12/1970;0000;34.1;;27.66;65.75;0.666667;
82678;08/12/1970;1200;;23;;;;
82678;09/12/1970;0000;33.2;;27.5;65;1.333333;
82678;09/12/1970;1200;;22.9;;;;
82678;10/12/1970;0000;31.6;;26.98;72.25;2.666667;
82678;10/12/1970;1200;;24.5;;;;
82678;11/12/1970;0000;33.1;;27.6;68.5;1.333333;
82678;11/12/1970;1200;;24;;;;
82678;12/12/1970;0000;33.3;;27.34;73.5;1.666667;
82678;12/12/1970;1200;;23.2;;;;
82678;13/12/1970;0000;34.5;;27.66;66.5;0.666667;
82678;13/12/1970;1200;;22.6;;;;
82678;14/12/1970;0000;28.8;;26.28;76.25;2.333333;
82678;14/12/1970;1200;;22.6;;;;
82678;15/12/1970;0000;32.4;;27.1;78.25;0.666667;
82678;15/12/1970;1200;;22.6;;;;
82678;16/12/1970;0000;31;;26.08;77.25;1;
82678;16/12/1970;1200;;23.2;;;;
82678;17/12/1970;0000;31.7;;26.76;76.75;0.666667;
82678;17/12/1970;1200;;22.9;;;;
82678;18/12/1970;0000;28.5;;24.16;85.5;0.333333;
82678;18/12/1970;1200;;21;;;;
82678;19/12/1970;0000;31.9;;26.4;75.25;0.666667;
82678;19/12/1970;1200;;22.3;;;;
82678;20/12/1970;0000;33;;27.2;75.25;1.333333;
82678;20/12/1970;1200;;22.6;;;;
82678;21/12/1970;0000;27.8;;24.04;89.75;0.666667;
82678;21/12/1970;1200;;21;;;;
82678;22/12/1970;0000;32.5;;26.16;79.5;0;
82678;22/12/1970;1200;;21.8;;;;
82678;23/12/1970;0000;34.1;;27.16;72.75;1.333333;
82678;23/12/1970;1200;;21.9;;;;
82678;24/12/1970;0000;32.3;;26.98;77;0.333333;
82678;24/12/1970;1200;;23.3;;;;
82678;25/12/1970;0000;30.3;;25.3;80.25;1;
82678;25/12/1970;1200;;21.8;;;;
82678;26/12/1970;0000;32.7;;25.7;79.75;0.666667;
82678;26/12/1970;1200;;22.6;;;;
82678;27/12/1970;0000;29.6;;25.38;86.25;0.666667;
82678;27/12/1970;1200;;21.5;;;;
82678;28/12/1970;0000;33.5;;26.96;79.25;0.333333;
82678;28/12/1970;1200;;22.3;;;;
82678;29/12/1970;0000;34.1;;27.94;70.25;2.333333;
82678;29/12/1970;1200;;22.9;;;;
82678;30/12/1970;0000;33.1;;28.02;72.75;1.333333;
82678;30/12/1970;1200;;24.4;;;;
82678;31/12/1970;0000;34.9;;28.24;64;1.333333;
82678;31/12/1970;1200;;22.8;;;;
82678;01/02/1971;0000;31.3;;26.16;79.25;0.333333;
82678;01/02/1971;1200;;22.6;;;;
82678;02/02/1971;0000;28.7;;24.9;86.5;0.333333;
82678;02/02/1971;1200;;22;;;;
82678;03/02/1971;0000;24.7;;23.06;93;0;
82678;03/02/1971;1200;;21.1;;;;
82678;04/02/1971;0000;28.4;;23.86;87.25;1.333333;
82678;04/02/1971;1200;;21;;;;
82678;05/02/1971;0000;30.5;;24.12;85.5;0;
82678;05/02/1971;1200;;21.2;;;;
82678;06/02/1971;0000;32.1;;25.06;81.25;0.666667;
82678;06/02/1971;1200;;21;;;;
82678;07/02/1971;0000;29.7;;23.66;83.25;0.333333;
82678;07/02/1971;1200;;21.2;;;;
82678;08/02/1971;0000;29.5;;24.24;85.25;1;
82678;08/02/1971;1200;;20.9;;;;
82678;09/02/1971;0000;29.8;;24.94;84;0;
82678;09/02/1971;1200;;21.7;;;;
82678;10/02/1971;0000;30.8;;25.3;87;0;
82678;10/02/1971;1200;;22.7;;;;
82678;11/02/1971;0000;31.1;;25.16;86;1;
82678;11/02/1971;1200;;21.9;;;;
82678;12/02/1971;0000;33.2;;26.28;78.5;1;
82678;12/02/1971;1200;;21.4;;;;
82678;13/02/1971;0000;32.5;;27.08;68.25;2;
82678;13/02/1971;1200;;23.2;;;;
82678;14/02/1971;0000;27.2;;24.04;92.25;0;
82678;14/02/1971;1200;;22.4;;;;
82678;15/02/1971;0000;30.4;;24.44;91.5;0.666667;
82678;15/02/1971;1200;;21.2;;;;
82678;16/02/1971;0000;29.8;;24.74;89;2.333333;
82678;16/02/1971;1200;;21.5;;;;
82678;17/02/1971;0000;30.3;;25.08;83.75;0;
82678;17/02/1971;1200;;22.3;;;;
82678;18/02/1971;0000;31.9;;26.56;78.5;0.666667;
82678;18/02/1971;1200;;23;;;;
82678;19/02/1971;0000;30.9;;26.08;83;1.333333;
82678;19/02/1971;1200;;22.2;;;;
82678;20/02/1971;0000;30.6;;25.7;87.75;1.666667;
82678;20/02/1971;1200;;22.3;;;;
82678;21/02/1971;0000;28.6;;25.4;87;1;
82678;21/02/1971;1200;;22.8;;;;
82678;22/02/1971;0000;27.2;;22.92;93.75;0.666667;
82678;22/02/1971;1200;;20.7;;;;
82678;23/02/1971;0000;26.8;;23.7;94;0;
82678;23/02/1971;1200;;21.7;;;;
82678;24/02/1971;0000;30.4;;25.6;80.5;1.666667;
82678;24/02/1971;1200;;22.1;;;;
82678;25/02/1971;0000;32.6;;25.94;81.75;1.666667;
82678;25/02/1971;1200;;21.6;;;;
82678;26/02/1971;0000;30.9;;25.3;84;0.333333;
82678;26/02/1971;1200;;21.9;;;;
82678;27/02/1971;0000;26.8;;23.26;90.5;0.666667;
82678;27/02/1971;1200;;20.9;;;;
82678;28/02/1971;0000;31.3;;25.1;82.25;0.666667;
82678;28/02/1971;1200;;21.5;;;;
82678;01/03/1971;0000;28.9;;24.38;91.5;0.666667;
82678;01/03/1971;1200;;21.6;;;;
82678;02/03/1971;0000;30.6;;25.52;81;1.333333;
82678;02/03/1971;1200;;21.6;;;;
82678;03/03/1971;0000;30.8;;25;84.5;1;
82678;03/03/1971;1200;;22.5;;;;
82678;04/03/1971;0000;25;;23.02;92;1;
82678;04/03/1971;1200;;21;;;;
82678;05/03/1971;0000;32.3;;25.84;76.5;0.666667;
82678;05/03/1971;1200;;21.1;;;;
82678;06/03/1971;0000;32.5;;26.78;77.5;2.333333;
82678;06/03/1971;1200;;22;;;;
82678;07/03/1971;0000;28.8;;24.8;92.75;0;
82678;07/03/1971;1200;;22.5;;;;
82678;08/03/1971;0000;32.3;;26.66;79.5;0.666667;
82678;08/03/1971;1200;;22.6;;;;
82678;09/03/1971;0000;33.5;;26.44;80.25;1;
82678;09/03/1971;1200;;21.7;;;;
82678;10/03/1971;0000;32.4;;26.3;79.25;1;
82678;10/03/1971;1200;;21.5;;;;
82678;11/03/1971;0000;30.2;;25.34;82.75;0.666667;
82678;11/03/1971;1200;;22.1;;;;
82678;12/03/1971;0000;32.6;;26.34;80.5;1.333333;
82678;12/03/1971;1200;;22;;;;
