--------------------
BDMEP - INMET
--------------------
Estação           : TAUA - CE (OMM: 82683)
Latitude  (graus) : -6
Longitude (graus) : -40.41
Altitude  (metros): 398.77
Estação Operante
Inicio de operação: 01/02/1962
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82683;01/01/1964;0000;29.2;;25.14;76.75;2.666667;
82683;01/01/1964;1200;;21.6;;;;
82683;02/01/1964;0000;31.3;;25.4;73.75;2.333333;
82683;02/01/1964;1200;;22.3;;;;
82683;03/01/1964;0000;;;;72;2.666667;
82683;03/01/1964;1200;;22;;;;
82683;04/01/1964;0000;32.8;;26.02;69.75;3;
82683;04/01/1964;1200;;22.5;;;;
82683;05/01/1964;0000;29.9;;24.86;80.75;3;
82683;05/01/1964;1200;;22.4;;;;
82683;06/01/1964;0000;30.3;;24.36;80.25;3;
82683;06/01/1964;1200;;22.3;;;;
82683;07/01/1964;0000;31.1;;26.38;68.25;2.333333;
82683;07/01/1964;1200;;22.5;;;;
82683;08/01/1964;0000;28.3;;25.12;75.5;4.333333;
82683;08/01/1964;1200;;21.6;;;;
82683;09/01/1964;0000;32.3;;27.14;68.75;3.666667;
82683;09/01/1964;1200;;23.2;;;;
82683;10/01/1964;0000;30.1;;20.2;76.5;3.666667;
82683;11/01/1964;0000;29.4;;24.78;75.5;2;
82683;11/01/1964;1200;;21.2;;;;
82683;12/01/1964;0000;31.4;;25.66;75.75;4.666667;
82683;12/01/1964;1200;;22.3;;;;
82683;13/01/1964;0000;32.5;;26.26;76;3.666667;
82683;13/01/1964;1200;;24;;;;
82683;14/01/1964;0000;28.4;;24.58;75.25;3;
82683;14/01/1964;1200;;22.5;;;;
82683;15/01/1964;0000;30.3;;24.94;84.75;2.666667;
82683;15/01/1964;1200;;22;;;;
82683;16/01/1964;0000;30.2;;26.3;68.75;3;
82683;16/01/1964;1200;;21.7;;;;
82683;17/01/1964;0000;30.5;;26.34;75.75;3;
82683;17/01/1964;1200;;25;;;;
82683;18/01/1964;0000;30.4;;26.08;77.75;3.666667;
82683;18/01/1964;1200;;22.2;;;;
82683;19/01/1964;0000;28.9;;24.54;81.25;3.666667;
