--------------------
BDMEP - INMET
--------------------
Estação           : IGUATU - CE (OMM: 82686)
Latitude  (graus) : -6.36
Longitude (graus) : -39.29
Altitude  (metros): 217.67
Estação Operante
Inicio de operação: 01/01/1911
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82686;01/01/1961;0000;36.5;;30.14;44.5;2;
82686;01/01/1961;1200;;24.1;;;;
82686;02/01/1961;0000;37.3;;30.56;45;2;
82686;02/01/1961;1200;;24.7;;;;
82686;03/01/1961;0000;36.4;;30.3;45.5;3.333333;
82686;03/01/1961;1200;;24.5;;;;
82686;04/01/1961;0000;36.5;;29.88;45;2;
82686;04/01/1961;1200;;24.7;;;;
82686;05/01/1961;0000;36.9;;30.76;46.5;2.333333;
82686;05/01/1961;1200;;24.9;;;;
82686;06/01/1961;0000;37.8;;30.5;44.5;3;
82686;06/01/1961;1200;;24.1;;;;
82686;07/01/1961;0000;37.1;;30.6;48.5;4;
82686;07/01/1961;1200;;24.7;;;;
82686;08/01/1961;0000;35.7;;30.1;43.5;4.333333;
82686;08/01/1961;1200;;24.2;;;;
82686;09/01/1961;0000;34.7;;29.96;48.25;2.666667;
82686;09/01/1961;1200;;25.5;;;;
82686;10/01/1961;0000;34.4;;29.44;51.5;2.333333;
82686;10/01/1961;1200;;24.6;;;;
82686;11/01/1961;0000;36.4;;30.04;49;1.666667;
82686;11/01/1961;1200;;24.8;;;;
82686;12/01/1961;0000;36.4;;30.42;48.75;2.333333;
82686;12/01/1961;1200;;24.9;;;;
82686;13/01/1961;0000;36.6;;30.52;47;2;
82686;13/01/1961;1200;;25.5;;;;
82686;14/01/1961;0000;36.4;;30.7;40.5;4.666667;
82686;14/01/1961;1200;;25.3;;;;
82686;15/01/1961;0000;36;;30.14;51.5;1.666667;
82686;15/01/1961;1200;;24.5;;;;
82686;16/01/1961;0000;33;;26.96;78.25;2.666667;
82686;16/01/1961;1200;;24.4;;;;
82686;17/01/1961;0000;31.7;;26.88;73.25;2;
82686;17/01/1961;1200;;22.3;;;;
82686;18/01/1961;0000;28.2;;24.1;88;1.333333;
82686;18/01/1961;1200;;21.3;;;;
82686;19/01/1961;0000;32.2;;26.22;77.75;0;
82686;19/01/1961;1200;;23.5;;;;
82686;20/01/1961;0000;31.2;;26.5;78;2;
82686;20/01/1961;1200;;22.3;;;;
82686;21/01/1961;0000;32.2;;26.42;74.75;2.666667;
82686;21/01/1961;1200;;22.3;;;;
82686;22/01/1961;0000;26.6;;23.9;84.5;2.666667;
82686;22/01/1961;1200;;21.9;;;;
82686;23/01/1961;0000;30;;25.24;80;1.666667;
82686;23/01/1961;1200;;22.4;;;;
82686;24/01/1961;0000;33.6;;28.1;62.25;1;
82686;24/01/1961;1200;;22.1;;;;
82686;25/01/1961;0000;33.6;;28.28;67;0.666667;
82686;25/01/1961;1200;;24.2;;;;
82686;26/01/1961;0000;33;;27.7;67;1;
82686;26/01/1961;1200;;24.3;;;;
82686;27/01/1961;0000;33.4;;27.38;72.5;2;
82686;27/01/1961;1200;;23.5;;;;
82686;28/01/1961;0000;33.4;;28.2;64;2;
82686;28/01/1961;1200;;24.9;;;;
82686;29/01/1961;0000;33.2;;28.24;57;1.666667;
82686;29/01/1961;1200;;23;;;;
82686;30/01/1961;0000;32.6;;27.54;67.75;1.333333;
82686;30/01/1961;1200;;23.1;;;;
82686;31/01/1961;0000;31.8;;26.84;72.75;1.666667;
82686;31/01/1961;1200;;24.4;;;;
82686;01/02/1961;0000;27.9;;25.88;77.25;1.333333;
82686;01/02/1961;1200;;23.9;;;;
82686;02/02/1961;0000;30.9;;26.4;75.75;1.333333;
82686;02/02/1961;1200;;23.5;;;;
82686;03/02/1961;0000;32.5;;27.08;69.75;2;
82686;03/02/1961;1200;;23.7;;;;
82686;04/02/1961;0000;31.4;;27.12;72.5;0.333333;
82686;04/02/1961;1200;;24.2;;;;
82686;05/02/1961;0000;32.7;;27.34;74.25;1.666667;
82686;05/02/1961;1200;;23.4;;;;
82686;06/02/1961;0000;33.3;;27.32;73.25;2;
82686;06/02/1961;1200;;24.3;;;;
82686;07/02/1961;0000;32.4;;25.24;83.5;1.333333;
82686;07/02/1961;1200;;22.4;;;;
82686;08/02/1961;0000;31.7;;25.5;82.75;1.333333;
