--------------------
BDMEP - INMET
--------------------
Estação           : SAO GONCALO - PB (OMM: 82689)
Latitude  (graus) : -6.75
Longitude (graus) : -38.21
Altitude  (metros): 233.06
Estação Operante
Inicio de operação: 08/10/1938
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82689;01/01/1961;0000;;;;58.25;1.533333;
82689;01/01/1961;1200;;20.5;;;;
82689;02/01/1961;0000;;;;53.25;1.866667;
82689;02/01/1961;1200;;20.8;;;;
82689;03/01/1961;0000;;;;56;2.2;
82689;03/01/1961;1200;;20.4;;;;
82689;04/01/1961;0000;;;;60.75;2;
82689;04/01/1961;1200;;22.4;;;;
82689;05/01/1961;0000;;;;54.5;3.033333;
82689;05/01/1961;1200;;22.6;;;;
82689;06/01/1961;0000;;;;54.5;1.266667;
82689;06/01/1961;1200;;21.4;;;;
82689;07/01/1961;0000;;;;53.5;1.366667;
82689;07/01/1961;1200;;21.4;;;;
82689;08/01/1961;0000;;;;56.25;3.533333;
82689;08/01/1961;1200;;22;;;;
82689;09/01/1961;0000;;;;52.25;3.433333;
82689;09/01/1961;1200;;22.8;;;;
82689;10/01/1961;0000;;;;48.25;2;
82689;10/01/1961;1200;;20.8;;;;
82689;11/01/1961;0000;;;;57;1.9;
82689;11/01/1961;1200;;22.4;;;;
82689;12/01/1961;0000;;;;54.5;3.466667;
82689;12/01/1961;1200;;22.4;;;;
82689;13/01/1961;0000;;;;51.75;1.033333;
82689;13/01/1961;1200;;23.4;;;;
82689;14/01/1961;0000;;;;51.25;5.533333;
82689;14/01/1961;1200;;22.8;;;;
82689;15/01/1961;0000;;;;50.25;3.4;
82689;15/01/1961;1200;;21.4;;;;
82689;16/01/1961;0000;;;;80;3.433333;
82689;16/01/1961;1200;;21.8;;;;
82689;17/01/1961;0000;;;;80.5;0;
82689;17/01/1961;1200;;20.6;;;;
82689;18/01/1961;0000;;;;88;0;
82689;18/01/1961;1200;;21.4;;;;
82689;19/01/1961;0000;;;;89.5;0;
82689;19/01/1961;1200;;21.4;;;;
82689;20/01/1961;0000;;;;74.75;1.266667;
82689;20/01/1961;1200;;22;;;;
82689;21/01/1961;0000;;;;76.25;2;
82689;21/01/1961;1200;;21.6;;;;
82689;22/01/1961;0000;;;;72.25;0;
82689;22/01/1961;1200;;20.4;;;;
82689;23/01/1961;0000;;;;88.5;0;
82689;23/01/1961;1200;;20.5;;;;
82689;24/01/1961;0000;;;;72.25;0.333333;
82689;24/01/1961;1200;;19.9;;;;
82689;25/01/1961;0000;;;;75.75;0.566667;
82689;25/01/1961;1200;;22.4;;;;
82689;26/01/1961;0000;32.1;;26.18;75.25;0.5;
82689;26/01/1961;1200;;22.8;;;;
82689;27/01/1961;0000;33.5;;27.18;72.25;0.666667;
82689;27/01/1961;1200;;20.8;;;;
82689;28/01/1961;0000;33;;26.88;63.75;0;
82689;28/01/1961;1200;;21.8;;;;
82689;29/01/1961;0000;33.5;;26.84;62.25;0;
82689;29/01/1961;1200;;20.5;;;;
82689;30/01/1961;0000;33.4;;26.72;70.25;0;
82689;30/01/1961;1200;;21.6;;;;
82689;31/01/1961;0000;28.6;;25.04;81.5;1.633333;
82689;31/01/1961;1200;;21;;;;
82689;01/02/1961;0000;31.6;;26.4;69.75;1.233333;
82689;01/02/1961;1200;;21.4;;;;
82689;02/02/1961;0000;32.6;;26.86;67.5;0.666667;
82689;02/02/1961;1200;;21.5;;;;
82689;03/02/1961;0000;33;;26.64;66.25;0.633333;
82689;03/02/1961;1200;;20.4;;;;
82689;04/02/1961;0000;31.6;;26.12;75;0.733333;
82689;04/02/1961;1200;;21;;;;
82689;05/02/1961;0000;30.4;;26.08;78.75;1.033333;
82689;05/02/1961;1200;;21.8;;;;
82689;06/02/1961;0000;31.6;;26.1;79.75;0.666667;
82689;06/02/1961;1200;;22.4;;;;
82689;07/02/1961;0000;31.8;;26.16;76.5;0.333333;
82689;07/02/1961;1200;;22.4;;;;
82689;08/02/1961;0000;31.8;;26.26;75.25;0;
82689;08/02/1961;1200;;21.4;;;;
82689;09/02/1961;0000;29;;24.28;88.75;0.566667;
82689;09/02/1961;1200;;20.8;;;;
82689;10/02/1961;0000;31.8;;24.12;83.75;0;
82689;10/02/1961;1200;;20.4;;;;
82689;11/02/1961;0000;31.7;;25.4;84.25;0;
82689;11/02/1961;1200;;20.8;;;;
82689;12/02/1961;0000;30.6;;23.86;85;1.066667;
82689;12/02/1961;1200;;20.4;;;;
82689;13/02/1961;0000;30.6;;24.06;87.25;1.366667;
82689;13/02/1961;1200;;20.5;;;;
82689;14/02/1961;0000;30;;24.92;73.5;0.4;
82689;14/02/1961;1200;;20.5;;;;
82689;15/02/1961;0000;31.4;;26.02;80.75;0;
82689;15/02/1961;1200;;21.4;;;;
82689;16/02/1961;0000;27.8;;23.84;92.25;0;
82689;16/02/1961;1200;;20.4;;;;
82689;17/02/1961;0000;28.6;;24;82;0.6;
82689;17/02/1961;1200;;20.4;;;;
82689;18/02/1961;0000;32;;24.96;81.25;2.433333;
82689;18/02/1961;1200;;20.5;;;;
82689;19/02/1961;0000;30.2;;26.24;77.25;0.733333;
82689;19/02/1961;1200;;22.4;;;;
82689;20/02/1961;0000;31.5;;26.22;73.75;0;
82689;20/02/1961;1200;;22.4;;;;
82689;21/02/1961;0000;31.3;;25.9;78;0;
82689;21/02/1961;1200;;21.6;;;;
82689;22/02/1961;0000;30.8;;25.44;76.25;0.733333;
82689;22/02/1961;1200;;20.5;;;;
82689;23/02/1961;0000;32.6;;25.3;80.75;1.066667;
82689;23/02/1961;1200;;20.4;;;;
82689;24/02/1961;0000;30.2;;24.9;76;0.666667;
82689;24/02/1961;1200;;20.4;;;;
82689;25/02/1961;0000;30.6;;25.68;74;0;
82689;25/02/1961;1200;;22;;;;
82689;26/02/1961;0000;31.6;;26.8;70.75;0.833333;
82689;26/02/1961;1200;;22.6;;;;
82689;27/02/1961;0000;31.5;;26.4;70;2.233333;
82689;27/02/1961;1200;;21.5;;;;
82689;28/02/1961;0000;31.9;;26.02;74.75;0.833333;
82689;28/02/1961;1200;;20.6;;;;
82689;01/03/1961;0000;32.8;;26.28;70.5;1.366667;
82689;01/03/1961;1200;;21.8;;;;
82689;02/03/1961;0000;31.6;;26.24;76.25;0;
82689;02/03/1961;1200;;21.9;;;;
82689;03/03/1961;0000;33.2;;25.98;73.5;1.533333;
82689;03/03/1961;1200;;21.5;;;;
82689;04/03/1961;0000;33.1;;26.06;69.5;0.6;
82689;04/03/1961;1200;;20.6;;;;
82689;05/03/1961;0000;31;;25.6;77.5;0.5;
82689;05/03/1961;1200;;20;;;;
82689;06/03/1961;0000;32;;26.14;66.5;0;
82689;06/03/1961;1200;;19.5;;;;
82689;07/03/1961;0000;33.4;;26.74;64.75;0.666667;
82689;07/03/1961;1200;;20.5;;;;
82689;08/03/1961;0000;34;;27.02;64.75;0;
82689;08/03/1961;1200;;20.5;;;;
82689;09/03/1961;0000;33.8;;27.14;75;0;
82689;09/03/1961;1200;;21.7;;;;
82689;10/03/1961;0000;33.1;;26.46;61.75;1.566667;
82689;10/03/1961;1200;;20.6;;;;
82689;11/03/1961;0000;34.7;;26.86;59.25;2.8;
82689;11/03/1961;1200;;22.5;;;;
82689;12/03/1961;0000;32.3;;25.94;68;1.2;
82689;12/03/1961;1200;;20.8;;;;
82689;13/03/1961;0000;31.6;;25.84;71.75;0.566667;
82689;13/03/1961;1200;;21.6;;;;
82689;14/03/1961;0000;29.9;;25.12;74.25;1.033333;
82689;14/03/1961;1200;;21.5;;;;
82689;15/03/1961;0000;32.6;;26.16;77.75;0.566667;
82689;15/03/1961;1200;;21.4;;;;
82689;16/03/1961;0000;33.2;;26.94;64.75;0.833333;
82689;16/03/1961;1200;;22.5;;;;
82689;17/03/1961;0000;34.2;;26.64;70.75;1.533333;
82689;17/03/1961;1200;;20.8;;;;
82689;18/03/1961;0000;32.3;;26.06;81.5;2.7;
82689;18/03/1961;1200;;21.6;;;;
82689;19/03/1961;0000;34;;27.32;64;2.133333;
82689;19/03/1961;1200;;22.9;;;;
82689;20/03/1961;0000;33;;26.4;77.5;0;
82689;20/03/1961;1200;;20.4;;;;
82689;21/03/1961;0000;32.5;;26.82;62.75;0.8;
82689;21/03/1961;1200;;22.6;;;;
82689;22/03/1961;0000;30;;24.26;74;1.433333;
82689;22/03/1961;1200;;20.4;;;;
82689;23/03/1961;0000;31.9;;25.78;70.25;0.8;
82689;23/03/1961;1200;;21.5;;;;
82689;24/03/1961;0000;32.3;;25.9;78.75;1.3;
82689;24/03/1961;1200;;22.4;;;;
82689;25/03/1961;0000;31.6;;24.9;86;0;
82689;25/03/1961;1200;;20.6;;;;
82689;26/03/1961;0000;29;;24.28;83.5;1.533333;
82689;26/03/1961;1200;;19.4;;;;
82689;27/03/1961;0000;32.2;;25.16;83.75;1.633333;
82689;27/03/1961;1200;;21.4;;;;
82689;28/03/1961;0000;29;;24.46;79;0;
82689;28/03/1961;1200;;20.5;;;;
82689;29/03/1961;0000;30.5;;25.62;80.25;0.833333;
82689;29/03/1961;1200;;21.4;;;;
82689;30/03/1961;0000;29.2;;25;84.5;0.5;
82689;30/03/1961;1200;;21.8;;;;
82689;31/03/1961;0000;30.2;;25.62;74.25;1.866667;
82689;31/03/1961;1200;;20.7;;;;
82689;01/04/1961;0000;30.4;;25.82;72;0;
82689;01/04/1961;1200;;21.7;;;;
82689;02/04/1961;0000;31.5;;26.18;68.75;0.733333;
82689;02/04/1961;1200;;21.4;;;;
82689;03/04/1961;0000;32.5;;26.74;73.5;0;
82689;03/04/1961;1200;;20.6;;;;
82689;04/04/1961;0000;32.8;;26.92;69;0.833333;
82689;04/04/1961;1200;;21.6;;;;
82689;05/04/1961;0000;32.4;;26.34;75;0.566667;
82689;05/04/1961;1200;;21.5;;;;
82689;06/04/1961;0000;30.4;;26.08;68.25;1.366667;
82689;06/04/1961;1200;;20.8;;;;
82689;07/04/1961;0000;30.4;;25.52;73;0.8;
82689;07/04/1961;1200;;20.4;;;;
82689;08/04/1961;0000;31;;26.3;73.75;1.366667;
82689;08/04/1961;1200;;21.6;;;;
82689;09/04/1961;0000;32.1;;25.94;68.5;0.8;
82689;09/04/1961;1200;;20.4;;;;
82689;10/04/1961;0000;33;;25.92;74;0.766667;
82689;10/04/1961;1200;;21.4;;;;
82689;11/04/1961;0000;33.5;;26.62;67.25;0.733333;
82689;11/04/1961;1200;;20.4;;;;
82689;12/04/1961;0000;32;;26.28;68.25;1.566667;
82689;12/04/1961;1200;;21.6;;;;
82689;13/04/1961;0000;32.1;;26.5;70.75;2.1;
82689;13/04/1961;1200;;21.6;;;;
82689;14/04/1961;0000;31;;26.56;79.25;0;
82689;14/04/1961;1200;;23;;;;
82689;15/04/1961;0000;31.9;;26;70.25;1.033333;
82689;15/04/1961;1200;;20.8;;;;
82689;16/04/1961;0000;31.5;;26.1;73.5;1.9;
82689;16/04/1961;1200;;21.6;;;;
82689;17/04/1961;0000;33;;26.56;69.25;0.566667;
82689;17/04/1961;1200;;20.6;;;;
82689;18/04/1961;0000;31.5;;25.74;70.25;1.4;
82689;18/04/1961;1200;;20.8;;;;
82689;19/04/1961;0000;32.5;;26.58;70.5;0.833333;
82689;19/04/1961;1200;;22;;;;
82689;20/04/1961;0000;31.8;;26.48;76.25;0.466667;
82689;20/04/1961;1200;;22.4;;;;
82689;21/04/1961;0000;30.8;;26.34;70.5;1.966667;
82689;21/04/1961;1200;;21.7;;;;
82689;22/04/1961;0000;30.3;;25.82;67.75;2.2;
82689;22/04/1961;1200;;19.4;;;;
82689;23/04/1961;0000;32.5;;26.62;67.75;0.666667;
82689;23/04/1961;1200;;21.4;;;;
82689;24/04/1961;0000;32.8;;25.68;77;1.866667;
82689;24/04/1961;1200;;20.4;;;;
82689;25/04/1961;0000;32.3;;26.32;71;0.733333;
82689;25/04/1961;1200;;22.6;;;;
82689;26/04/1961;0000;31.5;;25.54;77.75;0.333333;
82689;26/04/1961;1200;;19.6;;;;
82689;27/04/1961;0000;31.5;;26.06;75.5;0.666667;
82689;27/04/1961;1200;;22.4;;;;
82689;28/04/1961;0000;33.5;;26.22;80.25;0.6;
82689;28/04/1961;1200;;22.4;;;;
82689;29/04/1961;0000;32.1;;25.86;75;0;
82689;29/04/1961;1200;;22;;;;
82689;30/04/1961;0000;32;;26.68;70;0.8;
82689;30/04/1961;1200;;22.4;;;;
82689;01/05/1961;0000;30.9;;26.5;82.25;0;
82689;01/05/1961;1200;;22.4;;;;
82689;02/05/1961;0000;30.5;;25.7;69.75;1.4;
82689;02/05/1961;1200;;21.4;;;;
82689;03/05/1961;0000;31.8;;26.24;70.5;0.8;
82689;03/05/1961;1200;;21.6;;;;
82689;04/05/1961;0000;32.6;;25.86;67.75;1.666667;
82689;04/05/1961;1200;;20.4;;;;
82689;05/05/1961;0000;31.6;;26.62;67.25;0.833333;
82689;05/05/1961;1200;;21.4;;;;
82689;06/05/1961;0000;31.2;;26.4;67.25;1.433333;
82689;06/05/1961;1200;;20.4;;;;
82689;07/05/1961;0000;33.3;;27.78;66;1.5;
82689;07/05/1961;1200;;22.4;;;;
82689;08/05/1961;0000;31.7;;26.4;68.75;0.8;
82689;08/05/1961;1200;;20.8;;;;
82689;09/05/1961;0000;33.2;;26.64;67;0;
82689;09/05/1961;1200;;20.6;;;;
82689;10/05/1961;0000;33.2;;26.44;70;0.8;
82689;10/05/1961;1200;;19.8;;;;
82689;11/05/1961;0000;30.2;;25.68;74.5;0.933333;
82689;11/05/1961;1200;;20.6;;;;
82689;12/05/1961;0000;32;;25.6;73.25;4.666667;
82689;12/05/1961;1200;;19.8;;;;
82689;13/05/1961;0000;27.8;;24.72;87.5;0.8;
82689;13/05/1961;1200;;22.6;;;;
82689;14/05/1961;0000;30;;25.48;76;1.6;
82689;14/05/1961;1200;;21.4;;;;
82689;15/05/1961;0000;32;;25;78.5;0.333333;
82689;15/05/1961;1200;;19.8;;;;
82689;16/05/1961;0000;30;;25.88;66.25;1.033333;
82689;16/05/1961;1200;;20.6;;;;
82689;17/05/1961;0000;31.2;;25.72;66.5;1.933333;
82689;17/05/1961;1200;;19.4;;;;
82689;18/05/1961;0000;31;;24.18;72.75;1.033333;
82689;18/05/1961;1200;;16.7;;;;
82689;19/05/1961;0000;32.2;;25.26;64.5;2.133333;
82689;19/05/1961;1200;;17.1;;;;
82689;20/05/1961;0000;32.4;;24.52;72.75;1.633333;
82689;20/05/1961;1200;;19.6;;;;
82689;21/05/1961;0000;32;;26.12;69.75;1.6;
82689;21/05/1961;1200;;20.2;;;;
82689;22/05/1961;0000;34.2;;26.56;64.75;1.866667;
82689;22/05/1961;1200;;20.6;;;;
82689;23/05/1961;0000;32;;25.56;68.75;0.966667;
82689;23/05/1961;1200;;20.8;;;;
82689;24/05/1961;0000;32.4;;26.52;63.5;1.766667;
82689;24/05/1961;1200;;21.6;;;;
82689;25/05/1961;0000;36.2;;25.9;60.5;1.733333;
82689;25/05/1961;1200;;14.7;;;;
82689;26/05/1961;0000;35.1;;27.5;66.75;0;
82689;26/05/1961;1200;;21.6;;;;
82689;27/05/1961;0000;32.2;;26;64.75;3;
82689;27/05/1961;1200;;22;;;;
82689;28/05/1961;0000;33.2;;25.36;76.25;1.033333;
82689;28/05/1961;1200;;20.6;;;;
82689;29/05/1961;0000;35.6;;27.6;67.75;1.733333;
82689;29/05/1961;1200;;21.8;;;;
82689;30/05/1961;0000;32.4;;26.58;69.5;1.833333;
82689;30/05/1961;1200;;20.5;;;;
82689;31/05/1961;0000;31;;25.88;66.25;1.666667;
82689;31/05/1961;1200;;21.4;;;;
82689;01/06/1961;0000;31.9;;25.44;70.25;1.733333;
82689;01/06/1961;1200;;20.4;;;;
82689;02/06/1961;0000;33;;25.7;71.25;1.8;
82689;02/06/1961;1200;;20.7;;;;
82689;03/06/1961;0000;32.4;;26.28;66.75;1.933333;
82689;03/06/1961;1200;;21.8;;;;
82689;04/06/1961;0000;32.7;;26.16;67.5;4.333333;
82689;04/06/1961;1200;;20.5;;;;
82689;05/06/1961;0000;32;;25.52;64.5;2.566667;
82689;05/06/1961;1200;;16.6;;;;
82689;06/06/1961;0000;32.4;;25.72;63.5;1.6;
82689;06/06/1961;1200;;19;;;;
82689;07/06/1961;0000;30.2;;25.28;73.5;1.766667;
82689;07/06/1961;1200;;18.7;;;;
