--------------------
BDMEP - INMET
--------------------
Estação           : SERIDO  CAICO  - RN (OMM: 82690)
Latitude  (graus) : -6.46
Longitude (graus) : -37.08
Altitude  (metros): 169.85
Estação Operante
Inicio de operação: 14/03/1995
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82690;01/08/1990;0000;33.6;;26.8;63;4.266667;
82690;01/08/1990;1200;;21;;;;
82690;02/08/1990;0000;34.4;;27.08;53;4.4;
82690;02/08/1990;1200;;21;;;;
82690;03/08/1990;0000;34.8;;26.58;54.25;4.033333;
82690;03/08/1990;1200;;19.9;;;;
82690;04/08/1990;0000;34.9;;27.46;55.75;3.5;
82690;04/08/1990;1200;;21.6;;;;
82690;05/08/1990;0000;35.1;;27.58;55.5;5.6;
82690;05/08/1990;1200;;22;;;;
82690;06/08/1990;0000;34.4;;27.48;51;4.666667;
82690;06/08/1990;1200;;22.4;;;;
82690;07/08/1990;0000;35;;26.76;54;5.433333;
82690;07/08/1990;1200;;21.8;;;;
82690;08/08/1990;0000;33.2;;26.64;51.25;5.733333;
82690;08/08/1990;1200;;20.8;;;;
82690;09/08/1990;0000;34;;26.32;59.75;5.233333;
82690;09/08/1990;1200;;21.2;;;;
82690;10/08/1990;0000;33.6;;26.84;55;4;
82690;10/08/1990;1200;;21;;;;
82690;11/08/1990;0000;34.6;;26.64;53.75;5.766667;
82690;11/08/1990;1200;;21.2;;;;
82690;12/08/1990;0000;33.8;;26.88;52;6.6;
82690;12/08/1990;1200;;20.4;;;;
82690;13/08/1990;0000;33.8;;26.72;47;4.833333;
82690;13/08/1990;1200;;20;;;;
82690;14/08/1990;0000;34.4;;26.32;46.25;5.1;
82690;14/08/1990;1200;;16.8;;;;
82690;15/08/1990;0000;34.4;;27.36;39.25;4.6;
82690;15/08/1990;1200;;20.8;;;;
82690;16/08/1990;0000;34.2;;26.76;48.5;4.466667;
82690;16/08/1990;1200;;21;;;;
82690;17/08/1990;0000;33.8;;26.7;48.75;5.4;
82690;17/08/1990;1200;;19.7;;;;
82690;18/08/1990;0000;31.8;;26.36;52.25;5.733333;
82690;18/08/1990;1200;;20.8;;;;
82690;19/08/1990;0000;34.6;;27.38;47.5;7.033333;
