--------------------
BDMEP - INMET
--------------------
Estação           : FLORANIA - RN (OMM: 82691)
Latitude  (graus) : -6.11
Longitude (graus) : -36.81
Altitude  (metros): 324.45
Estação Operante
Inicio de operação: 19/12/1962
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82691;01/01/1963;0000;;;;68.5;3.666667;
82691;02/01/1963;0000;;;;60.75;2.666667;
82691;03/01/1963;0000;;;;62.25;3;
82691;04/01/1963;0000;;;;69.25;2.333333;
82691;05/01/1963;0000;;;;65.25;2.666667;
82691;06/01/1963;0000;;;;67.75;6;
82691;07/01/1963;0000;;;;65;6;
82691;08/01/1963;0000;;;;62.5;4;
82691;09/01/1963;0000;;;;65.75;2;
82691;10/01/1963;0000;;;;62.75;5.666667;
82691;11/01/1963;0000;;;;68.75;5.333333;
82691;12/01/1963;0000;;;;77.5;8;
82691;13/01/1963;0000;;;;75.25;5;
82691;13/01/1963;1200;;21.6;;;;
82691;14/01/1963;0000;;;;67.5;2.666667;
82691;14/01/1963;1200;;20.9;;;;
82691;15/01/1963;0000;;;;69.5;2;
82691;15/01/1963;1200;;22.4;;;;
82691;16/01/1963;0000;;;;70.75;1;
82691;16/01/1963;1200;;23.1;;;;
82691;17/01/1963;0000;;;;76.25;1.666667;
82691;17/01/1963;1200;;24.1;;;;
82691;18/01/1963;0000;;;;77.5;4;
82691;18/01/1963;1200;;24.2;;;;
82691;19/01/1963;0000;;;;75;4.466667;
82691;19/01/1963;1200;;22.6;;;;
82691;20/01/1963;0000;;;;76.5;5;
82691;20/01/1963;1200;;21.1;;;;
82691;21/01/1963;0000;;;;76.25;4;
82691;21/01/1963;1200;;20.6;;;;
82691;22/01/1963;0000;;;;77.75;2;
82691;22/01/1963;1200;;21.1;;;;
82691;23/01/1963;0000;;;;78.25;4;
82691;23/01/1963;1200;;24.3;;;;
82691;24/01/1963;0000;;;;79;2;
82691;24/01/1963;1200;;20.7;;;;
82691;25/01/1963;0000;;;;73.25;4;
82691;25/01/1963;1200;;21.9;;;;
82691;26/01/1963;0000;;;;68.5;4.666667;
82691;26/01/1963;1200;;22.8;;;;
82691;27/01/1963;0000;;;;69.75;4.666667;
82691;27/01/1963;1200;;20.8;;;;
82691;28/01/1963;0000;;;;72;1.133333;
82691;28/01/1963;1200;;21.3;;;;
82691;29/01/1963;0000;;;;73.75;5.666667;
82691;29/01/1963;1200;;22.5;;;;
82691;30/01/1963;0000;33.4;;27.06;71.5;4;
82691;30/01/1963;1200;;22.4;;;;
82691;31/01/1963;0000;30.6;;26.5;68;6.666667;
82691;31/01/1963;1200;;21.9;;;;
82691;01/02/1963;0000;;;;80;6.333333;
82691;01/02/1963;1200;;20.9;;;;
82691;02/02/1963;0000;;;;76.75;5.333333;
82691;02/02/1963;1200;;22.1;;;;
82691;03/02/1963;0000;;;;80.75;2.666667;
82691;03/02/1963;1200;;22.5;;;;
82691;04/02/1963;0000;;;;75.25;3.333333;
82691;04/02/1963;1200;;22.2;;;;
82691;05/02/1963;0000;;;;76.75;1.666667;
82691;05/02/1963;1200;;23.2;;;;
82691;06/02/1963;0000;34.2;;27.64;70.5;5.333333;
82691;06/02/1963;1200;;22;;;;
82691;07/02/1963;0000;;;;74;7;
82691;07/02/1963;1200;;21.9;;;;
82691;08/02/1963;0000;;;;72.75;5.333333;
82691;08/02/1963;1200;;22;;;;
82691;09/02/1963;0000;;;;71.25;5.333333;
82691;09/02/1963;1200;;21.9;;;;
82691;10/02/1963;0000;;;;74;4;
82691;10/02/1963;1200;;22.9;;;;
82691;11/02/1963;0000;;;;85.25;3.8;
82691;11/02/1963;1200;;21.2;;;;
82691;12/02/1963;0000;;;;74.75;0;
82691;12/02/1963;1200;;21.5;;;;
