--------------------
BDMEP - INMET
--------------------
Estação           : AREIA - PB (OMM: 82696)
Latitude  (graus) : -6.97
Longitude (graus) : -35.68
Altitude  (metros): 574.62
Estação Operante
Inicio de operação: 01/01/1929
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82696;01/02/1961;0000;;;;;4.4;
82696;02/02/1961;0000;;;;;3.733333;
82696;03/02/1961;0000;;;;;4.4;
82696;04/02/1961;0000;;;;;3.733333;
82696;05/02/1961;0000;;;;;3.066667;
82696;06/02/1961;0000;;;;;2.4;
82696;07/02/1961;0000;;;;;3.066667;
82696;08/02/1961;0000;;;;;2.4;
82696;09/02/1961;0000;;;;;3.066667;
82696;10/02/1961;0000;;;;;3.733333;
82696;11/02/1961;0000;;;;;3.066667;
82696;12/02/1961;0000;;;;;3.066667;
82696;13/02/1961;0000;;;;;3.066667;
82696;14/02/1961;0000;;;;;3.066667;
82696;15/02/1961;0000;;;;;3.066667;
82696;16/02/1961;0000;;;;;2.4;
82696;17/02/1961;0000;;;;;2.4;
82696;18/02/1961;0000;;;;;3.733333;
82696;19/02/1961;0000;;;;;3.066667;
82696;20/02/1961;0000;;;;;2.4;
82696;21/02/1961;0000;;;;;4.4;
82696;22/02/1961;0000;;;;;3.066667;
82696;23/02/1961;0000;;;;;3.066667;
82696;24/02/1961;0000;;;;;3.066667;
82696;25/02/1961;0000;;;;;3.066667;
82696;26/02/1961;0000;;;;;3.733333;
82696;27/02/1961;0000;;;;;3.733333;
82696;28/02/1961;0000;;;;;3.066667;
82696;01/03/1961;0000;;;;;3.733333;
82696;02/03/1961;0000;;;;;3.066667;
82696;03/03/1961;0000;;;;;3.066667;
82696;04/03/1961;0000;;;;;3.733333;
82696;05/03/1961;0000;;;;;3.733333;
82696;06/03/1961;0000;;;;;3.066667;
82696;07/03/1961;0000;;;;;5.166667;
82696;08/03/1961;0000;;;;;3.066667;
82696;09/03/1961;0000;;;;;3.066667;
82696;10/03/1961;0000;;;;;2.4;
82696;11/03/1961;0000;;;;;2.4;
82696;12/03/1961;0000;;;;;3.066667;
82696;13/03/1961;0000;;;;;2.4;
82696;14/03/1961;0000;;;;;3.066667;
