--------------------
BDMEP - INMET
--------------------
Estação           : CRUZEIRO DO SUL - AC (OMM: 82704)
Latitude  (graus) : -7.6
Longitude (graus) : -72.66
Altitude  (metros): 170.00
Estação Operante
Inicio de operação: 01/01/1928
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82704;01/01/1961;0000;29.6;;25.08;88.25;1.666667;
82704;01/01/1961;1200;;22.4;;;;
82704;02/01/1961;0000;33;;25.84;82.25;1.333333;
82704;02/01/1961;1200;;20.8;;;;
82704;03/01/1961;0000;32.8;;26.6;82.5;1.666667;
82704;03/01/1961;1200;;22.8;;;;
82704;04/01/1961;0000;33;;25.64;85;1.666667;
82704;04/01/1961;1200;;22.4;;;;
82704;05/01/1961;0000;29.2;;24.4;90.25;1.333333;
82704;05/01/1961;1200;;22.2;;;;
82704;06/01/1961;0000;29.4;;24.12;90;0.666667;
82704;06/01/1961;1200;;21.8;;;;
82704;07/01/1961;0000;28.8;;24.04;95.75;0.666667;
82704;07/01/1961;1200;;21.8;;;;
82704;08/01/1961;0000;29.2;;24.48;92;0;
82704;08/01/1961;1200;;21.6;;;;
82704;09/01/1961;0000;30.2;;25.12;88.75;0;
82704;09/01/1961;1200;;21.8;;;;
82704;10/01/1961;0000;30;;25.28;91;0;
82704;10/01/1961;1200;;22.8;;;;
82704;11/01/1961;0000;28;;24.84;93.5;0;
82704;11/01/1961;1200;;22.2;;;;
82704;12/01/1961;0000;30.6;;24.68;91.25;0.666667;
82704;12/01/1961;1200;;21.8;;;;
82704;13/01/1961;0000;32.2;;26;82.75;2.666667;
82704;13/01/1961;1200;;22;;;;
82704;14/01/1961;0000;33;;25.28;89.5;1.333333;
82704;14/01/1961;1200;;21.4;;;;
82704;15/01/1961;0000;30.4;;25.52;88;1.666667;
82704;15/01/1961;1200;;22.2;;;;
82704;16/01/1961;0000;26.8;;23.92;93;1;
82704;16/01/1961;1200;;21.2;;;;
82704;17/01/1961;0000;32.4;;24.92;87;0;
82704;17/01/1961;1200;;21.6;;;;
82704;18/01/1961;0000;32.6;;25;89.25;0.666667;
82704;18/01/1961;1200;;21.6;;;;
82704;19/01/1961;0000;30.2;;24.6;92.25;1;
82704;19/01/1961;1200;;22.6;;;;
82704;20/01/1961;0000;30;;24.84;90.75;2;
82704;20/01/1961;1200;;22.2;;;;
82704;21/01/1961;0000;30.6;;25.16;86.5;1.666667;
82704;21/01/1961;1200;;21.8;;;;
82704;22/01/1961;0000;31.2;;25.08;87;0;
82704;22/01/1961;1200;;21;;;;
82704;23/01/1961;0000;32.4;;25.64;88.25;2;
82704;23/01/1961;1200;;21.2;;;;
82704;24/01/1961;0000;32.4;;25.92;87;0;
82704;24/01/1961;1200;;21.8;;;;
82704;25/01/1961;0000;28.8;;24.44;92.5;3.333333;
82704;25/01/1961;1200;;22.4;;;;
82704;26/01/1961;0000;28.4;;24.16;96.5;0;
82704;26/01/1961;1200;;22.2;;;;
82704;27/01/1961;0000;31.2;;24.68;91.5;0;
82704;27/01/1961;1200;;22;;;;
82704;28/01/1961;0000;28.8;;24.44;92;0;
82704;28/01/1961;1200;;22;;;;
82704;29/01/1961;0000;31.4;;24.88;89.25;1.333333;
82704;29/01/1961;1200;;22.2;;;;
82704;30/01/1961;0000;30.4;;25.84;91.25;0;
82704;30/01/1961;1200;;22.4;;;;
82704;31/01/1961;0000;30;;25.44;93.5;1.333333;
82704;31/01/1961;1200;;22.6;;;;
82704;01/02/1961;0000;26.8;;22.64;97.5;1;
82704;01/02/1961;1200;;20.6;;;;
82704;02/02/1961;0000;23.8;;22.44;96.75;2;
82704;02/02/1961;1200;;20.6;;;;
82704;03/02/1961;0000;23.6;;21.72;94.75;1.333333;
82704;03/02/1961;1200;;19.8;;;;
82704;04/02/1961;0000;30.2;;23.48;90;0;
82704;04/02/1961;1200;;19.8;;;;
82704;05/02/1961;0000;30.2;;23.72;94.5;0;
82704;05/02/1961;1200;;21.2;;;;
82704;06/02/1961;0000;25.8;;23.28;96.25;0;
82704;06/02/1961;1200;;21;;;;
82704;07/02/1961;0000;27.6;;22.52;94.5;0;
82704;07/02/1961;1200;;20.2;;;;
82704;08/02/1961;0000;25;;22.16;94.5;1.333333;
82704;08/02/1961;1200;;19.4;;;;
82704;09/02/1961;0000;29.6;;24.08;89.75;0.666667;
82704;09/02/1961;1200;;20.4;;;;
82704;10/02/1961;0000;29.2;;23.8;92;0;
82704;10/02/1961;1200;;21.2;;;;
82704;11/02/1961;0000;29.4;;24.28;89.75;0;
82704;11/02/1961;1200;;21.2;;;;
82704;12/02/1961;0000;31.4;;24.36;88.25;0;
82704;12/02/1961;1200;;21.4;;;;
82704;13/02/1961;0000;29.6;;24.56;89;1.333333;
82704;13/02/1961;1200;;22;;;;
82704;14/02/1961;0000;31.8;;25;84.5;0.666667;
82704;14/02/1961;1200;;21.6;;;;
82704;15/02/1961;0000;30.2;;24.6;87.75;0.666667;
82704;15/02/1961;1200;;21.8;;;;
82704;16/02/1961;0000;27.8;;23.24;92.5;0;
