--------------------
BDMEP - INMET
--------------------
Estação           : LABREA - AM (OMM: 82723)
Latitude  (graus) : -7.25
Longitude (graus) : -64.83
Altitude  (metros): 61.00
Estação Operante
Inicio de operação: 30/11/1972
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82723;01/01/1973;0000;32.8;;26.6;94;2.666667;
82723;01/01/1973;1200;;22.8;;;;
82723;02/01/1973;0000;30.5;;25.64;89.5;2;
82723;02/01/1973;1200;;23.1;;;;
82723;03/01/1973;0000;28.5;;26.3;89.75;2.333333;
82723;03/01/1973;1200;;23.4;;;;
82723;04/01/1973;0000;29.5;;24.44;93;2.333333;
82723;04/01/1973;1200;;21.9;;;;
82723;05/01/1973;0000;30.7;;26.06;91.5;0.666667;
82723;05/01/1973;1200;;22.5;;;;
82723;06/01/1973;0000;31.8;;26.5;96.25;1.333333;
82723;06/01/1973;1200;;24.1;;;;
82723;07/01/1973;0000;31.7;;26.68;88;0.666667;
82723;07/01/1973;1200;;23.9;;;;
82723;08/01/1973;0000;31.8;;24.48;90.75;1.666667;
82723;08/01/1973;1200;;21.3;;;;
82723;09/01/1973;0000;29.3;;24.34;86;1.333333;
82723;09/01/1973;1200;;21.2;;;;
82723;10/01/1973;0000;25.8;;24.06;96.25;0.333333;
82723;10/01/1973;1200;;22.2;;;;
82723;11/01/1973;0000;30.6;;25.26;91.25;1;
82723;11/01/1973;1200;;22.4;;;;
82723;12/01/1973;0000;30.4;;25.1;91.75;2;
82723;12/01/1973;1200;;22.2;;;;
82723;13/01/1973;0000;25.3;;24.72;94.5;0.666667;
82723;13/01/1973;1200;;23;;;;
82723;14/01/1973;0000;30.5;;25.56;91.75;1.666667;
82723;14/01/1973;1200;;22.6;;;;
82723;15/01/1973;0000;31.7;;25.68;94.5;0.666667;
82723;15/01/1973;1200;;23.1;;;;
82723;16/01/1973;0000;31.8;;26.4;91.25;0.666667;
82723;16/01/1973;1200;;22.9;;;;
82723;17/01/1973;0000;30.4;;25.54;93.75;1.333333;
82723;17/01/1973;1200;;24.1;;;;
82723;18/01/1973;0000;25.3;;24.38;97.75;1.333333;
82723;18/01/1973;1200;;23.5;;;;
82723;19/01/1973;0000;29.5;;26.22;90.5;2;
82723;19/01/1973;1200;;23.2;;;;
82723;20/01/1973;0000;29.3;;25.04;92.25;2;
82723;20/01/1973;1200;;23.1;;;;
82723;21/01/1973;0000;32.2;;25.52;91.5;1.333333;
82723;21/01/1973;1200;;23.2;;;;
82723;22/01/1973;0000;30.4;;25.86;90;2.666667;
82723;22/01/1973;1200;;22.4;;;;
82723;23/01/1973;0000;31.8;;26.92;85.25;1.666667;
