--------------------
BDMEP - INMET
--------------------
Estação           : OURICURI - PE (OMM: 82753)
Latitude  (graus) : -7.9
Longitude (graus) : -40.04
Altitude  (metros): 459.28
Estação Operante
Inicio de operação: 16/09/1975
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82753;01/10/1975;0000;32.9;;26.02;39;4.533333;
82753;01/10/1975;1200;;18.5;;;;
82753;02/10/1975;0000;33.1;;25.42;38.75;3.2;
82753;02/10/1975;1200;;18.9;;;;
82753;03/10/1975;0000;33;;26.46;40;2.1;
82753;03/10/1975;1200;;21.1;;;;
82753;04/10/1975;0000;35.8;;26.92;33;2.066667;
82753;04/10/1975;1200;;16.8;;;;
82753;05/10/1975;0000;34.9;;26.8;52.75;2.066667;
82753;05/10/1975;1200;;19.9;;;;
82753;06/10/1975;0000;34;;27.22;45.5;3.2;
82753;06/10/1975;1200;;21;;;;
82753;07/10/1975;0000;34;;27.12;41;2.966667;
82753;07/10/1975;1200;;20.6;;;;
82753;08/10/1975;0000;34.2;;26.94;44.5;3.133333;
82753;08/10/1975;1200;;21.2;;;;
82753;09/10/1975;0000;33.6;;27.28;46;1.633333;
82753;09/10/1975;1200;;20.9;;;;
82753;10/10/1975;0000;34.6;;27.44;40.5;2.233333;
82753;10/10/1975;1200;;19.9;;;;
82753;11/10/1975;0000;35.4;;27.46;34.75;2.5;
82753;11/10/1975;1200;;18.7;;;;
82753;12/10/1975;0000;35.8;;28.38;30.25;3.4;
82753;12/10/1975;1200;;20.3;;;;
82753;13/10/1975;0000;33.1;;28.06;39.75;3.2;
82753;13/10/1975;1200;;21.8;;;;
82753;14/10/1975;0000;35.4;;27.3;35.75;2.866667;
82753;14/10/1975;1200;;20.2;;;;
82753;15/10/1975;0000;35.3;;28.12;34.25;2.766667;
82753;15/10/1975;1200;;21.9;;;;
82753;16/10/1975;0000;35.9;;29.18;32;2;
82753;16/10/1975;1200;;22.7;;;;
82753;17/10/1975;0000;34;;27.98;42;1.766667;
82753;17/10/1975;1200;;21.9;;;;
82753;18/10/1975;0000;34.5;;29.12;39.25;2;
82753;18/10/1975;1200;;23.3;;;;
82753;19/10/1975;0000;34.3;;27.42;52;2.033333;
82753;19/10/1975;1200;;22.6;;;;
82753;20/10/1975;0000;34.2;;27.52;45;2.433333;
82753;20/10/1975;1200;;22.5;;;;
82753;21/10/1975;0000;35.3;;27.96;49.25;2.4;
82753;21/10/1975;1200;;21.6;;;;
82753;22/10/1975;0000;34.8;;27.24;55.75;2.5;
82753;22/10/1975;1200;;21.1;;;;
82753;23/10/1975;0000;34.4;;27.62;43.75;2.7;
82753;23/10/1975;1200;;22.9;;;;
82753;24/10/1975;0000;35;;27.34;38;1.9;
82753;24/10/1975;1200;;20.8;;;;
82753;25/10/1975;0000;33.5;;26.82;47.25;1.633333;
82753;25/10/1975;1200;;23.1;;;;
82753;26/10/1975;0000;34.6;;28.28;45.75;3.2;
82753;26/10/1975;1200;;22;;;;
82753;27/10/1975;0000;34.8;;27.14;54.5;2.1;
82753;27/10/1975;1200;;21.7;;;;
82753;28/10/1975;0000;33.8;;28.28;52;2.233333;
82753;28/10/1975;1200;;25.6;;;;
82753;29/10/1975;0000;33.8;;27.32;46.25;3.433333;
82753;29/10/1975;1200;;22.9;;;;
82753;30/10/1975;0000;34.2;;27.56;41.75;2;
82753;30/10/1975;1200;;21.5;;;;
82753;31/10/1975;0000;33.5;;26.82;58;1.7;
82753;31/10/1975;1200;;23.4;;;;
82753;01/11/1975;0000;33.8;;27.5;41.75;2.833333;
82753;01/11/1975;1200;;21.8;;;;
82753;02/11/1975;0000;34.9;;28.14;32.5;2.933333;
82753;02/11/1975;1200;;20.9;;;;
82753;03/11/1975;0000;34.9;;28.84;35;1.033333;
82753;03/11/1975;1200;;23.1;;;;
82753;04/11/1975;0000;35.8;;29.64;29.75;3.1;
82753;04/11/1975;1200;;23.7;;;;
82753;05/11/1975;0000;34.9;;27.42;47.5;2.633333;
82753;05/11/1975;1200;;22.9;;;;
82753;06/11/1975;0000;33.9;;26.92;38.25;1.866667;
82753;06/11/1975;1200;;21.2;;;;
