--------------------
BDMEP - INMET
--------------------
Estação           : CAROLINA - MA (OMM: 82765)
Latitude  (graus) : -7.33
Longitude (graus) : -47.46
Altitude  (metros): 192.83
Estação Operante
Inicio de operação: 01/01/1913
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82765;01/02/1965;0000;;;;74.75;0;
82765;01/02/1965;1200;;18.3;;;;
82765;02/02/1965;0000;;;;86;0;
82765;02/02/1965;1200;;19.9;;;;
82765;03/02/1965;0000;;;;85.5;0;
82765;03/02/1965;1200;;18.7;;;;
82765;04/02/1965;0000;;;;86;0;
82765;04/02/1965;1200;;18.5;;;;
82765;05/02/1965;0000;;;;94.25;0;
82765;05/02/1965;1200;;19.1;;;;
82765;06/02/1965;0000;;;;81.25;0;
82765;06/02/1965;1200;;18.1;;;;
82765;07/02/1965;0000;;;;84.5;0;
82765;07/02/1965;1200;;16.5;;;;
82765;08/02/1965;0000;;;;83.75;0;
82765;08/02/1965;1200;;17.7;;;;
82765;09/02/1965;0000;;;;80.25;0;
82765;09/02/1965;1200;;18.7;;;;
82765;10/02/1965;0000;;;;76.5;0;
82765;10/02/1965;1200;;19.5;;;;
82765;11/02/1965;0000;;;;74;0;
82765;11/02/1965;1200;;18.5;;;;
82765;12/02/1965;0000;;;;77;0;
82765;12/02/1965;1200;;18.5;;;;
82765;13/02/1965;0000;;;;76.25;0;
82765;13/02/1965;1200;;18.9;;;;
82765;14/02/1965;0000;;;;78.75;0;
82765;14/02/1965;1200;;20.1;;;;
82765;15/02/1965;0000;;;;77.25;0.666667;
82765;15/02/1965;1200;;19.7;;;;
82765;16/02/1965;0000;;;;79.75;0;
82765;16/02/1965;1200;;18.7;;;;
82765;17/02/1965;0000;;;;85;0;
82765;17/02/1965;1200;;18.3;;;;
82765;18/02/1965;0000;;;;79.75;0;
82765;18/02/1965;1200;;17.7;;;;
82765;19/02/1965;0000;;;;81;0;
82765;19/02/1965;1200;;18.5;;;;
82765;20/02/1965;0000;;;;81.5;0.666667;
82765;20/02/1965;1200;;18.3;;;;
82765;21/02/1965;0000;;;;81.5;0;
82765;21/02/1965;1200;;18.7;;;;
82765;22/02/1965;0000;;;;81.5;0;
82765;22/02/1965;1200;;19.7;;;;
82765;23/02/1965;0000;;;;79;0.666667;
82765;23/02/1965;1200;;18.3;;;;
82765;24/02/1965;0000;;;;79.5;0;
82765;24/02/1965;1200;;19.5;;;;
82765;25/02/1965;0000;;;;83;0;
82765;25/02/1965;1200;;19.1;;;;
82765;26/02/1965;0000;;;;79.75;0;
82765;26/02/1965;1200;;19.7;;;;
82765;27/02/1965;0000;;;;89.5;0;
82765;27/02/1965;1200;;17.7;;;;
82765;28/02/1965;0000;;;;84.5;0;
82765;28/02/1965;1200;;18.3;;;;
82765;01/03/1965;0000;;;;81.75;0;
82765;01/03/1965;1200;;18.7;;;;
82765;02/03/1965;0000;;;;88.25;0.666667;
82765;02/03/1965;1200;;19.7;;;;
82765;03/03/1965;0000;;;;88.5;0;
82765;03/03/1965;1200;;19.1;;;;
82765;04/03/1965;0000;;;;86.75;0.666667;
82765;04/03/1965;1200;;19.7;;;;
82765;05/03/1965;0000;;;;90.25;0;
82765;05/03/1965;1200;;18.9;;;;
82765;06/03/1965;0000;;;;82.75;0;
82765;06/03/1965;1200;;19.1;;;;
82765;07/03/1965;0000;;;;83.5;0;
82765;07/03/1965;1200;;19.1;;;;
82765;08/03/1965;0000;;;;89.5;0;
82765;08/03/1965;1200;;17.9;;;;
82765;09/03/1965;0000;;;;90;0;
82765;09/03/1965;1200;;18.3;;;;
82765;10/03/1965;0000;;;;85.25;0;
82765;10/03/1965;1200;;18.5;;;;
82765;11/03/1965;0000;;;;83.25;0;
82765;11/03/1965;1200;;19.3;;;;
82765;12/03/1965;0000;;;;88.25;0;
82765;12/03/1965;1200;;19.9;;;;
82765;13/03/1965;0000;;;;85.75;0;
82765;13/03/1965;1200;;18.5;;;;
82765;14/03/1965;0000;;;;83.25;0;
82765;14/03/1965;1200;;18.7;;;;
82765;15/03/1965;0000;;;;86.5;0;
82765;15/03/1965;1200;;18.1;;;;
82765;16/03/1965;0000;;;;86;0;
82765;16/03/1965;1200;;17.5;;;;
82765;17/03/1965;0000;;;;85.5;0;
82765;17/03/1965;1200;;17.1;;;;
82765;18/03/1965;0000;;;;83.5;0;
82765;18/03/1965;1200;;19.3;;;;
82765;19/03/1965;0000;;;;88.75;0;
82765;19/03/1965;1200;;17.9;;;;
82765;20/03/1965;0000;;;;84.25;0.666667;
82765;20/03/1965;1200;;18.9;;;;
82765;21/03/1965;0000;;;;83.5;0;
82765;21/03/1965;1200;;18.3;;;;
82765;22/03/1965;0000;;;;83.5;0;
82765;22/03/1965;1200;;18.9;;;;
82765;23/03/1965;0000;;;;89.25;0;
82765;23/03/1965;1200;;18.7;;;;
82765;24/03/1965;0000;;;;80.5;0.666667;
82765;24/03/1965;1200;;18.5;;;;
82765;25/03/1965;0000;;;;92.5;0;
82765;25/03/1965;1200;;19.5;;;;
82765;26/03/1965;0000;;;;80.5;0.666667;
82765;26/03/1965;1200;;19.9;;;;
82765;27/03/1965;0000;;;;95;0;
82765;27/03/1965;1200;;18.5;;;;
82765;28/03/1965;0000;;;;88.5;0;
82765;28/03/1965;1200;;16.9;;;;
82765;29/03/1965;0000;;;;81.25;0.666667;
82765;29/03/1965;1200;;18.7;;;;
82765;30/03/1965;0000;;;;92;0;
82765;30/03/1965;1200;;18.9;;;;
82765;31/03/1965;0000;;;;80;0;
82765;31/03/1965;1200;;18.5;;;;
82765;01/04/1965;0000;;;;91;0;
82765;01/04/1965;1200;;19.5;;;;
82765;02/04/1965;0000;;;;83.5;0;
82765;02/04/1965;1200;;18.9;;;;
82765;03/04/1965;0000;;;;78.25;0;
82765;03/04/1965;1200;;17.9;;;;
82765;04/04/1965;0000;;;;85;0;
82765;04/04/1965;1200;;18.3;;;;
82765;05/04/1965;0000;;;;86;0;
82765;05/04/1965;1200;;20.5;;;;
82765;06/04/1965;0000;;;;80;0;
82765;06/04/1965;1200;;18.1;;;;
82765;07/04/1965;0000;;;;79.25;0;
82765;07/04/1965;1200;;19.3;;;;
82765;08/04/1965;0000;;;;77.25;0.666667;
82765;08/04/1965;1200;;20.1;;;;
82765;09/04/1965;0000;;;;80.5;0;
82765;09/04/1965;1200;;19.9;;;;
82765;10/04/1965;0000;;;;81.5;0;
82765;10/04/1965;1200;;19.9;;;;
82765;11/04/1965;0000;;;;84.5;0;
82765;11/04/1965;1200;;19.5;;;;
82765;12/04/1965;0000;;;;82.25;0;
82765;12/04/1965;1200;;19.3;;;;
82765;13/04/1965;0000;;;;81;0;
82765;13/04/1965;1200;;17.9;;;;
82765;14/04/1965;0000;;;;85.25;0;
82765;14/04/1965;1200;;17.9;;;;
82765;15/04/1965;0000;;;;86.75;0;
82765;15/04/1965;1200;;18.9;;;;
82765;16/04/1965;0000;;;;86.5;0;
82765;16/04/1965;1200;;18.1;;;;
82765;17/04/1965;0000;;;;82.25;0;
82765;17/04/1965;1200;;18.9;;;;
82765;18/04/1965;0000;;;;90.25;0;
82765;18/04/1965;1200;;19.9;;;;
82765;19/04/1965;0000;;;;93.5;0;
82765;19/04/1965;1200;;18.7;;;;
82765;20/04/1965;0000;;;;83.5;0;
82765;20/04/1965;1200;;18.3;;;;
82765;21/04/1965;0000;;;;78.5;0;
82765;21/04/1965;1200;;18.1;;;;
82765;22/04/1965;0000;;;;77.75;0.666667;
82765;22/04/1965;1200;;19.5;;;;
82765;23/04/1965;0000;;;;94;0;
82765;23/04/1965;1200;;17.9;;;;
82765;24/04/1965;0000;;;;81.25;0.666667;
82765;24/04/1965;1200;;18.9;;;;
82765;25/04/1965;0000;;;;79.25;0;
82765;25/04/1965;1200;;18.7;;;;
82765;26/04/1965;0000;;;;79.5;0.666667;
82765;26/04/1965;1200;;18.1;;;;
82765;27/04/1965;0000;;;;89.5;0;
82765;27/04/1965;1200;;17.1;;;;
82765;28/04/1965;0000;;;;82.75;0;
82765;28/04/1965;1200;;18.7;;;;
82765;29/04/1965;0000;;;;83.25;0;
82765;29/04/1965;1200;;19.1;;;;
82765;30/04/1965;0000;;;;82.75;0;
82765;30/04/1965;1200;;19.1;;;;
82765;01/05/1965;0000;;;;82.75;0.666667;
82765;01/05/1965;1200;;20.3;;;;
82765;02/05/1965;0000;;;;76;0.666667;
82765;02/05/1965;1200;;19.7;;;;
82765;03/05/1965;0000;;;;75.75;0.666667;
82765;03/05/1965;1200;;17.9;;;;
82765;04/05/1965;0000;;;;79.25;0;
82765;04/05/1965;1200;;18.9;;;;
82765;05/05/1965;0000;;;;75.25;0.666667;
82765;05/05/1965;1200;;18.3;;;;
82765;06/05/1965;0000;;;;77.75;0.666667;
82765;06/05/1965;1200;;18.7;;;;
82765;07/05/1965;0000;;;;74.75;0.666667;
82765;07/05/1965;1200;;19.7;;;;
82765;08/05/1965;0000;;;;73.25;0.666667;
82765;08/05/1965;1200;;17.7;;;;
82765;09/05/1965;0000;;;;73;1;
82765;09/05/1965;1200;;17.1;;;;
82765;10/05/1965;0000;;;;72;1;
82765;10/05/1965;1200;;17.1;;;;
82765;11/05/1965;0000;;;;69.25;0;
82765;11/05/1965;1200;;18.1;;;;
82765;12/05/1965;0000;;;;70;0.666667;
82765;12/05/1965;1200;;17.7;;;;
82765;13/05/1965;0000;;;;69;0.666667;
82765;13/05/1965;1200;;17.3;;;;
82765;14/05/1965;0000;;;;78.5;0;
82765;14/05/1965;1200;;19.1;;;;
82765;15/05/1965;0000;;;;72;0;
82765;15/05/1965;1200;;19.5;;;;
82765;16/05/1965;0000;;;;68;0.666667;
82765;16/05/1965;1200;;19.3;;;;
82765;17/05/1965;0000;;;;61.25;1;
82765;17/05/1965;1200;;17.7;;;;
82765;18/05/1965;0000;;;;67;0.666667;
82765;18/05/1965;1200;;15.5;;;;
82765;19/05/1965;0000;;;;66.25;0.666667;
82765;19/05/1965;1200;;17.5;;;;
82765;20/05/1965;0000;;;;67;0.666667;
82765;20/05/1965;1200;;18.7;;;;
82765;21/05/1965;0000;;;;63;0.666667;
82765;21/05/1965;1200;;19.1;;;;
82765;22/05/1965;0000;;;;67.25;0;
82765;22/05/1965;1200;;17.1;;;;
82765;23/05/1965;0000;;;;65.25;0;
82765;23/05/1965;1200;;18.3;;;;
82765;24/05/1965;0000;;;;66;1;
82765;24/05/1965;1200;;15.7;;;;
82765;25/05/1965;0000;;;;63.25;0;
82765;25/05/1965;1200;;17.3;;;;
82765;26/05/1965;0000;;;;64.75;0.666667;
82765;26/05/1965;1200;;19.1;;;;
82765;27/05/1965;0000;;;;64.25;0.666667;
82765;27/05/1965;1200;;17.1;;;;
82765;28/05/1965;0000;;;;66;0.666667;
82765;28/05/1965;1200;;17.7;;;;
82765;29/05/1965;0000;;;;64;1;
82765;29/05/1965;1200;;17.1;;;;
82765;30/05/1965;0000;;;;62.5;1.666667;
82765;30/05/1965;1200;;17.1;;;;
82765;31/05/1965;0000;;;;65.75;0.666667;
82765;31/05/1965;1200;;14.9;;;;
82765;01/06/1965;0000;;;;67.25;1;
82765;01/06/1965;1200;;15.7;;;;
82765;02/06/1965;0000;;;;64.5;0.666667;
82765;02/06/1965;1200;;15.7;;;;
82765;03/06/1965;0000;;;;67.25;0;
82765;03/06/1965;1200;;16.1;;;;
82765;04/06/1965;0000;;;;72.25;0.666667;
82765;04/06/1965;1200;;18.5;;;;
82765;05/06/1965;0000;;;;68.75;0.666667;
82765;05/06/1965;1200;;19.7;;;;
82765;06/06/1965;0000;;;;68;0.666667;
82765;06/06/1965;1200;;17.3;;;;
82765;07/06/1965;0000;;;;65;1;
82765;07/06/1965;1200;;19.3;;;;
82765;08/06/1965;0000;;;;58.75;0.666667;
82765;08/06/1965;1200;;18.9;;;;
82765;09/06/1965;0000;;;;62;0.666667;
82765;09/06/1965;1200;;19.1;;;;
82765;10/06/1965;0000;;;;67.5;0.666667;
82765;10/06/1965;1200;;18.1;;;;
82765;11/06/1965;0000;;;;61.25;0.666667;
82765;11/06/1965;1200;;17.1;;;;
82765;12/06/1965;0000;;;;63.75;0.666667;
82765;12/06/1965;1200;;17.7;;;;
82765;13/06/1965;0000;;;;61.5;1;
82765;13/06/1965;1200;;16.7;;;;
82765;14/06/1965;0000;;;;62.5;0.666667;
