--------------------
BDMEP - INMET
--------------------
Estação           : BALSAS - MA (OMM: 82768)
Latitude  (graus) : -7.53
Longitude (graus) : -46.03
Altitude  (metros): 259.38
Estação Operante
Inicio de operação: 14/08/1976
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82768;01/01/1973;1200;;20.6;;;;
82768;02/01/1973;1200;;20.7;;;;
82768;03/01/1973;1200;;21.3;;;;
82768;04/01/1973;1200;;22.7;;;;
82768;05/01/1973;1200;;22.4;;;;
82768;06/01/1973;1200;;20.4;;;;
82768;07/01/1973;1200;;22.3;;;;
82768;08/01/1973;1200;;16.6;;;;
82768;09/01/1973;1200;;17.7;;;;
82768;10/01/1973;1200;;17;;;;
82768;11/01/1973;1200;;17.8;;;;
82768;12/01/1973;1200;;17.2;;;;
82768;13/01/1973;1200;;21.2;;;;
82768;14/01/1973;1200;;18.6;;;;
82768;15/01/1973;1200;;22.2;;;;
82768;16/01/1973;1200;;17;;;;
82768;17/01/1973;1200;;16.8;;;;
82768;18/01/1973;1200;;18.2;;;;
82768;19/01/1973;1200;;21;;;;
82768;20/01/1973;1200;;18.7;;;;
82768;21/01/1973;1200;;18.2;;;;
82768;22/01/1973;1200;;17.6;;;;
82768;23/01/1973;1200;;18.8;;;;
82768;24/01/1973;1200;;18.6;;;;
82768;25/01/1973;1200;;17;;;;
82768;26/01/1973;1200;;22.4;;;;
82768;27/01/1973;1200;;21.6;;;;
82768;28/01/1973;1200;;22.7;;;;
82768;29/01/1973;1200;;21.8;;;;
82768;30/01/1973;1200;;21.4;;;;
82768;01/09/1976;0000;34.3;;22.5;45.75;2.333333;
82768;02/09/1976;0000;34.7;;22.1;43.5;1.333333;
82768;03/09/1976;0000;35.1;;23;38.75;2.666667;
82768;04/09/1976;0000;35.3;;22.7;47.5;1.333333;
82768;05/09/1976;0000;35.5;;22.6;46.75;0.666667;
82768;06/09/1976;0000;34.7;;22.9;51.75;1;
82768;07/09/1976;0000;33.7;;22.8;56.75;1;
82768;08/09/1976;0000;33.9;;22.9;56.5;1.333333;
82768;09/09/1976;0000;31.3;;21.9;67.5;1.666667;
82768;10/09/1976;0000;34.1;;22.7;57;1;
82768;11/09/1976;0000;33.7;;22;60.75;0.666667;
82768;12/09/1976;0000;33.7;;22.7;66.75;2;
82768;13/09/1976;0000;35.3;;23.4;51.5;2.333333;
82768;14/09/1976;0000;34.3;;22.7;48.75;1.333333;
82768;15/09/1976;0000;35.7;;23.3;46;2;
82768;16/09/1976;0000;35.1;;23.6;51;1.666667;
82768;17/09/1976;0000;35.7;;23;47.5;1.333333;
82768;18/09/1976;0000;34.7;;22.8;51.25;1.333333;
82768;19/09/1976;0000;34.9;;23.1;51.5;1.666667;
82768;20/09/1976;0000;34.7;;22.8;49;1.333333;
82768;21/09/1976;0000;35.1;;22.6;48.75;1.333333;
82768;22/09/1976;0000;35.9;;22.6;46.5;1.333333;
82768;23/09/1976;0000;33.7;;23.1;56.25;2;
82768;24/09/1976;0000;;;;79.25;1.333333;
82768;25/09/1976;0000;31.9;;21.7;73.75;1.666667;
82768;26/09/1976;0000;35.3;;22.7;68.5;1.666667;
82768;27/09/1976;0000;34.9;;23.1;64.25;2.333333;
82768;28/09/1976;0000;34.7;;23.4;59.75;1.333333;
82768;29/09/1976;0000;28.5;;19.5;96.25;2;
82768;30/09/1976;0000;31.5;;24.68;81;1.666667;
82768;30/09/1976;1200;;21.1;;;;
82768;01/10/1976;0000;28.1;;24.38;85.25;1;
82768;01/10/1976;1200;;21.9;;;;
82768;02/10/1976;0000;31.1;;25.98;78.75;1;
82768;02/10/1976;1200;;21.2;;;;
82768;03/10/1976;0000;26.5;;23.36;88.25;1.333333;
82768;03/10/1976;1200;;21.3;;;;
82768;04/10/1976;0000;31.3;;20.7;71.25;1.333333;
82768;05/10/1976;0000;33.1;;27.12;63.25;2.666667;
82768;05/10/1976;1200;;22.1;;;;
82768;06/10/1976;0000;34.5;;27.84;61.25;0.666667;
82768;06/10/1976;1200;;21.1;;;;
82768;07/10/1976;0000;27.3;;19.1;92.5;1.333333;
82768;08/10/1976;0000;27.5;;23.36;86.25;2.666667;
82768;08/10/1976;1200;;20.9;;;;
82768;09/10/1976;0000;35.9;;26.16;71.5;2;
82768;09/10/1976;1200;;19.5;;;;
82768;10/10/1976;0000;32.7;;26.16;72;1.333333;
82768;10/10/1976;1200;;21.7;;;;
82768;11/10/1976;0000;34.7;;26.56;69;1.333333;
82768;11/10/1976;1200;;20.3;;;;
82768;12/10/1976;0000;32.7;;26.44;67.75;1;
82768;12/10/1976;1200;;21.1;;;;
82768;13/10/1976;0000;31.5;;20.9;79.75;2;
82768;14/10/1976;0000;28.5;;24.92;84.5;1.333333;
82768;14/10/1976;1200;;22.5;;;;
82768;15/10/1976;0000;31.1;;26.4;71.5;2.666667;
82768;15/10/1976;1200;;22.1;;;;
82768;16/10/1976;0000;32.7;;26.2;66.25;1.333333;
82768;16/10/1976;1200;;19.9;;;;
82768;17/10/1976;0000;33.3;;27.8;58.25;2.666667;
82768;17/10/1976;1200;;22.3;;;;
82768;18/10/1976;0000;34.7;;22.8;61;2;
82768;19/10/1976;0000;34.3;;23.8;53.75;1;
82768;20/10/1976;0000;34.5;;23.4;61;0.666667;
82768;21/10/1976;0000;33.1;;24.72;78.25;3.333333;
82768;21/10/1976;1200;;17.9;;;;
82768;22/10/1976;0000;26.5;;19.3;91.5;2;
82768;23/10/1976;0000;31.9;;21.3;79.25;1.333333;
82768;24/10/1976;0000;33.5;;22.7;67.5;2.666667;
82768;25/10/1976;0000;32.9;;22.1;72.75;2.666667;
82768;26/10/1976;0000;29.5;;20.8;78.75;2;
82768;27/10/1976;0000;33.7;;22.3;68;0.666667;
82768;28/10/1976;0000;34.9;;23;62.25;2.666667;
82768;29/10/1976;0000;34.3;;22.9;64.75;2;
82768;30/10/1976;0000;30.3;;20.4;83.5;1.333333;
82768;31/10/1976;0000;32.3;;21.8;75.75;0.666667;
82768;01/11/1976;0000;32.9;;22;70.5;2;
82768;02/11/1976;0000;32.1;;21.5;75.5;1;
82768;03/11/1976;0000;30.5;;20.4;86;0.666667;
82768;04/11/1976;0000;29.3;;20.1;82.75;1.333333;
82768;05/11/1976;0000;32.1;;21.5;73;1.333333;
82768;06/11/1976;0000;33.1;;23.1;61.75;1.666667;
82768;07/11/1976;0000;34.1;;23.3;61.25;1;
82768;08/11/1976;0000;28.5;;19.8;90.75;0.666667;
82768;09/11/1976;0000;29.3;;24.58;85.5;1.333333;
82768;09/11/1976;1200;;20.7;;;;
82768;10/11/1976;0000;32.5;;25.86;70.25;1.333333;
82768;10/11/1976;1200;;21.1;;;;
82768;11/11/1976;0000;32.9;;25.5;66;1.333333;
82768;11/11/1976;1200;;19.1;;;;
82768;12/11/1976;0000;30.1;;24.58;84.25;1.333333;
82768;12/11/1976;1200;;20.1;;;;
82768;13/11/1976;0000;32.1;;25.34;82.75;1.333333;
82768;13/11/1976;1200;;21;;;;
82768;14/11/1976;0000;31.3;;24.74;82.25;2;
82768;14/11/1976;1200;;21.5;;;;
82768;15/11/1976;0000;30.3;;19.7;90.75;1.666667;
82768;16/11/1976;0000;30.1;;25.06;83.5;1.333333;
82768;16/11/1976;1200;;21.7;;;;
82768;17/11/1976;0000;25.5;;22.86;91;2.333333;
82768;17/11/1976;1200;;20.9;;;;
82768;18/11/1976;0000;31.1;;24.8;82.5;0.666667;
82768;18/11/1976;1200;;20.9;;;;
82768;19/11/1976;0000;26.6;;24.5;90.5;0.666667;
82768;19/11/1976;1200;;22.7;;;;
82768;20/11/1976;0000;29;;24.26;87.75;0.666667;
82768;20/11/1976;1200;;22.5;;;;
82768;21/11/1976;0000;31.5;;26;75;1;
82768;21/11/1976;1200;;21.9;;;;
82768;22/11/1976;0000;32.9;;24.54;76.25;0.666667;
82768;22/11/1976;1200;;19.7;;;;
82768;23/11/1976;0000;34.4;;26.4;69.5;0.333333;
82768;23/11/1976;1200;;19.5;;;;
82768;24/11/1976;0000;32.7;;26.12;68.25;2;
82768;24/11/1976;1200;;21.1;;;;
82768;25/11/1976;0000;32.1;;26.18;63.5;1.333333;
82768;25/11/1976;1200;;20.7;;;;
82768;26/11/1976;0000;32.4;;26.22;69.5;1.333333;
82768;26/11/1976;1200;;21.7;;;;
82768;27/11/1976;0000;32.9;;26.64;65.75;2;
82768;27/11/1976;1200;;21.6;;;;
82768;28/11/1976;0000;28.1;;23.76;91.75;0.666667;
82768;28/11/1976;1200;;21.5;;;;
82768;29/11/1976;0000;23.1;;17.6;97;1.666667;
82768;30/11/1976;0000;28.3;;23.6;87.75;1;
82768;30/11/1976;1200;;21.3;;;;
82768;01/12/1976;0000;29.9;;25.16;84.5;1;
82768;01/12/1976;1200;;22.2;;;;
82768;02/12/1976;0000;32.5;;26.48;75.75;0.666667;
82768;02/12/1976;1200;;21.5;;;;
82768;03/12/1976;0000;28.7;;24.74;88.5;1.333333;
82768;03/12/1976;1200;;22.4;;;;
82768;04/12/1976;0000;26.3;;23.74;88.5;0.666667;
82768;04/12/1976;1200;;21.9;;;;
82768;05/12/1976;0000;31.8;;25.32;81;1.333333;
82768;05/12/1976;1200;;21.1;;;;
82768;06/12/1976;0000;32.5;;24.96;77;1.333333;
82768;06/12/1976;1200;;20.1;;;;
82768;07/12/1976;0000;34.1;;26.46;70.25;2.666667;
82768;07/12/1976;1200;;20.3;;;;
82768;08/12/1976;0000;33.8;;26.1;68.75;2.666667;
82768;08/12/1976;1200;;20.7;;;;
82768;09/12/1976;0000;32.9;;26.26;68.75;1;
82768;09/12/1976;1200;;19.6;;;;
82768;10/12/1976;0000;32.5;;26.08;68.75;2;
82768;10/12/1976;1200;;20.1;;;;
82768;11/12/1976;0000;31.5;;25.98;73.5;2.666667;
82768;11/12/1976;1200;;22.5;;;;
82768;12/12/1976;0000;29.9;;24.76;81.75;2;
82768;12/12/1976;1200;;21.1;;;;
82768;13/12/1976;0000;31.5;;25.04;78.5;2;
82768;13/12/1976;1200;;21.1;;;;
82768;14/12/1976;0000;32.8;;26.48;68.5;1.333333;
82768;14/12/1976;1200;;19.8;;;;
82768;15/12/1976;0000;32.9;;26.26;69.25;2;
82768;15/12/1976;1200;;20.3;;;;
82768;16/12/1976;0000;33.4;;26.5;71.75;2;
82768;16/12/1976;1200;;21.9;;;;
82768;17/12/1976;0000;32.1;;26.22;76.75;2.666667;
