--------------------
BDMEP - INMET
--------------------
Estação           : CAMPOS SALES - CE (OMM: 82777)
Latitude  (graus) : -7
Longitude (graus) : -40.38
Altitude  (metros): 583.50
Estação Operante
Inicio de operação: 01/06/1960
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82777;01/11/1962;0000;36.1;;29.02;39.25;4;
82777;01/11/1962;1200;;22;;;;
82777;02/11/1962;0000;35.3;;28.22;54.25;3.333333;
82777;02/11/1962;1200;;22.2;;;;
82777;03/11/1962;0000;35.6;;27.88;47.5;4.333333;
82777;03/11/1962;1200;;22.3;;;;
82777;04/11/1962;0000;34.7;;27.56;52.25;4;
82777;04/11/1962;1200;;22.2;;;;
82777;05/11/1962;0000;32.9;;26.44;64;2.333333;
82777;05/11/1962;1200;;24.3;;;;
82777;06/11/1962;0000;33;;26.14;60.75;2.333333;
82777;06/11/1962;1200;;21.4;;;;
82777;07/11/1962;0000;32.9;;27.38;62.25;3.333333;
82777;07/11/1962;1200;;21.6;;;;
82777;08/11/1962;0000;31.9;;26.14;57.5;6;
82777;08/11/1962;1200;;21.6;;;;
82777;09/11/1962;0000;31.8;;26.74;63.5;6;
82777;09/11/1962;1200;;21.2;;;;
82777;10/11/1962;0000;33.2;;25.66;62.75;5.333333;
82777;10/11/1962;1200;;21.7;;;;
82777;11/11/1962;0000;29.4;;25.54;68;4;
82777;11/11/1962;1200;;21.6;;;;
82777;12/11/1962;0000;30.4;;24.2;77;4.666667;
82777;12/11/1962;1200;;22;;;;
82777;13/11/1962;0000;29.8;;24.9;66.5;5.333333;
82777;13/11/1962;1200;;21.4;;;;
82777;14/11/1962;0000;32.4;;26.02;54.75;3;
82777;14/11/1962;1200;;20.5;;;;
82777;15/11/1962;0000;32.8;;26.98;59.5;4;
82777;15/11/1962;1200;;23.8;;;;
82777;16/11/1962;0000;32.7;;26.12;59.25;3.666667;
82777;16/11/1962;1200;;20.6;;;;
82777;17/11/1962;0000;33.2;;25.5;65.25;5.333333;
82777;17/11/1962;1200;;20.8;;;;
82777;18/11/1962;0000;32.3;;26.32;53.75;3.666667;
82777;18/11/1962;1200;;20.1;;;;
82777;19/11/1962;0000;35.2;;27.36;42;4;
82777;19/11/1962;1200;;20.5;;;;
82777;20/11/1962;0000;32.4;;26.34;54.5;2.666667;
82777;20/11/1962;1200;;22.2;;;;
82777;21/11/1962;0000;32.3;;26.8;54;6.666667;
82777;21/11/1962;1200;;21.3;;;;
82777;22/11/1962;0000;33.1;;26.32;60.25;7.333333;
82777;22/11/1962;1200;;21.8;;;;
82777;23/11/1962;0000;29.6;;24.88;74.25;3.333333;
82777;23/11/1962;1200;;21.2;;;;
82777;24/11/1962;0000;31.5;;24.46;72.25;4.333333;
82777;24/11/1962;1200;;20.6;;;;
82777;25/11/1962;0000;26.4;;23.38;90.75;2.333333;
82777;25/11/1962;1200;;20.9;;;;
82777;26/11/1962;0000;30;;24.42;72;3.666667;
82777;26/11/1962;1200;;20.3;;;;
82777;27/11/1962;0000;32;;26.22;64.25;5.333333;
82777;27/11/1962;1200;;24.3;;;;
82777;28/11/1962;0000;32;;25.1;65.25;6;
82777;28/11/1962;1200;;21.1;;;;
82777;29/11/1962;0000;31.9;;25.28;68;2.666667;
82777;29/11/1962;1200;;20.8;;;;
82777;30/11/1962;0000;32.5;;25.3;59.75;6;
82777;30/11/1962;1200;;19.8;;;;
82777;01/12/1962;0000;32.5;;25.1;63.5;5;
82777;01/12/1962;1200;;21;;;;
82777;02/12/1962;0000;34.2;;26.84;54.75;8.666667;
82777;02/12/1962;1200;;21.2;;;;
