--------------------
BDMEP - INMET
--------------------
Estação           : BARBALHA - CE (OMM: 82784)
Latitude  (graus) : -7.31
Longitude (graus) : -39.3
Altitude  (metros): 409.03
Estação Operante
Inicio de operação: 01/01/1948
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82784;01/01/1973;0000;30.1;;;71.75;0.333333;
82784;02/01/1973;0000;31.4;;;61;1;
82784;03/01/1973;0000;31.8;;;70.5;1;
82784;04/01/1973;0000;31.7;;;66.75;0.666667;
82784;05/01/1973;0000;33.4;;;65.75;0.666667;
82784;06/01/1973;0000;33.8;;;58;0.666667;
82784;07/01/1973;0000;33.4;;;67.75;0.333333;
82784;08/01/1973;0000;34.2;;;63.75;0.666667;
82784;09/01/1973;0000;33;;;71.75;0.666667;
82784;10/01/1973;0000;32.1;;;77.5;0.333333;
82784;11/01/1973;0000;31.1;;;76.25;0.666667;
82784;12/01/1973;0000;32.3;;;75.75;0.333333;
82784;13/01/1973;0000;32;;;79;0;
82784;14/01/1973;0000;30.4;;;73.5;0.333333;
82784;15/01/1973;0000;28.8;;;85.5;0;
82784;16/01/1973;0000;29.6;;;85.25;0;
82784;17/01/1973;0000;31.5;;;75.25;0.333333;
82784;18/01/1973;0000;31.2;;;72.25;0;
82784;19/01/1973;0000;32.3;;;66.25;0.666667;
82784;20/01/1973;0000;31.1;;;78.25;0.666667;
82784;21/01/1973;0000;33.2;;;69.25;0.333333;
82784;22/01/1973;0000;33.5;;;55.75;0.666667;
82784;23/01/1973;0000;33.3;;;57.75;1.666667;
82784;24/01/1973;0000;32.3;;;65;0.666667;
82784;25/01/1973;0000;31.9;;;65.25;1;
82784;26/01/1973;0000;33.2;;;60.75;0.666667;
82784;27/01/1973;0000;33.7;;;70;1;
82784;28/01/1973;0000;32.3;;;71.75;1;
82784;29/01/1973;0000;32.1;;;75;0.333333;
82784;30/01/1973;0000;32.6;;;70.25;0.666667;
82784;31/01/1973;0000;31.8;;;76.75;0.333333;
82784;01/02/1973;0000;32.9;;;75;0;
82784;02/02/1973;0000;32.6;;;80;0;
82784;03/02/1973;0000;33.1;;;66;0.333333;
82784;04/02/1973;0000;33.4;;;61.5;0.666667;
82784;05/02/1973;0000;33.3;;;66.25;0.333333;
82784;06/02/1973;0000;29.3;;;74;0.333333;
82784;07/02/1973;0000;33.2;;;64.5;0.666667;
82784;08/02/1973;0000;32.5;;;68;0;
82784;09/02/1973;0000;33.5;;;78.75;0.666667;
82784;10/02/1973;0000;32.8;;;67.75;0.666667;
82784;11/02/1973;0000;31.6;;;77.25;0;
82784;12/02/1973;0000;31.5;;;77;0;
82784;13/02/1973;0000;34.1;;;65.25;0;
82784;14/02/1973;0000;34.9;;;64.75;0.666667;
82784;15/02/1973;0000;33.8;;;60.25;1.666667;
82784;16/02/1973;0000;33.4;;;73;0.333333;
82784;17/02/1973;0000;34.6;;;62.5;0.333333;
82784;18/02/1973;0000;32.2;;;78.75;0.333333;
82784;19/02/1973;0000;33;;;68.5;0.666667;
82784;20/02/1973;0000;33.7;;;64.75;0.333333;
82784;21/02/1973;0000;29.9;;;79.25;0;
82784;22/02/1973;0000;34;;;64.75;0.333333;
82784;23/02/1973;0000;30.2;;;86.25;0;
82784;24/02/1973;0000;31.3;;;79;0.333333;
82784;25/02/1973;0000;30.5;;;83.25;1.333333;
82784;26/02/1973;0000;28.3;;;90;0;
82784;27/02/1973;0000;32.4;;;73;0.666667;
82784;28/02/1973;0000;33.3;;;70;1.333333;
82784;01/03/1973;0000;32.2;;21.8;74.25;0.333333;
82784;02/03/1973;0000;32.1;;21.6;75.5;0.333333;
82784;03/03/1973;0000;30;;19.6;93.25;0.333333;
82784;04/03/1973;0000;30.9;;20.1;85.75;0.333333;
82784;05/03/1973;0000;31.6;;21.3;82.25;0.333333;
82784;06/03/1973;0000;31;;21.7;77.5;0.666667;
82784;07/03/1973;0000;31.3;;21;79.25;0.333333;
82784;08/03/1973;0000;32.8;;21.9;71.25;0.666667;
82784;09/03/1973;0000;32.4;;20.9;81.5;0;
82784;10/03/1973;0000;32.8;;21.4;80;0;
82784;11/03/1973;0000;32.5;;25.78;90.5;1;
82784;11/03/1973;1200;;23;;;;
82784;12/03/1973;0000;29.9;;23.84;88.25;0.666667;
82784;12/03/1973;1200;;21.4;;;;
82784;13/03/1973;0000;30.8;;24.68;82.5;0.666667;
82784;13/03/1973;1200;;21;;;;
82784;14/03/1973;0000;31.8;;25.66;80.25;0;
82784;14/03/1973;1200;;21.7;;;;
82784;15/03/1973;0000;31.3;;25.24;81.75;0.666667;
82784;15/03/1973;1200;;22.2;;;;
82784;16/03/1973;0000;30.9;;25.32;77.5;0.333333;
82784;16/03/1973;1200;;21.8;;;;
82784;17/03/1973;0000;32.2;;25.82;70.25;0.666667;
82784;17/03/1973;1200;;21.9;;;;
82784;18/03/1973;0000;32.8;;25.42;66.5;0.333333;
82784;18/03/1973;1200;;20.3;;;;
82784;19/03/1973;0000;32.8;;25.56;74;0.666667;
82784;19/03/1973;1200;;20.2;;;;
82784;20/03/1973;0000;32.1;;26.16;73;0.333333;
82784;20/03/1973;1200;;22.6;;;;
82784;21/03/1973;0000;30.8;;24.86;82;0.666667;
82784;21/03/1973;1200;;21.5;;;;
82784;22/03/1973;0000;32.1;;25.94;78;0.666667;
82784;22/03/1973;1200;;22.2;;;;
82784;23/03/1973;0000;30.3;;24.48;86;0.333333;
82784;23/03/1973;1200;;22.3;;;;
82784;24/03/1973;0000;30.1;;25.04;88.75;0.333333;
82784;24/03/1973;1200;;21.6;;;;
82784;25/03/1973;0000;30.8;;24.98;82.5;0.666667;
82784;25/03/1973;1200;;22.3;;;;
82784;26/03/1973;0000;30.3;;25.78;82.25;0.333333;
82784;26/03/1973;1200;;21.9;;;;
82784;27/03/1973;0000;31.6;;25.52;82.5;0;
82784;27/03/1973;1200;;23.2;;;;
82784;28/03/1973;0000;31.3;;25.34;82;0.333333;
82784;28/03/1973;1200;;22.2;;;;
82784;29/03/1973;0000;29.3;;24.08;86.25;0;
82784;29/03/1973;1200;;20.9;;;;
82784;30/03/1973;0000;30.5;;24.74;84;0.333333;
82784;30/03/1973;1200;;20.4;;;;
82784;31/03/1973;0000;30.9;;25.3;75.75;0.666667;
82784;31/03/1973;1200;;22.7;;;;
82784;01/04/1973;0000;31.4;;24.82;77.5;0.333333;
82784;01/04/1973;1200;;20.3;;;;
82784;02/04/1973;0000;31.2;;25.56;74.5;0.666667;
82784;02/04/1973;1200;;21.4;;;;
82784;03/04/1973;0000;31.7;;25.84;70.5;0.666667;
82784;03/04/1973;1200;;20.7;;;;
82784;04/04/1973;0000;30.3;;25.7;77.75;0.666667;
82784;04/04/1973;1200;;23.6;;;;
82784;05/04/1973;0000;31.4;;25.66;79.75;0;
82784;05/04/1973;1200;;22.7;;;;
82784;06/04/1973;0000;30.4;;24.42;86;0.666667;
82784;06/04/1973;1200;;21.3;;;;
82784;07/04/1973;0000;28.7;;23.78;87;0;
82784;07/04/1973;1200;;20.9;;;;
82784;08/04/1973;0000;29.9;;24.4;80;0.666667;
82784;08/04/1973;1200;;20.3;;;;
82784;09/04/1973;0000;29.1;;24.52;84.5;0.333333;
82784;09/04/1973;1200;;21.3;;;;
82784;10/04/1973;0000;29.5;;24.44;83.5;0;
82784;10/04/1973;1200;;20.9;;;;
82784;11/04/1973;0000;30.5;;25.16;82.75;0.333333;
82784;11/04/1973;1200;;22;;;;
82784;12/04/1973;0000;27.9;;24.06;90.75;0;
82784;12/04/1973;1200;;20.8;;;;
82784;13/04/1973;0000;29.9;;24.66;88.75;0;
82784;13/04/1973;1200;;22.2;;;;
82784;14/04/1973;0000;31.2;;24.8;82;0.666667;
82784;14/04/1973;1200;;21;;;;
82784;15/04/1973;0000;29.8;;24.66;85;0.333333;
82784;15/04/1973;1200;;21.3;;;;
82784;16/04/1973;0000;30.6;;24.84;87;0.333333;
82784;16/04/1973;1200;;21.6;;;;
82784;17/04/1973;0000;30.1;;25.12;84;0.333333;
82784;17/04/1973;1200;;22.5;;;;
82784;18/04/1973;0000;30.8;;25.5;75.5;0.666667;
82784;18/04/1973;1200;;21.7;;;;
82784;19/04/1973;0000;30.2;;24.86;79.5;0;
82784;19/04/1973;1200;;22.3;;;;
82784;20/04/1973;0000;30.6;;24.88;75.25;1.666667;
82784;20/04/1973;1200;;21.8;;;;
82784;21/04/1973;0000;30.1;;25;72.75;0.666667;
82784;21/04/1973;1200;;21.3;;;;
82784;22/04/1973;0000;30.6;;24.34;82.5;1.666667;
82784;22/04/1973;1200;;20.6;;;;
82784;23/04/1973;0000;28.9;;23.2;80.5;1.333333;
82784;23/04/1973;1200;;20.3;;;;
82784;24/04/1973;0000;29.7;;22.74;75;1.666667;
82784;24/04/1973;1200;;17.8;;;;
82784;25/04/1973;0000;30.6;;24.42;78.25;0.333333;
82784;25/04/1973;1200;;18.9;;;;
82784;26/04/1973;0000;30.9;;25.3;78.75;0.333333;
82784;26/04/1973;1200;;21.9;;;;
82784;27/04/1973;0000;27;;23.12;90;0;
82784;27/04/1973;1200;;21.7;;;;
82784;28/04/1973;0000;28;;23.52;90.75;1;
82784;28/04/1973;1200;;21.8;;;;
82784;29/04/1973;0000;29.9;;23.9;88.75;0.333333;
82784;29/04/1973;1200;;20.3;;;;
82784;30/04/1973;0000;30.5;;25.04;80.5;0.666667;
82784;30/04/1973;1200;;21.7;;;;
82784;01/05/1973;0000;30.3;;24.52;88.75;1;
82784;01/05/1973;1200;;20.5;;;;
82784;02/05/1973;0000;30.4;;25.58;75.75;1;
82784;02/05/1973;1200;;21.5;;;;
82784;03/05/1973;0000;30.1;;23.84;79;1.333333;
82784;03/05/1973;1200;;20.8;;;;
82784;04/05/1973;0000;30.3;;24.42;80.25;0.666667;
82784;04/05/1973;1200;;19;;;;
82784;05/05/1973;0000;31.1;;25.18;78.5;0.333333;
82784;05/05/1973;1200;;22.4;;;;
82784;06/05/1973;0000;32.3;;24.98;78.5;0.666667;
82784;06/05/1973;1200;;20.2;;;;
82784;07/05/1973;0000;31.2;;24.84;84;0.666667;
82784;07/05/1973;1200;;21.2;;;;
82784;08/05/1973;0000;29.8;;24.76;85.75;0.666667;
82784;08/05/1973;1200;;22.1;;;;
82784;09/05/1973;0000;27.9;;24.3;91;0;
82784;09/05/1973;1200;;22.6;;;;
82784;10/05/1973;0000;29.6;;24.68;83.25;1;
82784;10/05/1973;1200;;22.2;;;;
82784;11/05/1973;0000;29.1;;23.92;86.25;0.333333;
82784;11/05/1973;1200;;21.1;;;;
82784;12/05/1973;0000;29.7;;23.76;85;0.333333;
82784;12/05/1973;1200;;21.1;;;;
82784;13/05/1973;0000;29.9;;23.3;80.25;0;
82784;13/05/1973;1200;;19.2;;;;
82784;14/05/1973;0000;30.5;;24.04;79.25;0.666667;
82784;14/05/1973;1200;;20.3;;;;
82784;15/05/1973;0000;30.1;;23.7;78;0.666667;
82784;15/05/1973;1200;;20.2;;;;
82784;16/05/1973;0000;30;;23.76;80.25;1.333333;
82784;16/05/1973;1200;;19.2;;;;
82784;17/05/1973;0000;29;;23.64;82.25;1;
82784;17/05/1973;1200;;21.2;;;;
82784;18/05/1973;0000;29.4;;24.84;73.5;1.666667;
82784;18/05/1973;1200;;20.8;;;;
82784;19/05/1973;0000;29.4;;24.34;78.25;0.666667;
82784;19/05/1973;1200;;22.1;;;;
82784;20/05/1973;0000;29.5;;21.7;77.5;1;
82784;20/05/1973;1200;;17.5;;;;
82784;21/05/1973;0000;29.9;;22.7;81.75;0.333333;
82784;21/05/1973;1200;;17;;;;
82784;22/05/1973;0000;31.3;;24.28;66.75;0.333333;
82784;22/05/1973;1200;;18.5;;;;
82784;23/05/1973;0000;30.2;;23.1;73;0.666667;
82784;23/05/1973;1200;;17.3;;;;
82784;24/05/1973;0000;30.5;;23.68;82;1;
82784;24/05/1973;1200;;19.8;;;;
82784;25/05/1973;0000;29.7;;24.32;70;1.333333;
82784;25/05/1973;1200;;20.9;;;;
82784;26/05/1973;0000;29.8;;24.18;80.25;1;
82784;26/05/1973;1200;;20.4;;;;
82784;27/05/1973;0000;29.9;;24;82.75;0.333333;
82784;27/05/1973;1200;;21.7;;;;
82784;28/05/1973;0000;30;;24.94;69.25;0.666667;
82784;28/05/1973;1200;;21;;;;
82784;29/05/1973;0000;28.1;;22.8;82;0.666667;
82784;29/05/1973;1200;;20.1;;;;
82784;30/05/1973;0000;30.3;;23.76;75.5;1;
82784;30/05/1973;1200;;20.6;;;;
82784;31/05/1973;0000;29.8;;24.46;81;0.333333;
82784;31/05/1973;1200;;20.1;;;;
82784;01/06/1973;0000;29.5;;24.66;75;0.333333;
82784;01/06/1973;1200;;21.8;;;;
82784;02/06/1973;0000;29.3;;25.14;69.75;2;
82784;02/06/1973;1200;;22.4;;;;
82784;03/06/1973;0000;29.2;;24.52;83;1;
82784;03/06/1973;1200;;22.2;;;;
82784;04/06/1973;0000;29.8;;24.42;82;0.666667;
82784;04/06/1973;1200;;21.4;;;;
82784;05/06/1973;0000;30.8;;24.88;82;1;
82784;05/06/1973;1200;;21;;;;
82784;06/06/1973;0000;28.5;;23.24;78.5;1.666667;
82784;06/06/1973;1200;;20.2;;;;
82784;07/06/1973;0000;30.2;;24.08;72.25;0.666667;
82784;07/06/1973;1200;;17.6;;;;
82784;08/06/1973;0000;28.8;;24.28;68.25;2.333333;
82784;08/06/1973;1200;;17.8;;;;
82784;09/06/1973;0000;29.3;;24.86;67;2;
82784;09/06/1973;1200;;21.4;;;;
82784;10/06/1973;0000;27.5;;23.42;81;2.666667;
82784;10/06/1973;1200;;21;;;;
