--------------------
BDMEP - INMET
--------------------
Estação           : TRIUNFO - PE (OMM: 82789)
Latitude  (graus) : -7.81
Longitude (graus) : -38.11
Altitude  (metros): 1105.00
Estação Operante
Inicio de operação: 01/06/1953
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82789;01/01/1961;0000;31.6;;24.96;45;1.333333;
82789;01/01/1961;1200;;16.8;;;;
82789;02/01/1961;0000;32.6;;25.68;44.75;1;
82789;02/01/1961;1200;;17.8;;;;
82789;03/01/1961;0000;32;;24.4;50.75;3.333333;
82789;03/01/1961;1200;;18.2;;;;
82789;04/01/1961;0000;31.4;;24.44;50.25;1;
82789;04/01/1961;1200;;18.2;;;;
82789;05/01/1961;0000;32.2;;25.48;44.5;3.666667;
82789;05/01/1961;1200;;18.2;;;;
82789;06/01/1961;0000;32.6;;25.8;49.5;2.666667;
82789;06/01/1961;1200;;18.2;;;;
82789;07/01/1961;0000;31.8;;25;52.25;3.666667;
82789;07/01/1961;1200;;18.2;;;;
82789;08/01/1961;0000;31;;23.88;56.75;4;
82789;08/01/1961;1200;;17.6;;;;
82789;09/01/1961;0000;30.6;;25.04;47.75;3.333333;
82789;09/01/1961;1200;;17.8;;;;
82789;10/01/1961;0000;32.2;;24.66;54.75;1;
82789;10/01/1961;1200;;17.5;;;;
82789;11/01/1961;0000;32.4;;25.4;48.25;2.333333;
82789;11/01/1961;1200;;18.4;;;;
82789;12/01/1961;0000;30.4;;24.82;56.75;4;
82789;12/01/1961;1200;;18.2;;;;
82789;13/01/1961;0000;29.8;;23.32;70.25;5.666667;
82789;13/01/1961;1200;;18.4;;;;
82789;14/01/1961;0000;29.7;;23.98;52.5;2.333333;
82789;14/01/1961;1200;;17.8;;;;
82789;15/01/1961;0000;29.6;;22.78;67;2;
82789;15/01/1961;1200;;17.6;;;;
82789;16/01/1961;0000;27.4;;21.46;91;1;
82789;16/01/1961;1200;;18.2;;;;
82789;17/01/1961;0000;26;;21.24;83.5;2.333333;
82789;17/01/1961;1200;;18.8;;;;
82789;18/01/1961;0000;24.4;;20.24;96.25;2;
82789;18/01/1961;1200;;18.4;;;;
