--------------------
BDMEP - INMET
--------------------
Estação           : PATOS - PB (OMM: 82791)
Latitude  (graus) : -7.01
Longitude (graus) : -37.26
Altitude  (metros): 249.09
Estação Operante
Inicio de operação: 17/10/1975
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82791;01/01/1975;0000;34.5;;27.64;53;4.033333;
82791;01/01/1975;1200;;23;;;;
82791;02/01/1975;0000;34.2;;28.14;51.5;5.4;
82791;02/01/1975;1200;;22.9;;;;
82791;03/01/1975;0000;35.1;;28.4;51;7.566667;
82791;03/01/1975;1200;;23.8;;;;
82791;04/01/1975;0000;34.5;;27.9;46;6.533333;
82791;04/01/1975;1200;;22.4;;;;
82791;05/01/1975;0000;34.9;;28.22;46.25;5.4;
82791;05/01/1975;1200;;22.4;;;;
82791;06/01/1975;0000;35.3;;28.46;50.5;4.8;
82791;06/01/1975;1200;;21.2;;;;
82791;07/01/1975;0000;35.3;;28.58;46.75;3.933333;
82791;07/01/1975;1200;;22.5;;;;
82791;08/01/1975;0000;35.9;;28.6;49;6.733333;
82791;08/01/1975;1200;;22.4;;;;
82791;09/01/1975;0000;35.5;;29.04;48.25;6;
82791;09/01/1975;1200;;24.2;;;;
82791;10/01/1975;0000;36.5;;28.72;45.25;3.933333;
82791;10/01/1975;1200;;21;;;;
82791;11/01/1975;0000;35.4;;29.12;45.5;3.766667;
82791;11/01/1975;1200;;24;;;;
82791;12/01/1975;0000;35.7;;29.18;47;6.366667;
82791;12/01/1975;1200;;23.2;;;;
82791;13/01/1975;0000;35.6;;;49.5;4.633333;
82791;14/01/1975;0000;34.7;;;38.5;0.933333;
82791;15/01/1975;0000;36.1;;;44.5;4.266667;
