--------------------
BDMEP - INMET
--------------------
Estação           : MONTEIRO - PB (OMM: 82792)
Latitude  (graus) : -7.88
Longitude (graus) : -37.06
Altitude  (metros): 603.66
Estação Operante
Inicio de operação: 14/01/1940
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82792;01/12/1962;0000;33;;25.96;60.5;4.666667;
82792;01/12/1962;1200;;21;;;;
82792;02/12/1962;0000;33;;26.26;57.5;4.333333;
82792;02/12/1962;1200;;20.3;;;;
82792;03/12/1962;0000;32.4;;26.1;55.5;2.333333;
82792;03/12/1962;1200;;19.3;;;;
82792;04/12/1962;0000;33.6;;26.08;62;3;
82792;04/12/1962;1200;;20.4;;;;
82792;05/12/1962;0000;35;;26.86;60;3.666667;
82792;05/12/1962;1200;;20.1;;;;
82792;06/12/1962;0000;34.2;;27.64;56.25;6;
82792;06/12/1962;1200;;21.8;;;;
82792;07/12/1962;0000;32.2;;26.2;58.75;3.666667;
82792;07/12/1962;1200;;21.4;;;;
82792;08/12/1962;0000;32.8;;26.26;55.5;6.666667;
82792;08/12/1962;1200;;18.9;;;;
82792;09/12/1962;0000;34.2;;25.68;64.25;3.333333;
82792;09/12/1962;1200;;20.4;;;;
82792;10/12/1962;0000;32.4;;26.16;61.5;2.333333;
82792;10/12/1962;1200;;20.7;;;;
82792;11/12/1962;0000;31;;25.28;66.5;5.666667;
82792;11/12/1962;1200;;20.8;;;;
82792;12/12/1962;0000;30.6;;25.14;66.75;5;
82792;12/12/1962;1200;;20.9;;;;
82792;13/12/1962;0000;30.8;;25.46;67;4.333333;
82792;13/12/1962;1200;;20.9;;;;
82792;14/12/1962;0000;31.4;;25.8;65.25;4.666667;
82792;14/12/1962;1200;;20.8;;;;
82792;15/12/1962;0000;32;;27;62.25;1.666667;
82792;15/12/1962;1200;;21.2;;;;
82792;16/12/1962;0000;27;;22.9;87.75;3;
82792;16/12/1962;1200;;20.3;;;;
82792;17/12/1962;0000;29;;23.66;80.25;1.666667;
82792;17/12/1962;1200;;20.1;;;;
82792;18/12/1962;0000;31;;25.22;66.5;5;
82792;18/12/1962;1200;;20.3;;;;
82792;19/12/1962;0000;31.4;;25.08;71;3.666667;
82792;19/12/1962;1200;;18.4;;;;
82792;20/12/1962;0000;30.6;;25.58;69.25;6.333333;
82792;20/12/1962;1200;;20.7;;;;
82792;21/12/1962;0000;30.6;;25.06;70.25;6.333333;
82792;21/12/1962;1200;;19.9;;;;
82792;22/12/1962;0000;29.6;;25.02;69.5;2.333333;
82792;22/12/1962;1200;;20.7;;;;
82792;23/12/1962;0000;31.2;;25.72;66.5;3.666667;
82792;23/12/1962;1200;;20.4;;;;
