--------------------
BDMEP - INMET
--------------------
Estação           : CAMPINA GRANDE - PB (OMM: 82795)
Latitude  (graus) : -7.22
Longitude (graus) : -35.88
Altitude  (metros): 547.56
Estação Operante
Inicio de operação: 01/01/1911
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82795;01/01/1961;0000;;;;;6.7;
82795;02/01/1961;0000;;;;;5.166667;
82795;03/01/1961;0000;;;;;6.7;
82795;04/01/1961;0000;;;;;5.933333;
82795;05/01/1961;0000;;;;;4.4;
82795;06/01/1961;0000;;;;;5.933333;
82795;07/01/1961;0000;;;;;4.4;
82795;08/01/1961;0000;;;;;6.033333;
82795;09/01/1961;0000;;;;;5.933333;
82795;10/01/1961;0000;;;;;5.166667;
82795;11/01/1961;0000;;;;;4.4;
82795;12/01/1961;0000;;;;;5.933333;
82795;13/01/1961;0000;;;;;5.166667;
82795;14/01/1961;0000;;;;;6.7;
82795;15/01/1961;0000;;;;;5.166667;
82795;16/01/1961;0000;;;;;5.933333;
82795;17/01/1961;0000;;;;;4.5;
82795;18/01/1961;0000;;;;;5.166667;
82795;19/01/1961;0000;;;;;4.4;
82795;20/01/1961;0000;;;;;3.233333;
82795;21/01/1961;0000;;;;;3.733333;
82795;22/01/1961;0000;;;;;3.066667;
82795;23/01/1961;0000;;;;;3.066667;
82795;24/01/1961;0000;;;;;4.5;
82795;25/01/1961;0000;;;;;5.166667;
82795;26/01/1961;0000;;;;;4.5;
82795;27/01/1961;0000;;;;;5.933333;
82795;28/01/1961;0000;;;;;5.933333;
82795;29/01/1961;0000;;;;;5.166667;
82795;30/01/1961;0000;;;;;3.733333;
82795;31/01/1961;0000;;;;;5.166667;
82795;01/02/1961;0000;;;;;5.166667;
82795;02/02/1961;0000;;;;;5.166667;
82795;03/02/1961;0000;;;;;5.933333;
82795;04/02/1961;0000;;;;;4.4;
82795;05/02/1961;0000;;;;;5.166667;
82795;06/02/1961;0000;;;;;5.166667;
82795;07/02/1961;0000;;;;;5.933333;
82795;08/02/1961;0000;;;;;4.4;
82795;09/02/1961;0000;;;;;5.166667;
82795;10/02/1961;0000;;;;;4.4;
82795;11/02/1961;0000;;;;;5.166667;
82795;12/02/1961;0000;;;;;5.166667;
82795;13/02/1961;0000;;;;;5.933333;
82795;14/02/1961;0000;;;;;4.4;
82795;15/02/1961;0000;;;;;6.7;
82795;16/02/1961;0000;;;;;4.5;
82795;17/02/1961;0000;;;;;4.5;
82795;18/02/1961;0000;;;;;4.5;
82795;19/02/1961;0000;;;;;5.166667;
82795;20/02/1961;0000;;;;;3.066667;
82795;21/02/1961;0000;;;;;5.166667;
82795;22/02/1961;0000;;;;;3.733333;
82795;23/02/1961;0000;;;;;3.733333;
82795;24/02/1961;0000;;;;;3.733333;
82795;25/02/1961;0000;;;;;3.066667;
82795;26/02/1961;0000;;;;;4.4;
82795;27/02/1961;0000;;;;;5.166667;
82795;28/02/1961;0000;;;;;4.5;
82795;01/03/1961;0000;;;;;3.733333;
