--------------------
BDMEP - INMET
--------------------
Estação           : SURUBIM - PE (OMM: 82797)
Latitude  (graus) : -7.83
Longitude (graus) : -35.71
Altitude  (metros): 418.32
Estação Operante
Inicio de operação: 01/10/1929
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82797;01/01/1961;0000;;;;70.25;2.333333;
82797;02/01/1961;0000;;;;63.5;2.666667;
82797;03/01/1961;0000;;;;64.25;3.666667;
82797;04/01/1961;0000;;;;65;2.666667;
82797;05/01/1961;0000;;;;66;4.333333;
82797;06/01/1961;0000;;;;65.75;2.666667;
82797;07/01/1961;0000;;;;67.25;2.666667;
82797;08/01/1961;0000;;;;64.25;2.666667;
82797;09/01/1961;0000;;;;66.5;3.333333;
82797;10/01/1961;0000;;;;66;3.666667;
82797;11/01/1961;0000;;;;68;3;
82797;12/01/1961;0000;;;;64.5;3.666667;
82797;13/01/1961;0000;;;;62.25;5.333333;
82797;14/01/1961;0000;;;;61.5;2;
82797;15/01/1961;0000;;;;62.25;2.666667;
82797;16/01/1961;0000;;;;68.5;2;
82797;17/01/1961;0000;;;;75;2.666667;
82797;18/01/1961;0000;;;;81.25;1.333333;
82797;19/01/1961;0000;;;;78.25;1.666667;
82797;20/01/1961;0000;;;;80.5;1.333333;
82797;21/01/1961;0000;;;;74.5;1.333333;
82797;22/01/1961;0000;;;;80.25;0.666667;
82797;23/01/1961;0000;;;;83.25;0.666667;
82797;24/01/1961;0000;;;;71.25;2.666667;
82797;25/01/1961;0000;;;;67;1.333333;
82797;26/01/1961;0000;;;;69.5;1.666667;
82797;27/01/1961;0000;;;;71;2.333333;
82797;28/01/1961;0000;;;;62.5;2;
82797;29/01/1961;0000;;;;66;1.666667;
82797;30/01/1961;0000;;;;63;1.666667;
82797;31/01/1961;0000;;;;68;1.333333;
82797;01/02/1961;0000;;;;72.25;4;
82797;02/02/1961;0000;;;;66;2.666667;
82797;03/02/1961;0000;;;;68;3.333333;
82797;04/02/1961;0000;;;;63.75;3.333333;
82797;05/02/1961;0000;;;;60;2;
82797;06/02/1961;0000;;;;68.5;2;
82797;07/02/1961;0000;;;;72.75;4;
82797;08/02/1961;0000;;;;62.25;0;
82797;09/02/1961;0000;;;;84.5;1.333333;
82797;10/02/1961;0000;;;;80.25;4;
82797;11/02/1961;0000;;;;75.75;2;
82797;12/02/1961;0000;;;;75;2;
82797;13/02/1961;0000;;;;77.75;2.666667;
82797;14/02/1961;0000;;;;70;1.333333;
82797;15/02/1961;0000;;;;62;2;
82797;16/02/1961;0000;;;;99.25;3.333333;
82797;17/02/1961;0000;;;;76.25;3.333333;
82797;18/02/1961;0000;;;;82.25;4.666667;
82797;19/02/1961;0000;;;;69.75;2.666667;
82797;20/02/1961;0000;;;;68.5;2.666667;
82797;21/02/1961;0000;;;;88;1.333333;
82797;22/02/1961;0000;;;;74.5;2.666667;
82797;23/02/1961;0000;;;;84;2.666667;
82797;24/02/1961;0000;;;;77.75;3.333333;
82797;25/02/1961;0000;;;;67;3.333333;
82797;26/02/1961;0000;;;;70.75;3.333333;
82797;27/02/1961;0000;;;;77;3.333333;
82797;28/02/1961;0000;;;;71.25;2.666667;
82797;01/03/1961;0000;;;;66.25;2.666667;
82797;02/03/1961;0000;;;;63.5;3.333333;
82797;03/03/1961;0000;;;;63.5;3.333333;
82797;04/03/1961;0000;;;;60.25;3.333333;
82797;05/03/1961;0000;;;;70.25;2.666667;
82797;06/03/1961;0000;;;;66.75;3.666667;
82797;07/03/1961;0000;;;;63.25;1.333333;
82797;08/03/1961;0000;;;;61.75;4;
82797;09/03/1961;0000;;;;63.5;3.333333;
82797;10/03/1961;0000;;;;61.75;3.333333;
82797;11/03/1961;0000;;;;61.75;4.666667;
82797;12/03/1961;0000;;;;86;4.666667;
82797;13/03/1961;0000;;;;88;3.666667;
82797;14/03/1961;0000;;;;85.25;1.333333;
82797;15/03/1961;0000;;;;75;1.333333;
82797;16/03/1961;0000;;;;63.25;4;
82797;17/03/1961;0000;;;;63;3.333333;
82797;18/03/1961;0000;;;;63;4;
82797;19/03/1961;0000;;;;61.75;2;
82797;20/03/1961;0000;;;;62.5;3.333333;
82797;21/03/1961;0000;;;;59.25;2.666667;
82797;22/03/1961;0000;;;;59.25;4;
82797;23/03/1961;0000;;;;66.75;2.666667;
82797;24/03/1961;0000;;;;80;2.666667;
82797;25/03/1961;0000;;;;84;1.333333;
82797;26/03/1961;0000;;;;89.25;1.333333;
82797;27/03/1961;0000;;;;83.25;2;
82797;28/03/1961;0000;;;;78.5;3.333333;
82797;29/03/1961;0000;;;;84;1.333333;
82797;30/03/1961;0000;;;;74.25;2;
82797;31/03/1961;0000;;;;78.25;1.333333;
82797;01/04/1961;0000;;;;63.25;2.666667;
82797;02/04/1961;0000;;;;61;0.666667;
82797;03/04/1961;0000;;;;82.5;0.666667;
82797;04/04/1961;0000;;;;76.5;1.333333;
82797;05/04/1961;0000;;;;67.25;2;
82797;06/04/1961;0000;;;;84.25;0.666667;
82797;07/04/1961;0000;;;;85.5;2.666667;
82797;08/04/1961;0000;;;;76.5;4;
82797;09/04/1961;0000;;;;88.75;2.666667;
82797;10/04/1961;0000;;;;75.5;0.666667;
82797;11/04/1961;0000;;;;77.25;1.333333;
82797;12/04/1961;0000;;;;78.5;2;
82797;13/04/1961;0000;;;;75;2;
82797;14/04/1961;0000;;;;86.25;4;
82797;15/04/1961;0000;;;;84.25;2.666667;
82797;16/04/1961;0000;;;;83;2;
82797;17/04/1961;0000;;;;80;2.666667;
82797;18/04/1961;0000;;;;76;3.333333;
82797;19/04/1961;0000;;;;75;0.666667;
82797;20/04/1961;0000;;;;73.75;1.333333;
82797;21/04/1961;0000;;;;74.75;3;
82797;22/04/1961;0000;;;;68;4.666667;
82797;23/04/1961;0000;;;;77.25;1.333333;
82797;24/04/1961;0000;;;;71.5;3.733333;
82797;25/04/1961;0000;;;;71;3.333333;
82797;26/04/1961;0000;;;;86.25;2.666667;
82797;27/04/1961;0000;;;;77.75;0;
82797;28/04/1961;0000;;;;75.25;1.333333;
82797;29/04/1961;0000;;;;88.25;0.666667;
82797;30/04/1961;0000;;;;80.75;4;
82797;01/05/1961;0000;;;;82.25;0.666667;
82797;02/05/1961;0000;;;;84.5;2.666667;
82797;03/05/1961;0000;;;;78.75;3;
82797;04/05/1961;0000;;;;71.5;2.666667;
82797;05/05/1961;0000;;;;87.25;1.333333;
