--------------------
BDMEP - INMET
--------------------
Estação           : JOAO PESSOA - PB (OMM: 82798)
Latitude  (graus) : -7.1
Longitude (graus) : -34.86
Altitude  (metros): 7.43
Estação Operante
Inicio de operação: 01/01/1912
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82798;02/01/1961;0000;32.4;;26.76;70.25;5;
82798;02/01/1961;1200;;22.2;;;;
82798;03/01/1961;0000;30.1;;27.14;76.75;4.333333;
82798;03/01/1961;1200;;24;;;;
82798;04/01/1961;0000;30.6;;27.6;74;5;
82798;04/01/1961;1200;;25.4;;;;
82798;05/01/1961;0000;29.8;;27.18;70.25;3;
82798;05/01/1961;1200;;24.7;;;;
82798;06/01/1961;0000;30.4;;27.48;73.25;4.333333;
82798;06/01/1961;1200;;25.2;;;;
82798;07/01/1961;0000;30.2;;27.32;80;5;
82798;07/01/1961;1200;;25.9;;;;
82798;08/01/1961;0000;30.5;;27.6;74.25;5;
82798;08/01/1961;1200;;24.7;;;;
82798;09/01/1961;0000;30.2;;27.54;72.25;3.666667;
82798;09/01/1961;1200;;25.7;;;;
82798;10/01/1961;0000;30.2;;27.32;73;4;
82798;10/01/1961;1200;;25.6;;;;
82798;11/01/1961;0000;28.3;;26.5;80.5;3.333333;
82798;11/01/1961;1200;;23.6;;;;
82798;12/01/1961;0000;29.2;;27.28;76.5;3.666667;
82798;12/01/1961;1200;;25.8;;;;
82798;13/01/1961;0000;29.8;;26.96;71.5;4;
82798;13/01/1961;1200;;24.3;;;;
82798;14/01/1961;0000;30.5;;26.68;74.5;4;
82798;14/01/1961;1200;;24.4;;;;
82798;15/01/1961;0000;29.6;;25.48;81.5;5.666667;
82798;15/01/1961;1200;;22.1;;;;
82798;16/01/1961;0000;29.7;;26.04;87.5;3.666667;
82798;16/01/1961;1200;;22.3;;;;
82798;17/01/1961;0000;28.9;;25.68;87.25;4.333333;
82798;17/01/1961;1200;;22.5;;;;
82798;18/01/1961;0000;27.6;;24.84;92;2.333333;
82798;18/01/1961;1200;;23.2;;;;
82798;19/01/1961;0000;28.5;;24.78;91.75;2.333333;
82798;19/01/1961;1200;;23;;;;
82798;20/01/1961;0000;26.9;;24.62;87;2.666667;
82798;20/01/1961;1200;;23;;;;
82798;21/01/1961;0000;28.4;;25.52;92;3.666667;
82798;21/01/1961;1200;;22.6;;;;
82798;22/01/1961;0000;27.7;;24.72;94.75;2.666667;
82798;22/01/1961;1200;;22.5;;;;
82798;23/01/1961;0000;28.3;;24.78;96;0.333333;
82798;23/01/1961;1200;;22.9;;;;
82798;24/01/1961;0000;28.4;;25.72;89.25;3.666667;
82798;24/01/1961;1200;;22.4;;;;
82798;25/01/1961;0000;29.5;;26.2;86;3;
82798;25/01/1961;1200;;21.3;;;;
82798;26/01/1961;0000;29;;26.48;90;3;
82798;26/01/1961;1200;;21.9;;;;
82798;27/01/1961;0000;30.7;;27.34;90.75;4.333333;
82798;27/01/1961;1200;;24.4;;;;
82798;28/01/1961;0000;29.2;;26.06;89.75;4.333333;
82798;28/01/1961;1200;;22.9;;;;
82798;29/01/1961;0000;29.5;;26.2;91.5;3.666667;
82798;29/01/1961;1200;;21.4;;;;
82798;30/01/1961;0000;29.6;;26.3;93.5;3.666667;
82798;30/01/1961;1200;;22.7;;;;
82798;31/01/1961;0000;29.7;;26.12;95.75;3.666667;
82798;31/01/1961;1200;;22.7;;;;
82798;01/02/1961;0000;29.6;;26.48;91.75;3.666667;
82798;01/02/1961;1200;;23;;;;
82798;02/02/1961;0000;29.4;;25.98;88.25;3.666667;
82798;02/02/1961;1200;;22.7;;;;
82798;03/02/1961;0000;29.1;;26.08;91;3.833333;
82798;03/02/1961;1200;;22.4;;;;
82798;04/02/1961;0000;29.2;;25.98;90.5;3.666667;
82798;04/02/1961;1200;;21.4;;;;
82798;05/02/1961;0000;29.4;;26.36;89.5;3;
82798;05/02/1961;1200;;21.4;;;;
82798;06/02/1961;0000;;;;86;5;
82798;06/02/1961;1200;;22.9;;;;
82798;07/02/1961;0000;29.2;;25.78;93.25;3.666667;
82798;07/02/1961;1200;;22.2;;;;
82798;08/02/1961;0000;29.7;;26.18;93.25;4.333333;
82798;08/02/1961;1200;;21.6;;;;
82798;09/02/1961;0000;29.4;;26.48;93.75;3;
82798;09/02/1961;1200;;22.8;;;;
82798;10/02/1961;0000;28.7;;26.02;95.5;2.333333;
82798;10/02/1961;1200;;23.6;;;;
82798;11/02/1961;0000;29.9;;26.6;95.5;3.666667;
82798;11/02/1961;1200;;22.4;;;;
82798;12/02/1961;0000;29.8;;26.36;93;1;
82798;12/02/1961;1200;;22;;;;
82798;13/02/1961;0000;30.1;;26.88;91.5;2.666667;
82798;13/02/1961;1200;;22.5;;;;
82798;14/02/1961;0000;30;;26.82;93.25;1.666667;
82798;14/02/1961;1200;;21.5;;;;
82798;15/02/1961;0000;;;;92;3.666667;
82798;15/02/1961;1200;;22.5;;;;
82798;16/02/1961;0000;30.2;;26.8;91.75;2.333333;
82798;16/02/1961;1200;;22.6;;;;
82798;17/02/1961;0000;30.3;;26.94;89.75;3.666667;
