--------------------
BDMEP - INMET
--------------------
Estação           : TARAUACA - AC (OMM: 82807)
Latitude  (graus) : -8.16
Longitude (graus) : -70.76
Altitude  (metros): 190.00
Estação Operante
Inicio de operação: 06/06/1966
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82807;09/06/1969;1200;;22;;;;
82807;10/06/1969;1200;;23.1;;;;
82807;11/06/1969;1200;;23.2;;;;
82807;12/06/1969;1200;;23;;;;
82807;13/06/1969;1200;;22;;;;
82807;14/06/1969;1200;;21.9;;;;
82807;15/06/1969;1200;;22;;;;
82807;16/06/1969;1200;;22.5;;;;
82807;17/06/1969;1200;;22.8;;;;
82807;18/06/1969;1200;;20.8;;;;
82807;20/06/1969;1200;;20.1;;;;
82807;21/06/1969;1200;;20.6;;;;
82807;22/06/1969;1200;;20.5;;;;
82807;23/06/1969;1200;;18.5;;;;
82807;24/06/1969;1200;;21.4;;;;
82807;26/06/1969;1200;;20.4;;;;
82807;27/06/1969;1200;;21.4;;;;
82807;29/06/1969;1200;;23.4;;;;
82807;30/06/1969;1200;;23.1;;;;
82807;04/07/1969;1200;;20.2;;;;
82807;05/07/1969;1200;;21.8;;;;
82807;12/07/1969;1200;;14.8;;;;
82807;13/07/1969;1200;;18;;;;
82807;14/07/1969;1200;;18.3;;;;
82807;15/07/1969;1200;;18.8;;;;
82807;16/07/1969;1200;;18.9;;;;
82807;17/07/1969;1200;;18.9;;;;
82807;18/07/1969;1200;;19.9;;;;
82807;19/07/1969;1200;;19;;;;
82807;20/07/1969;1200;;22.3;;;;
82807;21/07/1969;1200;;21.4;;;;
82807;22/07/1969;1200;;22.1;;;;
82807;23/07/1969;1200;;23.1;;;;
82807;24/07/1969;1200;;22.7;;;;
82807;25/07/1969;1200;;21.1;;;;
82807;26/07/1969;1200;;23.2;;;;
82807;27/07/1969;1200;;17.3;;;;
82807;28/07/1969;1200;;18.9;;;;
82807;29/07/1969;1200;;17.9;;;;
82807;30/07/1969;1200;;13.1;;;;
82807;31/07/1969;1200;;13.3;;;;
82807;01/08/1969;0000;31.5;;24.16;;;
82807;01/08/1969;1200;;14.9;;;;
82807;02/08/1969;0000;19.1;;17.52;;;
82807;02/08/1969;1200;;9.9;;;;
82807;03/08/1969;0000;26.3;;17.04;;;
82807;03/08/1969;1200;;9.9;;;;
82807;04/08/1969;1200;;10.4;;;;
82807;05/08/1969;0000;31.3;;21.38;;;
82807;05/08/1969;1200;;10.8;;;;
82807;06/08/1969;0000;33.9;;22.84;;;
82807;06/08/1969;1200;;11.3;;;;
82807;07/08/1969;0000;30.9;;23.32;;;
82807;07/08/1969;1200;;12.9;;;;
82807;08/08/1969;0000;31.1;;22.26;;;
82807;08/08/1969;1200;;11.4;;;;
82807;09/08/1969;0000;32.3;;22.2;;;
82807;09/08/1969;1200;;11.1;;;;
82807;10/08/1969;0000;33.3;;22.64;;;
82807;10/08/1969;1200;;12.5;;;;
82807;11/08/1969;0000;32.3;;23.98;;;
82807;11/08/1969;1200;;13.6;;;;
82807;12/08/1969;0000;33.5;;23.4;;;
82807;12/08/1969;1200;;14.7;;;;
82807;13/08/1969;0000;33.1;;22.92;;;
82807;13/08/1969;1200;;13.5;;;;
82807;14/08/1969;0000;31.9;;23.36;;;
82807;14/08/1969;1200;;14.3;;;;
82807;15/08/1969;0000;32.9;;24.36;;;
82807;15/08/1969;1200;;15.1;;;;
82807;16/08/1969;0000;33.5;;23.28;;;
82807;16/08/1969;1200;;13.7;;;;
82807;17/08/1969;0000;29.1;;23.12;;;
82807;17/08/1969;1200;;13.9;;;;
82807;18/08/1969;0000;33.1;;24.5;;;
82807;18/08/1969;1200;;14.4;;;;
82807;19/08/1969;0000;33.5;;22.72;;;
82807;19/08/1969;1200;;13.1;;;;
82807;20/08/1969;0000;33.3;;24.7;;;
82807;20/08/1969;1200;;15.6;;;;
82807;21/08/1969;0000;30.3;;23.24;;;
82807;21/08/1969;1200;;12.9;;;;
82807;22/08/1969;0000;31.9;;22.04;;;
82807;22/08/1969;1200;;9.9;;;;
82807;23/08/1969;0000;34.1;;23;;;
82807;23/08/1969;1200;;11.3;;;;
82807;24/08/1969;0000;33.1;;24.36;;;
82807;24/08/1969;1200;;13.5;;;;
82807;25/08/1969;0000;32.3;;22.1;;;
82807;25/08/1969;1200;;14.2;;;;
82807;26/08/1969;0000;31.9;;21.94;;;
82807;26/08/1969;1200;;12.7;;;;
82807;27/08/1969;0000;34.1;;24.36;;;
82807;27/08/1969;1200;;13.9;;;;
82807;28/08/1969;0000;30.3;;22.54;;;
82807;28/08/1969;1200;;19.4;;;;
82807;29/08/1969;0000;30.3;;22.94;;;
82807;29/08/1969;1200;;14;;;;
82807;30/08/1969;0000;32.5;;25.34;;;
82807;30/08/1969;1200;;13.8;;;;
82807;31/08/1969;1200;;13.3;;;;
82807;01/09/1969;0000;27.9;;23.98;;;
82807;01/09/1969;1200;;14.6;;;;
82807;02/09/1969;0000;30.3;;22.12;;;
82807;02/09/1969;1200;;13.5;;;;
82807;03/09/1969;0000;31.7;;22.54;;;
82807;03/09/1969;1200;;12.4;;;;
82807;04/09/1969;0000;32.1;;23.8;;;
82807;04/09/1969;1200;;13.5;;;;
82807;05/09/1969;0000;32.1;;24.68;;;
82807;05/09/1969;1200;;15.9;;;;
82807;06/09/1969;0000;30.5;;22.16;;;
82807;06/09/1969;1200;;14.5;;;;
82807;07/09/1969;0000;31.9;;23.8;;;
82807;07/09/1969;1200;;14.1;;;;
82807;08/09/1969;0000;30.1;;22.26;;;
82807;08/09/1969;1200;;10.4;;;;
82807;09/09/1969;0000;28.1;;20.92;;;
82807;09/09/1969;1200;;12.9;;;;
82807;10/09/1969;0000;32.1;;22.96;;;
82807;10/09/1969;1200;;13.3;;;;
82807;11/09/1969;0000;32.1;;24.4;;;
82807;11/09/1969;1200;;13.9;;;;
82807;12/09/1969;0000;31.3;;24.76;;;
82807;12/09/1969;1200;;15.5;;;;
82807;13/09/1969;0000;30.9;;23.76;;;
82807;13/09/1969;1200;;14.9;;;;
82807;14/09/1969;0000;32.1;;23.96;;;
82807;14/09/1969;1200;;15.5;;;;
82807;15/09/1969;0000;32.1;;23.32;;;
82807;15/09/1969;1200;;13.7;;;;
82807;16/09/1969;0000;32.1;;22.56;;;
82807;16/09/1969;1200;;13.9;;;;
82807;17/09/1969;0000;32.1;;24.3;;;
82807;17/09/1969;1200;;14.8;;;;
82807;18/09/1969;0000;26;;24.3;;;
82807;18/09/1969;1200;;16.9;;;;
82807;19/09/1969;0000;31.9;;23.6;;;
82807;19/09/1969;1200;;16.9;;;;
82807;20/09/1969;0000;32.7;;24.86;;;
82807;20/09/1969;1200;;17.4;;;;
82807;21/09/1969;0000;31.1;;22.98;;;
82807;21/09/1969;1200;;17.4;;;;
82807;22/09/1969;0000;32.7;;23.32;;;
82807;22/09/1969;1200;;16.9;;;;
82807;23/09/1969;0000;32.1;;23.78;;;
82807;23/09/1969;1200;;17;;;;
82807;24/09/1969;0000;32.1;;25.08;;;
82807;24/09/1969;1200;;17.9;;;;
82807;25/09/1969;0000;31.4;;25.5;;;
